work_id,doi,band,cell,in_stated_pool,in_realized_pool,outcome_level,year,venue,oa_status,pdf_url,download_status,detail,bytes,file,title
W7118895554,10.1007/s12144-025-08750-7,stated_intention,PRIMARY_ECO_PESSIMISM,True,False,STATED_INTENTION_OR_ATTITUDE,2026,Current Psychology,closed,,no_oa_url,closed,0,,Do environmental concerns play an important role in the desire for children?
W7128694191,10.1177/11033088261418378,stated_intention,PRIMARY_ECO_PESSIMISM,True,False,STATED_INTENTION_OR_ATTITUDE,2026,Young,diamond,,failed,not_pdf_html_paywall,0,,From Anger to Adaptation: The Process of Eco-anxiety in Young Australians
W7140216005,10.1007/s10745-026-00678-1,stated_intention,PRIMARY_ECO_PESSIMISM,True,False,STATED_INTENTION_OR_ATTITUDE,2026,Human Ecology,hybrid,,already_present,skip,826149,W7140216005__stigmatization-of-childfree-choice-in-response-to-climate-ch.pdf,Stigmatization of Childfree Choice in Response to Climate Change
W7150039859,10.1186/s12889-026-27173-y,stated_intention,PRIMARY_HABITABILITY_FEAR,True,False,STATED_INTENTION_OR_ATTITUDE,2026,BMC Public Health,gold,,already_present,skip,1305943,W7150039859__the-association-between-women-s-climate-change-anxiety-aware.pdf,"The association between women’s climate change anxiety, awareness of maternal–fetal health impacts, and their desire to "
W7169146082,10.1007/978-3-032-30665-4_52,stated_intention,PRIMARY_ECO_PESSIMISM,True,False,STATED_INTENTION_OR_ATTITUDE,2026,,closed,,no_oa_url,closed,0,,Environmental Uncertainty and Childbearing Intentions: Insights from Italy
W4410208937,10.51624/szocszemle.17007,stated_intention,PRIMARY_ECO_PESSIMISM,True,False,STATED_INTENTION_OR_ATTITUDE,2025,Szociológiai szemle,diamond,,already_present,skip,252265,W4410208937__a-j-v-vel-kapcsolatos-aggodalom-s-a-kl-mav-ltoz-ssal-kapcsol.pdf,A jövővel kapcsolatos aggodalom és a klímaváltozással kapcsolatos attitűdök hatása a gyermekvállalási tervekre – egy kva
W4413013449,10.1016/j.eiar.2025.108114,stated_intention,PRIMARY_HABITABILITY_FEAR,True,False,STATED_INTENTION_OR_ATTITUDE,2025,Environmental Impact Assessment Review,closed,,no_oa_url,closed,0,,Breathing and breeding: How air pollution shapes fertility intentions in China
W4410980627,10.1088/2515-7620/ade03d,stated_intention,PRIMARY_CARBON_ETHICS,True,False,STATED_INTENTION_OR_ATTITUDE,2025,Environmental Research Communications,gold,,failed,not_pdf_html_paywall,0,,Carbon footprints of different household types: the sharing benefit illusion
W4410404692,10.1111/phn.13568,stated_intention,PRIMARY_ECO_PESSIMISM,True,False,STATED_INTENTION_OR_ATTITUDE,2025,Public Health Nursing,hybrid,,failed,not_pdf_html_paywall,0,,Climate Change Awareness: Does It Affect the Fertility Desire?
W4409161965,10.1111/ssqu.70017,stated_intention,PRIMARY_ECO_PESSIMISM,True,False,STATED_INTENTION_OR_ATTITUDE,2025,Social Science Quarterly,bronze,,failed,not_pdf_html_paywall,0,,Climate Concern and Americans’ Ideal Number of Children: The Moderating Role of Religious Involvement
W4413440527,10.3389/frph.2025.1603370,stated_intention,PRIMARY_ECO_PESSIMISM,True,False,STATED_INTENTION_OR_ATTITUDE,2025,Frontiers in Reproductive Health,gold,,already_present,skip,371826,W4413440527__climate-change-and-its-differential-impact-on-sexual-and-rep.pdf,Climate change and its differential impact on sexual and reproductive health and rights among women in Nepal
W4412702935,10.1371/journal.pone.0327570,stated_intention,PRIMARY_ECO_PESSIMISM,True,False,STATED_INTENTION_OR_ATTITUDE,2025,PLoS ONE,gold,,already_present,skip,1766100,W4412702935__digital-insights-analyzing-the-reproductive-intentions-and-i.pdf,Digital insights: Analyzing the reproductive intentions and influencing factors among urban women in China through onlin
W4413343342,10.1111/padr.70019,stated_intention,PRIMARY_ECO_PESSIMISM,True,False,STATED_INTENTION_OR_ATTITUDE,2025,Population and Development Review,closed,,no_oa_url,closed,0,,Dimensions of Environmental Attitudes and General Fertility Ideals
W4409101049,10.1007/s11111-025-00487-6,stated_intention,PRIMARY_HABITABILITY_FEAR,True,False,STATED_INTENTION_OR_ATTITUDE,2025,Population and Environment,green,,failed,not_pdf_html_paywall,0,,Fertility intentions in rural Malawi after Cyclone Idai
W4408865801,10.1177/23294965241300718,stated_intention,PRIMARY_HABITABILITY_FEAR,True,False,STATED_INTENTION_OR_ATTITUDE,2025,Social Currents,closed,,no_oa_url,closed,0,,In- <i>Conceivable Futures</i> : Climate Change and Reproductive Decision Making Among Childfree North Americans
W4412425420,10.1038/s41598-025-11708-1,stated_intention,PRIMARY_ECO_PESSIMISM,True,False,STATED_INTENTION_OR_ATTITUDE,2025,Scientific Reports,gold,,already_present,skip,1181004,W4412425420__navigating-parenthood-in-a-climate-change-era-determinants-o.pdf,Navigating parenthood in a climate change era: determinants of childbearing intentions in Iran
W4409538607,10.1073/pnas.2311400122,stated_intention,PRIMARY_ECO_PESSIMISM,True,False,STATED_INTENTION_OR_ATTITUDE,2025,Proceedings of the National Academy of Sciences,hybrid,,failed,not_pdf_html_paywall,0,,Psychological impacts of climate change on US youth
W4413006942,10.3390/ijerph22081228,stated_intention,PRIMARY_ECO_PESSIMISM,True,False,STATED_INTENTION_OR_ATTITUDE,2025,International Journal of Environmental Research and Public Health,gold,,failed,"not_pdf_html_paywall,empty_or_tiny",0,,The Impact of Climate Change Awareness on Fertility Intentions in Palestinian Society: Mediating Role of Threat Percepti
W4415039702,10.1007/s44202-025-00423-7,stated_intention,PRIMARY_HABITABILITY_FEAR,True,False,STATED_INTENTION_OR_ATTITUDE,2025,Discover Psychology,gold,,already_present,skip,1103076,W4415039702__the-mediating-role-of-concerns-for-the-child-and-concerns-fo.pdf,The mediating role of concerns for the child and concerns for the environment in the relation between ecological preoccu
W4414137570,10.3389/fpubh.2025.1642689,stated_intention,PRIMARY_ECO_PESSIMISM,True,False,STATED_INTENTION_OR_ATTITUDE,2025,Frontiers in Public Health,gold,,already_present,skip,482056,W4414137570__the-role-of-climate-change-anxiety-in-shaping-childrearing-i.pdf,The role of climate change anxiety in shaping childrearing intentions among people living in British Columbia
W4410600610,10.1080/02646838.2025.2508875,stated_intention,PRIMARY_ECO_PESSIMISM,True,False,STATED_INTENTION_OR_ATTITUDE,2025,Journal of Reproductive and Infant Psychology,hybrid,,failed,not_pdf_html_paywall,0,,The role of eco-anxiety in reproductive wish during emerging adulthood
W4410909911,10.1080/02732173.2025.2507363,stated_intention,PRIMARY_ECO_PESSIMISM,True,False,STATED_INTENTION_OR_ATTITUDE,2025,Sociological Spectrum,closed,,no_oa_url,closed,0,,“It’s all up in the air”: reproductive decision-making in a changing climate
W4411322994,10.1007/978-3-031-96736-8_51,stated_intention,PRIMARY_ECO_PESSIMISM,True,False,STATED_INTENTION_OR_ATTITUDE,2025,,closed,,no_oa_url,closed,0,,Is Climate Change Concern Linked to Childfree Intentions? Differences Across Age and Education in Five European Countrie
W4400641578,10.4054/demres.2024.51.2,stated_intention,PRIMARY_ECO_PESSIMISM,True,False,STATED_INTENTION_OR_ATTITUDE,2024,Demographic Research,diamond,,already_present,skip,273247,W4400641578__climate-change-and-fertility-desires-an-experimental-study-a.pdf,Climate change and fertility desires: An experimental study among university students in Belgium and Italy
W4399295917,10.1177/21676968241258270,stated_intention,PRIMARY_HABITABILITY_FEAR,True,False,STATED_INTENTION_OR_ATTITUDE,2024,Emerging Adulthood,hybrid,,already_present,skip,711066,W4399295917__bringing-children-in-a-burning-world-the-role-of-climate-anx.pdf,“Bringing Children in a Burning World?” The Role of Climate Anxiety and Threat Perceptions in Childbearing Motivations o
W4392241319,10.18280/ijsdp.190222,stated_intention,PRIMARY_HABITABILITY_FEAR,True,False,STATED_INTENTION_OR_ATTITUDE,2024,International Journal of Sustainable Development and Planning,hybrid,,already_present,skip,1896039,W4392241319__determinants-affecting-reproduction-among-university-youth-w.pdf,Determinants Affecting Reproduction Among University Youth Who're Getting Married in Jordan an Applied Study of the Univ
W4405294310,10.1111/jep.14265,stated_intention,PRIMARY_ECO_PESSIMISM,True,False,STATED_INTENTION_OR_ATTITUDE,2024,Journal of Evaluation in Clinical Practice,bronze,,failed,not_pdf_html_paywall,0,,Is Ecological Anxiety Due to Climate Change Associated With the Fertility Preferences of Women?
W4391044631,10.1057/s41599-024-02640-2,stated_intention,PRIMARY_HABITABILITY_FEAR,True,False,STATED_INTENTION_OR_ATTITUDE,2024,Humanities and Social Sciences Communications,gold,,already_present,skip,1523421,W4391044631__perceived-risk-of-child-mortality-and-fertility-choices-in-c.pdf,Perceived risk of child mortality and fertility choices in climate-vulnerable regions of Bangladesh
W4399878263,10.1332/20467435y2024d000000031,stated_intention,PRIMARY_ECO_PESSIMISM,True,False,STATED_INTENTION_OR_ATTITUDE,2024,Families Relationships and Societies,closed,,no_oa_url,closed,0,,Shrinking futures: ecologically childfree as emotion management
W4391690801,10.31235/osf.io/pv7mz,stated_intention,PRIMARY_ECO_PESSIMISM,True,False,STATED_INTENTION_OR_ATTITUDE,2024,,gold,,already_present,skip,814574,W4391690801__climate-change-worries-and-fertility-intentions-insights-fro.pdf,Climate change worries and fertility intentions. Insights from three EU countries.
W4353078199,10.1007/s12144-023-04295-9,stated_intention,PRIMARY_CARBON_ETHICS,True,False,STATED_INTENTION_OR_ATTITUDE,2023,Current Psychology,hybrid,,already_present,skip,994542,W4353078199__choosing-to-live-environmentally-childfree-private-sphere-en.pdf,"Choosing to live environmentally childfree: private-sphere environmentalism, environmental activism, or both?"
W4366984142,10.1186/s12889-023-15674-z,stated_intention,PRIMARY_HABITABILITY_FEAR,True,False,STATED_INTENTION_OR_ATTITUDE,2023,BMC Public Health,gold,,already_present,skip,2890664,W4366984142__pregnancy-intentions-of-young-women-in-canada-in-the-era-of-.pdf,Pregnancy intentions of young women in Canada in the era of climate change: a qualitative auto-photography study
W4385317685,10.3389/fpsyg.2023.1126031,stated_intention,PRIMARY_ECO_PESSIMISM,True,False,STATED_INTENTION_OR_ATTITUDE,2023,Frontiers in Psychology,gold,,already_present,skip,2946582,W4385317685__climate-anxiety-coping-strategies-and-planning-for-the-futur.pdf,"Climate anxiety, coping strategies and planning for the future in environmental degree students in the UK"
W4319986338,10.1016/j.emospa.2023.100939,stated_intention,PRIMARY_ECO_PESSIMISM,True,False,STATED_INTENTION_OR_ATTITUDE,2023,"Emotion, space and society",hybrid,,already_present,skip,1379098,W4319986338__when-i-say-i-m-depressed-it-s-like-anger-an-exploration-of-t.pdf,"“When I say I'm depressed, it's like anger.” An exploration of the emotional landscape of climate change concern in Norw"
W4283325552,10.17645/si.v10i3.5228,stated_intention,PRIMARY_ECO_PESSIMISM,True,False,STATED_INTENTION_OR_ATTITUDE,2022,Social Inclusion,gold,,already_present,skip,188094,W4283325552__climate-change-concerns-and-the-ideal-number-of-children-a-c.pdf,Climate Change Concerns and the Ideal Number of Children: A Comparative Analysis of the V4 Countries
W4307051760,10.1111/jomf.12885,stated_intention,PRIMARY_ECO_PESSIMISM,True,False,STATED_INTENTION_OR_ATTITUDE,2022,Journal of Marriage and the Family,green,,failed,not_pdf_html_paywall,0,,Environmental attitudes and fertility desires among US adolescents from 2005–2019
W4303613812,10.3390/bs12100374,stated_intention,PRIMARY_HABITABILITY_FEAR,True,False,STATED_INTENTION_OR_ATTITUDE,2022,Behavioral Sciences,gold,,failed,"not_pdf_html_paywall,empty_or_tiny",0,,Reproductive Intentions Affected by Perceptions of Climate Change and Attitudes toward Death
W4304809624,10.1080/23251042.2022.2132629,stated_intention,PRIMARY_HABITABILITY_FEAR,True,False,STATED_INTENTION_OR_ATTITUDE,2022,Environmental Sociology,closed,,no_oa_url,closed,0,,"The reproductive climate concerns of young, educated Chinese: ‘when the nest is upset, no egg is left intact’"
W4224281873,10.1016/j.socscimed.2022.114985,stated_intention,PRIMARY_HABITABILITY_FEAR,True,False,STATED_INTENTION_OR_ATTITUDE,2022,Social Science & Medicine,hybrid,,failed,not_pdf_html_paywall,0,,“Can I take responsibility for bringing a person to this world who will be part of the apocalypse!?”: Ideological dilemm
W4313417829,10.1111/1467-8454.12290,stated_intention,PRIMARY_ECO_PESSIMISM,True,False,STATED_INTENTION_OR_ATTITUDE,2022,Australian Economic Papers,closed,,no_oa_url,closed,0,,How does environmental quality perception influence people's fertility intention? Evidence from China
W4282933710,10.1080/01459740.2022.2083510,stated_intention,PRIMARY_HABITABILITY_FEAR,True,False,STATED_INTENTION_OR_ATTITUDE,2022,Medical Anthropology,hybrid,,failed,not_pdf_html_paywall,0,,Ringing the Existential Alarm: Exploring BirthStrike for Climate
W4362571492,10.15388/stepp.2022.50,stated_intention,PRIMARY_ECO_PESSIMISM,True,False,STATED_INTENTION_OR_ATTITUDE,2022,Socialinė teorija empirija politika ir praktika,diamond,,already_present,skip,495172,W4362571492__the-impact-of-uncertainty-created-by-global-factors-on-ferti.pdf,The Impact of Uncertainty Created by Global Factors on Fertility Decisions
W4303684191,10.1332/204674321x16621119776374,stated_intention,PRIMARY_HABITABILITY_FEAR,True,False,STATED_INTENTION_OR_ATTITUDE,2022,Families Relationships and Societies,bronze,,failed,"not_pdf_html_paywall,empty_or_tiny",0,,Unsettling maternal futures in climate crisis: towards cohabitability?
W4283831900,10.21203/rs.3.rs-1574310/v2,stated_intention,PRIMARY_ECO_PESSIMISM,True,False,STATED_INTENTION_OR_ATTITUDE,2022,Research Square,green,,failed,not_pdf_html_paywall,0,,Pregnancy Intentions of Youth in the Era of Climate Change: A Qualitative Auto- Photography Study
W3170942965,10.3389/fpsyg.2021.644600,stated_intention,PRIMARY_ECO_PESSIMISM,True,False,STATED_INTENTION_OR_ATTITUDE,2021,Frontiers in Psychology,gold,,already_present,skip,575662,W3170942965__extrinsic-and-existential-mortality-risk-in-reproductive-dec.pdf,Extrinsic and Existential Mortality Risk in Reproductive Decision-Making: Examining the Effects of COVID-19 Experience a
W3146701062,10.1080/09644016.2021.1902700,stated_intention,PRIMARY_ECO_PESSIMISM,True,False,STATED_INTENTION_OR_ATTITUDE,2021,Environmental Politics,closed,,no_oa_url,closed,0,,The environmental politics of reproductive choices in the age of climate change
W3185476141,10.1007/s11027-021-09963-4,stated_intention,PRIMARY_CARBON_ETHICS,True,False,STATED_INTENTION_OR_ATTITUDE,2021,Mitigation and Adaptation Strategies for Global Change,hybrid,,already_present,skip,1483397,W3185476141__lifestyle-decisions-and-climate-mitigation-current-action-an.pdf,Lifestyle decisions and climate mitigation: current action and behavioural intent of youth
W3132348529,10.35784/pe.2021.1.17,stated_intention,PRIMARY_HABITABILITY_FEAR,True,False,STATED_INTENTION_OR_ATTITUDE,2021,Problemy Ekorozwoju,diamond,,failed,not_pdf_html_paywall,0,,The Effect of Air Pollution on Fertility Intentions
W3143067222,10.1089/eco.2020.0057,stated_intention,PRIMARY_CARBON_ETHICS,True,False,STATED_INTENTION_OR_ATTITUDE,2021,Ecopsychology,closed,,no_oa_url,closed,0,,"“There Are Many People Like Me, Who Feel They Want to Do Something Bigger”: An Exploratory Study of Choosing Not to Have"
W2911294299,10.1089/eco.2018.0068,stated_intention,PRIMARY_CARBON_ETHICS,True,False,STATED_INTENTION_OR_ATTITUDE,2019,Ecopsychology,closed,,no_oa_url,closed,0,,The Problem of Overpopulation: Proenvironmental Concerns and Behavior Predict Reproductive Attitudes
W2979354641,10.1353/prv.2019.0007,stated_intention,PRIMARY_HABITABILITY_FEAR,True,False,STATED_INTENTION_OR_ATTITUDE,2019,Population review,closed,,no_oa_url,closed,0,,"Is Fertility Preference Related to Perception of the Risk of Child Mortality, Changes in Landholding, and Type of Family"
W2498819264,10.1007/978-1-137-56077-3_9,stated_intention,PRIMARY_HABITABILITY_FEAR,True,False,STATED_INTENTION_OR_ATTITUDE,2015,Palgrave Macmillan UK eBooks,closed,,no_oa_url,closed,0,,Climate Change and Reproductive Intentions in Europe
W1540201895,10.1002/psp.1811,stated_intention,PRIMARY_HABITABILITY_FEAR,True,False,STATED_INTENTION_OR_ATTITUDE,2013,Population Space and Place,closed,,no_oa_url,closed,0,,To Have or Not to Have a Child? Perceived Constraints on Childbearing in a Lowest‐Low Fertility Context
