openalex_id,doi,year,title,venue,cell,chemical_family,screen_family,tier,verdict,n_seeds,cited_by,screen_note,RA_DECISION(RETRIEVE/EXCLUDE/UNSURE),RA_NOTE
W2179099397,10.1016/j.envres.2015.08.007,2015,Serum perfluoroalkyl acids and time to pregnancy in nulliparous women,Environmental Research,PRIMARY_EXPOSURE_TO_FERTILITY,pfas,pfas,1,RELEVANT,15,40,NULLIPAROUS-RESTRICTED TTP — the parity-handled design Call 2's primary track is built on.,,
W4302024131,10.1016/j.envint.2022.107567,2022,Preconception exposure to perfluoroalkyl and polyfluoroalkyl substances and couple fecundity: A couple-based exploration,Environment International,PRIMARY_EXPOSURE_TO_FERTILITY,pfas,pfas,1,RELEVANT,3,23,Preconception-measured couple fecundity; the exposure timing that identifies.,,
W4400039202,10.3390/toxics12070455,2024,Effects of Per- and Polyfluoroalkylated Substances on Female Reproduction,Toxics,PRIMARY_EXPOSURE_TO_FERTILITY,pfas,pfas,1,RELEVANT,11,22,Narrative review of PFAS and female reproduction; distinguishes legacy from replacement compounds.,,
W2908713169,,2009,Maternal levels of perfluorinated chemicals and subfecundity. Hum Reprod,,PRIMARY_EXPOSURE_TO_FERTILITY,pfas,pfas,2,RELEVANT,1,22,"ANCHOR-RECOVERY CASE: this is the duplicate index record of Fei et al. 2009, the A3 anchor, carrying no DOI. Correct routing here is a direct check on the screen.",,
W4404915882,10.3390/ijerph21121615,2024,Environmental Exposure to Per- and Polyfluorylalkyl Substances (PFASs) and Reproductive Outcomes in the General Population: A Systematic Review of Epidemiological Studies,International Journal of Environmental Research and Public Health,PRIMARY_EXPOSURE_TO_FERTILITY,pfas,pfas,1,RELEVANT,10,20,PRISMA systematic review of general-population reproductive outcomes. Channel-1; leakage wall applies.,,
W4309787592,10.3390/ijerph192215348,2022,"Association between Perfluoroalkyl and Polyfluoroalkyl Substances and Women’s Infertility, NHANES 2013–2016",International Journal of Environmental Research and Public Health,PRIMARY_EXPOSURE_TO_FERTILITY,pfas,pfas,1,RELEVANT,3,18,"NHANES cross-sectional, self-reported infertility.",,
W2409520153,10.1097/ede.0000000000000524,2016,Brief Report,Epidemiology,PRIMARY_EXPOSURE_TO_FERTILITY,pfas,pfas,1,RELEVANT,7,17,Brief report replicating a PFOSA-fecundability association in MoBa. Generic title; routed on abstract.,,
W4408724716,10.1093/biolre/ioaf054,2025,Microplastics and impaired male reproductive health—exploring biological pathways of harm: a narrative review,Biology of Reproduction,PRIMARY_MALE_FECUNDITY,plastic,plastic,2,RELEVANT,1,15,Narrative review of biological pathways.,,
W4415689196,10.1111/joim.70038,2025,Reproductive toxicity of micro‐ and nanoplastics: Insights from experimental and human studies,Journal of Internal Medicine,PRIMARY_EXPOSURE_TO_FERTILITY,plastic,plastic,1,RELEVANT,4,12,Review explicitly spanning experimental AND human studies; the human portion must be extracted separately from the rodent portion.,,
W2315733616,10.1016/j.envres.2016.03.001,2016,Response to letter to the editor regarding “Serum perfluoroalkyl acids and time to pregnancy in nulliparous women”,Environmental Research,PRIMARY_EXPOSURE_TO_FERTILITY,pfas,pfas,1,RELEVANT,4,3,"SHADOW RECORD INSIDE TIER B: correspondence attached to the nulliparous-women TTP study (A3 anchor), not an independent estimate. Must not be counted as a separate study at extraction — the same failure mode the A3 shadow gate exists to prevent, reappearing one stage later.",,
W4415276475,10.5772/intechopen.1012349,2025,Microplastics Exposure Is Harmful to Male Reproductive Health,IntechOpen eBooks,PRIMARY_MALE_FECUNDITY,plastic,plastic,1,RELEVANT,2,3,Review asserting harm to male reproductive health; check what human evidence it cites.,,
W4401977309,10.3390/toxics12080613,2024,Perfluoroalkyl and Polyfluoroalkyl Substances in Relation to the Participant-Reported Total Pregnancy and Live Birth Numbers among Reproductive-Aged Women in the United States,Toxics,PRIMARY_EXPOSURE_TO_FERTILITY,pfas,pfas,2,RELEVANT,1,3,"IMPORTANT — PFAS against self-reported TOTAL PREGNANCY AND LIVE BIRTH NUMBERS, i.e. a parity outcome, which is the fertility quantity the review actually wants. It is also the record where reverse causation is maximal: parity causes exposure through three excretion routes, so a cross-sectional parity association is close to uninterpretable without parity-handling. Extract, and read against Call 2.",,
W7117988082,10.3390/microplastics5010003,2026,"Plastic Particles and Female Fertility: Pathways, Toxicity, and Analytical Challenges",Microplastics,PRIMARY_EXPOSURE_TO_FERTILITY,plastic,plastic,2,RELEVANT,1,2,"Review on plastic particles and female fertility, including analytical limits.",,
W7148912603,10.4103/jmh.jmh_93_25,2026,Reproductive Health Consequences of Per- and Polyfluoroalkyl Substances and Microplastics in Mid-life Women: A Systematic Review of Emerging Evidence,Journal of Mid-life Health,PRIMARY_EXPOSURE_TO_FERTILITY,both,both,1,RELEVANT,2,0,Systematic review covering BOTH families on reproductive-health outcomes in mid-life women. Channel-1 seed; leakage wall applies.,,
W7133525027,10.1016/j.xfnr.2026.100102,2026,"Per- and polyfluoroalkyl substances exposure from preconception to lactation: implications for female fertility, pregnancy complications, and birth outcomes: a narrative review",F&S Reviews,PRIMARY_EXPOSURE_TO_FERTILITY,pfas,pfas,1,RELEVANT,2,0,"Narrative review spanning preconception to lactation; the fertility portion is ours, the birth-outcome portion is Wall 2.",,
W7202077705,10.1177/26318318261474309,2026,"Invisible Barriers to Male Reproductive Health: Microplastic Toxicity, Fertility, and Psychosexual Implications",Journal of Psychosexual Health,PRIMARY_MALE_FECUNDITY,plastic,plastic,2,RELEVANT,1,0,Review of MP on male reproductive health including fertility.,,
W2322981968,10.1016/j.reprotox.2011.11.094,2012,"P60—Preliminary results on subfecundity and plasma concentrations of perfluorinated compounds during pregnancy in the Norwegian Mother and Child Cohort Study, 2002–2004",Reproductive Toxicology,PRIMARY_EXPOSURE_TO_FERTILITY,pfas,pfas,2,RELEVANT,1,0,Conference abstract of preliminary MoBa subfecundity results — very likely an early version of the Whitworth 2011 anchor. Duplicate risk; must not be extracted as an independent study.,,
W2086662317,10.1021/es1038694,2011,Association of Perfluorooctanoic Acid (PFOA) and Perfluorooctane Sulfonate (PFOS) with Age of Puberty among Children Living near a Chemical Plant,Environmental Science & Technology,OVARIAN_PARAMETER,pfas,pfas,1,RELEVANT,4,259,Age of puberty near a chemical plant — sexual maturation timing in a high-exposure community. Borders Wall 2's developmental territory; flag at extraction.,,
W2163064437,10.3390/ijerph120606098,2015,Serum Biomarkers of Exposure to Perfluoroalkyl Substances in Relation to Serum Testosterone and Measures of Thyroid Function among Adults and Adolescents from NHANES 2011–2012,International Journal of Environmental Research and Public Health,SEMEN_PARAMETER,pfas,pfas,1,RELEVANT,6,253,"TAXONOMY GAP again: serum testosterone in adults and adolescents, no semen measured. Routed to the nearest male cell; B.6 has no adult reproductive-endocrine parameter cell.",,
W1986462163,10.1289/ehp.1205118,2013,Associations of <i>in Utero</i> Exposure to Perfluorinated Alkyl Acids with Human Semen Quality and Reproductive Hormones in Adult Men,Environmental Health Perspectives,SEMEN_PARAMETER,pfas,pfas,1,RELEVANT,5,223,"In-utero exposure, adult semen quality and reproductive hormones.",,
W2105381158,10.1093/humrep/des425,2012,"PFOS (perfluorooctanesulfonate) in serum is negatively associated with testosterone levels, but not with semen quality, in healthy men",Human Reproduction,SEMEN_PARAMETER,pfas,pfas,1,RELEVANT,6,204,"Null on semen quality, negative on testosterone — a useful discordance for the mechanism section.",,
W2724290332,10.1289/ehp1203,2017,Plasma Perfluoroalkyl and Polyfluoroalkyl Substances Concentration and Menstrual Cycle Characteristics in Preconception Women,Environmental Health Perspectives,OVARIAN_PARAMETER,pfas,pfas,1,RELEVANT,7,166,"Menstrual cycle characteristics, an input rather than a fertility quantity.",,
W2053956953,10.1016/j.reprotox.2011.05.024,2011,Concentrations of perfluorooctane sulfonate (PFOS) and perfluorooctanoate (PFOA) and their associations with human semen quality measurements,Reproductive Toxicology,SEMEN_PARAMETER,pfas,pfas,1,RELEVANT,6,142,PFOS/PFOA and human semen quality.,,
W2996396622,10.1289/ehp4431,2019,Profiles of Emerging and Legacy Per-/Polyfluoroalkyl Substances in Matched Serum and Semen Samples: New Implications for Human Semen Quality,Environmental Health Perspectives,SEMEN_PARAMETER,pfas,pfas,1,RELEVANT,4,141,Matched serum and semen samples; legacy and emerging compounds.,,
W2154246824,10.1289/ehp.1306707,2013,Polyfluoroalkyl Chemicals and Menopause among Women 20–65 Years of Age (NHANES),Environmental Health Perspectives,OVARIAN_PARAMETER,pfas,pfas,1,RELEVANT,4,140,"Menopause. A textbook REVERSE case — cessation of menstrual excretion raises serum PFAS, so the association is partly mechanical. Flag at extraction.",,
W2802977343,10.1210/jc.2017-02783,2018,Association of Perfluoroalkyl and Polyfluoroalkyl Substances With Premature Ovarian Insufficiency in Chinese Women,The Journal of Clinical Endocrinology & Metabolism,OVARIAN_PARAMETER,pfas,pfas,1,RELEVANT,7,132,Premature ovarian insufficiency.,,
W1974206202,10.1289/ehp.1307621,2014,Perfluorochemicals and Human Semen Quality: The LIFE Study,Environmental Health Perspectives,SEMEN_PARAMETER,pfas,pfas,1,RELEVANT,6,118,"LIFE Study, general-population men.",,
W3047171475,10.1016/j.envpol.2020.115330,2020,Exposure to per- and polyfluoroalkyl substances (PFASs) in serum versus semen and their association with male reproductive hormones,Environmental Pollution,SEMEN_PARAMETER,pfas,pfas,1,RELEVANT,4,117,Serum VERSUS semen concentrations with male reproductive hormones — carries both detection and effect content.,,
W1971918593,10.1016/j.fertnstert.2015.02.001,2015,Perfluoroalkyl substances and ovarian hormone concentrations in naturally cycling women,Fertility and Sterility,OVARIAN_PARAMETER,pfas,pfas,1,RELEVANT,10,111,Ovarian hormones in naturally cycling women.,,
W4402945134,10.1016/j.ebiom.2024.105369,2024,Association of mixed exposure to microplastics with sperm dysfunction: a multi-site study in China,EBioMedicine,SEMEN_PARAMETER,plastic,plastic,1,RELEVANT,3,108,"IMPORTANT — human multi-site study, microplastic exposure and sperm dysfunction. Second record contradicting the empty-MP-cell expectation.",,
W2884311292,10.1016/j.ijheh.2018.07.009,2018,Perfluorinated alkyl acids in the serum and follicular fluid of UK women with and without polycystic ovarian syndrome undergoing fertility treatment and associations with hormonal and metabolic parameters,International Journal of Hygiene and Environmental Health,OVARIAN_PARAMETER,pfas,pfas,1,RELEVANT,8,107,"Serum and follicular fluid in PCOS vs non-PCOS; ART frame (Wall 4 selection), also carries follicular-fluid detection.",,
W4367857087,10.1289/ehp11814,2023,Environmental Exposure to Emerging Alternatives of Per- and Polyfluoroalkyl Substances and Polycystic Ovarian Syndrome in Women Diagnosed with Infertility: A Mixture Analysis,Environmental Health Perspectives,OVARIAN_PARAMETER,pfas,pfas,2,RELEVANT,1,106,"Emerging PFAS alternatives and PCOS; mixture analysis within the PFAS family, so separable.",,
W2981772479,10.1016/j.chemosphere.2019.125208,2019,Perfluorooctanoic acid alters progesterone activity in human endometrial cells and induces reproductive alterations in young women,Chemosphere,OVARIAN_PARAMETER,pfas,pfas,1,RELEVANT,8,100,Hybrid: human endometrial cells in vitro PLUS reported reproductive alterations in young women. Extraction must separate the two arms.,,
W2910919969,10.1289/ehp3567,2019,Exposure to Perfluoroalkyl Substances during Fetal Life and Pubertal Development in Boys and Girls from the Danish National Birth Cohort,Environmental Health Perspectives,OVARIAN_PARAMETER,pfas,pfas,1,RELEVANT,4,99,"Pubertal development after fetal exposure, DNBC — sexual maturation timing in both sexes.",,
W3127248205,10.1016/j.envint.2021.106408,2021,Perfluoroalkyl substances and sex hormones in postmenopausal women: NHANES 2013–2016,Environment International,OVARIAN_PARAMETER,pfas,pfas,2,RELEVANT,1,95,"Sex hormones in postmenopausal women; post-menopause means no menstrual excretion, so exposure is elevated for reasons unrelated to the outcome.",,
W3139203073,10.1016/j.envint.2021.106496,2021,Environmental exposure to per- and polyfluoroalkyl substances mixture and male reproductive hormones,Environment International,SEMEN_PARAMETER,pfas,pfas,1,RELEVANT,3,83,"Male reproductive hormones under mixture exposure. Same taxonomy gap — hormones, not semen.",,
W2575956297,10.1016/j.reprotox.2017.01.006,2017,"Effects of perfluorinated chemicals on thyroid function, markers of ovarian reserve, and natural fertility",Reproductive Toxicology,OVARIAN_PARAMETER,pfas,pfas,1,RELEVANT,9,76,Ovarian-reserve markers alongside thyroid function.,,
W2517826705,10.1016/j.reprotox.2016.08.009,2016,Perfluoroalkyl substances and endometriosis in US women in NHANES 2003–2006,Reproductive Toxicology,OVARIAN_PARAMETER,pfas,pfas,1,RELEVANT,6,76,"Endometriosis, NHANES.",,
W2120610521,10.1093/humrep/det390,2013,"Menstrual cycle characteristics in fertile women from Greenland, Poland and Ukraine exposed to perfluorinated chemicals: a cross-sectional study",Human Reproduction,OVARIAN_PARAMETER,pfas,pfas,1,RELEVANT,6,75,"Menstrual cyclicity, three-country cohort.",,
W2017429754,10.1097/ede.0b013e31826cc0cf,2012,Perfluorochemicals and Endometriosis,Epidemiology,OVARIAN_PARAMETER,pfas,pfas,1,RELEVANT,6,73,Endometriosis.,,
W3138031597,10.1186/s12302-021-00508-9,2021,Perfluoroalkyl and polyfluoroalkyl substance exposure and association with sex hormone concentrations: results from the NHANES 2015–2016,Environmental Sciences Europe,OVARIAN_PARAMETER,pfas,pfas,1,RELEVANT,3,72,TAXONOMY GAP: sex-hormone concentrations in adults of both sexes. B.6's cell list has no adult reproductive-endocrine parameter cell — B.7 had ENDOCRINE_MECHANISM and it was not carried over. Routed to the nearest cell; flag for the assembly report.,,
W4302004482,10.1289/ehp10285,2022,Maternal Exposure to Per- and Polyfluoroalkyl Substances (PFAS) and Male Reproductive Function in Young Adulthood: Combined Exposure to Seven PFAS,Environmental Health Perspectives,SEMEN_PARAMETER,pfas,pfas,1,RELEVANT,5,67,"Maternal exposure, male reproductive function in young adulthood; seven-compound joint exposure.",,
W4220904257,10.3389/fendo.2021.799043,2022,Assessment of the Emerging Threat Posed by Perfluoroalkyl and Polyfluoroalkyl Substances to Male Reproduction in Humans,Frontiers in Endocrinology,SEMEN_PARAMETER,pfas,pfas,1,RELEVANT,6,59,"Assessment of the threat to male reproduction in humans, explicitly.",,
W1992065546,10.1111/and.12371,2014,Chromosomal aneuploidies and DNA fragmentation of human spermatozoa from patients exposed to perfluorinated compounds,Andrologia,SEMEN_PARAMETER,pfas,pfas,1,RELEVANT,2,58,HUMAN spermatozoa — aneuploidy and DNA fragmentation in exposed patients.,,
W2105638582,10.1002/em.21874,2014,Exposure to Perfluoroalkyl Substances and Sperm DNA Global Methylation in <scp>Arctic</scp> and <scp>European</scp> Populations,Environmental and Molecular Mutagenesis,SEMEN_PARAMETER,pfas,pfas,1,RELEVANT,4,57,"Sperm DNA methylation, Arctic and European populations.",,
W3032002623,10.1210/clinem/dgaa303,2020,Associations of Perfluoroalkyl Substances with Incident Natural Menopause: The Study of Women’s Health Across the Nation,The Journal of Clinical Endocrinology & Metabolism,OVARIAN_PARAMETER,pfas,pfas,1,RELEVANT,4,56,"Incident natural menopause, SWAN. Strong reverse-causation risk: menopause ends menstrual excretion, so exposure and outcome are mechanically linked. Flag at extraction.",,
W4321375884,10.3389/fendo.2023.1114463,2023,Toxic effects of per- and polyfluoroalkyl substances on sperm: Epidemiological and experimental evidence,Frontiers in Endocrinology,SEMEN_PARAMETER,pfas,pfas,1,RELEVANT,4,52,"Review pooling epidemiological and experimental sperm evidence; species mixed, extraction must separate.",,
W3046713908,10.1080/10937404.2020.1798315,2020,Per- and polyfluoroalkyl substances and male reproductive health: a systematic review of the epidemiological evidence,Journal of Toxicology and Environmental Health Part B,SEMEN_PARAMETER,pfas,pfas,1,RELEVANT,4,44,Systematic review of the male epidemiological evidence. Channel-1; leakage wall applies.,,
W3175004850,10.1210/clinem/dgab476,2021,Per- and Polyfluoroalkyl Substances and Hormone Levels During the Menopausal Transition,The Journal of Clinical Endocrinology & Metabolism,OVARIAN_PARAMETER,pfas,pfas,1,RELEVANT,2,41,Hormones across the menopausal transition; reverse-causation risk via cessation of menstrual excretion.,,
W4412525568,10.1021/acsnano.5c00918,2025,Polyethylene and Polyvinyl Chloride Nanoplastics in Human Follicular Fluid and Seminal Plasma: Impact on Fertilization and Sperm Quality,ACS Nano,SEMEN_PARAMETER,plastic,plastic,1,RELEVANT,2,35,IMPORTANT — human nanoplastics in follicular fluid AND seminal plasma with sperm-quality and fertilization outcomes. Contradicts the reconnaissance expectation that the MP human effect cell is empty. Fertilization endpoint is A.17's; sperm quality is ours.,,
W4220733007,10.1016/j.envres.2022.113157,2022,Per- and polyfluoroalkyl substances (PFAS) and male reproductive function in young adulthood; a cross-sectional study,Environmental Research,SEMEN_PARAMETER,pfas,pfas,1,RELEVANT,4,34,,,
W4405747510,10.1016/j.envint.2024.109236,2024,Polyethylene microplastic exposure adversely affects oocyte quality in human and mouse,Environment International,OVARIAN_PARAMETER,plastic,plastic,2,RELEVANT,1,34,IMPORTANT — polyethylene MP and oocyte quality in HUMAN and mouse. The human arm is one of the few MP effect estimates in human tissue; extraction must separate it from the mouse arm.,,
W4223636188,10.1016/j.scitotenv.2022.155158,2022,"Environmental exposure to legacy poly/perfluoroalkyl substances, emerging alternatives and isomers and semen quality in men: A mixture analysis",The Science of The Total Environment,SEMEN_PARAMETER,pfas,pfas,1,RELEVANT,3,32,"Mixture analysis WITHIN the PFAS family including alternatives and isomers, so separable — not a Wall 1 case.",,
W4318817956,10.1186/s12958-023-01056-y,2023,Effect of PFOA exposure on diminished ovarian reserve and its metabolism,Reproductive Biology and Endocrinology,OVARIAN_PARAMETER,pfas,pfas,1,RELEVANT,2,32,Diminished ovarian reserve.,,
W4412003778,10.3390/toxics13070566,2025,The Presence of Microplastics in Human Semen and Their Associations with Semen Quality,Toxics,SEMEN_PARAMETER,plastic,plastic,1,RELEVANT,2,25,IMPORTANT — microplastics measured in human semen with semen-quality associations. Fourth human MP effect record.,,
W4387643922,10.1016/j.scitotenv.2023.167838,2023,Environmental exposure to legacy and emerging per- and polyfluoroalkyl substances and endometriosis in women of childbearing age,The Science of The Total Environment,OVARIAN_PARAMETER,pfas,pfas,1,RELEVANT,2,25,"Endometriosis, legacy and emerging compounds.",,
W4401361487,10.1016/j.scitotenv.2024.175313,2024,Per- and polyfluoroalkyl substances exposure is associated with polycystic ovary syndrome risk among women attending a fertility clinic,The Science of The Total Environment,OVARIAN_PARAMETER,pfas,pfas,1,RELEVANT,3,23,PCOS risk; fertility-clinic frame.,,
W4391262570,10.3390/toxics12020104,2024,Association between Perfluoroalkyl Substances in Follicular Fluid and Polycystic Ovary Syndrome in Infertile Women,Toxics,OVARIAN_PARAMETER,pfas,pfas,1,RELEVANT,3,22,Follicular-fluid PFAS and PCOS in infertile women; ART frame.,,
W4309366993,10.1007/s11356-022-24182-3,2022,Association between per- and polyfluoroalkyl substances and semen quality,Environmental Science and Pollution Research,SEMEN_PARAMETER,pfas,pfas,1,RELEVANT,3,22,,,
W4401027411,10.3390/toxics12080539,2024,Per- and Polyfluoroalkyl Substances (PFASs) and Their Potential Effects on Female Reproductive Diseases,Toxics,OVARIAN_PARAMETER,pfas,pfas,1,RELEVANT,3,18,Review of female reproductive disease endpoints.,,
W4410478485,10.1016/j.envint.2025.109533,2025,Seminal per- and polyfluoroalkyl substance exposure and sperm quality impairment: from toxic target to rescue,Environment International,SEMEN_PARAMETER,pfas,pfas,1,RELEVANT,4,17,PFAS measured in seminal fluid against sperm quality.,,
W4406204271,10.1055/s-0044-1801363,2024,PFAS Exposure and Male Reproductive Health: Implications for Sperm Epigenetics,Seminars in Reproductive Medicine,SEMEN_PARAMETER,pfas,pfas,1,RELEVANT,4,17,Sperm epigenetics.,,
W4411111644,10.1186/s12940-025-01188-1,2025,"Per- and polyfluoroalkyl substances (PFAS), thyroid hormones, sexual hormones and pubertal development in adolescents residing in the neighborhood of a 3M factory",Environmental Health,OVARIAN_PARAMETER,pfas,pfas,1,RELEVANT,3,16,Pubertal development and sex hormones near a 3M factory — Wall 9 population.,,
W4280492620,10.1021/acs.est.1c07184,2022,Environmental Exposure to 6:2 Polyfluoroalkyl Phosphate Diester and Impaired Testicular Function in Men,Environmental Science & Technology,SEMEN_PARAMETER,pfas,pfas,2,RELEVANT,1,16,"HUMAN — impaired testicular function in men, and the exposure is a polyfluoroalkyl phosphate diester, a replacement-class compound.",,
W4412198133,10.3390/ijms26146604,2025,"Molecular Shadows of Per- and Polyfluoroalkyl Substances (PFASs): Unveiling the Impact of Perfluoroalkyl Substances on Ovarian Function, Polycystic Ovarian Syndrome (PCOS), and In Vitro Fertilization (IVF) Outcomes",International Journal of Molecular Sciences,OVARIAN_PARAMETER,pfas,pfas,1,RELEVANT,2,15,"Review of ovarian function, PCOS and IVF outcomes; the IVF portion is A.17's.",,
W4220829850,10.1093/aje/kwac052,2022,Perfluoroalkyl Substances and Incident Natural Menopause in Midlife Women: The Mediating Role of Sex Hormones,American Journal of Epidemiology,OVARIAN_PARAMETER,pfas,pfas,2,RELEVANT,1,15,Incident menopause with sex hormones as mediator. Same reverse-causation hazard as the other menopause records.,,
W4401829970,10.1016/j.scitotenv.2024.175593,2024,Association between exposure to perfluoroalkyl substances (PFAS) and endometriosis in the ENDEA case-control study,The Science of The Total Environment,OVARIAN_PARAMETER,pfas,pfas,1,RELEVANT,2,14,"Endometriosis, ENDEA case-control.",,
W4405984033,10.1021/acs.est.4c10425,2025,Per- and PolyfluoroalkylSubstances in Semen Associatedwith Repeated Measures of Semen Quality in Healthy Adult Men,Environmental Science & Technology,SEMEN_PARAMETER,pfas,pfas,2,RELEVANT,1,13,PFAS measured in semen itself with repeated semen-quality measures.,,
W4378070587,10.1289/ehp11606,2023,Associations of Pregnancy Per- and Polyfluoroalkyl Substance Concentrations and Uterine Fibroid Changes across Pregnancy: NICHD Fetal Growth Studies – Singletons Cohort,Environmental Health Perspectives,OVARIAN_PARAMETER,pfas,pfas,1,RELEVANT,3,10,Uterine fibroid change across pregnancy — a gynaecological rather than ovarian endpoint; nearest available cell.,,
W4406230344,10.1016/j.envres.2025.120786,2025,Associations of maternal per- and polyfluoroalkyl substance plasma concentrations during pregnancy with offspring polycystic ovary syndrome and related characteristics in project viva,Environmental Research,OVARIAN_PARAMETER,pfas,pfas,1,RELEVANT,4,9,"Intergenerational: prenatal exposure, offspring PCOS. Retained because the outcome is reproductive, but the estimand is one generation removed — flag at extraction.",,
W4411191651,10.3389/fpubh.2025.1526918,2025,Associations of per- and polyfluoroalkyl substances in follicular fluid with polycystic ovarian syndrome in infertile women may be mediated by sex hormones,Frontiers in Public Health,OVARIAN_PARAMETER,pfas,pfas,2,RELEVANT,1,9,Follicular-fluid PFAS and PCOS with hormonal mediation.,,
W4415012676,10.1186/s12951-025-03747-7,2025,"Plastic tableware use, microplastic accumulation, and sperm quality: from epidemiological evidence to FOXA1/p38 mechanistic insights",Journal of Nanobiotechnology,SEMEN_PARAMETER,plastic,plastic,2,RELEVANT,1,9,"IMPORTANT — human epidemiological evidence linking PLASTIC TABLEWARE USE to microplastic accumulation and sperm quality, with a mechanistic arm. A behaviourally-defined exposure contrast, which is rare in this literature.",,
W7125642333,10.1016/j.jare.2026.01.074,2026,Microplastics and nanoplastics in follicular fluid are associated with diminished ovarian reserve: clinical and molecular insights,Journal of Advanced Research,OVARIAN_PARAMETER,plastic,plastic,1,RELEVANT,2,5,"IMPORTANT — human follicular-fluid MNP associated with diminished ovarian reserve, polymer-specific. Third record contradicting the empty-MP-cell expectation.",,
W4387950573,10.1289/ehp12592,2023,Per- and Polyfluoroalkyl Substances and Anti-Müllerian Hormone Concentrations in Two Preconception Cohort Studies,Environmental Health Perspectives,OVARIAN_PARAMETER,pfas,pfas,1,RELEVANT,2,4,"Anti-Müllerian hormone in two PRECONCEPTION cohorts — preconception measurement, so exposure precedes outcome.",,
