id,batch,stratum,read_mode,cell,outcome_level,dose_unit,phenomenon_window,estimator_class,stigma_object,stigma_bearer,second_read_required,note
W1571525568,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W2807555642,2,S4_FERT_NODESIGN,exhaustive,LINK_NORM_USE,USE,NONE,SDT,OLS_ADJUSTED,FAMILY_PLANNING,COMMUNITY,no,HIV flag is incidental; the exposure is adolescent sexual stigma.
W2099670202,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,ABORTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W1995529297,2,S4_FERT_NODESIGN,exhaustive,LINK_NORM_USE,USE,NONE,SDT,OLS_ADJUSTED,FAMILY_PLANNING,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell LINK_NORM_USE."
W3030563833,2,S4_FERT_NODESIGN,exhaustive,OFF_OTHER,NONE,NONE,SDT,DESCRIPTIVE,ABORTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell OFF_OTHER."
W2742045157,2,S4_FERT_NODESIGN,exhaustive,LINK_NORM_USE,USE,NONE,SDT,OLS_ADJUSTED,FAMILY_PLANNING,COMMUNITY,no,"The most A.6-shaped record in S4: opposition as a reason for unmet need. Outcome is use, so ruling 2 makes it link evidence."
W2078728821,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W2885012919,2,S4_FERT_NODESIGN,exhaustive,OFF_OTHER,NONE,NONE,SDT,DESCRIPTIVE,ABORTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell OFF_OTHER."
W2594172571,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W2071494091,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,FAMILY_PLANNING,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W2140093880,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,DESCRIPTIVE,ABORTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W1986910339,2,S4_FERT_NODESIGN,exhaustive,OFF_OTHER,REALIZED,NONE,FDT,OLS_ADJUSTED,CONTRACEPTION,COMMUNITY,no,"FULL TEXT READ (14,396 words, library proxy). Yucesahin and Ozgur 2008. Has a realized-fertility outcome - provincial TFR, Turkey 1980-2000 - by multiple regression, and was the only record in the library batch that could have been the primary cell. Fails rule 4 on the EXPOSURE: the Table 4 regressor list is % illiterate women, % Kurdish women, % Arab women, % Kurdish population, % Arab population, % women in paid employment, female LFP, child mortality, GDP per capita. No normative variable. Illiteracy is C.2.e/D.2.a, child mortality A.1, GDP C.1.a; ethnicity shares are compositional proxies dosing no norm."
W2194392113,2,S4_FERT_NODESIGN,exhaustive,MIXED_NORM_DIFFUSION,USE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,Simulation of social transmission; A.3.
W3121483375,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,BOTH,SIMULATION,CONTRACEPTION,COMMUNITY,no,"FULL TEXT READ (12,754 words). Prettner and Strulik, Rev Dev Econ 21(3) 2017 - note the journal year is 2017 though OpenAlex records 2016. A THEORY paper: two steady states separated by a separatrix, with a norm against modern contraceptives sustained at the traditional steady state, illustrated numerically. No estimation, so rule 6 gives context. Nonetheless the best theoretical statement of A.6's mechanism found anywhere in the corpus and it belongs in the chapter's section 2."
W4223431367,2,S4_FERT_NODESIGN,exhaustive,MIXED_NORM_DIFFUSION,USE,NONE,SDT,DESCRIPTIVE,FAMILY_PLANNING,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell MIXED_NORM_DIFFUSION."
W3153104329,2,S4_FERT_NODESIGN,exhaustive,MIXED_NORM_SUPPLY,USE,NONE,SDT,DESCRIPTIVE,FAMILY_PLANNING,COMMUNITY,no,Programme effect on fertility; A.5 owns the treatment.
W1974651709,2,S4_FERT_NODESIGN,exhaustive,OFF_HIV_STIGMA,NONE,NONE,SDT,DESCRIPTIVE,ABORTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell OFF_HIV_STIGMA."
W4294343530,2,S4_FERT_NODESIGN,exhaustive,OFF_OTHER,NONE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell OFF_OTHER."
W3126567839,2,S4_FERT_NODESIGN,exhaustive,LINK_NORM_USE,USE,NONE,SDT,OLS_ADJUSTED,ABORTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell LINK_NORM_USE."
W2952927266,2,S4_FERT_NODESIGN,exhaustive,OFF_OTHER,NONE,NONE,SDT,DESCRIPTIVE,ABORTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell OFF_OTHER."
W2607260578,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W1757801490,2,S4_FERT_NODESIGN,exhaustive,OFF_HIV_STIGMA,NONE,NONE,SDT,QUALITATIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell OFF_HIV_STIGMA."
W171539392,2,S4_FERT_NODESIGN,exhaustive,MIXED_NORM_SUPPLY,USE,NONE,SDT,DESCRIPTIVE,FAMILY_PLANNING,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell MIXED_NORM_SUPPLY."
W4403200839,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,OTHER_LOUD,CONTRACEPTION,COMMUNITY,no,"FULL TEXT READ (14,131 words). Yeatman and Sennott, PDR 2024. A conceptual model, so rule 6 gives context - but the most useful non-study in the corpus: it explicitly separates the ACCEPTABILITY of contraception from its ACCESSIBILITY, which is wall 4's A.6-versus-A.5 distinction stated independently in PDR. Cite in PI call 4."
W2747188921,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W1764352491,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,DESCRIPTIVE,ABORTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W2284204841,2,S4_FERT_NODESIGN,exhaustive,MIXED_NORM_SUPPLY,USE,NONE,SDT,DESCRIPTIVE,FAMILY_PLANNING,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell MIXED_NORM_SUPPLY."
W4406107433,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,ABORTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W4393343485,2,S4_FERT_NODESIGN,exhaustive,OFF_OTHER,NONE,NONE,SDT,QUALITATIVE,CONTRACEPTION,COMMUNITY,no,"Literature-roundup column; all five marker families fired, which is itself the signature of a non-study."
W4406967123,2,S4_FERT_NODESIGN,exhaustive,OFF_OTHER,NONE,NONE,SDT,DESCRIPTIVE,ABORTION,COMMUNITY,no,Outcome is opinion.
W2025322481,2,S4_FERT_NODESIGN,exhaustive,OFF_OTHER,NONE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,"Henry 1961; natural-fertility measurement, A.8/A.14 territory."
W2130870556,2,S4_FERT_NODESIGN,exhaustive,OFF_OTHER,NONE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,"General stigma theory, fails rule 1."
W2100053498,2,S4_FERT_NODESIGN,exhaustive,OFF_OTHER,NONE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell OFF_OTHER."
W2299376649,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W2052642508,2,S4_FERT_NODESIGN,exhaustive,MIXED_NORM_DIFFUSION,USE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,Coale's conscious-choice precondition; A.3.
W3012451403,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W73250872,2,S4_FERT_NODESIGN,exhaustive,OFF_OTHER,NONE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,D.2.a.
W2805409943,2,S4_FERT_NODESIGN,exhaustive,MIXED_NORM_SUPPLY,USE,NONE,SDT,QUALITATIVE,FAMILY_PLANNING,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell MIXED_NORM_SUPPLY."
W2979662516,2,S4_FERT_NODESIGN,exhaustive,LINK_NORM_USE,USE,NONE,SDT,OLS_ADJUSTED,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell LINK_NORM_USE."
W2124099101,2,S4_FERT_NODESIGN,exhaustive,MIXED_NORM_SUPPLY,USE,NONE,SDT,QUALITATIVE,FAMILY_PLANNING,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell MIXED_NORM_SUPPLY."
W2049455034,2,S4_FERT_NODESIGN,exhaustive,OFF_OTHER,NONE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell OFF_OTHER."
W1976018943,2,S4_FERT_NODESIGN,exhaustive,LINK_NORM_USE,USE,REPORTED,FDT,OLS_ADJUSTED,CONTRACEPTION,PARTNER,done,"FULL TEXT READ after OCR (11,505 words, 821/page). Wolff, Blanc and Ssekamatte-Ssebuliba, Stud Fam Plann 31(2) 2000, Uganda NRO 1995-96. PARTNER OPPOSITION as the exposure - the thing itself, not a proxy - and the closest match to A.6's registered construct in 2,815 candidates. Quantified: partner opposition accounts for ~20% of unmet need in urban areas, 12% rural, 15% overall, plus a shift in method mix toward traditional methods. Outcome is unmet need and method mix, so ruling 2 makes it link evidence. dose_unit REPORTED: the share-of-unmet-need-attributable figure is convertible toward section 5's unit. THE CHAPTER'S BEST CITATION - the authors state that the question A.6 asks 'would require a prospective study over time to observe the fertility outcomes of disagreement', which they did not do and nobody in this corpus has. SECOND READ CONFIRMED: only DVs are unmet need and contraceptive mix; 'number of children' appears solely as the text of a survey attitude item."
W2101903831,2,S4_FERT_NODESIGN,exhaustive,OFF_HIV_STIGMA,NONE,NONE,SDT,QUALITATIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell OFF_HIV_STIGMA."
W2004297576,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W2254455480,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W2166077313,2,S4_FERT_NODESIGN,exhaustive,MIXED_NORM_DIFFUSION,USE,NONE,SDT,QUALITATIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell MIXED_NORM_DIFFUSION."
W1991791697,2,S4_FERT_NODESIGN,exhaustive,MIXED_NORM_DIFFUSION,USE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell MIXED_NORM_DIFFUSION."
W2113366338,2,S4_FERT_NODESIGN,exhaustive,MIXED_NORM_TECH,REALIZED,NONE,SDT,OLS_ADJUSTED,CONTRACEPTION,COMMUNITY,no,A.2 owns the technology arrival.
W2898668025,2,S4_FERT_NODESIGN,exhaustive,LINK_NORM_USE,USE,NONE,SDT,OLS_ADJUSTED,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell LINK_NORM_USE."
W2020269353,2,S4_FERT_NODESIGN,exhaustive,LINK_NORM_USE,USE,NONE,SDT,OLS_ADJUSTED,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell LINK_NORM_USE."
W2062784512,2,S4_FERT_NODESIGN,exhaustive,OFF_OTHER,NONE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell OFF_OTHER."
W2086018683,2,S4_FERT_NODESIGN,exhaustive,MIXED_NORM_SUPPLY,REALIZED,NONE,FDT,OLS_ADJUSTED,FAMILY_PLANNING,PROVIDER,no,"FULL TEXT READ (12,390 words). Phillips, Hossain and Arends-Kuenning, Stud Fam Plann 27(4) 1996 - MATLAB. THE A.5 GATE, AND IT ANSWERS NO. The one A.5 design that could plausibly have dosed a norm separately - the canonical community-based family-planning quasi-experiment with a demographic outcome - does not. Norm vocabulary appears 9 times in 12,390 words and the only substantive occurrence discusses 'the role of outreach in fostering new ideas, norms, and behaviour', a mechanism narrated and never a dosed variable. The exposure is the programme itself, treatment versus comparison area. PI call 4's route is CLOSED at its strongest record."
W2960013601,2,S4_FERT_NODESIGN,exhaustive,LINK_NORM_USE,USE,NONE,SDT,OLS_ADJUSTED,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell LINK_NORM_USE."
W4220840589,2,S4_FERT_NODESIGN,exhaustive,MIXED_NORM_SUPPLY,USE,NONE,SDT,QUALITATIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell MIXED_NORM_SUPPLY."
W2770424436,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,ABORTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W2132380241,2,S4_FERT_NODESIGN,exhaustive,OFF_OTHER,NONE,NONE,SDT,QUALITATIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell OFF_OTHER."
W2593420130,2,S4_FERT_NODESIGN,exhaustive,CONTEXT_STIGMA_MEASURE,NONE,NONE,SDT,QUALITATIVE,ABORTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell CONTEXT_STIGMA_MEASURE."
W4323926198,2,S4_FERT_NODESIGN,exhaustive,LINK_NORM_USE,USE,NONE,SDT,OLS_ADJUSTED,FAMILY_PLANNING,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell LINK_NORM_USE."
W2052028310,2,S4_FERT_NODESIGN,exhaustive,MIXED_NORM_DIFFUSION,USE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell MIXED_NORM_DIFFUSION."
W1567212772,2,S4_FERT_NODESIGN,exhaustive,MIXED_NORM_SUPPLY,USE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell MIXED_NORM_SUPPLY."
W2022205403,2,S4_FERT_NODESIGN,exhaustive,LINK_NORM_USE,USE,NONE,SDT,OLS_ADJUSTED,CONTRACEPTION,COMMUNITY,no,"Norm change as exposure, contraceptive use as outcome - textbook LINK_NORM_USE."
W2121978793,2,S4_FERT_NODESIGN,exhaustive,MIXED_NORM_SUPPLY,USE,NONE,SDT,DESCRIPTIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell MIXED_NORM_SUPPLY."
W4411622351,2,S4_FERT_NODESIGN,exhaustive,OFF_OTHER,NONE,NONE,SDT,QUALITATIVE,CONTRACEPTION,COMMUNITY,no,"S4 screen, rubric rules 1-7; cell OFF_OTHER."
