stratum,priority,work_id,doi,year,venue,screen_verdict,screen_cell,screen_route_to,outcome_level,evidence_type,desire_for_children_held_fixed,screen_reason,preflagged_issue,ra_verdict,ra_cell,ra_route_to,agree_or_overturn,ra_reason,send_to_fulltext,ra_initials,ra_date,title
C_INSUFFICIENT_INFO,2,W4407422375,10.3389/fpsyg.2024.1441927,2025,Frontiers in Psychology,UNCERTAIN,INSUFFICIENT_INFO,,STATED_INTENTION_OR_ATTITUDE,observational,unclear,Generic future anxiety whose feared object is named as neither ecological nor economic (rule 8).,,,,,,,,,,Future anxiety and the motives for postponing parenthood: generational time perspective and life satisfaction as mediators
C_INSUFFICIENT_INFO,2,W4410305069,10.1186/s41118-025-00246-3,2025,Genus,UNCERTAIN,INSUFFICIENT_INFO,,STATED_INTENTION_OR_ATTITUDE,observational,unclear,Generic societal pessimism with the feared object unnamed as ecological or economic (rule 8).,,,,,,,,,,Societal pessimism and trajectories of fertility expectations among Dutch non-parents
C_INSUFFICIENT_INFO,2,W4410430192,10.1038/s41598-025-01184-y,2025,Scientific Reports,UNCERTAIN,INSUFFICIENT_INFO,,STATED_INTENTION_OR_ATTITUDE,observational,unclear,scale of postponement motives includes generic worry about a child's future with no named ecological object (rule 8),,,,,,,,,,"Multidimensional Scale of Motives for Postponing Parenthood (MSMPP-18): Development, factorial structure and psychometric properties"
C_INSUFFICIENT_INFO,2,W4410464405,10.1007/s10804-025-09530-0,2025,Journal of Adult Development,UNCERTAIN,INSUFFICIENT_INFO,,NA,other,unclear,Reproductive decision-making study with no abstract; operative reasons unknown.,,,,,,,,,,“Shouldn’t I Know If I Want to Have Kids or Not?”: Established Adult Women’s Reproductive Decision Making
C_INSUFFICIENT_INFO,2,W4412918652,10.1016/b978-0-443-33044-5.00022-x,2025,Elsevier eBooks,UNCERTAIN,INSUFFICIENT_INFO,,NA,other,unclear,"No abstract; title names climate and demographic choices but not which choice, mechanism, or direction.",,,,,,,,,,Climate change and demographic choices
C_INSUFFICIENT_INFO,2,W4413855947,10.1007/978-3-031-93138-3_9,2025,Handbooks of sociology and social research,UNCERTAIN,INSUFFICIENT_INFO,,NA,other,unclear,No abstract; broad social-psychology-and-demography title carries no identifiable estimand.,,,,,,,,,,Population and Social Psychology: How Social Psychology Can Shed Light on Demographic Processes
C_INSUFFICIENT_INFO,2,W4414722654,10.1007/978-3-032-03075-7_9,2025,,UNCERTAIN,INSUFFICIENT_INFO,,NA,other,unclear,No abstract; title poses the procreation question but names no feared object or estimand.,,,,,,,,,,Case Study: Should We Have Children?
C_INSUFFICIENT_INFO,2,W7127106305,10.7202/1122963ar,2025,Atlantis Critical Studies in Gender Culture & Social Justice,UNCERTAIN,INSUFFICIENT_INFO,,NA,other,unclear,Focus groups on climate-plus-economic precarity and imagined kinship; unclear whether any reproductive-intention estimand is reported.,,,,,,,,,,Dreaming Beyond a World on Fire
C_INSUFFICIENT_INFO,2,W4392730146,10.1080/14647273.2024.2310639,2024,Human Fertility,UNCERTAIN,INSUFFICIENT_INFO,,STATED_INTENTION_OR_ATTITUDE,observational,unclear,Feared object left generic rather than named as ecological or economic (precision rule 8).,,,,,,,,,,Parenthood intentions of 16–18-year-olds in England: a survey of school students
C_INSUFFICIENT_INFO,2,W4393077765,10.1111/padr.12620,2024,Population and Development Review,UNCERTAIN,INSUFFICIENT_INFO,,REALIZED_FERTILITY,observational,unclear,"Composite future-pessimism across six domains without an identifiable feared object, so precision rule 8 blocks resolution toward D.3.b.",,,,,,,,,,Societal Pessimism and the Transition to Parenthood: A Future Too Bleak to Have Children?
C_INSUFFICIENT_INFO,2,W4404211576,10.1007/s10834-024-10001-z,2024,Journal of Family and Economic Issues,UNCERTAIN,INSUFFICIENT_INFO,,NA,other,unclear,No abstract; title pairs climate crisis with retirement planning and states no fertility estimand.,,,,,,,,,,Retirement Planning and the Climate Crisis: The Millennial Perspective
C_INSUFFICIENT_INFO,2,W4404630161,10.20396/resgate.v32i00.8676118,2024,Resgate Revista Interdisciplinar de Cultura,UNCERTAIN,INSUFFICIENT_INFO,,NA,theory,unclear,Antinatalist future-pessimism whose feared object is never named as ecological (precision rule 8).,,,,,,,,,,A marcha dos espectros não-nascidos
C_INSUFFICIENT_INFO,2,W4404645889,10.1016/j.socscimed.2024.117557,2024,Social Science & Medicine,UNCERTAIN,INSUFFICIENT_INFO,,NA,other,unclear,"No abstract; 'environmental infertility' could be physical or attitudinal, unroutable on the title.",,,,,,,,,,"Beyond the body: Social, structural, and environmental infertility"
C_INSUFFICIENT_INFO,2,W4323262537,10.1016/j.acap.2023.02.015,2023,Academic Pediatrics,UNCERTAIN,INSUFFICIENT_INFO,,NA,other,unclear,No abstract; title names parental climate concern but states no fertility estimand.,,,,,,,,,,Parental Concerns About Climate Change in a Major United States City
C_INSUFFICIENT_INFO,2,W4362506657,10.1007/s11673-023-10234-x,2023,Journal of Bioethical Inquiry,UNCERTAIN,INSUFFICIENT_INFO,,NA,other,unclear,No abstract and an opaque title that does not state any estimand.,,,,,,,,,,What You’re Rejecting When You’re Expecting
C_INSUFFICIENT_INFO,2,W4377967420,10.21203/rs.3.rs-2698675/v1,2023,Research Square,UNCERTAIN,INSUFFICIENT_INFO,,NA,observational,unclear,"No abstract; title's 'future planning' may or may not include reproductive plans, so the cell cannot be fixed.",,,,,,,,,,Eco-anxiety and the influence of climate change on future planning is greater for young US residents with direct exposure to climate impacts
C_INSUFFICIENT_INFO,2,W4385339036,10.1007/978-3-031-36331-3_11,2023,Science across cultures,UNCERTAIN,INSUFFICIENT_INFO,,NA,other,unclear,Title 'Depopulation' with no abstract states no estimand; cannot be routed on the visible record.,,,,,,,,,,Depopulation
C_INSUFFICIENT_INFO,2,W4385952243,10.1007/978-3-030-16960-2_52-1,2023,Handbooks in philosophy,UNCERTAIN,INSUFFICIENT_INFO,,NA,other,unclear,abstract-less climate-ethics title with no procreation estimand stated,,,,,,,,,,Mitigation Duties
C_INSUFFICIENT_INFO,2,W4385969565,10.1080/26410397.2023.2232196,2023,Sexual and Reproductive Health Matters,UNCERTAIN,INSUFFICIENT_INFO,,NA,review,unclear,abstract-less research-agenda piece plausibly covering reproductive intentions under climate threat,,,,,,,,,,Climate change and sexual and reproductive health: what implications for future research?
C_INSUFFICIENT_INFO,2,W4386043659,10.1007/978-3-031-25910-4_87,2023,,UNCERTAIN,INSUFFICIENT_INFO,,NA,other,unclear,"no abstract; title names climate ethics but not procreation, so the eco-ethics cell cannot be confirmed",,,,,,,,,,Climate Ethics
C_INSUFFICIENT_INFO,2,W4388983700,10.1007/978-3-031-07002-0_52,2023,Handbooks in philosophy,UNCERTAIN,INSUFFICIENT_INFO,,NA,theory,unclear,No abstract; two-word climate-ethics title gives no indication of procreative content.,,,,,,,,,,Mitigation Duties
C_INSUFFICIENT_INFO,2,W4389235504,10.1007/s10680-023-09684-1,2023,European Journal of Population / Revue européenne de Démographie,UNCERTAIN,INSUFFICIENT_INFO,,STATED_INTENTION_OR_ATTITUDE,observational,unclear,Future pessimism whose feared object is social rather than ecological or economic (rule 8).,,,,,,,,,,"Social Climate, Uncertainty and Fertility Intentions: from the Great Recession to the Covid-19 Crisis"
C_INSUFFICIENT_INFO,2,W4389575121,10.22515/jurnalalhakim.v5i2.7869,2023,Jurnal Al-Hakim Jurnal Ilmiah Mahasiswa Studi Syariah Hukum dan Filantropi,UNCERTAIN,INSUFFICIENT_INFO,,NA,review,unclear,Lists environmental factors among many reasons for childfree choice without isolating an ecological-fear estimand.,,,,,,,,,,Comparative Study On Childfree Marriage In Some Selected Countries
C_INSUFFICIENT_INFO,2,W4206091086,10.3197/jps.63772236608057,2022,The Journal of Population and Sustainability,UNCERTAIN,INSUFFICIENT_INFO,,NA,observational,unclear,Survey reports 'behavioural intentions' around population growth without saying whether reproductive intentions were measured.,,,,,,,,,,Public Perceptions on Population: U.S. Survey Results
C_INSUFFICIENT_INFO,2,W4206640158,10.1007/978-3-030-88793-3_6,2022,,UNCERTAIN,INSUFFICIENT_INFO,,NA,other,unclear,Abstract-less surrogacy-regulation chapter with Anthropocene framing; eco-procreative content indeterminate.,,,,,,,,,,"Missed Opportunities: Feminist Grounds for Regulating Transnational Surrogacy, in the Anthropocene"
C_INSUFFICIENT_INFO,2,W4284709602,10.1016/j.scitotenv.2022.157166,2022,The Science of The Total Environment,UNCERTAIN,INSUFFICIENT_INFO,,NA,other,unclear,No abstract; population-environment warning whose estimand cannot be identified from the title.,,,,,,,,,,Scientists' warning on population
C_INSUFFICIENT_INFO,2,W4286506807,10.1515/9783839461617,2022,transcript Verlag eBooks,UNCERTAIN,INSUFFICIENT_INFO,,NA,other,unclear,Abstract-less German title on the politics of childbearing; cannot tell whether it carries ecological content.,,,,,,,,,,Die Politik des Kinderkriegens
C_INSUFFICIENT_INFO,2,W4295938561,10.1007/978-3-031-08431-7,2022,,UNCERTAIN,INSUFFICIENT_INFO,,NA,other,unclear,abstract-less eco-anxiety title; topic named but no estimand stated,,,,,,,,,,Eco-Anxiety and Planetary Hope
C_INSUFFICIENT_INFO,2,W4306677517,10.1002/ijgo.14514,2022,International Journal of Gynecology & Obstetrics,UNCERTAIN,INSUFFICIENT_INFO,,NA,review,unclear,Narrative review whose stated outcome is women's mental health; names eco-anxiety as a family-planning factor but reports no fertility estimand to route on.,,,,,,,,,,Women's mental health and climate change Part II: Socioeconomic stresses of climate change and eco‐anxiety for women and their children
C_INSUFFICIENT_INFO,2,W4309347757,10.1007/978-3-031-16477-4_1,2022,World-systems evolution and global futures,UNCERTAIN,INSUFFICIENT_INFO,,NA,other,unclear,No abstract and a title too generic to establish any estimand.,,,,,,,,,,The Root Causes of Our Environmental Crises We Ignore
C_INSUFFICIENT_INFO,2,W4312846408,10.1007/978-981-19-0691-6_8,2022,,UNCERTAIN,INSUFFICIENT_INFO,,NA,other,unclear,Title alone gives no determinant or outcome; abstract missing.,,,,,,,,,,Speculative Reproduction
C_INSUFFICIENT_INFO,2,W3134744133,10.1016/j.ecolecon.2021.107011,2021,Ecological Economics,UNCERTAIN,INSUFFICIENT_INFO,,NA,structural,unclear,No abstract; title does not establish whether ecological concern enters fertility or only population feeds emissions.,,,,,,,,,,Population growth and climate change: A dynamic integrated climate-economy-demography model
C_INSUFFICIENT_INFO,2,W3163732105,10.1016/b978-0-12-822373-4.00008-2,2021,Elsevier eBooks,UNCERTAIN,INSUFFICIENT_INFO,,NA,other,unclear,Abstract-less and the title does not state whether climate acts on population or population on climate.,,,,,,,,,,Climate change and world population
C_INSUFFICIENT_INFO,2,W3199228068,10.1007/978-3-658-35628-6,2021,Essentials,UNCERTAIN,INSUFFICIENT_INFO,,NA,other,unclear,No abstract; the title names attitudes toward ART but no ecological-fear estimand.,,,,,,,,,,"Attitudes, Norms, and Beliefs Related to Assisted Reproduction Technologies among Childless Women in a Pronatalist Society"
C_INSUFFICIENT_INFO,2,W4200571602,10.1038/s41574-021-00598-8,2021,Nature Reviews Endocrinology,UNCERTAIN,INSUFFICIENT_INFO,,NA,other,unclear,"No abstract; 'environmental factors' could be physical/toxicological or attitudinal, so routing is undetermined.",,,,,,,,,,Environmental factors in declining human fertility
C_INSUFFICIENT_INFO,2,W3012461273,10.1016/j.jpubeco.2020.104161,2020,Journal of Public Economics,UNCERTAIN,INSUFFICIENT_INFO,,NA,other,unclear,no abstract and the title states no fertility estimand,,,,,,,,,,Temperature and temperament: Evidence from Twitter
C_INSUFFICIENT_INFO,2,W3048623767,10.1007/978-3-030-48519-1_3,2020,The Springer series on demographic methods and population analysis,UNCERTAIN,INSUFFICIENT_INFO,,NA,theory,unclear,Future-oriented uncertainty framework whose feared object is never named as ecological or economic (rule 8).,,,,,,,,,,Uncertainty and Narratives of the Future: A Theoretical Framework for Contemporary Fertility
