openalex,cell,stratum,year,title,venue,cited_by,is_anchor,note
W2021835352,LINK1_LABOUR,arm_only_easterlin,1982,Intergenerational Differences in Income: An Analysis of Japan,Population and Development Review,0,,"intergenerational income differences, Japan. Outcome is income"
W2015959347,LINK1_LABOUR,arm_only_easterlin,1980,The Labor Market and Illegal Immigration: The Outlook for the 1980S,Industrial and Labor Relations Review,9,,labour-supply forecast built on recent low fertility -- cohort size -> labour market
W1871988388,LINK1_LABOUR,arm_only_easterlin,2001,Why Did Black Relative Earnings Surge in the Early 1990s?,Journal of Economic Issues,0,,black relative earnings surge; outcome is earnings
W2181558514,MIXED_COHORT_MARRIAGE,arm_only_marriage-boundary,2023,Cohort Size and the Marriage Market: Explaining Nearly a Century of Changes in US Marriage Rates,Journal of Labor Economics,19,yes,Bronson-Mazzocco: cohort size -> US marriage rates
W7117339285,MIXED_COHORT_MARRIAGE,arm_only_marriage-boundary,2024,Cohort Size and the Marriage Market: Explaining Nearly a Century of Changes in US Marriage Rates.,PubMed,0,,twin record of the same study
W2794044963,MIXED_COHORT_MARRIAGE,arm_only_marriage-boundary,2018,Cohort Size and the Marriage Market: What Explains the Negative Relationship?,,2,,explains the negative cohort-size/marriage relationship
W2161298896,MIXED_COHORT_MARRIAGE,arm_only_marriage-boundary,1998,WOMEN'S JOBS AND MARRIAGE— BABY-BOOM VERSUS BABY-BUST*,RePEc: Research Papers in Economics,8,,"cohort size via marriage market -> women's jobs, baby-boom vs baby-bust"
W2754794359,MIXED_COHORT_MARRIAGE,arm_only_marriage-boundary,1998,Women’s Jobs and Marriage: Baby-Boom versus Baby-Bust (Travail des Femmes et Mariage: du baby-boom au baby-bust),Munich Personal RePEc Archive (Ludwig Maximilian University of Munich),1,,French-language twin of the same study
W2035271869,MIXED_COHORT_MARRIAGE,arm_only_marriage-boundary,1995,Do not sell marriage short: Reply to strober,Feminist Economics,1,,reply to Strober; cohort size -> marriage market conditions -> FLFP
W2205405475,MIXED_COHORT_MARRIAGE,arm_only_marriage-boundary,2019,The Demographic Transition and the Position of Women: a Marriage Market Perspective,The Economic Journal,8,,"secular cohort-size trends -> marriage market imbalance, position of women"
W1514847978,MIXED_COHORT_MARRIAGE,arm_only_marriage-boundary,1996,MARRIAGE AND DIVORCE IN THE U.S.: TESTING FOR COHORT SIZE EFFECTS,"AgEcon Search (University of Minnesota, USA)",2,,tests cohort-size effects on US marriage and divorce
W2186484750,MIXED_COHORT_MARRIAGE,arm_only_marriage-boundary,2006,Who suffered from the superstition in the marriage market? The case of Hinoeuma in Japan,,4,,"Hinoeuma 1966: a 25% single-year birth drop, marriage-market consequences"
W4403418534,MIXED_COHORT_MARRIAGE,arm_only_marriage-boundary,2024,Did the Baby Boom Cause the Us Divorce Boom?,SSRN Electronic Journal,0,,did the baby boom cause the US divorce boom
W3007964634,MIXED_COHORT_MARRIAGE,arm_only_marriage-boundary,2020,Why Young Adults Retreat from Marriage? An Easterlin Relative Income Approach,RePEc: Research Papers in Economics,0,,Easterlin relative income -> marriage rates for young adults
W2009723125,OFF_ABSOLUTE_C1a,arm_only_easterlin,1994,The effect of income on fertility among Canadian women,Journal of Family and Economic Issues,3,,"income and fertility, Canadian women; absolute income"
W1841152390,OFF_ABSOLUTE_C1a,arm_only_easterlin,2014,Essays on Income and Fertility: Sweden 1968-2009,Lund University Publications (Lund University),2,,"income and fertility, Sweden 1968-2009; absolute income"
W2323612063,OFF_ABSOLUTE_C1a,arm_only_easterlin,1965,The Relation of Income and Fertility,Journal of Marriage and the Family,18,,"the relation of income and fertility, 1960 census; absolute income"
W2315743526,OFF_CLINICAL,arm_only_rival,1994,The First Documentation of Reproduction in a Genetically Obese Female fa/cp Rat,ILAR Journal,3,,reproduction in an obese rat. Matched the rival arm on the AUTHOR name Butz
W4382934337,OFF_CLINICAL,arm_only_rival,2023,KEEPING YOUR OPTIONS OPEN: USING FINANCIAL DERIVATIVES TO MODEL THE VALUE OF UNDERGOING FERTILITY PRESERVATION,Fertility and Sterility,0,,financial derivatives to value fertility preservation
W2993009882,OFF_MARRIAGE_C7a,arm_only_marriage-boundary,2001,Flexibility in the marriage market,Population,44,,"marriage-market flexibility against the squeeze hypothesis; age distribution, not cohort size"
W1987929274,OFF_MARRIAGE_C7a,arm_only_marriage-boundary,2000,La flexibilite du marche matrimonial,Population,9,,French twin of the same
W1530350246,OFF_MARRIAGE_C7a,arm_only_marriage-boundary,1989,The two-sex problem and the marriage squeeze in an equilibrium model of marriage markets.,eScholarship (California Digital Library),16,,two-sex equilibrium model of marriage markets; method
W2140025249,OFF_MARRIAGE_C7a,arm_only_marriage-boundary,2015,"Potential (Mis)match? Marriage Markets Amidst Sociodemographic Change in India, 2005–2050",Demography,28,,India marriage pairing propensities 2005-2050
W3189431473,OFF_MARRIAGE_C7a,arm_only_marriage-boundary,1984,"Age At Marriage and Earnings in Peninsular Malaysia (Nuptiality, Demography).",Deep Blue (University of Michigan),0,,"age at marriage and earnings, Malaysia"
W2316069517,OFF_MARRIAGE_C7a,arm_only_easterlin,1990,Determinants of Trends toward Marriage Postponement,Kazoku syakaigaku kenkyu,0,,determinants of marriage postponement
W7135615826,OFF_MARRIAGE_C7a,arm_only_easterlin,2010,The Economy of Marriage in the Czech Republic,Digital Repository (National Repository of Grey Literature),0,,the economy of marriage in the Czech Republic
W2964951616,OFF_OTHER,arm_only_marriage-boundary,2019,Marriage-induced homeownership as a driver of housing booms: evidence from Hong Kong,Housing Studies,31,,marriage-induced homeownership and housing booms -- C.2.c
W2032280640,OFF_OTHER,arm_only_marriage-boundary,2005,"Women's Labor Supply, Marriage, and Welfare Dependency",Labour,15,,"women's labour supply, marriage and welfare dependency"
W2765888340,OFF_OTHER,arm_only_marriage-boundary,2014,"Essays in Labor Economics on Marriage, Education, and Labor Supply",eScholarship (California Digital Library),0,,"labour-economics dissertation, no C.6.a exposure"
W4394863335,OFF_OTHER,arm_only_marriage-boundary,2024,Long-Term Effects of School Spending: Evidence from Exiting Cohort Size Variation,SSRN Electronic Journal,0,,school spending identified off exiting cohort size; what varies is SPENDING
W7112976347,OFF_OTHER,arm_only_marriage-boundary,,Long-run effects of school spending. Evidence from exiting cohort size variation,RePEc: Research Papers in Economics,0,,twin of the school-spending study
W2199931200,OFF_OTHER,arm_only_rival,1986,Chapter 4 Home production — A survey,Handbook of labour economics,100,,home-production survey chapter
W1978826291,OFF_OTHER,arm_only_rival,1984,"Women's Fertility, Market Work and Marital Status: A Test of the New Household Economics with International Data",Economica,30,,new household economics test -- C.2.e
W3124087659,OFF_OTHER,arm_only_rival,1973,The Effect of Children on the Housewife's Value of Time,RePEc: Research Papers in Economics,14,,children and the housewife's value of time -- C.2.e
W4388062954,OFF_OTHER,arm_only_rival,2005,Labor Supply and Fertility in Europe and the US,,9,,"labour supply and fertility, Europe and US -- C.2.e"
W2613943437,OFF_OTHER,arm_only_rival,2006,Fertility and the Influence of Women s Industries,RePEc: Research Papers in Economics,0,,women's industries and fertility; cites Butz-Ward in framing only
W2739021212,OFF_OTHER,arm_only_rival,1996,"Intrafamiliale Zeitallokation, Haushaltsproduktion und Frauenerwerbstätigkeit / Intrafamily Allocation of Time, Home Production, and Female Labor Force Participation: Ein mikroökonometrisches Modell zur empirischen Bestimmung des wirtschaftlichen Werts der Hausarbeit",Jahrbücher für Nationalökonomie und Statistik,3,,"intrafamily time allocation, Germany"
W1513053428,OFF_OTHER,arm_only_rival,2010,ESSAYS ON THE MACROECONOMICS OF LABOR MARKETS,ScholarlyCommons (University of Pennsylvania),2,,macroeconomics of labour markets dissertation
W7125366983,OFF_OTHER,arm_only_rival,2026,Do Larger Earned Income Tax Credit and Supplemental Nutrition Assistance Program Benefits Create Complementary Effects on Child Development?,Population Research and Policy Review,2,,EITC and SNAP benefits -- C.2.d
W2561561131,OFF_OTHER,arm_only_rival,1986,The big seep,,1,,not an academic study
W2786470413,OFF_OTHER,arm_only_rival,2017,The demographic future of Asia,,1,,"demographic future of Asia, projection chapter"
W1503857409,OFF_OTHER,arm_only_rival,2000,Toward the control of Malaria in developing countries : a case study of malaria care seeking behaviour in the Amasaman and Hohoe communities of Ghana,The University of Queensland,0,,malaria care-seeking behaviour
W1558824553,OFF_OTHER,arm_only_rival,2009,General Equilibrium for Housing Liquidity in a Competitive Environment,RePEc: Research Papers in Economics,0,,housing liquidity model
W2144485572,OFF_OTHER,arm_only_rival,2006,Green Revolution Counterfactuals,RePEc: Research Papers in Economics,0,,Green Revolution counterfactuals
W2240281755,OFF_OTHER,arm_only_rival,2015,On Seller Heterogeneity in the Housing Market,SSRN Electronic Journal,0,,seller heterogeneity in the housing market
W2960847620,OFF_OTHER,arm_only_rival,2019,Federal Farm Programs,,0,,federal farm programs
W4229790464,OFF_OTHER,arm_only_rival,1943,Book Reviews,Journal of the American Statistical Association,0,,1943 book-review section
W2171386755,OFF_OTHER,arm_only_rival,2008,Can policies enhance fertility in Europe?,Vienna Yearbook of Population Research,79,,front matter of the 'Can policies enhance fertility in Europe?' volume
W2110289833,OFF_OTHER,arm_only_rival,2008,What can fertility indicators tell us about pronatalist policy options?,Vienna Yearbook of Population Research,52,,"same volume, chapter carrying the volume table of contents as its abstract"
W1523180668,OFF_OTHER,arm_only_rival,2008,Family policies in Europe: available databases and initial comparisons,Vienna Yearbook of Population Research,43,,same volume
W2143308718,OFF_OTHER,arm_only_rival,2008,A review of policies and practices related to the ‘highest-low’ fertility of Sweden,Vienna Yearbook of Population Research,40,,same volume
W1502372846,OFF_OTHER,arm_only_rival,2008,French family policy: long tradition and diversified measures,Vienna Yearbook of Population Research,33,,same volume
W2104041511,OFF_OTHER,arm_only_rival,2008,The impact of the bonus at birth on reproductive behaviour in a lowest-low fertility context: Friuli-Venezia Giulia (Italy) from 1989 2005,Vienna Yearbook of Population Research,32,,same volume
W2147266416,OFF_OTHER,arm_only_rival,2008,Fertility trends and differentials in the Nordic countries – Footprints of welfare policies and challenges on the road ahead,Vienna Yearbook of Population Research,20,,same volume
W2107971199,OFF_OTHER,arm_only_rival,2008,Some theoretical and methodological comments on the impact of policies on fertility,Vienna Yearbook of Population Research,19,,same volume
W2109659873,OFF_OTHER,arm_only_rival,2008,“Can policies enhance fertility in Europe?” and questions beyond,Vienna Yearbook of Population Research,9,,same volume
W2124020604,OFF_OTHER,arm_only_rival,2008,What should be the goal of population policies? Focus on ‘Balanced Human Capital Development’,Vienna Yearbook of Population Research,4,,same volume
W4253961687,OFF_OTHER,arm_only_rival,2008,Preliminaries,Vienna Yearbook of Population Research,3,,same volume
W2124582627,OFF_OTHER,arm_only_rival,2008,"First, do no harm",Vienna Yearbook of Population Research,2,,same volume
W4251476434,OFF_OTHER,arm_only_rival,2008,Preface,Vienna Yearbook of Population Research,1,,same volume
W4256406984,OFF_OTHER,arm_only_rival,2008,Authors for this volume,Vienna Yearbook of Population Research,0,,same volume
W2152003291,OFF_OTHER,arm_only_easterlin,2014,An Empirical Investigation of Consumption Function under Relative Income Hypothesis: Evidence from Farm Households in Northern Pakistan,International Journal of Economic Sciences,16,,"Duesenberry relative-income CONSUMPTION function, Peshawar farm households"
W2558134330,OFF_OTHER,arm_only_easterlin,2015,"Income-consumption relationship under relative income hypothesis: empirical evidence from Peshawar, Pakistan",International Journal of Economic Policy in Emerging Economies,2,,"same study, income-consumption under the relative income hypothesis"
W4409108995,OFF_OTHER,arm_only_easterlin,2025,An Empirical Study into the Relation of Income and Consumption Using Cross-Sectional Data,,4,,"income and consumption, cross-sectional"
W3081003781,OFF_OTHER,arm_only_easterlin,1979,AN ECONOMETRIC INVESTIGATION OF THE CONSUMPTION THEORY IN A DEVELOPING COUNTRY,Ife Journal of Agriculture,0,,consumption theory in a developing country
W2955934031,OFF_OTHER,arm_only_easterlin,2019,"Growing into Relative Income Poverty: Urban China, 1988–2013",Social Indicators Research,45,,"'relative income poverty' -- a poverty measurement standard, urban China"
W3124513380,OFF_OTHER,arm_only_easterlin,2019,Growing into Relative Income Poverty: Urban China 1988 to 2013,SSRN Electronic Journal,1,,twin of the relative income poverty paper
W4288344217,OFF_OTHER,arm_only_easterlin,2019,Growing into Relative Income Poverty: Urban China 1988 to 2013,RePEc: Research Papers in Economics,0,,twin of the relative income poverty paper
W2093862457,OFF_OTHER,arm_only_easterlin,2006,The estimates and characteristics of poverty in Kathmandu: What do three measurement standards suggest?,The Social Science Journal,15,,poverty measurement standards in Kathmandu
W2026112098,OFF_OTHER,arm_only_easterlin,2004,Testing for changing shapes of income distribution: Italian evidence in the 1990s from kernel density estimates,Empirical Economics,27,,"shapes of the income distribution, Italy"
W2546377411,OFF_OTHER,arm_only_easterlin,2016,INEQUALITY IN TURKEY BY INCOME CATEGORIES,Journal of Life Economics,2,,"income inequality by category, Turkey"
W1863503955,OFF_OTHER,arm_only_easterlin,2008,Consistent Poverty and Economic Vulnerability,Social indicators research series,44,,consistent poverty and economic vulnerability
W1649111448,OFF_OTHER,arm_only_easterlin,2015,Family economic vulnerability & the Great Recession: an analysis of the first two waves of the Growing Up in Ireland study,Longitudinal and Life Course Studies,20,,"family economic vulnerability and the Great Recession, Ireland"
W4383744320,OFF_OTHER,arm_only_easterlin,2005,That’s the way the money goes: expenditure patterns as real incomes rise for the poorest families with children,Policy Press eBooks,2,,expenditure patterns as real incomes rise
W4312452155,OFF_OTHER,arm_only_easterlin,2005,That’s the way the money goes: expenditure patterns as real incomes rise for the poorest families with children,,0,,twin of the expenditure-patterns chapter
W4383860612,OFF_OTHER,arm_only_easterlin,2003,Eradicating child poverty in Britain: welfare reform and children since 1997,Policy Press eBooks,0,,eradicating child poverty in Britain
W1985347648,OFF_OTHER,arm_only_easterlin,1986,The distributional impact of economic growth and decline in Egypt,Middle Eastern Studies,6,,distributional impact of growth and decline in Egypt
W2154488068,OFF_OTHER,arm_only_easterlin,2003,Family related transfers and children's economic well-being in Europe,,0,,family-related transfers and children's well-being -- C.2.d
W2626617956,OFF_OTHER,arm_only_easterlin,2017,Child policy changes and estimation of income distribution effects,RePEc: Research Papers in Economics,1,,"child benefit policy and income distribution, Romania -- C.2.d"
W1513530969,OFF_OTHER,arm_only_easterlin,2005,Income Taxation and Its Family Components in France and Germany: A Comparison of Distributional Effects,RePEc: Research Papers in Economics,4,,"family components of income taxation, France and Germany -- C.2.d"
W2066140641,OFF_OTHER,arm_only_easterlin,2013,"Male Earnings Inequality, Women's Earnings, and Family Income Inequality in Australia, 1982-2007",Journal of Economic Issues,10,,"male earnings inequality and family income inequality, Australia"
W3027681152,OFF_OTHER,arm_only_easterlin,2020,Cultural Differences and Measurement of Material Deprivation: EU-SILC questionnaire revision in Turkey,RePEc: Research Papers in Economics,0,,"material deprivation measurement, Turkey"
W4246462260,OFF_OTHER,arm_only_easterlin,2001,Social determinants of human reproduction,Human Reproduction,159,,"social determinants of human reproduction, overview"
W1998823135,OFF_OTHER,arm_only_easterlin,2010,"Trends, characteristics, and outcomes of adolescent pregnancy in eastern Turkey",International Journal of Gynecology & Obstetrics,53,,adolescent pregnancy in eastern Turkey
W2044696607,OFF_OTHER,arm_only_easterlin,2009,The impact of maternal negative affectivity on dietary patterns of 18‐month‐old children in the Norwegian Mother and Child Cohort Study,Maternal and Child Nutrition,49,,maternal affectivity and toddler diet
W2422682577,OFF_OTHER,arm_only_easterlin,2016,"Cause and Consequence of Cross Border Illegal Migration from South Wollo, Ethiopia",Arts and Social Sciences Journal,12,,"cross-border illegal migration, Ethiopia"
W2404932663,OFF_OTHER,arm_only_easterlin,1989,Income and assets of Social Security beneficiaries by type of benefit.,PubMed,9,,income and assets of Social Security beneficiaries
W1577617340,OFF_OTHER,arm_only_easterlin,2008,"Individual Preferences, Choices, and Risk Perceptions - Survey Based Evidence",Gothenburg University Publications Electronic Archive (Gothenburg University),6,,"preferences, choices and risk perceptions, survey thesis"
W3112598484,OFF_OTHER,arm_only_easterlin,2020,Division of housework within couples in Spain: consequences of educational differences and women’s gender-egalitarian beliefs,Papers Revista de Sociologia,6,,division of housework in Spain
W2937046078,OFF_OTHER,arm_only_easterlin,2007,An Empirical Analysis of the Determinants of the Current Account In Ethiopia (1961/62 - 1999/00),National Academic Digital Repository of Ethiopia,1,,"current account determinants, Ethiopia"
W4403055440,OFF_OTHER,arm_only_easterlin,2024,Participation in formal adult education and family life—a gendered story,European Sociological Review,1,,adult education and family life
W112057448,OFF_OTHER,arm_only_easterlin,2013,Livelihood analysis –tools,,0,,livelihood analysis tools
W1493457053,OFF_OTHER,arm_only_easterlin,2012,Intra-household allocation of time and money,Oxford University Research Archive (ORA) (University of Oxford),0,,intra-household allocation of time and money
W2275072183,OFF_OTHER,arm_only_easterlin,2012,Intra-household allocation of time and money,OpenGrey (Institut de l'Information Scientifique et Technique),0,,twin of the intra-household thesis
W1592261077,OFF_OTHER,arm_only_easterlin,2004,Sex Differences in Labor Markets,,0,,"sex differences in labour markets, volume"
W2020677369,OFF_OTHER,arm_only_easterlin,1990,"Land, cities and law",Cities,0,,"land, cities and law"
W2132970714,OFF_OTHER,arm_only_easterlin,2006,Gender Differences in Self-Employment in Finnish Regions,RePEc: Research Papers in Economics,0,,"gender differences in self-employment, Finland"
W2318395666,OFF_OTHER,arm_only_easterlin,2015,Family Income and Adolescent Blood Pressure in a Chinese Birth Cohort: ‘Children of 1997'.,International Journal of Epidemiology,0,,family income and adolescent blood pressure
W2596179450,OFF_OTHER,arm_only_easterlin,2004,Empirical essays in health and development economics,Rice Digital Scholarship Archive (Rice University),0,,health and development economics essays
W2810278383,OFF_OTHER,arm_only_easterlin,2007,Indkomst og dødelighed i en dansk befolkningsstikprøve,RePEc: Research Papers in Economics,0,,"income and mortality, Denmark"
W2760847721,OFF_OTHER,arm_only_easterlin,1993,"Mobility, human capital acquisition and gender wage growth differences in the Australian youth labour market",ANU Open Research (Australian National University),2,,"mobility, human capital and gender wage growth"
W2130539759,OFF_OTHER,arm_only_easterlin,1997,Un sistema di trasferimenti ideale,Rivista italiana degli economisti,1,,"pension transfer systems, Italy"
W4391880423,OFF_OTHER,arm_only_easterlin,2024,"Population aging, health care, and the macroeconomy: An introduction",International Studies of Economics,0,,"population ageing, health care and the macroeconomy"
W4409660887,OFF_OTHER,arm_only_easterlin,2025,Woodfuel Producers’ Livelihood Strategies and Interconnectivity: Lessons from Dryland areas of Ethiopia,Research Square,0,,woodfuel producers' livelihoods
W7146166903,OFF_OTHER,arm_only_easterlin,2011,都道府県別に見た世帯所得の分布と平均寿命の変化 : 地域の所得格差は健康を損なうか,Institutional Repositories DataBase (IRDB),0,,"income distribution and life expectancy, Japan"
W2104618641,OFF_OTHER,arm_only_easterlin,2007,Relationship Breakdown and the Economic Welfare of Australian Mothers and their Children,RePEc: Research Papers in Economics,14,,"divorce and mothers' lifetime incomes, Australia"
W2405640370,OFF_OTHER,arm_only_easterlin,2016,"Competitive Human Markets, Interfamily Transfers, and",,0,,competitive human markets and interfamily transfers -- C.3.f
W2295256059,OFF_OTHER,arm_only_easterlin,2011,Who Adopts: An Economists View,Journal of Applied Business Research (JABR),0,,an economist's view of adoption
W3131234632,OFF_OTHER,arm_only_easterlin,2021,Chapter IV Do Commuting Women Have Fewer Children,RePEc: Research Papers in Economics,0,,commuting and fertility
W4405458423,OFF_OTHER,arm_only_easterlin,2024,Is There a Central European Fertility Paradox?,Európai Tükör,1,,the Central European fertility paradox
W2182900951,OFF_OTHER,arm_only_easterlin,2013,Gender Empowerment in 19th Century Sweden: Women's Economic Empowerment and the Intergenerational Transmission of Human Capital,,0,,"women's economic empowerment, 19th-century Sweden -- D.2.a"
W2161438007,OFF_SEXRATIO_A10,arm_only_marriage-boundary,2011,Sex Selection and Gender Balance,American Economic Journal Microeconomics,59,,sex selection and equilibrium sex ratio
W2079414367,OFF_SEXRATIO_A10,arm_only_marriage-boundary,2014,How do sex ratios in China influence marriage decisions and intra-household resource allocation?,Review of Economics of the Household,54,,China sex ratios -> marriage and intra-household allocation
W2059120046,OFF_SEXRATIO_A10,arm_only_marriage-boundary,2006,Female deficit and the marriage market in Korea,Demographic Research,8,,female deficit from selective abortion -> Korean marriage market
W2329524034,OFF_UNCERTAINTY_C5a,arm_only_rival,2016,The Effects of Unemployment on Fertility: Evidence from England,The B E Journal of Economic Analysis & Policy,16,,"local unemployment -> fertility, England. Aggregate shock, not cohort-specific"
W2088709176,RELATIVE_INCOME_FERTILITY,anchor_only,1962,The American Baby Boom in Historical Perspective,RePEc: Research Papers in Economics,197,yes,"Easterlin 1962 AER, the original relative-income treatment of the baby boom"
W2122579310,RELATIVE_INCOME_FERTILITY,arm_only_easterlin,1985,"Relative Income, Race, and Fertility",Population Studies,59,yes,relative income of white husbands -> completed fertility
W2150140465,RELATIVE_INCOME_FERTILITY,arm_only_easterlin,1981,"Earnings, Relative Income, and Family Formation",Demography,50,yes,"Wisconsin 1957 cohort, earnings vs relative income -> first marriage"
W2186396602,RELATIVE_INCOME_FERTILITY,arm_only_easterlin,1980,Earnings relative income and family formation; part 1: marriage.,,3,,"twin record, part 1 marriage"
W2079240151,RELATIVE_INCOME_FERTILITY,arm_only_easterlin,1983,An analysis of variations in U. S. fertility and female labor force participation trends,Demography,38,,"male relative income -> US fertility and FLFP, 1947-77 time series"
W2037533458,RELATIVE_INCOME_FERTILITY,arm_only_easterlin,1993,"Time cost, relative income and fertility in Canada",Journal of Population Economics,12,,"time cost and relative income -> fertility, Canada"
W2152580559,RELATIVE_INCOME_FERTILITY,arm_only_easterlin,1977,Relative income and fertility,Demography,12,yes,actual income relative to the expected income of one's socioeconomic group
W1974512109,RELATIVE_INCOME_FERTILITY,arm_only_easterlin,1976,Cross-Sectional Areal Analyses of Factors Affecting Marital Fertility: Actual versus Relative Income,Journal of Marriage and the Family,13,,"actual versus relative income on marital fertility, areal analysis"
W2181778518,RELATIVE_INCOME_FERTILITY,arm_only_easterlin,1975,Relative Income and Fertility: The Analysis of Individuals' Fertility in a Biracial Sample,Journal of Marriage and the Family,7,,"relative income -> individual fertility, biracial sample"
W1874532313,RELATIVE_INCOME_FERTILITY,arm_only_easterlin,1982,"Fertility, Labor Force Participation and the Relative Income Hypothesis:",American Journal of Economics and Sociology,6,,relative income hypothesis tested on Canadian fertility and LFP
W2000653545,RELATIVE_INCOME_FERTILITY,arm_only_easterlin,1975,The Effect of Relative Economic Status on Fertility,Journal of Marriage and the Family,3,,"relative economic status -> fertility, Seattle survey"
W2242491800,RELATIVE_INCOME_FERTILITY,arm_only_easterlin,1998,[Fluctuations in relative income and the baby boom in the United States].,PubMed,1,,relative income fluctuations and the US baby boom
W2376041923,RELATIVE_INCOME_FERTILITY,arm_only_easterlin,2010,"Income,Relative Status and Childbearing Willing of Chinese Women",Nanfang renkou,1,,"income and relative status -> childbearing willingness, China. STATED outcome"
W1827173338,RELATIVE_INCOME_FERTILITY,arm_only_easterlin,1982,Relative and potential income and fertility,Canadian Studies in Population,0,,husband's relative and family potential income vs current income -> fertility
W2260582785,RELATIVE_INCOME_FERTILITY,arm_only_easterlin,2011,The Effect of Relative Income on Fertility (in Japanese),RePEc: Research Papers in Economics,0,,relative income framework applied to Japanese fertility
W628360424,RELATIVE_INCOME_FERTILITY,arm_only_easterlin,1984,"Women's economic contribution, relative income and fertility decision-making in Malaysia",UMI Dissertation Information Service eBooks,0,,"women's economic contribution and relative income -> fertility decisions, Malaysia"
W1564268483,RIVAL_TEST,arm_only_rival,1977,The Emergence of Countercyclical U.S. Fertility,American Economic Review,438,yes,"Butz and Ward, the rival model itself"
W1574851409,RIVAL_TEST,arm_only_rival,1995,The Butz-Ward Fertility Model in the Light of More Recent Data,The Journal of Human Resources,67,yes,Macunovich: Butz-Ward updated on later data
W2083744276,RIVAL_TEST,arm_only_rival,1983,The emergence of countercyclical US fertility: A reassessment of the evidence,Journal of Macroeconomics,27,,reassessment of the countercyclical-fertility evidence
W265593301,RIVAL_TEST,arm_only_rival,1986,An economic analysis of recent fertility in Japan: an application of the Butz-Ward model.,PubMed,19,,Butz-Ward model applied to Japan 1963-84
W2734359938,RIVAL_TEST,arm_only_rival,1991,Countercyclical Fertility in Canada: Some Empirical Results,Canadian Studies in Population,12,,"Butz-Ward model, Canada 1948-84"
W1995291423,RIVAL_TEST,arm_only_rival,1989,"An economic analysis of fertility, market participation and marriage behaviour in recent Japan",Applied Economics,11,,"Butz-Ward extended to simultaneous fertility/LFP/marriage, Japan"
W1578287828,RIVAL_TEST,arm_only_rival,1990,AN EVALUATION OF THE BUTZ-WARD HYPOTHESIS OF CONTERCYCLICAL FERTILITY,RePEc: Research Papers in Economics,7,yes,evaluation of the Butz-Ward hypothesis
W1586476858,RIVAL_TEST,arm_only_rival,1990,An Evaluation Of The Butz-Ward Hypothesis On Countercyclical Fertility: Technical Documentation,RePEc: Research Papers in Economics,2,,technical documentation companion to the Butz-Ward evaluation
W2950726802,RIVAL_TEST,arm_only_rival,2019,Structural Changes in the Patterns of Japanese Fertility,RePEc: Research Papers in Economics,3,,Butz-Ward on Japanese prefecture panel 1965-2015
W2252586419,RIVAL_TEST,arm_only_rival,2008,Intended Fertility and Birth Behavior (in Japanese),RePEc: Research Papers in Economics,0,,"Butz-Ward applied to birth intentions, Japan"
W2280027806,RIVAL_TEST,arm_only_rival,1991,[[The tempo and quantum components in trends in period fertility measures in present-day Japan: a Butz-Ward-type model and its application]].,PubMed,0,,"Butz-Ward-type model, tempo/quantum decomposition, Japan 1968-86"
W2036171136,RIVAL_TEST,arm_only_rival,1996,"Is the Preference for Children so Low, or is the Price of Time so High? A simultaneous model of fertility and participation in Italy with cohort effects",Labour,28,,"price-of-time vs preference model of fertility and participation, Italy, cohort dummies"
