band,access_class,doi,work_id,year,venue,detail,title
stated_intention,oa_but_blocked,10.1332/204674321x16621119776374,W4303684191,2022,Families Relationships and Societies,"not_pdf_html_paywall,empty_or_tiny",Unsettling maternal futures in climate crisis: towards cohabitability?
stated_intention,oa_but_blocked,10.35784/pe.2021.1.17,W3132348529,2021,Problemy Ekorozwoju,not_pdf_html_paywall,The Effect of Air Pollution on Fertility Intentions
stated_intention,closed,10.1007/s12144-025-08750-7,W7118895554,2026,Current Psychology,closed,Do environmental concerns play an important role in the desire for children?
stated_intention,closed,10.1007/978-3-032-30665-4_52,W7169146082,2026,,closed,Environmental Uncertainty and Childbearing Intentions: Insights from Italy
stated_intention,closed,10.1016/j.eiar.2025.108114,W4413013449,2025,Environmental Impact Assessment Review,closed,Breathing and breeding: How air pollution shapes fertility intentions in China
stated_intention,closed,10.1111/padr.70019,W4413343342,2025,Population and Development Review,closed,Dimensions of Environmental Attitudes and General Fertility Ideals
stated_intention,closed,10.1177/23294965241300718,W4408865801,2025,Social Currents,closed,In- <i>Conceivable Futures</i> : Climate Change and Reproductive Decision Making Among Childfree North Americans
stated_intention,closed,10.1080/02732173.2025.2507363,W4410909911,2025,Sociological Spectrum,closed,“It’s all up in the air”: reproductive decision-making in a changing climate
stated_intention,closed,10.1007/978-3-031-96736-8_51,W4411322994,2025,,closed,Is Climate Change Concern Linked to Childfree Intentions? Differences Across Age and Education in Five European Countrie
stated_intention,closed,10.1332/20467435y2024d000000031,W4399878263,2024,Families Relationships and Societies,closed,Shrinking futures: ecologically childfree as emotion management
stated_intention,closed,10.1080/23251042.2022.2132629,W4304809624,2022,Environmental Sociology,closed,"The reproductive climate concerns of young, educated Chinese: ‘when the nest is upset, no egg is left intact’"
stated_intention,closed,10.1111/1467-8454.12290,W4313417829,2022,Australian Economic Papers,closed,How does environmental quality perception influence people's fertility intention? Evidence from China
stated_intention,closed,10.1080/09644016.2021.1902700,W3146701062,2021,Environmental Politics,closed,The environmental politics of reproductive choices in the age of climate change
stated_intention,closed,10.1089/eco.2020.0057,W3143067222,2021,Ecopsychology,closed,"“There Are Many People Like Me, Who Feel They Want to Do Something Bigger”: An Exploratory Study of Choosing Not to Have"
stated_intention,closed,10.1089/eco.2018.0068,W2911294299,2019,Ecopsychology,closed,The Problem of Overpopulation: Proenvironmental Concerns and Behavior Predict Reproductive Attitudes
stated_intention,closed,10.1353/prv.2019.0007,W2979354641,2019,Population review,closed,"Is Fertility Preference Related to Perception of the Risk of Child Mortality, Changes in Landholding, and Type of Family"
stated_intention,closed,10.1007/978-1-137-56077-3_9,W2498819264,2015,Palgrave Macmillan UK eBooks,closed,Climate Change and Reproductive Intentions in Europe
stated_intention,closed,10.1002/psp.1811,W1540201895,2013,Population Space and Place,closed,To Have or Not to Have a Child? Perceived Constraints on Childbearing in a Lowest‐Low Fertility Context
