effect_id,study_id,study,pdf_filename,cell,region,phenomenon,estimand,predictor,outcome,sample,period,design,isolates_from_parity_A8,isolates_from_mortality_A1,effect_type,effect_value,ci_lower,ci_upper,se,direction,significant,is_primary_estimate,poolable,sign_vs_d2c,source_locator,source_type,verified_by,notes
d2c_011,anukriti_bhalotra_tam_2021,"Anukriti, Bhalotra & Tam (2021), On the Quantity and Quality of Girls, WP (QJE R&R)",W3169860430__on-the-quantity-and-quality-of-girls-fertility-parental-inve.pdf,PRIMARY_DIFFERENTIAL_STOPPING,India,SDT,son preference -> realized fertility via differential stopping (pre-ultrasound),firstborn girl (quasi-random),number of births (completed sibling size),"NFHS + REDS, India",1973-1984 (pre-ultrasound),DDD / DiD (firstborn sex x ultrasound shocks),yes,partly,OLS coefficient (births),0.155,,,0.012,supports,True,True,True,+,Table 6 col (1) p.43,pdf_table_or_text,ai_extraction_agent_2026-09-24,firstborn-girl families have +0.155 more births (baseline 3.001); headline 0.189 with preference controls (col 3)
d2c_012,anukriti_bhalotra_tam_2021,"Anukriti, Bhalotra & Tam (2021), On the Quantity and Quality of Girls, WP (QJE R&R)",W3169860430__on-the-quantity-and-quality-of-girls-fertility-parental-inve.pdf,PRIMARY_SEXSEL_SUBSTITUTION,India,SDT,attenuation of the stopping effect by sex selection (early ultrasound diffusion),firstborn girl x Post1 (1985-1994 ultrasound imports),number of births,"NFHS + REDS, India",1985-1994,DDD,yes,partly,OLS interaction (births),-0.088,,,0.016,supports-substitution,True,True,True,+,Table 6 col (1) p.43,pdf_table_or_text,ai_extraction_agent_2026-09-24,son-biased fertility gap narrows ~57% after ultrasound imports — substitution of sex selection for extra births
d2c_013,anukriti_bhalotra_tam_2021,"Anukriti, Bhalotra & Tam (2021), On the Quantity and Quality of Girls, WP (QJE R&R)",W3169860430__on-the-quantity-and-quality-of-girls-fertility-parental-inve.pdf,PRIMARY_SEXSEL_SUBSTITUTION,India,SDT,attenuation of the stopping effect by sex selection (late ultrasound diffusion),firstborn girl x Post2 (1995-2005 local production),number of births,"NFHS + REDS, India",1995-2005,DDD,yes,partly,OLS interaction (births),-0.112,,,0.018,supports-substitution,True,False,True,+,Table 6 col (1) p.43,pdf_table_or_text,ai_extraction_agent_2026-09-24,larger attenuation in high-availability late period; pre-ultrasound gap declined 40-50% overall
d2c_014,anukriti_bhalotra_tam_2021,"Anukriti, Bhalotra & Tam (2021), On the Quantity and Quality of Girls, WP (QJE R&R)",W3169860430__on-the-quantity-and-quality-of-girls-fertility-parental-inve.pdf,PRIMARY_DIFFERENTIAL_STOPPING,India,SDT,son preference -> UNDESIRED (excess) fertility,firstborn girl,excess fertility (births minus ideal number of children),"NFHS, India",1973-1984,DDD,yes,partly,OLS coefficient (births),0.115,,,0.043,supports,True,False,True,+,Table 6 col (5) p.43,pdf_table_or_text,ai_extraction_agent_2026-09-24,baseline 0.451; undesired fertility gap declined ~74% after ultrasound — the welfare-relevant channel
d2c_015,jiang_2017,"Jiang, Yu, Yang & Sanchez-Barricarte (2017), Changes in sex ratio at birth in China: a decomposition by birth order, J Biosoc Sci 49(6):826-841",W2552766914__changes-in-sex-ratio-at-birth-in-china-a-decomposition-by-bi.pdf,PRIMARY_DIFFERENTIAL_STOPPING,China,SDT,differential-stopping + sex-selection signature (birth-order SRB gradient),"birth order (1st vs 2nd vs 3rd+), given no prior son",sex ratio at birth (males per 100 females),China national census/survey,2000,descriptive decomposition (no causal ID),yes,n/a,SRB level by birth order,SRB1=107; SRB2=152; SRB3+=159,,,,supports,,True,False,+,Table 2 p.830 (2000 Total),pdf_table_or_text,ai_extraction_agent_2026-09-24,"near-normal first-birth SRB rising steeply at higher orders = canonical differential-stopping+sexsel signature; descriptive, no CI/SE, not poolable"
d2c_016,jiang_2017,"Jiang, Yu, Yang & Sanchez-Barricarte (2017), Changes in sex ratio at birth in China: a decomposition by birth order, J Biosoc Sci 49(6):826-841",W2552766914__changes-in-sex-ratio-at-birth-in-china-a-decomposition-by-bi.pdf,PRIMARY_DIFFERENTIAL_STOPPING,China,SDT,pre-ultrasound baseline (mechanism dating),"birth order 3rd+ given no prior son, 1981",sex ratio at birth,China national,1981,descriptive,yes,n/a,SRB level,SRB3+=112.6,,,,supports,,False,False,+,Table 2 p.830 (1981 Total),pdf_table_or_text,ai_extraction_agent_2026-09-24,"1981 gradient is mild (SRB1=105, SRB3+=113) — differential stopping without sex selection before ultrasound; contrast with 2000 dates the sex-selection mechanism"
d2c_017,sahni_2008,"Sahni et al. (2008), Missing Girls in India: Infanticide, Feticide and Made-to-Order Pregnancies, PLoS ONE 3(5):e2224",W2023373624__missing-girls-in-india-infanticide-feticide-and-made-to-orde.pdf,PRIMARY_SEXSEL_SUBSTITUTION,"Delhi, India",SDT,son preference + sex selection -> low SRB of 2nd child after a firstborn girl,first child is a girl,sex ratio at birth of 2nd child (girls per 1000 boys),"St Stephens Hospital Delhi, N=3,987 second births",1905-2005,single-hospital descriptive time-series (selection bias),n/a,n/a,sex ratio (girls per 1000 boys),716,672,762,,supports,True,True,False,+,Table 4 all-years col B (P<0.001),pdf_table_or_text,ai_extraction_agent_2026-09-24,vs overall 910; strong son-preference signature but single non-representative hospital — WEAK
d2c_018,sahni_2008,"Sahni et al. (2008), Missing Girls in India: Infanticide, Feticide and Made-to-Order Pregnancies, PLoS ONE 3(5):e2224",W2023373624__missing-girls-in-india-infanticide-feticide-and-made-to-orde.pdf,PRIMARY_SEXSEL_SUBSTITUTION,"Delhi, India",SDT,intensification of sex selection after ultrasound,"first child a girl, 1994-95 vs 1974-75",sex ratio at birth of 2nd child (girls per 1000 boys),St Stephens Hospital Delhi,1974-75 vs 1994-95,descriptive time contrast,n/a,n/a,sex ratio (girls per 1000 boys),610 (1994-95) vs 754 (1974-75),,,,supports-substitution,True,False,False,+,Table 4 year rows B,pdf_table_or_text,ai_extraction_agent_2026-09-24,deficit of female second births after a firstborn girl deepened in the ultrasound era
d2c_019,fayehun_2011,"Fayehun, Omololu & Isiugo-Abanihe (2011), Sex of preceding child and birth spacing among Nigerian ethnic groups, Afr J Reprod Health 15(2):79-90",W1573103718__sex-of-preceding-child-and-birth-spacing-among-nigerian-ethn.pdf,PRIMARY_DIFFERENTIAL_STOPPING,Nigeria,FDT,son preference -> shorter interval after a girl (spacing test),sex of preceding child = female vs male,odds of longer preceding birth interval (>=24mo),"2008 Nigeria DHS, N=22,752 parity-2+ births",2003-2008,"logistic, cross-sectional",partly,yes,adjusted odds ratio,0.955,,,,null,False,True,False,0,Table 5 Model 4 p.86,pdf_table_or_text,ai_extraction_agent_2026-09-24,national effect null (OR<1 in the son-preference direction but n.s.); confounded with lactational amenorrhoea (A.13). Son preference weak in sub-Saharan Africa
d2c_020,kevane_levine_2003,"Kevane & Levine (2003), Changing Status of Daughters in Indonesia, CIDER WP C03-126",W2169274775__changing-status-of-daughters-in-indonesia.pdf,PRIMARY_DIFFERENTIAL_STOPPING,Indonesia,SDT,son preference -> stopping (test: youngest child more likely a boy),sex of youngest child among mothers reporting completed fertility,proportion of youngest children who are boys (benchmark 0.5125),"IFLS Indonesia, N=1,976",1990s cohort,descriptive stopping test (complex-survey Wald),yes,yes,proportion boys,0.53,,,,null,False,True,False,0,Table 3 p.31 (1990s completed-fertility cohort),pdf_table_or_text,ai_extraction_agent_2026-09-24,not significantly above the 0.5125 benchmark; documented ABSENCE of stopping-based son preference in Indonesia (SE-Asian null)
d2c_021,kevane_levine_2003,"Kevane & Levine (2003), Changing Status of Daughters in Indonesia, CIDER WP C03-126",W2169274775__changing-status-of-daughters-in-indonesia.pdf,PRIMARY_DIFFERENTIAL_STOPPING,Indonesia,SDT,son preference -> girls accumulate in larger families (test),ratio of family size for boys vs girls,family-size ratio (son preference predicts <1),"IFLS Indonesia, N=2,341",1990s cohort,descriptive,yes,yes,ratio,1.02,,,,null,False,False,False,0,Table 4 p.32 (ever-married mothers),pdf_table_or_text,ai_extraction_agent_2026-09-24,"ratio ~1 => no tendency for girls to be in larger families; null. Only significant family-size cell (siblings, 1.04) is in the WRONG direction for son preference"
d2c_022,anukriti_2018_appendix,"Anukriti (2018), Financial Incentives and the Fertility-Sex Ratio Trade-off, AEJ:Applied 10(2):27-57 [ONLINE APPENDIX only retrieved]",W2794062870__financial-incentives-and-the-fertility-sex-ratio-trade-off.pdf,PRIMARY_NORM_INTENSITY,India (Haryana),SDT,son-preference intensity correlated with fertility (cross-sectional context),high- vs low-son-preference socioeconomic groups,proportion sons (0.578 vs 0.524) and number of children (2.25 vs 3.05),NFHS-2 India,1998-99,cross-sectional correlation (appendix Table 1),no,no,"group means (context, not causal)",prop sons 0.578 vs 0.524; children 2.25 vs 3.05,,,,supports,,False,False,+,Online Appendix Table 1,pdf_table_or_text,ai_extraction_agent_2026-09-24,CONTEXT ONLY: the OA file is the online appendix; the main-paper DD fertility/SRB estimates are on the RA backlog. Higher-son-preference groups have more sons and fewer children (substitution pattern)
d2c_023,iversen_palmerjones_2018,"Iversen & Palmer-Jones (2018), All You Need is Cable TV?, Journal of Development Studies",W2890075677__all-you-need-is-cable-tv.pdf,PRIMARY_NORM_INTENSITY,Rural India,SDT,"media exposure -> son-preference ATTITUDE (a determinant of the norm, not the estimand)",village has cable TV,P(states preference for next child = boy),"SARI panel rural India, N=1,699",2001-2003,panel FE (replication of Jensen-Oster),n/a,n/a,panel FE coefficient (pp),-0.14,,,0.068,null,True,False,False,0,Table 5 p.10,pdf_table_or_text,ai_extraction_agent_2026-09-24,"CONTEXT: media can move son-preference attitudes (-14pp), but no norm->fertility/SRB estimand and severely underpowered; direction coded null w.r.t. the D.2.c estimand"
