work_id,doi,id_strength,cell,year,venue,oa_status,is_oa,pdf_url,download_status,detail,bytes,file,title,version
W315042448,,ASSOCIATIONAL,KEEP_PRIMARY_SPACE_QUANTITY,1977,Sociology and social research,closed,False,,no_oa_url,closed,0,,"Mobility, Fertility, and Residential Crowding.",
W2093798293,10.2307/2061200,ASSOCIATIONAL,KEEP_PRIMARY_SPACE_QUANTITY,1978,Demography,bronze,True,https://read.dukeupress.edu/demography/article-pdf/15/4/477/907812/477curry.pdf,fail,not_pdf_http_403,5648,,"The relationship between apartment living and fertility for blacks, Mexican-Americans, and other Americans in Racine, Wisconsin",
W2034024285,10.1080/19485565.1995.9988902,ASSOCIATIONAL,KEEP_PRIMARY_SPACE_QUANTITY,1995,Social Biology,closed,False,,no_oa_url,closed,0,,Effects of multi‐family housing on marital fertility in Iran: Population policy implications,
W2132599910,10.4054/demres.2007.17.26,ASSOCIATIONAL,KEEP_PRIMARY_SPACE_QUANTITY,2007,Demographic Research,diamond,True,https://www.demographic-research.org/volumes/vol17/26/17-26.pdf,ok,http_200,217195,W2132599910__fertility-differences-by-housing-type.pdf,Fertility differences by housing type,published
W3121328306,10.4054/mpidr-wp-2007-014,ASSOCIATIONAL,KEEP_PRIMARY_SPACE_QUANTITY,2007,,gold,True,https://www.demogr.mpg.de/papers/working/wp-2007-014.pdf,ok,http_200,363270,W3121328306__fertility-differences-by-housing-type-an-effect-of-housing-c.pdf,Fertility differences by housing type: an effect of housing conditions or of selective moves?,published
W2365616508,,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2008,China Economic Quarterly,closed,False,,no_oa_url,closed,0,,Increasing Housing Prices and Secular Fertility Decline in Hong Kong,
W3023836900,10.1016/j.regsciurbeco.2008.08.002,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENT_IDENTIFIED,2008,Regional Science and Urban Economics,closed,False,,no_oa_url,closed,0,,"Do higher rents discourage fertility? Evidence from U.S. cities, 1940–2000",
W2089747765,10.1007/s00148-010-0345-5,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2010,Journal of Population Economics,closed,False,,no_oa_url,closed,0,,Housing and children: simultaneous decisions?—a cohort study of young adults’ housing and family formation decision,
W1544462608,10.1080/02673031003711519,ASSOCIATIONAL,KEEP_PRIMARY_SPACE_QUANTITY,2010,Housing Studies,closed,False,,no_oa_url,closed,0,,"Housing and First Births in Sweden, 1972–2005",
W1965997003,10.1016/j.habitatint.2011.10.006,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2011,Habitat International,closed,False,,no_oa_url,closed,0,,"Housing price, elderly dependency and fertility behaviour",
W2088698809,10.1080/17538963.2013.764675,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2012,China Economic Journal,closed,False,,no_oa_url,closed,0,,Housing price and fertility rate,
W2125780906,10.1002/psp.1716,ASSOCIATIONAL,KEEP_PRIMARY_SPACE_QUANTITY,2012,Population Space and Place,closed,False,,no_oa_url,closed,0,,A Home to Plan the First Child? Fertility Intentions and Housing Conditions in Italy,
W2212981967,,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2013,Romanian Journal of Economic Forecasting,closed,False,,no_oa_url,closed,0,,Does Housing Cost Affect Birth Rates in Taiwan? The ADL test for Threshold Co-integration.,
W2219227931,10.1016/j.econmod.2015.10.047,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2015,Economic Modelling,bronze,True,https://research-repository.griffith.edu.au/bitstreams/11cd9b90-647d-5e1a-8bfe-15c1dac3cc53/download,ok,via_landing http_200,292912,W2219227931__fertility-and-female-wages-a-new-link-via-house-prices.pdf,Fertility and female wages: A new link via house prices,published
W3122685948,10.1080/17538963.2015.1080907,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2015,China Economic Journal,green,True,https://openresearch-repository.anu.edu.au/bitstreams/3d036ed3-92c1-4a14-94e4-05f56f982dd6/download,ok,via_landing http_200,219651,W3122685948__fertility-and-housing.pdf,Fertility and housing,published
W1645904186,,ASSOCIATIONAL,KEEP_PRIMARY_SPACE_QUANTITY,2015,RePEc: Research Papers in Economics,closed,False,,no_oa_url,closed,0,,"Youth dwellings, higher education, and childbearing",
W2227602512,,ASSOCIATIONAL,KEEP_PRIMARY_WEALTH_OWNER,2015,Economics bulletin,closed,False,,no_oa_url,closed,0,,The Effects of Housing Wealth on Fertility Decisions: Evidence from Japan,
W2527731065,10.2139/ssrn.2846173,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2016,SSRN Electronic Journal,green,True,,no_oa_url,green,0,,Short-Term Effects of House Prices on Birth Rates,
W2563198282,10.15709/hswr.2016.36.1.118,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2016,Health and Social Welfare Review,diamond,True,,no_oa_url,diamond,0,,Housing Price and the Level and Timing of Fertility in Korea: An Empirical Analysis of 16 Cities and Provinces,
W2470035674,10.1080/00779954.2016.1199591,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENT_IDENTIFIED,2016,New Zealand Economic Papers,closed,False,,no_oa_url,closed,0,,The effect of the price or rental cost of housing on family size: a theoretical analysis with reference to New Zealand,
W2566527130,10.15709/hswr.2016.36.3.204,ASSOCIATIONAL,KEEP_PRIMARY_WEALTH_OWNER,2016,Health and Social Welfare Review,diamond,True,,no_oa_url,diamond,0,,Newly Married Couples‘ Housing Assets and Childbirth: Focusing on the Households Married Since 2000,
W1693336056,10.1007/s11150-016-9355-8,ASSOCIATIONAL,KEEP_PRIMARY_WEALTH_OWNER,2017,Review of Economics of the Household,green,True,https://eres.architexturez.net/system/files/pdf/eres2013_299.content.pdf,ok,via_sibling https://doi.org/10.15396/eres2013_299 http_200,174199,W1693336056__the-asymmetric-housing-wealth-effect-on-childbirth.pdf,The asymmetric housing wealth effect on childbirth,preprint_twin
W2616510210,,ASSOCIATIONAL,KEEP_PRIMARY_WEALTH_OWNER,2017,RePEc: Research Papers in Economics,closed,False,,no_oa_url,closed,0,,Housing Wealth and Fertility: Australian Evidence,
W2791040498,10.17208/jkpa.2018.02.53.1.137,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2018,국토계획,closed,False,,no_oa_url,closed,0,,The Impact of Regional Housing Price on Marital Status and Childbirth,
W2811389373,10.24957/hsr.2018.26.2.163,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2018,Korean Association for Housing Policy Studies,closed,False,,no_oa_url,closed,0,,The Effects of Regional Housing Prices on the Age at Marriage and the Timing of First and Second Childbirths,
W2884660070,10.2991/icmess-18.2018.173,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2018,"Proceedings of the 2018 2nd International Conference on Management, Education and Social Science (ICMESS 2018)",hybrid,True,https://download.atlantis-press.com/article/25897183.pdf,ok,http_200,2479973,W2884660070__a-study-of-the-spatio-temporal-correlation-of-housing-prices.pdf,A Study of the Spatio-Temporal Correlation of Housing Prices and Fertility Rate in China,published
W2800948146,10.1080/02673037.2018.1458288,ASSOCIATIONAL,KEEP_PRIMARY_SPACE_QUANTITY,2018,Housing Studies,hybrid,True,https://www.tandfonline.com/doi/pdf/10.1080/02673037.2018.1458288?needAccess=true,fail,not_pdf_http_403,5711,,Housing context and childbearing in Sweden: a cohort study,
W3161899463,10.2139/ssrn.3438830,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2019,SSRN Electronic Journal,green,True,,no_oa_url,green,0,,Housing Booms and Busts and Family Formation of Young Generations,
W3028664058,10.1016/j.chieco.2020.101496,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2020,China Economic Review,closed,False,,no_oa_url,closed,0,,"House price, fertility rates and reproductive intentions",
W3116580741,10.1002/psp.2413,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2020,Population Space and Place,closed,False,,no_oa_url,closed,0,,"Housing costs, self‐employment, and fertility",
W3003563339,10.1016/j.eap.2020.01.005,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2020,Economic Analysis and Policy,closed,False,,no_oa_url,closed,0,,Are housing property rights important for fertility outcomes in China? Empirical evidence and policy issues,
W3099296090,10.5934/kjhe.2020.29.5.765,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2020,Korean Journal of Human Ecology,closed,False,,no_oa_url,closed,0,,The Effects of the Housing Price and Provision on the Total Fertility Rate in Seoul,
W3027228649,,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2020,Munich Personal RePEc Archive (Ludwig Maximilian University of Munich),green,True,https://mpra.ub.uni-muenchen.de/100546/1/MPRA_paper_100546.pdf,ok,http_200,346325,W3027228649__house-prices-and-fertility-in-south-africa-a-spatial-econome.pdf,House prices and fertility in South Africa: A spatial econometric analysis,published
W3163496378,10.46557/001c.22334,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2021,Asian Economics Letters,diamond,True,https://a-e-l.scholasticahq.com/article/22334.pdf,ok,via_landing http_200,319350,W3163496378__house-prices-and-china-s-birth-rate-a-note.pdf,House Prices and China’s Birth Rate: A Note,published
W4200505139,10.33423/jabe.v23i6.4646,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2021,Journal of Applied Business and Economics,bronze,True,https://articlegateway.com/index.php/JABE/article/download/4646/4424,ok,http_200,358339,W4200505139__the-impact-of-housing-prices-on-birth-rates-in-china.pdf,The Impact of Housing Prices on Birth Rates in China,published
W3175165566,10.1016/j.jhe.2021.101787,ASSOCIATIONAL,KEEP_PRIMARY_WEALTH_OWNER,2021,Journal of Housing Economics,closed,False,,no_oa_url,closed,0,,"Housing wealth, fertility intentions and fertility",
W3217487213,10.1007/s00148-021-00879-6,ASSOCIATIONAL,KEEP_PRIMARY_WEALTH_OWNER,2021,Journal of Population Economics,closed,False,,no_oa_url,closed,0,,Housing wealth and fertility: evidence from China,
W3140682174,,ASSOCIATIONAL,KEEP_PRIMARY_WEALTH_OWNER,2021,Econstor (Econstor),closed,False,,no_oa_url,closed,0,,"No Flat, No Child in Singapore: Cointegration Analysis of Housing, Income, and Fertility",
W4292263755,10.12677/orf.2022.123112,ASSOCIATIONAL,KEEP_PRIMARY_SPACE_QUANTITY,2022,Operations Research and Fuzziology,closed,False,,no_oa_url,closed,0,,The Influence of Housing Conditions on Childbearing Willingness of Childbearing Age Groups—Empirical Analysis from CSS2019 Data,
W4206976708,10.1177/01600176211066472,ASSOCIATIONAL,KEEP_PRIMARY_WEALTH_OWNER,2022,International Regional Science Review,closed,False,,no_oa_url,closed,0,,Impacts of Housing Booms on Fertility in China: A Perspective From Homeownership,
W4280562027,10.53383/100334,ASSOCIATIONAL,KEEP_PRIMARY_WEALTH_OWNER,2022,International Real Estate Review,bronze,True,https://doi.org/10.53383/100334,ok,http_200,1038345,W4280562027__housing-wealth-fertility-and-child-quality.pdf,"Housing Wealth, Fertility, and Child Quality",published
W4381095472,10.1016/j.regsciurbeco.2023.103920,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2023,Regional Science and Urban Economics,closed,False,,no_oa_url,closed,0,,Do housing booms reduce fertility intentions? Evidence from the new two-child policy in China,
W4389445056,10.1007/s11113-023-09844-5,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2023,Population Research and Policy Review,closed,False,,no_oa_url,closed,0,,"The Impact of Supportive Housing Policy Scenarios on Marriage and Fertility Intentions: A Vignette Survey Experimental Study in Shanghai, China",
W4322772855,10.1080/13504851.2023.2186350,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2023,Applied Economics Letters,closed,False,,no_oa_url,closed,0,,The impacts of house prices on floating population’s fertility intentions – evidence from China,
W4319786688,10.3390/su15043093,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2023,Sustainability,gold,True,https://www.mdpi.com/2071-1050/15/4/3093/pdf?version=1675853303,fail,not_pdf_http_403,414,,How Do House Prices and Financial Expenditure Affect Birth Rate? New Evidence from the Dynamic Threshold Panel Model,
W4362575793,10.37407/kres.2023.41.1.141,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2023,대한부동산학회지,closed,False,,no_oa_url,closed,0,,The Impact of Regional Income and Housing Price on Fertility Rate,
W4376171468,10.54254/2754-1169/3/2022854,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2023,Advances in Economics Management and Political Sciences,hybrid,True,https://www.ewadirect.com/proceedings/aemps/article/view/679/pdf,ok,http_200,854857,W4376171468__under-pressure-how-do-housing-prices-and-income-affect-birth.pdf,Under Pressure: How Do Housing Prices and Income Affect Birth Preference in China,published
W4323341744,10.12677/mm.2023.133026,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2023,Modern Management,closed,False,,no_oa_url,closed,0,,Live in Peace and Enjoy Education: Research on the Impact of Housing Property Rights on Fertility Intention,
W4387428114,10.1007/978-981-99-6441-3_92,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2023,Applied economics and policy studies,closed,False,,no_oa_url,closed,0,,Research on the Birth Inhibition Effect of House Prices in China-A Tianjin-Beijing-Hebei Regional Case Study,
W4380303650,10.2139/ssrn.4476426,ASSOCIATIONAL,KEEP_PRIMARY_WEALTH_OWNER,2023,SSRN Electronic Journal,green,True,,no_oa_url,green,0,,"Two-Child Policy, Housing Wealth Stratification and Multi-Child Birth Rate",
W4399789370,10.1177/02685809241257863,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2024,International Sociology,closed,False,,no_oa_url,closed,0,,Housing prices and family fertility decision-making in China: Effect and mechanism,
W4404938240,10.1007/s11150-024-09748-z,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2024,Review of Economics of the Household,closed,False,,no_oa_url,closed,0,,"Housing prices, social security, and fertility rate",
W4400128135,10.31235/osf.io/frbnc,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2024,,gold,True,https://osf.io/frbnc/download,ok,http_200,483556,W4400128135__housing-expenditure-and-childbirth-in-the-united-kingdom.pdf,Housing Expenditure and Childbirth in the United Kingdom,published
W4402894640,10.19172/kreaa.30.3.3,ASSOCIATIONAL,KEEP_PRIMARY_WEALTH_OWNER,2024,부동산학연구,closed,False,,no_oa_url,closed,0,,The Effect of Housing Wealth on Fertility among Home-Owning Households,
W4416223623,10.1007/s10680-025-09754-6,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2025,European Journal of Population / Revue européenne de Démographie,hybrid,True,https://link.springer.com/content/pdf/10.1007/s10680-025-09754-6.pdf,ok,http_200,1150136,W4416223623__rising-house-prices-falling-fertility-how-rising-house-price.pdf,"Rising House Prices, Falling Fertility? How Rising House Prices Widen Fertility Differences between Tenure Groups",published
W4415509319,10.1002/psp.70131,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2025,Population Space and Place,hybrid,True,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/psp.70131,fail,not_pdf_http_403,5635,,Housing Expenditure and Births in Italy,
W4415443644,10.21203/rs.3.rs-7441721/v1,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2025,Research Square,green,True,https://www.researchsquare.com/article/rs-7441721/latest.pdf,ok,http_200,782785,W4415443644__the-effects-of-housing-expenditure-pressure-and-gender-prefe.pdf,The Effects of Housing Expenditure Pressure and Gender Preference on the Reproduction Willingness for Young Female Migrants: Evidence from China,published
W4406623669,10.1007/978-3-031-64447-4_11,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2025,,closed,False,,no_oa_url,closed,0,,Housing Insecurity and First Births in Italy,
W4409177854,10.1007/978-981-96-3236-7_25,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2025,Applied economics and policy studies,closed,False,,no_oa_url,closed,0,,Impact of Housing Prices on Fertility Rates in China: An Empirical Analysis,
W4408787615,10.17208/jkpa.2025.02.60.1.127,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2025,국토계획,closed,False,,no_oa_url,closed,0,,The Effects of Housing Market Volatility on the Fertility Rate,
W7124295374,10.52344/hfr.2025.9.2.69,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENTER,2025,Housing Finance Research,hybrid,True,https://www.e-hfr.org/download/download_pdf?pid=hfr-9-2-69,ok,http_200,1212714,W7124295374__analysis-on-the-direct-and-indirect-effects-of-housing-price.pdf,Analysis on the Direct and Indirect Effects of Housing Price Changes on Birth,published
W7134116679,10.2139/ssrn.6274479,ASSOCIATIONAL,KEEP_PRIMARY_COST_RENT_IDENTIFIED,2026,SSRN Electronic Journal,green,True,,no_oa_url,green,0,,"Working from Home, Land Rents, and Fertility",
