id,doi,cell,year,title,oa_status,fetch,fetch_note,text,text_note,url
W3203445415,10.31235/osf.io/peuvz,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2021,The casual effect of fertility: The multiple problems with instrumental variables for the ,gold,FAILED,"not a PDF — publisher returned b'PK\x03\x04' (http 200); route blocked, not closed",-,-,https://osf.io/peuvz/download
W3006048519,10.31235/osf.io/zux9s,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2017,Instrumental variables based on twin births are by definition not valid (v.3.0),gold,FAILED,"not a PDF — publisher returned b'<!do' (http 200); route blocked, not closed",-,-,https://doi.org/10.31235/osf.io/zux9s
W2189593527,10.3982/qe322,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2016,Testing the quantity-quality model of fertility: Estimation using unrestricted family size,diamond,FAILED,"not a PDF — publisher returned b'<!DO' (http 403); route blocked, not closed",-,-,https://onlinelibrary.wiley.com/doi/pdfdirect/10.3982/QE322
W2286204193,10.1093/oep/gpv055,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2015,The impact of children on women’s labour supply and earnings in the UK: evidence using twi,green,FAILED,"not a PDF — publisher returned b'<!DO' (http 403); route blocked, not closed",-,-,https://hull-repository.worktribe.com/output/377943
W2159089697,10.1007/s13524-012-0118-8,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2012,The Changing Impact of Family Size on Adolescents’ Schooling: Assessing the Exogenous Vari,bronze,FAILED,"not a PDF — publisher returned b'<!DO' (http 403); route blocked, not closed",-,-,https://read.dukeupress.edu/demography/article-pdf/49/4/1453/882647/1453marteleto.pdf
W2259354891,10.1353/jhr.2010.0001,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2007,"Small Family, Smart Family? Family Size and the IQ Scores of Young Men",bronze,OK,"http 200, 347kb",OK,66kb text,https://muse.jhu.edu/pub/19/article/466724
W2919878897,10.1080/00324728.2019.1577479,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2019,Family size and educational attainment in England and Wales,green,OK,"http 200, 240kb",OK,55kb text,https://discovery.ucl.ac.uk/10061436/1/sib7.pdf
W1827607807,10.3386/w11835,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2005,New Evidence on the Causal Link Between the Quantity and Quality of Children,green,OK,"http 200, 421kb",OK,103kb text,https://doi.org/10.3386/w11835
W2904285627,10.1093/jeea/jvz058,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2019,The Twin Instrument: Fertility and Human Capital Investment,hybrid,FAILED,"not a PDF — publisher returned b'<!DO' (http 403); route blocked, not closed",-,-,https://doi.org/10.1093/jeea/jvz058
W4415313865,10.1111/ecot.70014,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2025,The Heterogeneous Impact of Children on Maternal Employment: Evidence From East and West G,hybrid,FAILED,"not a PDF — publisher returned b'<!DO' (http 403); route blocked, not closed",-,-,https://doi.org/10.1111/ecot.70014
W2611194184,10.2139/ssrn.2939471,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2017,The Effects of Gender Composition and Fertility on Motherss Marital Status and Labor Suppl,green,FAILED,"not a PDF — publisher returned b'<!DO' (http 403); route blocked, not closed",-,-,https://doi.org/10.2139/ssrn.2939471
W4379375052,10.56506/znzh9463,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2023,Family Size and Domestic Violence in a High-Fertility Society,gold,OK,"http 200, 944kb",OK,81kb text,https://www.adb.org/sites/default/files/publication/886831/adbi-wp1394.pdf
W2466738581,,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2005,The more the merrier? The effect of family size and birth children’s education,green,FAILED,"not a PDF — publisher returned b'<!do' (http 200); route blocked, not closed",-,-,http://hdl.handle.net/11250/165490
W2119175127,10.1353/dem.2008.0006,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2008,The quantity-Quality trade-Off of children In a developing country: Identification using c,bronze,FAILED,"not a PDF — publisher returned b'<!DO' (http 403); route blocked, not closed",-,-,https://read.dukeupress.edu/demography/article-pdf/45/1/223/879680/223li.pdf
W585763576,,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2013,When a Little Dirt Doesn’t Hurt : The Effect of Family Size on Child Health Outcomes,green,FAILED,"not a PDF — publisher returned b'<!do' (http 200); route blocked, not closed",-,-,http://urn.kb.se/resolve?urn=urn:nbn:se:lnu:diva-31020
W4320481244,10.3386/w30955,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2023,Estimating Causal Effects of Fertility on Life Course Outcomes: Evidence Using A Dyadic Ge,green,OK,"http 200, 602kb",OK,109kb text,https://doi.org/10.3386/w30955
W2107668267,10.1111/j.1468-0084.2008.00540.x,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2009,"Impact of Sibship Size, Birth Order and Sex Composition on School Enrolment in Urban Turke",green,FAILED,"not a PDF — publisher returned b'<!DO' (http 500); route blocked, not closed",-,-,https://hdl.handle.net/11511/30777
W2497065997,10.1007/s12122-016-9231-6,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2016,The Causal Effects of the Number of Children on Female Employment - Do European Institutio,hybrid,FAILED,"not a PDF — publisher returned b'<!DO' (http 200); route blocked, not closed",-,-,https://link.springer.com/content/pdf/10.1007%2Fs12122-016-9231-6.pdf
W1762142672,10.4054/demres.2015.32.51,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2015,The causal effect of an additional sibling on completed fertility: An estimation of interg,diamond,OK,"http 200, 313kb",OK,27kb text,https://www.demographic-research.org/volumes/vol32/51/32-51.pdf
W2801940009,10.3386/w24530,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2018,The Production of Inequalities within Families and Across Generations: The Intergeneration,green,OK,"http 200, 377kb",OK,198kb text,https://doi.org/10.3386/w24530
W2010791397,10.1007/s13524-011-0076-6,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2012,Can We Still Learn Something From the Relationship Between Fertility and Mother’s Employme,bronze,FAILED,"not a PDF — publisher returned b'<!DO' (http 403); route blocked, not closed",-,-,https://read.dukeupress.edu/demography/article-pdf/49/1/151/881250/151caceres-delpiano.pdf
W1602351443,,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2009,Essays on Labor and Demographic Economics: Dissertation Summary,green,FAILED,"not a PDF — publisher returned b'\n<!D' (http 200); route blocked, not closed",-,-,https://research.upjohn.org/dissertation_awards/5
W2569158017,10.1016/j.chieco.2016.12.005,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2017,A dilemma of fertility and female labor supply: Identification using Taiwanese twins,green,FAILED,"not a PDF — publisher returned b'<!DO' (http 200); route blocked, not closed",-,-,https://repositorio.unal.edu.co/handle/unal/81511
W3080682166,10.1086/711301,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2020,Twice the Trouble: Twinning and the Cost of Voting,green,FAILED,"not a PDF — publisher returned b'\n\n\n\n' (http 200); route blocked, not closed",-,-,https://research.cbs.dk/en/publications/332dcc15-ebfa-4593-9811-b75f44da07dd
W1867829407,10.3386/w5778,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,1996,Children and Their Parents' Labor Supply: Evidence from Exogenous Variation in Family Size,green,OK,"http 200, 1735kb",NO_TEXT_LAYER,extracted but under 500 bytes — likely a scan,https://doi.org/10.3386/w5778
W4205368078,10.1080/13545701.2021.2015076,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2022,Family Size and Men’s Labor Market Outcomes: Do Social Beliefs About Men’s Roles in the Fa,hybrid,FAILED,"not a PDF — publisher returned b'<!DO' (http 403); route blocked, not closed",-,-,https://www.tandfonline.com/doi/pdf/10.1080/13545701.2021.2015076?needAccess=true
W7164887640,10.1007/s10824-026-09597-x,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2026,Family first: the causal effect of family size on cultural participation,hybrid,FAILED,"not a PDF — publisher returned b'<!DO' (http 200); route blocked, not closed",-,-,https://link.springer.com/content/pdf/10.1007/s10824-026-09597-x.pdf
W2905386454,10.1111/coep.12417,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2018,THE LABOR MARKET CONSEQUENCES OF TEENAGE CHILDBEARING,green,FAILED,"not a PDF — publisher returned b'<!DO' (http 403); route blocked, not closed",-,-,https://hull-repository.worktribe.com/output/1120965
W2145563781,,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2007,The causal effect of family size on child labor and education,green,FAILED,"not a PDF — publisher returned b'<!do' (http 200); route blocked, not closed",-,-,http://hdl.handle.net/10438/1875
W2182703666,10.3386/w21824,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2015,The Quantity-Quality Trade-off and the Formation of Cognitive and Non-cognitive Skills,green,OK,"http 200, 255kb",OK,73kb text,https://doi.org/10.3386/w21824
W2253718681,10.1017/dem.2018.22,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2019,The effect of family size on education: new evidence from China's one-child policy,green,FAILED,"not a PDF — publisher returned b'<!DO' (http 403); route blocked, not closed",-,-,https://doi.org/10.2139/ssrn.2655145
W2087987337,10.1086/260868,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,1980,Life-Cycle Labor Supply and Fertility: Causal Inferences from Household Models,green,FAILED,"not a PDF — publisher returned b'<!do' (http 200); route blocked, not closed",-,-,https://www.econstor.eu/bitstream/10419/160237/1/cdp310.pdf
W2120316448,10.22004/ag.econ.10119,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2007,Fertility in Developing Countries,green,FAILED,"not a PDF — publisher returned b'\n\n\n\n' (http 200); route blocked, not closed",-,-,http://ageconsearch.umn.edu/record/10119
W2587029746,10.1080/00324728.2016.1260755,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2017,The effect of number of siblings on adult mortality: Evidence from Swedish registers for c,hybrid,FAILED,"not a PDF — publisher returned b'<!DO' (http 403); route blocked, not closed",-,-,https://www.tandfonline.com/doi/pdf/10.1080/00324728.2016.1260755?needAccess=true
W1512459336,,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2009,The Impact of Sibling Sex Composition on Women's Educational Achievements: A Unique Natura,green,FAILED,"not a PDF — publisher returned b'<!DO' (http 200); route blocked, not closed",-,-,https://repository.royalholloway.ac.uk/items/aa225457-e449-fb77-ab32-28b08aced20a/1/
W2147838535,10.4067/s0718-88702009000200005,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2009,TAMAÑO DE FAMILIA Y ORDEN DE NACIMIENTO EN CHILE: USANDO GEMELOS COMO EXPERIMENTO NATURAL,diamond,OK,"http 200, 116kb",OK,52kb text,http://www.scielo.cl/pdf/rae/v24n2/art05.pdf
W3122870105,10.3386/w16566,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2010,ExtrapoLATE-ing: External Validity and Overidentification in the LATE Framework,green,OK,"http 200, 283kb",OK,64kb text,https://doi.org/10.3386/w16566
W4206199864,10.26686/wgtn.16870629,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2021,Essays in Applied Microeconomics,gold,FAILED,empty body (http 202),-,-,https://openaccess.wgtn.ac.nz/articles/thesis/Essays_in_Applied_Microeconomics/16870629/1/files/31188127.pdf
W3123778272,,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2015,"The Effect of Sibling's Gender on Earnings, Education and Family Formation",green,OK,"http 200, 203kb",OK,73kb text,https://docs.iza.org/dp9128.pdf
W3121505940,10.3386/w20443,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2014,The Impact of Family Composition on Educational Achievement,green,OK,"http 200, 330kb",OK,131kb text,https://doi.org/10.3386/w20443
W2106443985,10.1353/jhr.2008.0003,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2008,"Short-, Medium-, and Long-Term Consequences of Poor Infant Health: An Analysis Using Sibli",bronze,OK,"http 200, 384kb",OK,104kb text,https://muse.jhu.edu/pub/19/article/466579/pdf
W3025328423,10.1177/2096531120921703,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2020,The Effect of Sibling Size on Children’s Educational Attainment: Evidence From Indonesia,diamond,FAILED,"not a PDF — publisher returned b'<!DO' (http 403); route blocked, not closed",-,-,https://journals.sagepub.com/doi/pdf/10.1177/2096531120921703
W1492634214,,PRIMARY_OFFSET_FIRSTSTAGE_CANDIDATE,2008,BIRTH SPACING EFFECT ON CHILDREN’S ATTAINMENTS: INDENTIFICATION USING INSTRUMENT VARIABLES,green,FAILED,empty body (http 000),-,-,http://uilis.unsyiah.ac.id/opentheses/items/show/866
W4416339302,10.14712/23361980.2025.20,SECONDARY_ART_MULTIPLES,2025,Multiple births in an era of assisted reproduction and delayed motherhood: Evidence from C,diamond,FAILED,"not a PDF — publisher returned b'<!DO' (http 200); route blocked, not closed",-,-,https://doi.org/10.14712/23361980.2025.20
W2150715287,10.1080/00016340701417323,SECONDARY_ART_MULTIPLES,2007,"Increasing twinning rates in Norway, 1967–2004: the influence of maternal age and assisted",bronze,FAILED,"not a PDF — publisher returned b'<!DO' (http 403); route blocked, not closed",-,-,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1080/00016340701417323
W2156036089,10.1093/aje/kwq286,SECONDARY_ART_MULTIPLES,2010,"RE: ""ESTIMATION OF THE CONTRIBUTION OF NON-ASSISTED REPRODUCTIVE TECHNOLOGY OVULATION STIM",bronze,FAILED,"not a PDF — publisher returned b'<!DO' (http 403); route blocked, not closed",-,-,https://academic.oup.com/aje/article-pdf/172/8/981/783606/kwq286.pdf
W4321782459,10.7759/cureus.35414,SECONDARY_ART_MULTIPLES,2023,Temporal Trends in Multiple Births in Greece: The Evolution of an Epidemic,diamond,OK,"http 200, 777kb",OK,27kb text,https://assets.cureus.com/uploads/original_article/pdf/138296/20230326-23297-1p5hi9y.pdf
W2118092297,10.1375/twin.11.1.70,SECONDARY_ART_MULTIPLES,2008,Factors Associated with Recent Increase of Multiple Births in Spain,bronze,OK,"http 200, 527kb",OK,31kb text,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/DA8E7D4D9ABD4FA7707873D0AAA6FDE1/S183242740000877Xa.pdf/div-class-title-factors-associated-with-recent-increase-of-multiple-births-in-spain-div.pdf
W2098661971,10.1375/1369052012696,SECONDARY_ART_MULTIPLES,2001,The Effects of Assisted Reproduction on the Trends and Zygosity of Multiple Births in Engl,bronze,OK,"http 200, 262kb",OK,20kb text,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/8B97EE6A46CE82AADDD6070E3BD6804F/S1369052300002221a.pdf/div-class-title-the-effects-of-assisted-reproduction-on-the-trends-and-zygosity-of-multiple-births-in-england-and-wales-1974-99-div.pdf
W2060625473,10.1375/twin.10.2.406,SECONDARY_ART_MULTIPLES,2007,Regional Variations in Trends for Multiple Births: A Population-Based Evaluation in France,bronze,OK,"http 200, 152kb",OK,45kb text,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/1C7F3F512DECF7AC2F9228BB67DA6597/S1832427400007970a.pdf/div-class-title-regional-variations-in-trends-for-multiple-births-a-population-based-evaluation-in-france-1972-2003-div.pdf
W2129365860,10.1530/rep-08-0206,SECONDARY_ART_MULTIPLES,2008,Monozygotic twinning associated with assisted reproductive technologies: a review,bronze,FAILED,"not a PDF — publisher returned b'<!DO' (http 403); route blocked, not closed",-,-,https://rep.bioscientifica.com/downloadpdf/journals/rep/136/4/377.pdf
W2013546992,10.2188/jea.je20100189,SECONDARY_ART_MULTIPLES,2011,Effect of Maternal Age and Fertility Treatment on the Increase in Multiple Births in Japan,gold,OK,"http 200, 327kb",OK,21kb text,https://www.jstage.jst.go.jp/article/jea/21/6/21_JE20100189/_pdf
W2086969553,10.4414/smw.2013.13864,SECONDARY_ART_MULTIPLES,2013,"Origin and outcome of multiple pregnancies in Bern, Switzerland, 1995–2006 and the current",diamond,OK,"http 200, 424kb",OK,27kb text,https://smw.ch/index.php/smw/article/download/1753/2388
W4367669110,10.1002/ijgo.14817,SECONDARY_ART_MULTIPLES,2023,Twin birth rates and obstetric interventions in Iceland: A nationwide study from 1997 to 2,hybrid,FAILED,"not a PDF — publisher returned b'<!DO' (http 403); route blocked, not closed",-,-,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ijgo.14817
W2134088873,10.1093/humupd/dmh048,SECONDARY_ART_MULTIPLES,2004,"Multiple gestation and infertility treatment: registration, reflection and reaction—the Be",bronze,FAILED,"not a PDF — publisher returned b'<!DO' (http 403); route blocked, not closed",-,-,https://academic.oup.com/humupd/article-pdf/11/1/3/1673214/dmh048.pdf
W2094795239,10.1016/j.fertnstert.2014.12.127,SECONDARY_ART_MULTIPLES,2015,Embryo transfer practices and multiple births resulting from assisted reproductive technol,bronze,FAILED,"not a PDF — publisher returned b'<!DO' (http 403); route blocked, not closed",-,-,http://www.fertstert.org/article/S0015028214025588/pdf
W1974932887,10.2217/17455057.3.3.301,SECONDARY_ART_MULTIPLES,2007,Multiple-Gestation Pregnancies after Assisted Reproductive Technology Treatment: Populatio,gold,FAILED,"not a PDF — publisher returned b'<!DO' (http 403); route blocked, not closed",-,-,https://doi.org/10.2217/17455057.3.3.301
W4379509030,10.1001/jamanetworkopen.2023.16696,SECONDARY_ART_MULTIPLES,2023,Evaluation of Assisted Reproductive Technology Health Insurance Coverage for Multiple Preg,gold,FAILED,"not a PDF — publisher returned b'<!DO' (http 403); route blocked, not closed",-,-,https://jamanetwork.com/journals/jamanetworkopen/articlepdf/2805607/cha_2023_oi_230507_1685119962.02873.pdf
W2012722597,10.1016/j.fertnstert.2007.01.112,SECONDARY_ART_MULTIPLES,2007,The relative contribution of assisted reproductive technologies and ovulation induction to,bronze,FAILED,"not a PDF — publisher returned b'<!DO' (http 403); route blocked, not closed",-,-,http://www.fertstert.org/article/S0015028207002464/pdf
W1989325480,10.1016/j.fertnstert.2012.02.031,SECONDARY_ART_MULTIPLES,2012,Ovarian stimulation and intrauterine insemination at the quarter centennial: implications ,bronze,FAILED,"not a PDF — publisher returned b'<!DO' (http 403); route blocked, not closed",-,-,http://www.fertstert.org/article/S0015028212002658/pdf
W1971113173,10.1136/bmj.38443.595046.e0,SECONDARY_ART_MULTIPLES,2005,"Temporal trends in multiple births after in vitro fertilisation in Sweden, 1982-2001: a re",bronze,OK,"http 200, 76kb",OK,12kb text,https://www.bmj.com/content/bmj/331/7513/382.full.pdf
W3181904105,10.1007/s10815-021-02268-0,SECONDARY_ART_MULTIPLES,2021,"Trend of medically induced monozygotic twin deliveries according to age, parity, and type ",hybrid,FAILED,"not a PDF — publisher returned b'<!DO' (http 200); route blocked, not closed",-,-,https://link.springer.com/content/pdf/10.1007/s10815-021-02268-0.pdf
W2118961481,10.1093/humrep/dei363,SECONDARY_ART_MULTIPLES,2005,"Trends in embryo transfer practices and multiple gestation for IVF procedures in the USA, ",bronze,FAILED,"not a PDF — publisher returned b'<!DO' (http 403); route blocked, not closed",-,-,https://academic.oup.com/humrep/article-pdf/21/3/694/2309522/dei363.pdf
W2086970734,10.1016/s1472-6483(10)62069-x,SECONDARY_ART_MULTIPLES,2003,Infertility therapy-associated multiple pregnancies (births): an ongoing epidemic,bronze,FAILED,"not a PDF — publisher returned b'\n\n\n\n' (http 200); route blocked, not closed",-,-,https://doi.org/10.1016/s1472-6483(10)62069-x
W2430933230,10.17772/gp/60549,SECONDARY_ART_MULTIPLES,2015,Assisted reproductive medicine in Poland – Fertility and Sterility Special Interest Group ,gold,FAILED,"not a PDF — publisher returned b'<!DO' (http 200); route blocked, not closed",-,-,https://doi.org/10.17772/gp/60549
W2521861472,10.1093/humrep/dew232,SECONDARY_ART_MULTIPLES,2016,Population trends and live birth rates associated with common ART treatment strategies,bronze,FAILED,"not a PDF — publisher returned b'<!DO' (http 403); route blocked, not closed",-,-,https://academic.oup.com/humrep/article-pdf/31/11/2632/6629173/dew232.pdf
W2182054530,10.4414/smw.2015.14087,SECONDARY_ART_MULTIPLES,2015,Twenty years’ experience with the Swiss data registry for assisted reproductive medicine: ,diamond,OK,"http 200, 1567kb",OK,38kb text,https://smw.ch/index.php/smw/article/download/1991/2862
W3046588085,10.1093/hropen/hoaa032,SECONDARY_ART_MULTIPLES,2020,"ART in Europe, 2016: results generated from European registries by ESHRE†",gold,FAILED,"not a PDF — publisher returned b'<!DO' (http 403); route blocked, not closed",-,-,https://academic.oup.com/hropen/article-pdf/2020/3/hoaa032/33554312/hoaa032.pdf
W4395466609,10.1001/jamanetworkopen.2024.8496,SECONDARY_ART_MULTIPLES,2024,Multifetal Pregnancy After Implementation of a Publicly Funded Fertility Program,gold,FAILED,"not a PDF — publisher returned b'<!DO' (http 403); route blocked, not closed",-,-,https://jamanetwork.com/journals/jamanetworkopen/articlepdf/2818091/velez_2024_oi_240310_1713456857.8704.pdf
W2601559204,10.1159/000464286,SECONDARY_ART_MULTIPLES,2017,Re-Thinking Elective Single Embryo Transfer: Increased Risk of Monochorionic Twinning - A ,bronze,FAILED,"not a PDF — publisher returned b'<!DO' (http 403); route blocked, not closed",-,-,https://www.karger.com/Article/Pdf/464286
W2086723251,10.1016/j.fertnstert.2008.03.066,SECONDARY_ART_MULTIPLES,2008,Impact of blastocyst transfer on offspring sex ratio and the monozygotic twinning rate: a ,bronze,FAILED,"not a PDF — publisher returned b'<!DO' (http 403); route blocked, not closed",-,-,http://www.fertstert.org/article/S0015028208007401/pdf
W2159003695,10.1093/humrep/dei298,SECONDARY_ART_MULTIPLES,2005,Randomized single versus double embryo transfer: obstetric and paediatric outcome and a co,bronze,FAILED,"not a PDF — publisher returned b'<!DO' (http 403); route blocked, not closed",-,-,https://academic.oup.com/humrep/article-pdf/21/1/210/1527737/dei298.pdf
W2052612486,10.1186/1477-7827-7-36,SECONDARY_ART_MULTIPLES,2009,Single-embryo transfer reduces clinical pregnancy rates and live births in fresh IVF and I,gold,FAILED,"not a PDF — publisher returned b'<!DO' (http 200); route blocked, not closed",-,-,https://rbej.biomedcentral.com/counter/pdf/10.1186/1477-7827-7-36
W2110106024,10.1002/14651858.cd003416.pub4,SECONDARY_ART_MULTIPLES,2013,Number of embryos for transfer following in vitro fertilisation or intra-cytoplasmic sperm,bronze,FAILED,"not a PDF — publisher returned b'<htm' (http 412); route blocked, not closed",-,-,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD003416.pub4/pdf/full
W2304227435,10.1056/nejmoa1414827,SECONDARY_ART_MULTIPLES,2015,"Letrozole, Gonadotropin, or Clomiphene for Unexplained Infertility",bronze,FAILED,"not a PDF — publisher returned b'<!DO' (http 403); route blocked, not closed",-,-,https://www.nejm.org/doi/pdf/10.1056/NEJMoa1414827?articleTools=true
W2044283443,10.1136/bmj.g7771,SECONDARY_ART_MULTIPLES,2015,Prevention of multiple pregnancies in couples with unexplained or mild male subfertility: ,hybrid,FAILED,"not a PDF — publisher returned b'erro' (http 429); route blocked, not closed",-,-,https://www.bmj.com/content/bmj/350/bmj.g7771.full.pdf
W2106887960,10.1093/humrep/deh672,SECONDARY_ART_MULTIPLES,2004,Two cycles with single embryo transfer versus one cycle with double embryo transfer: a ran,bronze,FAILED,"not a PDF — publisher returned b'<!DO' (http 403); route blocked, not closed",-,-,https://academic.oup.com/humrep/article-pdf/20/3/702/6953074/deh672.pdf
W4210467869,10.1186/s12958-022-00899-1,SECONDARY_ART_MULTIPLES,2022,Comparisons of benefits and risks of single embryo transfer versus double embryo transfer:,gold,FAILED,"not a PDF — publisher returned b'<!DO' (http 200); route blocked, not closed",-,-,https://rbej.biomedcentral.com/counter/pdf/10.1186/s12958-022-00899-1
W2110998764,10.1186/1472-6874-9-35,SECONDARY_ART_MULTIPLES,2009,The INeS study: prevention of multiple pregnancies: a randomised controlled trial comparin,gold,FAILED,"not a PDF — publisher returned b'<!DO' (http 200); route blocked, not closed",-,-,https://bmcwomenshealth.biomedcentral.com/track/pdf/10.1186/1472-6874-9-35
