study_id,paper_id,doi,title,authors,year,venue,cell,era,shared_with,country,exposure_period_start,exposure_period_end,data_source,population,n_analytic,exposure_measure,outcome_family,outcome_measure,design,evidence_type,identification_source,link_graded,fulltext_decision,fulltext_reason,reverse_causality_tested,pdf_filename,extraction_status,needs_pi,notes
china_2026_seim_fertility_intentions,W7119465607,10.21203/rs.3.rs-8293614/v1,The Use of Sexually Explicit Internet Material and Fertility Intention among Chinese Female Youths: A Life History Theory Approach,NR_in_extract,2026,Research Square preprint,SECONDARY_TECH_FERTILITY,app_era,C.2.h,China,NR,NR,survey,Chinese female youths aged 17-24,2049,Sexually explicit internet material (SEIM) use; permissive sexual attitudes as mediator,fertility,fertility intentions,cross-sectional serial mediation (PROCESS),observational,none,link3_imported_from_A7,INCLUDE_WITH_CAUTION,"Cross-sectional mediation on self-report; the exposure is C.2.h's named sub-mechanism, not partner search.",no,W7119465607__the-use-of-sexually-explicit-internet-material-and-fertility.pdf,extracted,yes,PI Call 2 governs: pornography is C.2.h's named sub-mechanism and this record has no partnering channel at all. Shared tag retained so C.2.h inherits it; A.24 should probably not claim the magnitude.
,W4409795730,10.4337/9781803923383.00019,Dating and online partnership formation,,2025,Edward Elgar Publishing eBooks,PRIMARY_APP_UNION,,,,,,,,,,,,,,,link2_tech_to_union,,,,W4409795730__dating-and-online-partnership-formation.pdf,not_started,,
,W2794330477,10.1080/01972243.2017.1414093,From swiping to casual sex and/or committed relationships: Exploring the experiences of Tinder users,,2018,The Information Society,PRIMARY_APP_UNION,,,,,,,,,,,,,,,link2_tech_to_union,,,,W2794330477__from-swiping-to-casual-sex-and-or-committed-relationships-ex.pdf,not_started,,
,W4285520497,10.5937/cm16-34482,The Internet as marriage middleman: New patterns of love affairs in XXI century,,2021,CM Communication and Media,PRIMARY_APP_UNION,,,,,,,,,,,,,,,link2_tech_to_union,,,,W4285520497__the-internet-as-marriage-middleman-new-patterns-of-love-affa.pdf,not_started,,
,W4399052446,10.3389/fpsyg.2024.1413129,Disembedding and re-embedding: the online interaction mechanisms of divorced youth in China,,2024,Frontiers in Psychology,PRIMARY_APP_UNION,,,,,,,,,,,,,,,link2_tech_to_union,,,,W4399052446__disembedding-and-re-embedding-the-online-interaction-mechani.pdf,not_started,,
,W1613075924,10.1089/cyber.2013.0408,"First Comes Social Networking, Then Comes Marriage? Characteristics of Americans Married 2005–2012 Who Met Through Social Networking Sites",,2014,Cyberpsychology Behavior and Social Networking,PRIMARY_APP_UNION,,,,,,,,,,,,,,,link2_tech_to_union,,,,W1613075924__first-comes-social-networking-then-comes-marriage-characteri.pdf,not_started,,
,W7147533613,10.1007/s12119-026-10582-x,"“Okay, So What Are We?” The Reproduction of Monogamy in Tinder Couples",,2026,Sexuality & Culture,PRIMARY_APP_UNION,,,,,,,,,,,,,,,link2_tech_to_union,,,,W7147533613__okay-so-what-are-we-the-reproduction-of-monogamy-in-tinder.pdf,not_started,,
eharmony_2009_matchmaking_marital_adjustment,W2053775881,10.5964/ijpr.v3isupp2.78,Enhancing Mate Selection through the Internet: A Comparison of Relationship Quality between Marriages arising from an Online Matchmaking System and Marriages arising from Unfettered Selection,NR_in_extract,2009,Interpersona,PRIMARY_APP_UNION,pre_app,,United States,NR,NR,survey of married couples,Married couples introduced by an online matchmaking service vs couples who met by unfettered choice,NR_in_extract,Introduced by an online matchmaking site vs met offline,union quality,"marital adjustment; couple similarity on personality, emotion, interests, values",cross-sectional comparison of two convenience samples,observational,none,link2_tech_to_union,INCLUDE_WITH_CAUTION,Selected samples and an industry-adjacent design; the comparison group is not constructed.,no,W2053775881__enhancing-mate-selection-through-the-internet-a-comparison-o.pdf,extracted,no,"Couples introduced by the matchmaking site were MORE SIMILAR and had SIGNIFICANTLY HIGHER marital adjustment. Against v5, but this is the same evidence line as Cacioppo et al. 2013 and carries the same industry-proximity concern — record it and let risk-of-bias weigh it."
,W2580471444,10.48550/arxiv.1808.02785,Against Marrying a Stranger Marital Matchmaking Technologies in Saudi Arabia,,2018,University of Minnesota Digital Conservancy (University of Minnesota),PRIMARY_APP_UNION,,,,,,,,,,,,,,,link2_tech_to_union,,,,W2580471444__against-marrying-a-stranger-marital-matchmaking-technologies.pdf,not_started,,
japan_2025_ibj_matching_efficiency,W4414286340,10.1016/j.econlet.2025.112617,Nonparametric estimation of matching efficiency and elasticity in a marriage agency platform: 2014–2025,NR_in_extract,2025,Economics Letters,PRIMARY_APP_UNION,app_era,,Japan,2014,2025,"IBJ, Japan's largest structured matching platform (search, dating and matching logs)",Platform users selected into serious marriage search; covers 3.3% of national marriages annually,platform logs,Digital intermediation of marriage search on a structured platform,union formation,monthly matching efficiency and matching elasticities,nonparametric time-varying matching function estimation,observational,none — descriptive of the matching function over time,link2_tech_to_union,INCLUDE,"Direct measurement of the CONVERSION quantity v5 claims falls, on a platform covering 3.3% of Japanese marriages.",no,W4414286340__nonparametric-estimation-of-matching-efficiency-and-elastici.pdf,extracted,no,"MATCHING EFFICIENCY TRIPLES BETWEEN 2014 AND 2025, with diverging elasticities indicating increasingly asymmetric responsiveness. This is the single most direct measurement of v5's claimed quantity anywhere in the readable set — conversion of search into confirmed engagements — and it moves the OPPOSITE way, in the lowest-fertility rich country in the sample. Caveat that decides its weight: users are HIGHLY SELECTED into serious marriage search by costly screening, so it measures the efficiency of an intermediary chosen by people who have already decided to marry, not the conversion rate of casual app use."
,W4391680270,10.33474/jisop.v5i2.20271,Romance in the cloud: Interpersonal communication analysis on relationship stages of online dating,,2023,Jurnal Inovasi Ilmu Sosial dan Politik (JISoP),PRIMARY_APP_UNION,,,,,,,,,,,,,,,link2_tech_to_union,,,,W4391680270__romance-in-the-cloud-interpersonal-communication-analysis-on.pdf,not_started,,
,W4289703777,10.1145/3064663.3064683,"""Against Marrying a Stranger""",,2017,,PRIMARY_APP_UNION,,,,,,,,,,,,,,,link2_tech_to_union,,,,W4289703777__against-marrying-a-stranger.pdf,not_started,,
,W4412065385,10.1093/sf/soaf100,Shifting partnership ideals with online technologies among unmarried women in India,,2025,Social Forces,PRIMARY_APP_UNION,,,,,,,,,,,,,,,link2_tech_to_union,,,,W4412065385__shifting-partnership-ideals-with-online-technologies-among-u.pdf,not_started,,
,W2968915836,10.3389/fpsyg.2019.02010,Polar Similars: Using Massive Mobile Dating Data to Predict Synchronization and Similarity in Dating Preferences,,2019,Frontiers in Psychology,MECHANISM_CHOICE_FRICTION,,,,,,,,,,,,,,,,,,,W2968915836__polar-similars-using-massive-mobile-dating-data-to-predict-s.pdf,not_started,,
,W2177382657,10.1086/651235,Can There Ever Be Too Many Options? A Meta-Analytic Review of Choice Overload,,2010,Journal of Consumer Research,MECHANISM_CHOICE_FRICTION,,,,,,,,,,,,,,,,,,,W2177382657__can-there-ever-be-too-many-options-a-meta-analytic-review-of.pdf,not_started,,
,W2124308317,10.1017/s1930297500000772,Changing her ways: The number of options and mate-standard strength impact mate choice strategy and satisfaction,,2008,Judgment and Decision Making,MECHANISM_CHOICE_FRICTION,,,,,,,,,,,,,,,,,,,W2124308317__changing-her-ways-the-number-of-options-and-mate-standard-st.pdf,not_started,,
,W4318831699,10.19044/esj.2023.v19n2p1,"Internet as a Meeting Place for Spouses: Homogamy, Assortative Mating and Online Dating in Contemporary Italy",,2023,European Scientific Journal ESJ,EXPOSURE_SERIES,,,,,,,,,,,,,,,,,,,W4318831699__internet-as-a-meeting-place-for-spouses-homogamy-assortative.pdf,not_started,,
,W4400895070,10.3897/popecon.8.e104663,Review of the Scientific Literature on the Topic of Online Dating Services in a Demographic and Social Context,,2024,Population and Economics,EXPOSURE_SERIES,,,,,,,,,,,,,,,,,,,W4400895070__review-of-the-scientific-literature-on-the-topic-of-online-d.pdf,not_started,,
,W4403826709,10.1080/1081602x.2024.2417749,The quest for a partner in the past and today: exploring trends and drivers in partner preferences and selection through new sources and approaches,,2024,The History of the Family,EXPOSURE_SERIES,,,,,,,,,,,,,,,,,,,W4403826709__the-quest-for-a-partner-in-the-past-and-today-exploring-tren.pdf,not_started,,
,W4284667841,10.1007/s10508-022-02312-9,Behind the Screens: A Systematic Literature Review of Quantitative Research on Mobile Dating,,2022,Archives of Sexual Behavior,EXPOSURE_SERIES,,,,,,,,,,,,,,,,,,,W4284667841__behind-the-screens-a-systematic-literature-review-of-quantit.pdf,not_started,,
,W4311461250,10.24036/jess.v6i02.425,Analysis of the Motivation and Effect of Using Dating Apps: a Literature Review,,2022,JESS (Journal of Education on Social Science),EXPOSURE_SERIES,,,,,,,,,,,,,,,,,,,W4311461250__analysis-of-the-motivation-and-effect-of-using-dating-apps-a.pdf,not_started,,
,W4403445450,10.1016/j.ijchp.2024.100505,Dating app users: Differences between middle-aged men and women,,2024,International Journal of Clinical and Health Psychology,EXPOSURE_SERIES,,,,,,,,,,,,,,,,,,,W4403445450__dating-app-users-differences-between-middle-aged-men-and-wom.pdf,not_started,,
,W4285811844,10.17265/2159-5526/2022.03.001,Marriage Choices in Contemporary Italy. Couples’ Places of Meeting Between Individualization and Structural Determinants,,2022,Sociology Study,EXPOSURE_SERIES,,,,,,,,,,,,,,,,,,,W4285811844__marriage-choices-in-contemporary-italy-couples-places-of-mee.pdf,not_started,,
