priority,id_strength,cell,year,venue,doi,doi_url,oa_status,why_automation_failed,title,retrieved_by,retrieved_date,notes
30,ASSOCIATIONAL,PRIMARY_WEALTH_OWNER,2017,RePEc: Research Papers in Economics,,,closed,no OA PDF link in OpenAlex,Housing Wealth and Fertility: Australian Evidence,,,
31,ASSOCIATIONAL,PRIMARY_COST_RENTER,2018,국토계획,10.17208/jkpa.2018.02.53.1.137,https://doi.org/10.17208/jkpa.2018.02.53.1.137,closed,no OA PDF link in OpenAlex,The Impact of Regional Housing Price on Marital Status and Childbirth,,,
32,ASSOCIATIONAL,PRIMARY_COST_RENTER,2018,Korean Association for Housing Policy Studies,10.24957/hsr.2018.26.2.163,https://doi.org/10.24957/hsr.2018.26.2.163,closed,no OA PDF link in OpenAlex,The Effects of Regional Housing Prices on the Age at Marriage and the Timing of First and Second Childbirths,,,
33,ASSOCIATIONAL,PRIMARY_SPACE_QUANTITY,2018,Housing Studies,10.1080/02673037.2018.1458288,https://doi.org/10.1080/02673037.2018.1458288,hybrid,publisher blocked automated fetch (403),Housing context and childbearing in Sweden: a cohort study,,,
34,ASSOCIATIONAL,PRIMARY_COST_RENTER,2019,SSRN Electronic Journal,10.2139/ssrn.3438830,https://doi.org/10.2139/ssrn.3438830,green,no OA PDF link in OpenAlex,Housing Booms and Busts and Family Formation of Young Generations,,,
35,ASSOCIATIONAL,PRIMARY_COST_RENTER,2020,China Economic Review,10.1016/j.chieco.2020.101496,https://doi.org/10.1016/j.chieco.2020.101496,closed,no OA PDF link in OpenAlex,"House price, fertility rates and reproductive intentions",,,
36,ASSOCIATIONAL,PRIMARY_COST_RENTER,2020,Population Space and Place,10.1002/psp.2413,https://doi.org/10.1002/psp.2413,closed,no OA PDF link in OpenAlex,"Housing costs, self‐employment, and fertility",,,
37,ASSOCIATIONAL,PRIMARY_COST_RENTER,2020,Economic Analysis and Policy,10.1016/j.eap.2020.01.005,https://doi.org/10.1016/j.eap.2020.01.005,closed,no OA PDF link in OpenAlex,Are housing property rights important for fertility outcomes in China? Empirical evidence and policy issues,,,
38,ASSOCIATIONAL,PRIMARY_COST_RENTER,2020,Korean Journal of Human Ecology,10.5934/kjhe.2020.29.5.765,https://doi.org/10.5934/kjhe.2020.29.5.765,closed,no OA PDF link in OpenAlex,The Effects of the Housing Price and Provision on the Total Fertility Rate in Seoul,,,
39,ASSOCIATIONAL,PRIMARY_WEALTH_OWNER,2021,Journal of Housing Economics,10.1016/j.jhe.2021.101787,https://doi.org/10.1016/j.jhe.2021.101787,closed,no OA PDF link in OpenAlex,"Housing wealth, fertility intentions and fertility",,,
40,ASSOCIATIONAL,PRIMARY_WEALTH_OWNER,2021,Journal of Population Economics,10.1007/s00148-021-00879-6,https://doi.org/10.1007/s00148-021-00879-6,closed,no OA PDF link in OpenAlex,Housing wealth and fertility: evidence from China,,,
41,ASSOCIATIONAL,PRIMARY_WEALTH_OWNER,2021,Econstor (Econstor),,,closed,no OA PDF link in OpenAlex,"No Flat, No Child in Singapore: Cointegration Analysis of Housing, Income, and Fertility",,,
42,ASSOCIATIONAL,PRIMARY_SPACE_QUANTITY,2022,Operations Research and Fuzziology,10.12677/orf.2022.123112,https://doi.org/10.12677/orf.2022.123112,closed,no OA PDF link in OpenAlex,The Influence of Housing Conditions on Childbearing Willingness of Childbearing Age Groups—Empirical Analysis from CSS2019 Data,,,
43,ASSOCIATIONAL,PRIMARY_WEALTH_OWNER,2022,International Regional Science Review,10.1177/01600176211066472,https://doi.org/10.1177/01600176211066472,closed,no OA PDF link in OpenAlex,Impacts of Housing Booms on Fertility in China: A Perspective From Homeownership,,,
44,ASSOCIATIONAL,PRIMARY_COST_RENTER,2023,Regional Science and Urban Economics,10.1016/j.regsciurbeco.2023.103920,https://doi.org/10.1016/j.regsciurbeco.2023.103920,closed,no OA PDF link in OpenAlex,Do housing booms reduce fertility intentions? Evidence from the new two-child policy in China,,,
45,ASSOCIATIONAL,PRIMARY_COST_RENTER,2023,Population Research and Policy Review,10.1007/s11113-023-09844-5,https://doi.org/10.1007/s11113-023-09844-5,closed,no OA PDF link in OpenAlex,"The Impact of Supportive Housing Policy Scenarios on Marriage and Fertility Intentions: A Vignette Survey Experimental Study in Shanghai, China",,,
46,ASSOCIATIONAL,PRIMARY_COST_RENTER,2023,Applied Economics Letters,10.1080/13504851.2023.2186350,https://doi.org/10.1080/13504851.2023.2186350,closed,no OA PDF link in OpenAlex,The impacts of house prices on floating population’s fertility intentions – evidence from China,,,
47,ASSOCIATIONAL,PRIMARY_COST_RENTER,2023,Sustainability,10.3390/su15043093,https://doi.org/10.3390/su15043093,gold,publisher blocked automated fetch (403),How Do House Prices and Financial Expenditure Affect Birth Rate? New Evidence from the Dynamic Threshold Panel Model,,,
48,ASSOCIATIONAL,PRIMARY_COST_RENTER,2023,대한부동산학회지,10.37407/kres.2023.41.1.141,https://doi.org/10.37407/kres.2023.41.1.141,closed,no OA PDF link in OpenAlex,The Impact of Regional Income and Housing Price on Fertility Rate,,,
49,ASSOCIATIONAL,PRIMARY_COST_RENTER,2023,Modern Management,10.12677/mm.2023.133026,https://doi.org/10.12677/mm.2023.133026,closed,no OA PDF link in OpenAlex,Live in Peace and Enjoy Education: Research on the Impact of Housing Property Rights on Fertility Intention,,,
50,ASSOCIATIONAL,PRIMARY_COST_RENTER,2023,Applied economics and policy studies,10.1007/978-981-99-6441-3_92,https://doi.org/10.1007/978-981-99-6441-3_92,closed,no OA PDF link in OpenAlex,Research on the Birth Inhibition Effect of House Prices in China-A Tianjin-Beijing-Hebei Regional Case Study,,,
51,ASSOCIATIONAL,PRIMARY_WEALTH_OWNER,2023,SSRN Electronic Journal,10.2139/ssrn.4476426,https://doi.org/10.2139/ssrn.4476426,green,no OA PDF link in OpenAlex,"Two-Child Policy, Housing Wealth Stratification and Multi-Child Birth Rate",,,
52,ASSOCIATIONAL,PRIMARY_COST_RENTER,2024,International Sociology,10.1177/02685809241257863,https://doi.org/10.1177/02685809241257863,closed,no OA PDF link in OpenAlex,Housing prices and family fertility decision-making in China: Effect and mechanism,,,
53,ASSOCIATIONAL,PRIMARY_COST_RENTER,2024,Review of Economics of the Household,10.1007/s11150-024-09748-z,https://doi.org/10.1007/s11150-024-09748-z,closed,no OA PDF link in OpenAlex,"Housing prices, social security, and fertility rate",,,
54,ASSOCIATIONAL,PRIMARY_WEALTH_OWNER,2024,부동산학연구,10.19172/kreaa.30.3.3,https://doi.org/10.19172/kreaa.30.3.3,closed,no OA PDF link in OpenAlex,The Effect of Housing Wealth on Fertility among Home-Owning Households,,,
55,ASSOCIATIONAL,PRIMARY_COST_RENTER,2025,Population Space and Place,10.1002/psp.70131,https://doi.org/10.1002/psp.70131,hybrid,publisher blocked automated fetch (403),Housing Expenditure and Births in Italy,,,
56,ASSOCIATIONAL,PRIMARY_COST_RENTER,2025,,10.1007/978-3-031-64447-4_11,https://doi.org/10.1007/978-3-031-64447-4_11,closed,no OA PDF link in OpenAlex,Housing Insecurity and First Births in Italy,,,
57,ASSOCIATIONAL,PRIMARY_COST_RENTER,2025,Applied economics and policy studies,10.1007/978-981-96-3236-7_25,https://doi.org/10.1007/978-981-96-3236-7_25,closed,no OA PDF link in OpenAlex,Impact of Housing Prices on Fertility Rates in China: An Empirical Analysis,,,
58,ASSOCIATIONAL,PRIMARY_COST_RENTER,2025,국토계획,10.17208/jkpa.2025.02.60.1.127,https://doi.org/10.17208/jkpa.2025.02.60.1.127,closed,no OA PDF link in OpenAlex,The Effects of Housing Market Volatility on the Fertility Rate,,,
59,ASSOCIATIONAL,PRIMARY_COST_RENT_IDENTIFIED,2026,SSRN Electronic Journal,10.2139/ssrn.6274479,https://doi.org/10.2139/ssrn.6274479,green,no OA PDF link in OpenAlex,"Working from Home, Land Rents, and Fertility",,,
