openalex,doi,year,title,venue,stratum,cell,arm,screened_by,screened_on,note
W7167268249,10.58213/y3g3hh83,2024,An Empirical Investigation on The Factors That Impact Women's Empowerment in Karur District,Vidhyayana,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W3188646301,10.1086/727798,2023,"Selection, Patience, and the Interest Rate",Journal of Political Economy Macroeconomics,both_channels,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4321349454,10.31235/osf.io/58pe6,2023,The Causal Effect of Women’s’ Participation in Microfinance Program on Their Likelihood of Experiencing Intimate Partner Violence,,both_channels,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4385055356,10.1093/socpro/spad037,2023,Wealth and the Transition to Motherhood,Social Problems,both_channels,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4313461094,10.1215/9781478023838-013,2023,Hope for the Future,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4313461099,10.1215/9781478023838-012,2023,Ongoing,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4313461109,10.1215/9781478023838-014,2023,May 2017,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4313461139,10.1215/9781478023838-011,2023,The Hunt for Yes,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4313461140,10.1215/9781478023838-010,2023,February 2018,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4313462042,10.1215/9781478023838-003,2023,May Analyze like a Capitalist,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4313465208,10.1215/9781478023838-004,2023,June 2017,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4313465290,10.1215/9781478023838-002,2023,Late May 2017,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4313465348,10.1215/9781478023838-005,2023,Ethical Vampires,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4313465349,10.1215/9781478023838-007,2023,Marxists in the Microbank,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4313465357,10.1215/9781478023838-006,2023,October 2017,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4313465392,10.1215/9781478023838-009,2023,Representing Inclusion,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4313465396,10.1215/9781478023838-008,2023,December 2017,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4313522082,10.1215/9781478023838-001,2023,Capitalist Humanitarianism,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4387666727,10.4018/joeuc.332245,2023,Regional Culture and Digital Financial Inclusion in China,Journal of Organizational and End User Computing,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4389431553,10.1016/j.iref.2023.12.001,2023,Digital financial inclusion and tourism development,International Review of Economics & Finance,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4313252107,10.1016/j.ribaf.2022.101862,2022,Digital financial inclusion. Visualizing the academic literature,Research in International Business and Finance,both_channels,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4313690340,10.2139/ssrn.4261199,2022,"The Cyclicality of Births and Babies’ Health, Revisited: Evidence from Unemployment Insurance",SSRN Electronic Journal,both_channels,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4221108595,10.1086/719966,2022,Labor Market Discrimination against Family Responsibilities: A Correspondence Study with Policy Change in China,Journal of Labor Economics,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4281388680,10.1073/pnas.2200279119,2022,The causal effect of a family planning intervention on women’s contraceptive use and birth spacing,Proceedings of the National Academy of Sciences,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4281859719,10.1080/00220388.2022.2081501,2022,Infant Mortality and Desired Fertility: The Case of the Free Health Care Initiative in Sierra Leone,The Journal of Development Studies,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4313331266,10.1177/24551333221141570,2022,Exploring the Gender Dimension in Financial Inclusion in India: Insights from the Global Findex Database,Journal of Development Policy and Practice,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4385832897,10.46254/af03.20220069,2022,Toward the Achievement of Goal 2 of SDGs: Are Indonesian Children Well Fed? The Impacts of Mother’s Internet Usage and Financial Empowerment on the Infant and Young Child Feeding Practice,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W3175718361,10.1016/j.worlddev.2021.105552,2021,Is landownership a ladder out of poverty?,World Development,both_channels,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W3013022547,10.1016/j.iref.2021.03.014,2021,Financial inclusion and economic growth: The role of governance in selected MENA countries,International Review of Economics & Finance,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W3016054946,10.1016/j.worlddev.2021.105534,2021,Can weak ties create social capital? Evidence from Self-Help Groups in rural India,World Development,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W3120514773,10.1016/j.worlddev.2020.105313,2021,Women’s reproductive health and economic activity: A narrative review,World Development,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W3128877112,10.1177/0160017621989421,2021,Human Capital and International Capital Flows: Evidence from China,International Regional Science Review,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W3153097645,10.3846/tede.2021.14508,2021,IMPACT OF MOBILE PHONES AND INTERNET USE ON FINANCIAL INCLUSION: EMPIRICAL EVIDENCE FROM THE EU POST-COMMUNIST COUNTRIES,Technological and Economic Development of Economy,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W3161482878,10.1080/00220388.2021.1919631,2021,Digitally Down to the Countryside: Fintech and Rural Development in China,The Journal of Development Studies,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W3168440355,10.1016/j.worlddev.2021.105574,2021,Enforcing government policies: The role of state-owned enterprise in China’s one child policy,World Development,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W3169365608,10.1007/978-3-030-70948-8_6,2021,Financial Inclusion as a Complementary Strategy to Address the SDGs for Society,Sustainable development goals series,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W3171272810,10.1136/bmjopen-2020-045952,2021,Women’s empowerment and fertility decision-making in 53 low and middle resource countries: a pooled analysis of demographic and health surveys,BMJ Open,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W3190727261,10.1111/sifp.12171,2021,Birth Collapse and a Large‐Scale Access Intervention with Subdermal Contraceptive Implants,Studies in Family Planning,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W3191646389,10.1016/j.iref.2021.07.018,2021,Does digital finance promote manufacturing servitization: Micro evidence from China,International Review of Economics & Finance,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W3199750853,10.4324/9781003008828-5,2021,Outreach and Empowerment,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W3216977371,10.1111/rode.12846,2021,Digital inclusive finance and urban innovation: Evidence from China,Review of Development Economics,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4200564011,10.1111/jomf.12815,2021,Desired fertility and educational aspirations: Adolescent goals in rapidly changing social contexts,Journal of Marriage and the Family,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W3049703514,10.33915/etd.7755,2020,Essays in Development Economics,,both_channels,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2944829317,10.1016/j.jmoneco.2020.01.003,2020,"Distinguishing constraints on financial inclusion and their impact on GDP, TFP, and the distribution of income",Journal of Monetary Economics,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2999720768,10.1007/s12134-019-00754-0,2020,Empowered by Absence: Does Male Out-migration Empower Female Household Heads Left Behind?,Journal of International Migration and Integration / Revue de l integration et de la migration internationale,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W3006968904,10.1111/cwe.12312,2020,Digital Financial Inclusion and Consumption Smoothing in China,China & World Economy,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W3009270836,10.1111/jomf.12672,2020,"No More Babies without Help for Whom? Education, Division of Labor, and Fertility Intentions",Journal of Marriage and the Family,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W3023318991,10.1111/joes.12367,2020,IMPACT OF FINANCIAL INCLUSION IN LOW‐ AND MIDDLE‐INCOME COUNTRIES: A SYSTEMATIC REVIEW OF REVIEWS,Journal of Economic Surveys,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W3038272160,10.1002/psp.2342,2020,Shifting links in the relationship between education and fertility,Population Space and Place,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W3134996317,,2020,Birth Collapse and Long-Acting Reversible Contraceptive Policies,RePEc: Research Papers in Economics,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2594234738,10.17615/hwsy-8p08,2019,"Microfinance, health, and empowerment: Evaluating the effect of an integrated intervention on client revenue and profit in Benin",Carolina Digital Repository (University of North Carolina at Chapel Hill),snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2920968271,10.1080/10911359.2019.1587730,2019,Women’s microfinance participation and HIV literacy in Bangladesh: results from a nationally representative study,Journal of Human Behavior in the Social Environment,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2951243890,10.7189/jogh.09.010435,2019,Evaluating an MFI Community Health Worker Program: How microfinance group networks influence intervention outreach and impact,Journal of Global Health,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2964233366,10.1007/978-981-13-8082-2,2019,Societal Development in Rural China,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2973338680,10.1016/j.econmod.2019.09.027,2019,The impact of digital finance on household consumption: Evidence from China,Economic Modelling,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2805340188,10.1257/aer.20170748,2018,Escaping Malthus: Economic Growth and Fertility Change in the Developing World,American Economic Review,both_channels,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2258516123,10.1093/jae/ejx042,2018,The Demand for Reproductive Health Care,Journal of African Economies,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2599184542,10.1016/j.jdeveco.2018.06.010,2018,Improving or disappearing: Firm-level adjustments to minimum wages in China,Journal of Development Economics,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2789606400,10.1002/fee.1777,2018,Nudging pro‐environmental behavior: evidence and opportunities,Frontiers in Ecology and the Environment,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2790177397,10.1007/s11135-018-0713-x,2018,The impact of women’s education and employment on their empowerment: an empirical evidence from household level survey,Quality & Quantity,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2793185538,10.1016/j.hjdsi.2017.12.003,2018,Expanding access to primary healthcare for women through a microfinance institution: A case study from rural Guatemala,Healthcare,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2807681204,10.12688/gatesopenres.12755.2,2018,Evaluating the impact of integrated development: are we asking the right questions? A systematic review,Gates Open Research,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2810407119,10.1080/01488376.2018.1476287,2018,Microfinance Participation and Women's Empowerment: Evidence from a Nationally Representative Sample of Women in Bangladesh,Journal of Social Service Research,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2903546372,,2018,Exploring the influence of interest free microfinance programmes on empowerment of the participating women borrowers in Pakistan : an interpretative inquiry,University of Salford Institutional Repository (University of Salford),snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2908927346,10.15294/jejak.v11i2.16051,2018,Women’s Control Over Economic Resources Effect to Family Welfare,Jejak (Jurnal Ekonomi dan Kebijakan)/Jejak,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W4255541467,10.23943/princeton/9780691171739.003.0008,2017,Conclusion,Princeton University Press eBooks,both_channels,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2571143398,10.1002/hec.3465,2017,Do Targeted Reproductive Health Services Matter? – The Impact of a Midwife Program in Indonesia,Health Economics,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2586377455,10.1111/padr.12030,2017,Fertility Desires and the Course of Fertility Decline in sub‐Saharan Africa,Population and Development Review,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2610942192,10.1080/00220388.2017.1400017,2017,Female Land Ownership and Fertility in Nepal,The Journal of Development Studies,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2736179794,10.1007/s13524-017-0592-0,2017,Fertility Intentions and Residential Relocations,Demography,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2755234252,10.1007/978-3-319-60417-6_17,2017,Economic Empowerment to Improve Sexual and Reproductive Health Among Women and Girls,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2765392606,10.2139/ssrn.3054894,2017,Lifecycle Contraceptive Choice in Sub-Saharan Africa,SSRN Electronic Journal,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2767185910,10.1080/07399332.2017.1395028,2017,Guatemalan women achieve ideal family size: Empowerment through education and decision-making,Health Care For Women International,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2767246638,10.1377/hlthaff.2017.0281,2017,Microfinance Institutions’ Successful Delivery Of Micronutrient Powders: A Randomized Trial In Rural Haiti,Health Affairs,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2767497269,10.12688/gatesopenres.12755.1,2017,Evaluating integrated development: are we asking the right questions? A systematic review,Gates Open Research,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W2775104964,,2017,Essays on International Trade and Finance: An Empirical Assessment of Food Safety and Banking Crises,,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
W566149836,,2017,"Ethiopia demographic and health survey, 2000",,snowball_r2_only,OFF_OTHER_read_not_routed,,Shravan/Claude,2026-09-01,read at title/abstract; no C.3.e estimand
