id,job,year,arm,title,A1_1_counterfactual,A1_2_denominator,A1_3_ascertainment,A1_4_postponement_feedback,A2_1_treatment_attenuation,A2_2_exposure_estimand_distance,A2_3_policy_endogeneity,A2_4_shock_direction,overall
W2566343964,A2_IDENTIFIED,2017,arm2_estimate,Can Women Have Children and a Career? IV Evidence from IVF Treatments,,,,,SERIOUS,MODERATE,MODERATE,LOW,SERIOUS
W2959688822,A2_IDENTIFIED,2019,arm2_estimate,The Impact of the Ontario Fertility Program on Duplicate Fertility Consultations,,,,,LOW,SERIOUS,MODERATE,LOW,SERIOUS
W3115571668,A2_IDENTIFIED,2020,arm2_estimate,Effect of inclusion of assisted reproductive technologies in the state health in,,,,,SERIOUS,SERIOUS,MODERATE,LOW,SERIOUS
W3191732024,A2_IDENTIFIED,2021,arm2_estimate,Household income and medical help-seeking for fertility problems among a represe,,,,,LOW,SERIOUS,MODERATE,LOW,SERIOUS
W4297464366,A2_IDENTIFIED,2022,arm2_estimate,What Features of Fertility Treatment do Patients Value? Price Elasticity and Wil,,,,,SERIOUS,SERIOUS,MODERATE,LOW,SERIOUS
W4393989606,A2_IDENTIFIED,2024,arm1_counting,Feasibility analysis of China's medical insurance coverage of assisted reproduct,SERIOUS,MODERATE,MODERATE,SERIOUS,,,,,SERIOUS
W4417321594,A2_IDENTIFIED,2025,arm2_estimate,When states require fully insured employers to cover in vitro fertilization (IVF,,,,,SERIOUS,SERIOUS,MODERATE,LOW,SERIOUS
W2899333608,A4_P5_CONVERSION,2018,arm1_counting,Reproductive outcomes after oocyte banking for fertility preservation,n/a,MODERATE,MODERATE,SERIOUS,,,,,SERIOUS
W3200409296,A4_P5_CONVERSION,2021,arm1_counting,Oocyte Cryopreservation at a Young Age Provides an Effective Strategy for Expand,SERIOUS,MODERATE,MODERATE,SERIOUS,,,,,SERIOUS
W4414889755,A4_P5_CONVERSION,2025,neither,Exploring the Fertility Needs of Women Before and After Oocyte Freezing for Medi,,,,,,,,,n/a
W4408117139,A5_P6_BEHAVIOUR,2025,neither,Longitudinal study of family formation in 892 women and 193 men 8 years after vi,,,,,,,,,n/a
W3092390609,A5_P6_BEHAVIOUR,2020,neither,Women’s perceptions of fertility assessment and counselling 6 years after attend,,,,,,,,,n/a
W3210979915,A5_P6_BEHAVIOUR,2021,neither,Late Fertility Intentions and Fertility in Austria,,,,,,,,,n/a
W2909656495,A5_P6_BEHAVIOUR,2019,neither,Running out of time? Understanding the consequences of the biological clock for ,,,,,,,,,n/a
W7160175956,A5_P6_BEHAVIOUR,2026,arm2_estimate,Perceptions of Medically Assisted Reproduction and Fertility Postponement: Limit,,,,,LOW,MODERATE,MODERATE,LOW,MODERATE
W2765482846,A5_P6_BEHAVIOUR,2021,neither,"Childbearing postponement, its option value, and the biological clock",,,,,,,,,n/a
W2571030681,C_EXPOSURE_SERIES,2017,neither,Systematic review of worldwide trends in assisted reproductive technology 2004–2,,,,,,,,,n/a
W4213171919,C_EXPOSURE_SERIES,2022,neither,"Assisted Reproductive Technology Surveillance — United States, 2018",,,,,,,,,n/a
