work_id,doi,band,cell,in_realized_pool,in_stated_pool,in_family_pool,in_wall5_sample,outcome_level,year,venue,oa_status,pdf_url,download_status,detail,bytes,file,title
W2068369133,10.1002/j.2326-4624.2013.tb00006.x,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,2013,,bronze,,failed,not_pdf_html_paywall,0,,Education and Population: Closely Linked Trajectories for Pakistan
W1587434697,10.3386/w18016,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,2012,,green,https://doi.org/10.3386/w18016,downloaded,ok,466586,W1587434697__empowering-women-through-education-evidence-from-sierra-leon.pdf,Empowering Women Through Education: Evidence from Sierra Leone
W2130597491,,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,2010,,closed,,no_oa_url,closed,0,,"The effect of schooling on fertility, labor market participation and children's outcomes, evidence from Ecuador"
W388972784,,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,2009,,green,,failed,not_pdf_html_paywall,0,,The role of unobserved heterogeneity in transition to higher parity : evidence from Italy using Multiscopo survey
W2075588407,10.1017/s0021932008002782,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,2008,,closed,,no_oa_url,closed,0,,MODERNIZATION OR CULTURAL MAINTENANCE: THE PRACTICE OF CONSANGUINEOUS MARRIAGE IN IRAN
W2006705160,10.3386/w13070,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,2007,,green,https://doi.org/10.3386/w13070,downloaded,ok,422459,W2006705160__does-female-schooling-reduce-fertility-evidence-from-nigeria.pdf,Does Female Schooling Reduce Fertility? Evidence from Nigeria
W42920192,,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,2007,,closed,,no_oa_url,closed,0,,RETURNS TO EDUCATION The Case of Fertility
W2108834498,10.1017/s0021932005026489,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,2005,,closed,,no_oa_url,closed,0,,WOMEN’S EDUCATIONAL ATTAINMENT AND INTERGENERATIONAL PATTERNS OF FERTILITY BEHAVIOUR IN KENYA
W1549797823,10.3386/w10513,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,2004,,green,https://doi.org/10.3386/w10513,downloaded,ok,289043,W1549797823__the-impact-of-education-on-fertility-and-child-mortality-do-.pdf,The Impact of Education on Fertility and Child Mortality: Do Fathers Really Matter Less Than Mothers?
W2057145916,10.1111/j.0022-2445.2004.00083.x,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,2004,,closed,,no_oa_url,closed,0,,"Social change, premarital nonfamily experiences, and marital dynamics"
W2067618881,10.1086/375519,wall5_unresolved_schooling,PRIMARY_SCHOOLING_IDEATIONAL,False,True,False,True,STATED_INTENTION_OR_IDEAL,2003,Economic Development and Cultural Change,closed,,no_oa_url,closed,0,,Schooling Opportunities for Girls as a Stimulus for Fertility Change in Rural Pakistan
W2144489347,10.1111/j.1728-4457.2000.00483.x,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,2000,,closed,,no_oa_url,closed,0,,The Spread of Primary Schooling in sub‐Saharan Africa: Implications for Fertility Change
W1925386910,,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,1996,,green,,failed,curl_error:52,0,,The first generation with mass schooling and the fertility transition: the case of Sri Lanka.
W2043596752,10.2307/2137805,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,1996,,closed,,no_oa_url,closed,0,,Post-Cairo Population Policy: Does Promoting Girls' Schooling Miss the Mark?
W1974071719,10.1177/002071529603700103,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,1996,,closed,,no_oa_url,closed,0,,"Educating Girls in the Third World: The Demographic, Basic Needs, and Economic Benefits"
W2055706420,10.1080/00380237.1996.10570638,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,1996,,closed,,no_oa_url,closed,0,,"Determinants of Marital Fertility in Pakistan: The Impact of Education, Work and Family Planning"
W2100053498,10.2307/2133523,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,1995,,closed,,no_oa_url,closed,0,,The Impact of Women's Education on Fertility In Latin America: Searching for Explanations
W2015383232,10.2307/2096321,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,1995,,closed,,no_oa_url,closed,0,,The Influence of School Enrollment and Accumulation on Cohabitation and Marriage in Early Adulthood
W2050754079,10.1017/s0021932000021829,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,1993,,closed,,no_oa_url,closed,0,,Does women's literacy affect desired fertility and contraceptive use in rural–urban Pakistan?
W2095480544,10.2307/2061422,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,1991,,bronze,,failed,not_pdf_html_paywall,0,,Gender and changing generational relations: Spouse choice in Indonesia
W2060353279,10.2307/2060910,wall5_unresolved_schooling,MECHANISM_UNRESOLVED_SCHOOLING,False,False,False,True,,1984,,bronze,,failed,not_pdf_html_paywall,0,,"The threshold hypothesis: evidence from less developed Latin American countries, 1950 to 1980"
W4412065385,10.1093/sf/soaf100,stated_intention_or_ideal,PRIMARY_MEDIA_WESTERN_MODEL,False,True,False,False,STATED_INTENTION_OR_IDEAL,2025,Social Forces,hybrid,https://ddd.uab.cat/pub/artpub/2025/319903/soaf100.pdf,downloaded,ok,1276838,W4412065385__shifting-partnership-ideals-with-online-technologies-among-u.pdf,Shifting partnership ideals with online technologies among unmarried women in India
W4319336851,10.1525/sod.2022.0007,stated_intention_or_ideal,PRIMARY_DI_BELIEF,False,True,False,False,STATED_INTENTION_OR_IDEAL,2023,Sociology of Development,closed,,no_oa_url,closed,0,,Developmental Idealism and Beliefs about Marriage in the United States
W4237795700,10.21608/jarts.2019.81628,stated_intention_or_ideal,PRIMARY_WESTERN_CONTACT,False,True,False,False,STATED_INTENTION_OR_IDEAL,2019,مجلة کلیة الآداب القاهرة,bronze,,failed,curl_error:28,0,,الهجرة العائدة وإعادة تشکیل الثقافة الإنجابیة دراسة میدانیة للعائدین من مجتماعات غریبة
W163572949,,stated_intention_or_ideal,PRIMARY_WESTERN_CONTACT,False,True,False,False,STATED_INTENTION_OR_IDEAL,2011,Deep Blue (University of Michigan),closed,,no_oa_url,closed,0,,"Social exclusion and social change: Access to, and influence of, community-based collective action programs in Nepal"
W2644232913,,stated_intention_or_ideal,PRIMARY_DI_BELIEF,False,True,False,False,STATED_INTENTION_OR_IDEAL,2006,,closed,,no_oa_url,closed,0,,Developmental idealism and changing models of marriage.
W2002792116,10.1111/j.1728-4457.2000.00725.x,stated_intention_or_ideal,PRIMARY_DI_BELIEF,False,True,False,False,STATED_INTENTION_OR_IDEAL,2000,Population and Development Review,closed,,no_oa_url,closed,0,,"Local and Foreign Models of Reproduction in Nyanza Province, Kenya"
W4410396406,10.1080/01494929.2025.2495688,family_formation_behaviour,PRIMARY_MEDIA_WESTERN_MODEL,False,False,True,False,FAMILY_FORMATION_BEHAVIOUR,2025,Marriage & Family Review,closed,,no_oa_url,closed,0,,Does Internet Adoption Decrease Child Marriage Prevalence in Indonesia?
W4389146248,10.1111/jomf.12948,family_formation_behaviour,PRIMARY_WESTERN_CONTACT,False,False,True,False,FAMILY_FORMATION_BEHAVIOUR,2023,Journal of Marriage and the Family,bronze,,failed,not_pdf_html_paywall,0,,"Societal transitions, ethnolinguistic identities, and marital conservatism in Central Asia"
W2274636106,10.17615/x6qc-tf25,family_formation_behaviour,PRIMARY_DI_BELIEF,False,False,True,False,FAMILY_FORMATION_BEHAVIOUR,2019,Carolina Digital Repository (University of North Carolina at Chapel Hill),green,,failed,not_pdf_html_paywall,0,,Issues of marriage timing in different cultural contexts
W2883857140,10.1093/sf/soy070,family_formation_behaviour,PRIMARY_WESTERN_CONTACT,False,False,True,False,FAMILY_FORMATION_BEHAVIOUR,2018,Social Forces,closed,,no_oa_url,closed,0,,Coming Out of the Penumbras: World Culture and Cross-National Variation in Divorce Rates
W2285916547,10.1177/0192513x15594205,family_formation_behaviour,PRIMARY_WESTERN_CONTACT,False,False,True,False,FAMILY_FORMATION_BEHAVIOUR,2015,Journal of Family Issues,closed,,no_oa_url,closed,0,,Impacts of Migration on Marriage Arrangement: A Comparison of Turkish Families in Turkey and Western Europe
W2136569841,10.1111/jomf.12003,family_formation_behaviour,PRIMARY_DI_BELIEF,False,False,True,False,FAMILY_FORMATION_BEHAVIOUR,2013,Journal of Marriage and the Family,green,,failed,"not_pdf_html_paywall,empty_or_tiny",0,,Schemas of Marital Change: From Arranged Marriages to Eloping for Love
W1778192016,10.1086/498468,family_formation_behaviour,PRIMARY_MEDIA_WESTERN_MODEL,False,False,True,False,FAMILY_FORMATION_BEHAVIOUR,2006,American Journal of Sociology,closed,,no_oa_url,closed,0,,"Social Change, Premarital Nonfamily Experience, and Spouse Choice in an Arranged Marriage Society"
W2160150825,10.1353/sof.2005.0023,family_formation_behaviour,PRIMARY_WESTERN_CONTACT,False,False,True,False,FAMILY_FORMATION_BEHAVIOUR,2004,Social Forces,closed,,no_oa_url,closed,0,,Marriage Timing in Nepal: Organizational Effects and Individual Mechanisms
W2529048722,,family_formation_behaviour,PRIMARY_WESTERN_CONTACT,False,False,True,False,FAMILY_FORMATION_BEHAVIOUR,1995,Journal of Comparative Family Studies,closed,,no_oa_url,closed,0,,Freedom of Partner Choice in Togo
W1569975350,,family_formation_behaviour,PRIMARY_WESTERN_CONTACT,False,False,True,False,FAMILY_FORMATION_BEHAVIOUR,1992,,closed,,no_oa_url,closed,0,,A Reappraisal of the Status of Women and Nuptiality in Sub-Saharan Africa
