openalex_id,doi,job,oa_status,host,result,note,title
W4410883232,10.1016/j.reprotox.2025.108960,B_held,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Use of serotonin reuptake inhibitors (SSRIs) and serotonin and norepinephrine reuptake inh
W4394957444,10.1111/andr.13646,B_held,green,University of Southern Denmark Research Portal (University of Southern Denmark),OK/OK,"University of Southern:http 200, 703 KB; text: 48 KB text",Paternal use of selective serotonin reuptake inhibitors and adverse health outcomes: A nat
W4404756268,10.1891/ehpp-2023-0024,B_held,closed,,FAILED,europepmc:not in Europe PMC,Sexual and Fertility Effects of Selective Serotonin Reuptake Inhibitors: What Role for Inf
W4387765683,10.1089/jwh.2022.0484,C_parameter,green,PubMed Central,FAILED,"PubMed Central:http 200, body too small; europepmc:epmc hit but not OA (pmcid=PMC10621660)",Age-Dependent Sex Differences in the Prevalence of Selective Serotonin Reuptake Inhibitor 
W2169730085,10.1016/j.jad.2014.06.015,C_parameter,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Prevalence and sociodemographic patterns of antidepressant use among women of reproductive
W3133243241,10.1177/1403494820987468,C_parameter,green,University of Southern Denmark Research Portal (University of Southern Denmark),FAILED,europepmc:epmc hit but not OA (pmcid=PMC8377090),Paternal prescription medication before conception: A retrospective cohort study of all bi
W2766203803,10.1159/000480456,C_parameter,green,Pure Amsterdam UMC,FAILED,"Pure Amsterdam UMC:http 403, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=none)",Long-Term and Short-Term Antidepressant Use in General Practice: Data from a Large Cohort 
W2135286485,10.1176/ps.2010.61.4.386,C_parameter,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Pregnancy-Related Discontinuation of Antidepressants and Depression Care Visits Among Medi
W2092207207,10.4088/pcc.10m00998blu,C_parameter,green,PubMed Central,FAILED,europepmc:epmc hit but not OA (pmcid=PMC3121212),Failure to Fill Electronically Prescribed Antidepressant Medications
W2258651333,10.1371/journal.pone.0144474,C_parameter,gold,PLoS ONE,OK/OK,already present,Use of SSRI and SNRI Antidepressants during Pregnancy: A Population-Based Study from Denma
W2147227021,10.1136/bmjopen-2013-003024,C_parameter,gold,BMJ Open,OK/OK,"BMJ Open:http 403, not a PDF (publisher interstitial or paywall page); europepmc:Europe PMC PMC3731776, 29 KB text",Use of selective serotonin reuptake inhibitors and lifestyle among women of childbearing a
W4402773778,10.1016/j.socscimed.2024.117356,C_parameter,hybrid,Social Science & Medicine,FAILED,europepmc:epmc hit but not OA (pmcid=none),"Own depression, partner's depression, and childlessness: A nationwide register-based study"
W4307111698,10.1016/j.ajog.2022.10.016,C_parameter,hybrid,American Journal of Obstetrics and Gynecology,FAILED,"American Journal of Ob:http 403, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=none)",Association between depression and the likelihood of having children: a nationwide registe
W4412476094,10.1007/s10680-025-09739-5,C_parameter,hybrid,European Journal of Population / Revue européenne de Démographie,OK/OK,"European Journal of Po:http 200, not a PDF (publisher interstitial or paywall page); europepmc:Europe PMC PMC12267794, 87 KB text",Fertility among Norwegian Women and Men with Mental Disorders
W2168144181,10.1111/j.1600-0447.1980.tb00609.x,C_parameter,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Fertility of psychiatric first admissions in Norway 1936–1975
W4397024423,10.1093/hropen/hoae032,C_parameter,gold,Human Reproduction Open,OK/OK,"Human Reproduction Ope:http 403, not a PDF (publisher interstitial or paywall page); PubMed Central:http 200, body too small; europepmc:Europe PMC PMC11150884, 62 KB text",Preconception depression reduces fertility: a couple-based prospective preconception cohor
W2811312432,10.1007/s13524-018-0690-7,C_parameter,bronze,Demography,FAILED,"Demography:http 403, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=PMC7457515)",Maybe Next Month? Temperature Shocks and Dynamic Adjustments in Birth Rates
W2034438505,10.1080/00324728.1971.10405806,C_parameter,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Fecundability and coital frequency
W4244745254,10.2307/2175195,C_parameter,closed,,FAILED,europepmc:not in Europe PMC,"Fecundability, Coital Frequency and the Viability of Ova"
W2113109551,10.1093/biostatistics/kxq006,C_parameter,bronze,Biostatistics,FAILED,"Biostatistics:http 403, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=PMC2912701)",Joint modeling of intercourse behavior and human fecundability using structural equation m
W2128802284,10.1185/030079906x162863,C_parameter,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Mistiming of intercourse as a primary cause of failure to conceive: results of a survey on
W2061870162,10.1097/00004714-200106000-00007,C_parameter,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),"Antidepressants and Ejaculation: A Double-Blind, Randomized, Placebo-Controlled, Fixed-Dos"
W2034571536,10.1111/j.1743-6109.2008.00843.x,C_parameter,green,IRIS UNIMORE (University of Modena and Reggio Emilia),FAILED,europepmc:epmc hit but not OA (pmcid=none),The Effects of Citalopram and Fluoxetine on Sexual Behavior in Healthy Men: Evidence of De
W2135610977,10.3109/13651501.2012.704382,C_parameter,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Discerning the effects of psychopathology and antidepressant treatment on sexual dsyfuncti
W3192373898,10.1111/and.14207,C_parameter,green,PubMed Central,FAILED,europepmc:epmc hit but not OA (pmcid=PMC8487983),Impact of duloxetine on male fertility: A randomised controlled clinical trial
W2005028628,10.1016/j.urology.2013.12.004,C_parameter,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Comparison of the Effect of Sertraline With Behavioral Therapy on Semen Parameters in Men 
W4220843323,10.1016/j.urology.2022.01.026,C_parameter,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Selective Serotonin Reuptake Inhibitor (SSRI) Use is Not Associated With Impaired Semen Pa
W4310093763,10.30773/pi.2022.0209,C_parameter,diamond,Psychiatry Investigation,OK/OK,already present,Confounding by Indication in Studies of Selective Serotonin Reuptake Inhibitors
W1972388161,10.1126/science.140.3563.184,C_parameter,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Spermatogenesis in Man: An Estimate of Its Duration
W2024596918,10.4088/jcp.v66n0114,C_parameter,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Incidence of Sexual Side Effects in Refractory Depression During Treatment With Citalopram
W1982922243,10.1111/j.1360-0443.2004.00740.x,C_parameter,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Audio‐computerized self‐interviewing versus face‐to‐face interviewing for research data co
