work_id,doi,stratum,cell,year,venue,oa_status,pdf_url,download_status,detail,bytes,file,title
W4210517329,10.1002/psp.2550,identified_core,PRIMARY_SPATIAL_DIFFUSION,2022,Population Space and Place,green,,failed,not_pdf_html_paywall,0,,Decline in fertility in Paris: An intraurban spatial analysis
W4223963695,10.25133/jpssv302022.032,identified_core,PRIMARY_SPATIAL_DIFFUSION,2022,Journal of Population and Social Studies,diamond,https://so03.tci-thaijo.org/index.php/jpss/article/download/254884/172988,downloaded,ok,2482135,W4223963695__diffusion-test-of-fertility-decline-in-arab-countries-of-the.pdf,Diffusion Test of Fertility Decline in Arab Countries of the Middle East and North Africa (MENA) Region
W4210892400,10.1002/psp.2555,identified_core,PRIMARY_SPATIAL_DIFFUSION,2022,Population Space and Place,closed,,no_oa_url,closed,0,,Low fertility spread in China: A blended adaptation and diffusion explanation
W3134978614,10.1017/dem.2020.8,identified_core,PRIMARY_SOCIAL_EXPOSURE,2021,Journal of Demographic Economics,hybrid,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/F227E8A3EBAF656DA3527AE10762D451/S2054089220000085a.pdf/div-class-title-segregation-fertility-and-son-preference-the-case-of-the-roma-in-serbia-div.pdf,downloaded,ok,541169,W3134978614__segregation-fertility-and-son-preference-the-case-of-the-rom.pdf,"Segregation, fertility, and son preference: the case of the Roma in Serbia"
W3132085944,10.1111/padr.12395,identified_core,PRIMARY_SPATIAL_DIFFUSION,2021,Population and Development Review,hybrid,,failed,not_pdf_html_paywall,0,,The Contribution of Diffusion to the Fertility Transition in Belgium (1887–1934)
W2997788989,10.1007/s13524-019-00841-y,identified_core,PRIMARY_SOCIAL_EXPOSURE,2020,Demography,bronze,,failed,not_pdf_html_paywall,0,,"Family, Firms, and Fertility: A Study of Social Interaction Effects"
W3088494297,10.1017/dem.2020.6,identified_core,PRIMARY_CULTURAL_BOUNDARY_CONTENT,2020,Journal of Demographic Economics,hybrid,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/248058C3A6DD2053F380F9C029F3D38A/S2054089220000061a.pdf/div-class-title-social-interactions-ethnicity-religion-and-fertility-in-kenya-div.pdf,downloaded,ok,421337,W3088494297__social-interactions-ethnicity-religion-and-fertility-in-keny.pdf,"Social interactions, ethnicity, religion, and fertility in Kenya"
W3026054265,10.1007/s13524-020-00884-6,identified_core,PRIMARY_SOCIAL_EXPOSURE,2020,Demography,hybrid,,failed,"not_pdf_html_paywall,empty_or_tiny",0,,The Examination of Diffusion Effects on Modern Contraceptive Use in Nigeria
W2940085245,10.3386/w25752,identified_core,PRIMARY_CULTURAL_BOUNDARY_CONTENT,2019,National Bureau of Economic Research,closed,,no_oa_url,closed,0,,"Censorship, Family Planning, and the Historical Fertility Transition"
W2586491076,10.1257/app.20150540,identified_core,PRIMARY_LEGITIMATION_SPREAD,2017,American Economic Journal Applied Economics,closed,,no_oa_url,closed,0,,Persuasion: A Case Study of Papal Influences on Fertility-Related Beliefs and Behavior
W2619544758,10.1093/sf/sox044,identified_core,PRIMARY_SPATIAL_DIFFUSION,2017,Social Forces,green,,failed,"not_pdf_html_paywall,empty_or_tiny",0,,Globalization and Contemporary Fertility Convergence
W2750569904,10.1002/psp.2098,identified_core,PRIMARY_CULTURAL_BOUNDARY_CONTENT,2017,Population Space and Place,hybrid,https://researchonline.lse.ac.uk/id/eprint/83758/7/Kuha_Residential%20Segregation_Published.pdf,downloaded,ok,507055,W2750569904__residential-segregation-and-the-fertility-of-immigrants-and-.pdf,Residential segregation and the fertility of immigrants and their descendants
W2296278882,10.1080/17441692.2016.1147589,identified_core,PRIMARY_SOCIAL_EXPOSURE,2016,Global Public Health,hybrid,,failed,not_pdf_html_paywall,0,,Moving from theory to practice: A participatory social network mapping approach to address unmet need for family plannin
W2610405201,10.1111/iere.12177,identified_core,PRIMARY_SOCIAL_EXPOSURE,2016,International Economic Review,gold,https://mpra.ub.uni-muenchen.de/45914/1/MPRA_paper_45914.pdf,downloaded,ok,283855,W2610405201__playing-the-fertility-game-at-work-an-equilibrium-model-of-p.pdf,PLAYING THE FERTILITY GAME AT WORK: AN EQUILIBRIUM MODEL OF PEER EFFECTS
W2051432816,10.1111/j.1728-4457.2014.00695.x,identified_core,PRIMARY_SPATIAL_DIFFUSION,2014,Population and Development Review,closed,,no_oa_url,closed,0,,Spatial Analysis of the Causes of Fertility Decline in Prussia
W2119420594,10.1098/rspb.2013.2732,identified_core,PRIMARY_SOCIAL_EXPOSURE,2014,Proceedings of the Royal Society B Biological Sciences,hybrid,,failed,"not_pdf_html_paywall,empty_or_tiny",0,,Community-level education accelerates the cultural evolution of fertility decline
W2142548216,10.1177/0003122414531596,identified_core,PRIMARY_SOCIAL_EXPOSURE,2014,American Sociological Review,bronze,,failed,not_pdf_html_paywall,0,,Does Fertility Behavior Spread among Friends?
W1966808359,10.1080/00324728.2013.774435,identified_core,PRIMARY_SOCIAL_EXPOSURE,2013,Population Studies,closed,,no_oa_url,closed,0,,The effects of social interactions on fertility decline in nineteenth-century France: An agent-based simulation experime
W3121628933,10.1080/21632324.2013.800701,identified_core,PRIMARY_CULTURAL_BOUNDARY_CONTENT,2013,Migration and Development,closed,,no_oa_url,closed,0,,Cultural transmission and contraceptive use: evidence from USA-Mexico migration
W3124025479,10.1111/caje.12062,identified_core,PRIMARY_LEGITIMATION_SPREAD,2013,Canadian Journal of Economics/Revue canadienne d économique,green,,failed,curl_error:7,0,,"International migration, transfer of norms and home country fertility"
W2090995792,10.1016/j.alcr.2013.10.001,identified_core,PRIMARY_SOCIAL_EXPOSURE,2013,Advances in Life Course Research,closed,,no_oa_url,closed,0,,Is fertility contagious? Using panel data to disentangle mechanisms of social network influences on fertility decisions
W2119376659,10.1162/rest_a_00423,identified_core,PRIMARY_SOCIAL_EXPOSURE,2013,The Review of Economics and Statistics,green,,failed,not_pdf_html_paywall,0,,Learning from Teen Childbearing Experiences of Close Friends: Evidence using Miscarriages as a Natural Experiment
W2001021105,10.1007/s13524-012-0172-2,identified_core,PRIMARY_SOCIAL_EXPOSURE,2012,Demography,closed,,no_oa_url,closed,0,,"Family Planning and Women’s and Children’s Health: Long-Term Consequences of an Outreach Program in Matlab, Bangladesh"
W2052028310,10.1002/ajhb.22348,identified_core,PRIMARY_SOCIAL_EXPOSURE,2012,American Journal of Human Biology,closed,,no_oa_url,closed,0,,"Fertility, parental investment, and the early adoption of modern contraception in rural ethiopia"
W2016489761,10.1371/annotation/d4ace6be-2089-47e8-86b2-42d04189324a,identified_core,PRIMARY_SOCIAL_EXPOSURE,2011,PLoS ONE,gold,https://journals.plos.org/plosone/article/file?type=printable&id=10.1371/journal.pone.0022515,downloaded,ok,600791,W2016489761__correction-social-transmission-and-the-spread-of-modern-cont.pdf,Correction: Social Transmission and the Spread of Modern Contraception in Rural Ethiopia
W2017682951,10.1097/dbp.0b013e318231cf03,identified_core,PRIMARY_SOCIAL_EXPOSURE,2011,Journal of Developmental & Behavioral Pediatrics,closed,,no_oa_url,closed,0,,Social Network Effects in Contraceptive Behavior Among Adolescents
W1603027288,,identified_core,PRIMARY_SOCIAL_EXPOSURE,2011,UNM’s Digital Repository (University of New Mexico),closed,,no_oa_url,closed,0,,"TESTING HYPOTHESES OF THE DEMOGRAPHIC TRANSITION IN SAN BORJA, BOLIVIA"
W2154213918,,identified_core,PRIMARY_SOCIAL_EXPOSURE,2010,RePEc: Research Papers in Economics,green,,failed,not_pdf_html_paywall,0,,"Businesses, buddies and babies: social ties and fertility at work"
W1994322174,10.1353/jhr.2009.0031,identified_core,PRIMARY_SOCIAL_EXPOSURE,2009,The Journal of Human Resources,closed,,no_oa_url,closed,0,,Testing the External Effect of Household Behavior: The Case of the Demand for Children
W2022205403,10.1353/prv.0.0017,identified_core,PRIMARY_LEGITIMATION_SPREAD,2009,Population review,bronze,,failed,not_pdf_html_paywall,0,,"The Influence of Changes in Fertility Related Norms on Contraceptive Use in Egypt, 1995–2005"
W2167340672,10.1080/0032472032000061703,identified_core,PRIMARY_SOCIAL_EXPOSURE,2003,Population Studies,closed,,no_oa_url,closed,0,,Why are uneducated women in India using contraception? A multilevel analysis
W2039205983,10.1353/dem.2001.0005,identified_core,PRIMARY_SOCIAL_EXPOSURE,2001,Demography,bronze,,failed,not_pdf_html_paywall,0,,"The density of social networks and fertility decisions: Evidence from South Nyanza district, Kenya"
W1852387840,10.22004/ag.econ.28508,identified_core,PRIMARY_CULTURAL_BOUNDARY_CONTENT,2001,RePEc: Research Papers in Economics,green,http://www.econ.yale.edu/growth_pdf/cdp821.pdf,downloaded,ok,655308,W1852387840__the-fertility-transition-in-bavaria.pdf,The Fertility Transition in Bavaria
W1557995479,10.4054/mpidr-wp-2001-022,identified_core,PRIMARY_SOCIAL_EXPOSURE,2001,,gold,https://www.demogr.mpg.de/Papers/Working/wp-2001-022.pdf,downloaded,ok,171560,W1557995479__how-can-we-measure-the-causal-effects-of-social-networks-usi.pdf,How can we measure the causal effects of social networks using observational data? Evidence from the diffusion of family
W7129290255,10.1111/tesg.70068,descriptive_residual,PRIMARY_SPATIAL_DIFFUSION,2026,Tijdschrift voor Economische en Sociale Geografie,hybrid,,failed,not_pdf_html_paywall,0,,Do Family Changes Constitute a Comprehensive Demographic Shift? A Comparison of the Spatial Dynamics of Five Family Chan
W7130502574,10.1002/psp.70230,descriptive_residual,PRIMARY_SOCIAL_EXPOSURE,2026,Population Space and Place,hybrid,,failed,not_pdf_html_paywall,0,,Fertility Norms as Unifying Framework: Coordinating Migration and Fertility Decisions in China′s Internal Migration
W4413883913,10.12688/gatesopenres.16390.1,descriptive_residual,PRIMARY_SOCIAL_EXPOSURE,2026,Gates Open Research,gold,https://gatesopenresearch.org/articles/10-42/pdf,downloaded,ok,865921,W4413883913__the-dominant-role-of-community-influences-over-individual-co.pdf,The Dominant Role of Community Influences over Individual Contraceptive Choices in Pakistan
W7163206294,10.1080/17441730.2026.2680865,descriptive_residual,PRIMARY_SOCIAL_EXPOSURE,2026,Asian Population Studies,closed,,no_oa_url,closed,0,,The role of social networks on fertility: evidence from high and low fertility states of India
W7204118893,10.31125/globnursinsights.1807184,descriptive_residual,PRIMARY_SOCIAL_EXPOSURE,2026,Global Nursing Insights,bronze,https://dergipark.org.tr/en/download/article-file/5345653,downloaded,ok,483322,W7204118893__women-s-knowledge-attitudes-and-experiences-of-family-planni.pdf,"Women’s Knowledge, Attitudes, and Experiences of Family Planning in the Geography of Inequality: A Social Capital–Inform"
W4416383057,10.1002/psp.70158,descriptive_residual,PRIMARY_SPATIAL_DIFFUSION,2025,Population Space and Place,hybrid,,failed,not_pdf_html_paywall,0,,"Changing Fertility Patterns in Poland: Urban, Suburban, and Rural Dimensions"
W4414448002,10.1017/s0021932025100424,descriptive_residual,PRIMARY_SOCIAL_EXPOSURE,2025,Journal of Biosocial Science,gold,,failed,not_pdf_html_paywall,0,,Composition and structure of women’s family and personal networks in Ouagadougou: what are the effects on current fertil
W4406170812,10.1080/17441730.2024.2434258,descriptive_residual,PRIMARY_CULTURAL_BOUNDARY_CONTENT,2025,Asian Population Studies,closed,,no_oa_url,closed,0,,Do shared history and language synchronise fertility rates between regions across countries? Evidence from India and Ban
W4408224057,10.1007/s12546-025-09369-y,descriptive_residual,PRIMARY_SOCIAL_EXPOSURE,2025,Journal of Population Research,hybrid,,failed,not_pdf_html_paywall,0,,Effects of diffusion and education on women’s fertility in India
W4409151237,10.1093/pnasnexus/pgaf113,descriptive_residual,PRIMARY_SOCIAL_EXPOSURE,2025,PNAS Nexus,gold,,failed,"not_pdf_html_paywall,empty_or_tiny",0,,Female friendship and the cultural transmission of low-fertility values: Evidence from rural Poland
W4411967836,10.1186/s12889-025-23473-x,descriptive_residual,PRIMARY_SOCIAL_EXPOSURE,2025,BMC Public Health,gold,,failed,"not_pdf_html_paywall,empty_or_tiny",0,,Influence of social networks on women’s contraceptive decision-making and action: a qualitative study in two districts i
W4415379102,10.4054/demres.2025.53.25,descriptive_residual,PRIMARY_SOCIAL_EXPOSURE,2025,Demographic Research,diamond,https://www.demographic-research.org/volumes/vol53/25/53-25.pdf,downloaded,ok,626394,W4415379102__neighbors-social-attitudes-predict-variations-in-live-births.pdf,"Neighbors’ social attitudes predict variations in live births among the Amish of Holmes County, Ohio, United States"
W4410069628,10.1002/psp.70031,descriptive_residual,PRIMARY_SPATIAL_DIFFUSION,2025,Population Space and Place,hybrid,,failed,"not_pdf_html_paywall,empty_or_tiny",0,,The Diffusion of Late Fertility Across European Regions (2006–2018)
W4400344667,10.1016/j.srhc.2024.101004,descriptive_residual,PRIMARY_SOCIAL_EXPOSURE,2024,Sexual & Reproductive Healthcare,hybrid,http://eprints.lse.ac.uk/124114/1/Bhatia_inter-generational-impact--published.pdf,downloaded,ok,496291,W4400344667__inter-generational-impact-exploring-the-influence-of-older-s.pdf,Inter-generational impact: Exploring the influence of older sister-in-law’s contraceptive choices on her peer contracept
W4402845385,10.1002/psp.2845,descriptive_residual,PRIMARY_SPATIAL_DIFFUSION,2024,Population Space and Place,closed,,no_oa_url,closed,0,,Simultaneous and widespread: Colombia's fertility transition
W4401391594,10.1016/j.socscimed.2024.117159,descriptive_residual,PRIMARY_SOCIAL_EXPOSURE,2024,Social Science & Medicine,hybrid,,failed,not_pdf_html_paywall,0,,Social capital mediates knowledge gaps in informing sexual and reproductive health behaviours across Africa
W4390646468,10.5463/thesis.322,descriptive_residual,PRIMARY_SOCIAL_EXPOSURE,2024,,gold,,failed,not_pdf_html_paywall,0,,Contraceptive use and method choice among young people in sub-Saharan Africa
W4390009316,10.1098/rsos.230988,descriptive_residual,PRIMARY_SOCIAL_EXPOSURE,2023,Royal Society Open Science,gold,,failed,"not_pdf_html_paywall,empty_or_tiny",0,,A data-driven approach shows that individuals' characteristics are more important than their networks in predicting fert
W4367852245,10.31406/relap2023.v17.e202219,descriptive_residual,PRIMARY_SPATIAL_DIFFUSION,2023,Revista Latinoamericana de Población,diamond,https://revistarelap.org/index.php/relap/article/download/270/778,downloaded,ok,1954440,W4367852245__fertility-transition-in-brazilian-municipalities-an-explorat.pdf,"Fertility Transition in Brazilian Municipalities: An Exploratory Analysis of Cross-sectional Data in 1991, 2000 and 2010"
W4385813737,10.17323/demreview.v10i2.17764,descriptive_residual,PRIMARY_SPATIAL_DIFFUSION,2023,Демографическое обозрение,diamond,https://demreview.hse.ru/article/download/17764/16060,downloaded,ok,1900471,W4385813737__untitled.pdf,Тенденции региональной дифференциации рождаемости при втором демографическом переходе в некоторых странах
W4308994596,10.18356/16810333-48-113-3,descriptive_residual,PRIMARY_SPATIAL_DIFFUSION,2022,Notas de población,closed,,no_oa_url,closed,0,,"Análisis espacio-temporal de la evolución de los niveles de fecundidad en los municipios de México, 1970-2020"
W4291824651,10.1016/j.ssmph.2022.101203,descriptive_residual,PRIMARY_SOCIAL_EXPOSURE,2022,SSM - Population Health,gold,,failed,"not_pdf_html_paywall,empty_or_tiny",0,,Characterizing Nigerien men's social networks and their influence on family planning-related attitudes and behaviors
W4321837065,10.5937/gads55-33379,descriptive_residual,PRIMARY_SPATIAL_DIFFUSION,2022,Glasnik Antropoloskog drustva Srbije,diamond,https://scindeks-clanci.ceon.rs/data/pdf/1820-7936/2022/1820-79362255027G.pdf,downloaded,ok,313601,W4321837065__fertile-differences-in-the-rural-urban-zone-of-semberia.pdf,Fertile differences in the rural-urban zone of Semberia
W4225784187,10.1186/s12978-022-01331-y,descriptive_residual,PRIMARY_SOCIAL_EXPOSURE,2022,Reproductive Health,gold,,failed,"not_pdf_html_paywall,curl_error:56,empty_or_tiny",0,,Perceptions of peer contraceptive use and its influence on contraceptive method use and choice among young women and men
W4283363587,10.52589/ajsshr-mhszftzm,descriptive_residual,PRIMARY_SOCIAL_EXPOSURE,2022,African Journal of Social Sciences and Humanities Research,hybrid,https://abjournals.org/ajsshr/wp-content/uploads/sites/9/journal/published_paper/volume-5/issue-2/AJSSHR_MHSZFTZM.pdf,downloaded,ok,288143,W4283363587__social-networks-correlate-to-fertility-intentions-and-realiz.pdf,Social Networks Correlate to Fertility Intentions and Realization among Menopausal Women in Suburban Areas of Bayelsa St
W4309606981,10.3389/fpsyg.2022.947134,descriptive_residual,PRIMARY_LEGITIMATION_SPREAD,2022,Frontiers in Psychology,gold,https://www.frontiersin.org/articles/10.3389/fpsyg.2022.947134/pdf,downloaded,ok,1183469,W4309606981__social-norms-and-fertility-intentions-evidence-from-china.pdf,Social norms and fertility intentions: Evidence from China
W4294343530,10.1007/978-3-031-11840-1_4,descriptive_residual,PRIMARY_SPATIAL_DIFFUSION,2022,SpringerBriefs in population studies,hybrid,,failed,not_pdf_html_paywall,0,,Socio-Economic Determinants of Fertility
W4210769006,10.1371/journal.pone.0261701,descriptive_residual,PRIMARY_LEGITIMATION_SPREAD,2022,PLoS ONE,gold,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0261701&type=printable,downloaded,ok,698178,W4210769006__the-direct-and-indirect-effects-of-community-beliefs-and-att.pdf,The direct and indirect effects of community beliefs and attitudes on postpartum contraceptive method choice among young
W4223431367,10.1186/s12889-022-12681-4,descriptive_residual,PRIMARY_LEGITIMATION_SPREAD,2022,BMC Public Health,gold,,failed,"not_pdf_html_paywall,empty_or_tiny",0,,The power of women’s and men’s Social Networks to catalyse normative and behavioural change: evaluation of an interventi
W3201662518,10.1111/sifp.12174,descriptive_residual,PRIMARY_SOCIAL_EXPOSURE,2021,Studies in Family Planning,green,,failed,"not_pdf_html_paywall,empty_or_tiny",0,,"Contraceptive Conversations among Adolescent Girls and Young Women and Their Partners, Peers, and Older Female Family Me"
W3160196352,10.3390/socsci10050177,descriptive_residual,PRIMARY_SOCIAL_EXPOSURE,2021,Social Sciences,gold,,failed,"not_pdf_html_paywall,empty_or_tiny",0,,Do Data from Large Personal Networks Support Cultural Evolutionary Ideas about Kin and Fertility?
W3153104329,10.1038/s41598-021-86180-8,descriptive_residual,PRIMARY_SOCIAL_EXPOSURE,2021,Scientific Reports,gold,https://www.nature.com/articles/s41598-021-86180-8.pdf,downloaded,ok,2047670,W3153104329__effects-of-family-planning-on-fertility-behaviour-across-the.pdf,Effects of family planning on fertility behaviour across the demographic transition
W3193618749,10.1093/ej/ueab066,descriptive_residual,PRIMARY_CULTURAL_BOUNDARY_CONTENT,2021,The Economic Journal,closed,http://www.nber.org/papers/w25957.pdf,downloaded,ok,790377,W3193618749__fertility-and-modernity.pdf,Fertility and Modernity
W3164691754,10.1080/17441692.2021.1933125,descriptive_residual,PRIMARY_SOCIAL_EXPOSURE,2021,Global Public Health,green,,failed,"not_pdf_html_paywall,empty_or_tiny",0,,"Men’s social networks, social norms, & family planning in Benin"
W3140416104,10.1142/s0217590821500120,descriptive_residual,PRIMARY_SOCIAL_EXPOSURE,2021,The Singapore Economic Review,closed,,no_oa_url,closed,0,,PEER EFFECTS AND FERTILITY PREFERENCES IN CHINA: EVIDENCE FROM THE CHINA LABOR-FORCE DYNAMICS SURVEY
W3080257843,10.2478/jos-2021-0028,descriptive_residual,PRIMARY_SPATIAL_DIFFUSION,2021,Journal of Official Statistics,diamond,,failed,not_pdf_html_paywall,0,,Spatio-Temporal Patterns in Portuguese Regional Fertility Rates: A Bayesian Approach for Spatial Clustering of Curves
W3208307790,10.34023/2313-6383-2021-28-5-39-48,descriptive_residual,PRIMARY_SPATIAL_DIFFUSION,2021,Вопросы статистики,hybrid,,failed,curl_error:28,0,,Statistical Estimates of the Decline of the Russian Fertility: Regional Specifcs
W3121771074,10.1186/s12889-021-10180-6,descriptive_residual,PRIMARY_SOCIAL_EXPOSURE,2021,BMC Public Health,gold,,failed,"not_pdf_html_paywall,empty_or_tiny",0,,The association between men’s family planning networks and contraceptive use among their female partners: an egocentric 
W3199999619,10.1186/s41118-021-00131-9,descriptive_residual,PRIMARY_SPATIAL_DIFFUSION,2021,Genus,gold,,failed,not_pdf_html_paywall,0,,The spatial diffusion of fertility decline in Egypt (1950–2006)
W2788520872,10.1553/0x003d0a8c,descriptive_residual,PRIMARY_SOCIAL_EXPOSURE,2021,,gold,https://epub.oeaw.ac.at/0xc1aa5576_0x003d0a8c.pdf,downloaded,ok,438653,W2788520872__learning-by-doing-and-learning-from-others-in-contraceptive-.pdf,Learning by Doing and Learning from Others in Contraceptive Technology
W3046518775,10.1093/emph/eoaa029,descriptive_residual,PRIMARY_SOCIAL_EXPOSURE,2020,Evolution Medicine and Public Health,gold,,failed,"not_pdf_html_paywall,empty_or_tiny",0,,Adoption of outgroup norms provides evidence for social transmission in perinatal care practices among rural Namibian wo
W3034430116,10.1007/s10680-020-09569-7,descriptive_residual,PRIMARY_CULTURAL_BOUNDARY_CONTENT,2020,European Journal of Population / Revue européenne de Démographie,hybrid,,failed,"not_pdf_html_paywall,empty_or_tiny",0,,Analysis of Latin American Fertility in Terms of Probable Social Classes
W3123041465,10.36004/nier.es.2020.1-10,descriptive_residual,PRIMARY_SPATIAL_DIFFUSION,2020,Economie şi Sociologie,diamond,,failed,not_pdf_html_paywall,0,,DEMOGRAPHIC TRANSITION AT THE REGIONAL LEVEL IN CZECH LANDS
W3009068771,10.1111/jomf.12668,descriptive_residual,PRIMARY_SOCIAL_EXPOSURE,2020,Journal of Marriage and the Family,bronze,,failed,not_pdf_html_paywall,0,,Exploring the Mechanisms Through Which Social Ties Affect Fertility Decisions in Turkey
W3007959519,10.1080/17441730.2019.1706300,descriptive_residual,PRIMARY_CULTURAL_BOUNDARY_CONTENT,2020,Asian Population Studies,closed,,no_oa_url,closed,0,,Fertility behaviour in linguistic zones: revisiting the diffusion hypothesis in greater Bengal
W2943486479,10.12765/cpos-2020-21,descriptive_residual,PRIMARY_SOCIAL_EXPOSURE,2020,Comparative Population Studies,diamond,https://www.comparativepopulationstudies.de/index.php/CPoS/article/download/339/323,downloaded,ok,476011,W2943486479__linking-neighbors-fertility-third-births-in-norwegian-neighb.pdf,Linking Neighbors’ Fertility: Third Births in Norwegian Neighborhoods
W2999668476,10.1038/s41467-019-14158-2,descriptive_residual,PRIMARY_SOCIAL_EXPOSURE,2020,Nature Communications,gold,https://www.nature.com/articles/s41467-019-14158-2.pdf,downloaded,ok,676584,W2999668476__market-integration-reduces-kin-density-in-women-s-ego-networ.pdf,Market integration reduces kin density in women’s ego-networks in rural Poland
W3093557303,10.1080/17441692.2020.1836245,descriptive_residual,PRIMARY_SOCIAL_EXPOSURE,2020,Global Public Health,hybrid,,failed,"not_pdf_html_paywall,empty_or_tiny",0,,"Social network and social normative characteristics of married female adolescents in Dosso, Niger: Associations with mod"
W3000307890,10.1080/1081602x.2020.1712661,descriptive_residual,PRIMARY_SPATIAL_DIFFUSION,2020,The History of the Family,green,,failed,not_pdf_html_paywall,0,,Socio-economic status and fertility in an urban context at the end of the nineteenth century: a linked records study fro
W3021270726,10.3917/adh.138.0083,descriptive_residual,PRIMARY_SPATIAL_DIFFUSION,2020,Annales de Démographie Historique,bronze,,failed,"curl_error:28,empty_or_tiny",0,,"Spatial diffusion of fertility decline in northern Sweden, 1850-1950"
W3124613339,10.4054/mpidr-wp-2020-001,descriptive_residual,PRIMARY_SOCIAL_EXPOSURE,2020,,gold,https://www.demogr.mpg.de/papers/working/wp-2020-001.pdf,downloaded,ok,1407965,W3124613339__analysis-of-latin-american-fertility-change-in-terms-of-prob.pdf,Analysis of Latin American fertility change in terms of probable social classes
W3049484802,10.3386/w27668,descriptive_residual,PRIMARY_LEGITIMATION_SPREAD,2020,National Bureau of Economic Research,green,https://doi.org/10.3386/w27668,downloaded,ok,423918,W3049484802__early-fertility-decline-in-the-united-states-tests-of-altern.pdf,Early Fertility Decline in the United States: Tests of Alternative Hypotheses using New Complete-Count Census Microdata 
W3044445098,10.18174/517335,descriptive_residual,PRIMARY_SOCIAL_EXPOSURE,2020,,green,https://edepot.wur.nl/517335,downloaded,ok,10167204,W3044445098__family-influences-on-fertility-in-europe-1850-1920.pdf,"Family influences on fertility in Europe, 1850-1920"
W3015337498,10.4054/mpidr-wp-2020-014,descriptive_residual,PRIMARY_LEGITIMATION_SPREAD,2020,,gold,https://www.demogr.mpg.de/papers/working/wp-2020-014.pdf,downloaded,ok,1249730,W3015337498__the-emergence-and-diffusion-of-birth-limitation-in-urban-are.pdf,The emergence and diffusion of birth limitation in urban areas of developing countries
W2948981770,10.17615/dqta-x545,descriptive_residual,PRIMARY_SOCIAL_EXPOSURE,2019,Carolina Digital Repository (University of North Carolina at Chapel Hill),green,,failed,not_pdf_html_paywall,0,,Contraceptive Use in Cambodia: A Multi-Method Examination of Determinants and Barriers to Modern Contraception
W2963429680,10.1371/journal.pone.0219624,descriptive_residual,PRIMARY_SPATIAL_DIFFUSION,2019,PLoS ONE,gold,https://infoscience.epfl.ch/bitstreams/a99a93ce-e94a-4fa6-9b08-24a6a1991035/download,downloaded,ok,4428961,W2963429680__regional-variations-in-the-rural-urban-fertility-gradient-in.pdf,Regional variations in the rural-urban fertility gradient in the global South
