work,tier,design,route,verdict,id,doi,year,venue,type,is_oa,outcome,last_url,title
W1_browser,T1_wall1_packet,theory,MIXED_PRICE_ARRANGEMENT,UNCERTAIN,W2544536248,10.1080/14616718.2016.1241936,2016,International Journal of Housing Policy,article,True,empty_or_tiny,http://orbilu.uni.lu/handle/10993/46209,Delayed and depressed: from expensive housing to smaller families
W1_browser,T1_primary_identified,identified,PRIMARY_EXTENDED_COUPLE,RELEVANT,W2099331743,10.1007/s13524-013-0244-y,2014,Demography,article,True,route_blocked,https://read.dukeupress.edu/demography/article-pdf/51/1/185/878253/185chu.pdf,"Coresidence With Husband’s Parents, Labor Supply, and Duration to First Birth"
W1_browser,T1_primary_identified,identified,PRIMARY_EXTENDED_COUPLE,UNCERTAIN,W2201874083,10.2139/ssrn.2563597,2015,SSRN Electronic Journal,preprint,True,route_blocked,https://doi.org/10.2139/ssrn.2563597,"Geology, Household Formation Rules and the Demand for Sons in Vietnam"
W1_browser,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,RELEVANT,W3001025201,10.22004/ag.econ.296666,2019,RePEc: Research Papers in Economics,preprint,True,route_blocked,http://ageconsearch.umn.edu/record/296666,"Curse of the Mummy-ji: The Influence of Mothers-in-Law on Women's Social Networks, Mobility, and Reproductive Health in India"
W1_browser,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,RELEVANT,W3021464029,10.1111/ajae.12114,2020,American Journal of Agricultural Economics,article,True,empty_or_tiny,https://open.bu.edu/bitstreams/aa690fcf-e868-4c06-a882-2c53b59d944e/download,Curse of the Mummy‐ji : The Influence of Mothers‐in‐Law on Women in India †
W1_browser,T2_primary_relevant,observational,PRIMARY_PRELAUNCH,RELEVANT,W2074590864,10.1080/19424620.2013.789976,2012,Family Science,article,True,route_blocked,https://pure.knaw.nl/portal/en/publications/24472922-95d4-4c33-98a3-4fcc44ae4ea5,Fertility intentions depend on intergenerational relations: A life course perspective
W1_browser,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,RELEVANT,W4399547837,10.1007/s40622-024-00390-3,2024,DECISION,article,True,route_blocked,http://dx.doi.org/10.1007/s40622-024-00390-3,Grandparents “on board”: How they translate into the households’ fertility decisions
W1_browser,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,RELEVANT,W2120652126,10.1016/s0968-8080(10)35497-8,2010,Reproductive Health Matters,article,True,route_blocked,https://www.tandfonline.com/doi/pdf/10.1016/S0968-8080%2810%2935497-8?needAccess=true,Influence of mothers-in-law on young couples’ family planning decisions in rural India
W1_browser,T2_primary_relevant,observational,PRIMARY_PRELAUNCH,RELEVANT,W2926993263,10.1177/2057150x19838728,2019,Chinese Journal of Sociology,article,True,route_blocked,https://journals.sagepub.com/doi/pdf/10.1177/2057150X19838728,"The transition to adulthood in China, Germany and the US: Prevalence and timing in private and professional life"
W1_browser,T2_primary_relevant,cannot_tell,PRIMARY_PRELAUNCH,RELEVANT,W2258717442,10.1016/j.jce.2012.11.001,2012,Journal of Comparative Economics,article,True,route_blocked,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2280835,"Household formation rules, fertility and female labour supply: Evidence from post-communist countries"
W1_browser,T3_primary_uncertain,observational,PRIMARY_EXTENDED_COUPLE,UNCERTAIN,W377178670,10.1002/ajhb.10167,2003,American Journal of Human Biology,conference-abstract,True,route_blocked,https://digitalcommons.calpoly.edu/ssci_fac/73,"Abstracts of the 28th annual meeting of the Human Biology Association, Tempe, Arizona, April 25–27, 2003"
W1_browser,T3_primary_uncertain,observational,PRIMARY_EXTENDED_COUPLE,UNCERTAIN,W2777839591,10.1093/beheco/arx168,2017,Behavioral Ecology,article,True,route_blocked,https://academic.oup.com/beheco/article-pdf/29/2/333/24353624/arx168.pdf,Effects of female reproductive competition on birth rate and reproductive scheduling in a historical human population
W1_browser,T3_primary_uncertain,observational,PRIMARY_PROXIMITY,UNCERTAIN,W4416225877,10.1080/1081602x.2025.2583972,2025,The History of the Family,article,True,route_blocked,https://www.tandfonline.com/doi/pdf/10.1080/1081602X.2025.2583972?needAccess=true,Settlement and the intergenerational dispersion of kin as a spatial process in the nineteenth century US
W1_browser,T3_primary_uncertain,cannot_tell,PRIMARY_EXTENDED_COUPLE,UNCERTAIN,W4285189469,10.2139/ssrn.4145178,2022,SSRN Electronic Journal,preprint,True,route_blocked,https://doi.org/10.2139/ssrn.4145178,How Grandparents' Coresidence Affects the Relationship Between Fertility and Parental Labor Market Choices: Evidence From China
W1_browser,T5_link1,observational,LINK1_DRIVER_TO_ARRANGEMENT,UNCERTAIN,W2622956195,10.12759/hsr.42.2017.2.59-91,2017,Social Science Open Access Repository (GESIS – Leibniz Institute for the Social Sciences),article,True,route_blocked,http://www.ssoar.info/ssoar/handle/document/51884,"Church Affiliation and Life Course Transitions in The Netherlands, 1850-1970"
W1_browser,T5_link1,observational,LINK1_ARRANGEMENT_TO_UNION,UNCERTAIN,W3097136757,10.17045/sthlmuni.12668741.v1,2020,DiVA (Stockholm University),report,True,route_blocked,http://urn.kb.se/resolve?urn=urn:nbn:se:su:diva-183526,Committed to independence? An exploratory study of living-apart-together (LAT) in contemporary Sweden
W1_browser,T5_link1,observational,LINK1_DRIVER_TO_ARRANGEMENT,UNCERTAIN,W2315058528,10.1093/esr/jcw003,2016,European Sociological Review,article,True,route_blocked,https://spire.sciencespo.fr/hdl:/2441/7p91ba9ca08ogq7pk72cg7pij4/resources/2016-lesnard-chanvril-do-transitions-to-adulthood-converge-in-europe-vauteur.pdf,Do Transitions to Adulthood Converge in Europe? An Optimal Matching Analysis of Work–Family Trajectories of Men and Women from 20 European Countries
W1_browser,T5_link1,observational,LINK1_DRIVER_TO_ARRANGEMENT,UNCERTAIN,W2785932253,10.17863/cam.18726,2018,Apollo (University of Cambridge),dissertation,True,empty_or_tiny,https://www.repository.cam.ac.uk/handle/1810/271737,Extended living arrangements in Chile: An analysis of subfamilies
W1_browser,T5_link1,observational,LINK1_DRIVER_TO_ARRANGEMENT,UNCERTAIN,W2032781774,10.1007/s13524-013-0247-8,2013,Demography,article,True,route_blocked,https://read.dukeupress.edu/demography/article-pdf/51/1/257/878100/257stone.pdf,"Gender, Turning Points, and Boomerangs: Returning Home in Young Adulthood in Great Britain"
W1_browser,T5_link1,observational,LINK1_ARRANGEMENT_TO_UNION,RELEVANT,W4312039345,10.1093/esr/jcac064,2022,European Sociological Review,article,True,route_blocked,https://academic.oup.com/esr/advance-article-pdf/doi/10.1093/esr/jcac064/47763826/jcac064.pdf,Long goodbyes: pathways of leaving home by gender and destination in Spain
W1_browser,T5_link1,observational,LINK1_DRIVER_TO_ARRANGEMENT,RELEVANT,W4416897549,10.1177/23780231251395464,2025,Socius Sociological Research for a Dynamic World,article,True,route_blocked,https://doi.org/10.1177/23780231251395464,Parental Homes as Feathered Nets: Home-Leaving Trajectories of Young People in China
W1_browser,T5_link1,observational,LINK1_DRIVER_TO_ARRANGEMENT,UNCERTAIN,W563327353,10.15453/0191-5096.2661,2000,The Journal of Sociology & Social Welfare,article,True,route_blocked,https://scholarworks.wmich.edu/cgi/viewcontent.cgi?article=2661&context=jssw,"Second-Generation Parenthood: A Panel Study of Grandmother and Grandchild Coresidency Among Low-Income Families, 1967-1992"
W1_browser,T5_link1,observational,LINK1_DRIVER_TO_ARRANGEMENT,UNCERTAIN,W4410835045,10.33612/diss.1307251158,2025,,dissertation,True,route_blocked,https://research.rug.nl/files/1307251160/Title_and_contents.pdf,The Way We Move: The Role of Parents in Geographical Mobility
W1_browser,T5_link1,observational,LINK1_DRIVER_TO_ARRANGEMENT,RELEVANT,W4413411900,10.1111/padr.70021,2025,Population and Development Review,article,True,route_blocked,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/padr.70021,"Who Achieves Residential Independence? Living Arrangements of Never‐Married Young Adults in Urban China, 2003–2018"
W1_browser,T5_link1,observational,LINK1_DRIVER_TO_ARRANGEMENT,UNCERTAIN,W7154721579,10.1016/j.alcr.2026.100743,2026,Advances in Life Course Research,article,True,empty_or_tiny,https://doi.org/10.1016/j.alcr.2026.100743,"Young women’s living arrangements in Mexico: Diversity, stability, and social stratification"
W1_browser,T5_link1,cannot_tell,LINK1_DRIVER_TO_ARRANGEMENT,UNCERTAIN,W4323348478,10.1007/s10964-023-01755-0,2023,Journal of Youth and Adolescence,article,True,route_blocked,https://pmc.ncbi.nlm.nih.gov/articles/PMC10866393/pdf/nihms-1958858.pdf,Pathways to Adulthood in Rural America: A Latent Profile and Latent Transition Analysis of Adult Social Roles
W1_browser,T5_link1,cannot_tell,LINK1_DRIVER_TO_ARRANGEMENT,UNCERTAIN,W2233928665,10.2139/ssrn.2285260,2013,SSRN Electronic Journal,preprint,True,route_blocked,https://doi.org/10.2139/ssrn.2285260,"The Capacity of Families to Support Young Australians: Financial Transfers From Parents, Co-Residence and Youth Outcomes"
W1_browser,T5_link1,descriptive,LINK1_DRIVER_TO_ARRANGEMENT,UNCERTAIN,W4384833116,10.1355/9789814951500-004,2023,,book-chapter,True,route_blocked,https://dr.ntu.edu.sg/bitstream/10356/179490/2/Dommaraju%20-%202023%20-%20Transformation%20of%20family%20structure%20in%20Southeast%20Asia.pdf,2 Transformation of the Family Structure in Southeast Asia: Trends and Implications
W1_browser,T5_link1,descriptive,LINK1_DRIVER_TO_ARRANGEMENT,UNCERTAIN,W2895972864,10.1007/s13524-018-0719-y,2018,Demography,article,True,route_blocked,https://read.dukeupress.edu/demography/article-pdf/55/6/2283/842477/2283pilkauskas.pdf,Beyond the Nuclear Family: Trends in Children Living in Shared Households
W1_browser,T5_link1,descriptive,LINK1_DRIVER_TO_ARRANGEMENT,UNCERTAIN,W2095400194,10.3917/pope.1204.0551,2012,Population (English Edition),article,True,route_blocked,http://hdl.handle.net/20.500.12204/AWRH_XPQgpz89Adag5VI,"Changes in Family Situations as Reflected in the French Censuses, 1962-2009"
W1_browser,T5_link1,descriptive,LINK1_DRIVER_TO_ARRANGEMENT,UNCERTAIN,W4408026238,10.1111/sifp.12282,2025,Studies in Family Planning,article,True,empty_or_tiny,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/sifp.12282,"Changes in Latin American and Caribbean Household Structure Amidst Fertility Decline, 1960–2020"
W1_browser,T5_link1,descriptive,LINK1_DRIVER_TO_ARRANGEMENT,UNCERTAIN,W1991584024,10.1111/j.1728-4457.2010.00332.x,2010,Population and Development Review,article,True,route_blocked,https://hdl.handle.net/2027.42/79362,"Emptying the Nest: Older Men in the United States, 1880–2000"
W1_browser,T5_link1,descriptive,LINK1_DRIVER_TO_ARRANGEMENT,UNCERTAIN,W1991809256,10.2174/1874922401305010001,2013,The Open Family Studies Journal,article,True,route_blocked,https://openfamilystudiesjournal.com/VOLUME/5/PAGE/1/PDF/,Household Size and Structure in Iran: 1976-2006
W1_browser,T5_link1,descriptive,LINK1_DRIVER_TO_ARRANGEMENT,UNCERTAIN,W1948357180,10.1186/s40711-015-0011-0,2015,The Journal of Chinese Sociology,article,True,route_blocked,https://link.springer.com/content/pdf/10.1186/s40711-015-0011-0.pdf,Household changes in contemporary China: an analysis based on the four recent censuses
W1_browser,T5_link1,descriptive,LINK1_DRIVER_TO_ARRANGEMENT,UNCERTAIN,W4411017335,10.3917/e.popu.2402.0283,2025,Population (English Edition),article,True,route_blocked,https://shs.cairn.info/article/E_POPU_2402_0283/pdf?lang=en,Life-Course Patterns of Young Russian-Origin Estonians: An Origin-Destination Comparison
W1_browser,T5_link1,descriptive,LINK1_DRIVER_TO_ARRANGEMENT,UNCERTAIN,W1489635444,10.17026/dans-xvh-7eqd,2014,Socio-Environmental Systems Modeling,dataset,True,route_blocked,https://research.wur.nl/en/datasets/relatievormen-in-nederland-1984-orin-ways-of-cohabitation-in-the-,"Relatievormen in Nederland, 1984 ( ORIN )"
W1_browser,T5_link1,descriptive,LINK1_DRIVER_TO_ARRANGEMENT,UNCERTAIN,W2990023259,10.21543/dem.62.2-3.1,2019,Demográfia,article,True,route_blocked,http://demografia.hu/kiadvanyokonline/index.php/demografia/article/download/2772/2676,What makes someone adult? The role of family transitions and independence in opinions about becoming adult
W1_browser,T5_link1,theory,LINK1_DRIVER_TO_ARRANGEMENT,UNCERTAIN,W3004278016,10.1215/00703370-9624050,2021,Demography,article,True,route_blocked,https://read.dukeupress.edu/demography/article-pdf/59/1/137/1479301/137boissonneault.pdf,Microsimulation of Household and Marital Transitions Leading to Childlessness Among Dutch Women Born Between 1971 and 2000
W1_browser,T6_theory_stream,cannot_tell,THEORY,UNCERTAIN,W7171722536,10.2139/ssrn.6820498,2026,SSRN Electronic Journal,preprint,True,route_blocked,https://papers.ssrn.com/sol3/Delivery.cfm/6820498.pdf?abstractid=6820498&mirid=1,"Family Formation under a Subjective Future Constraint: Well-Being, Optimism, and Population Economics"
W1_browser,T6_theory_stream,descriptive,THEORY,UNCERTAIN,W2402057451,10.14288/1.0094695,2009,Open Collections,article,True,route_blocked,https://doi.org/10.14288/1.0094695,Demographic transition: its effects on women’s liberation in Taiwan
W1_browser,T6_theory_stream,descriptive,THEORY,UNCERTAIN,W7160510926,10.5281/zenodo.20073175,2026,Zenodo (CERN European Organization for Nuclear Research),other,True,empty_or_tiny,https://doi.org/10.5281/zenodo.20073175,"Mother and Father in the ""empty nest"""
W1_browser,T6_theory_stream,descriptive,THEORY,UNCERTAIN,W2143928126,10.1353/foc.0.0038,2010,The Future of Children,article,True,empty_or_tiny,https://repository.upenn.edu/sociology_papers/8,On a New Schedule: Transitions to Adulthood and Family Change
W1_browser,T6_theory_stream,theory,THEORY,UNCERTAIN,W4391412879,10.3138/9781487535018-005,2019,University of Toronto Press eBooks,book-chapter,True,route_blocked,https://www.degruyter.com/document/doi/10.3138/9781487535018-005/pdf,"4 Postponed Adulthood, the Inequality Surge, and the Millennial Burden"
W1_browser,T6_theory_stream,theory,THEORY,UNCERTAIN,W51496512,10.7936/k70c4sx5,2014,Open Scholarship Institutional Repository (Washington University in St. Louis),article,True,route_blocked,https://doi.org/10.7936/k70c4sx5,Essays on the Economics of Human Capital
W1_browser,T6_theory_stream,theory,THEORY,UNCERTAIN,W4288708926,10.1146/annurev-soc-030420-015156,2022,Annual Review of Sociology,article,True,route_blocked,https://www.annualreviews.org/doi/pdf/10.1146/annurev-soc-030420-015156,"Families in Latin America: Trends, Singularities, and Contextual Factors"
W2_library_proxy,T1_wall1_packet,identified,MIXED_PRICE_ARRANGEMENT,RELEVANT,W2069432153,10.1162/jeea.2009.7.5.974,2009,Journal of the European Economic Association,article,False,no_url,,Does High Cost of Mortgage Debt Explain Why Young Adults Live with Their Parents?
W2_library_proxy,T1_wall1_packet,observational,MIXED_PRICE_ARRANGEMENT,RELEVANT,W3125001667,10.1177/0042098015615742,2015,Urban Studies,article,False,no_url,,Do housing options affect child birth decisions? Evidence from Taiwan
W2_library_proxy,T1_wall1_packet,cannot_tell,MIXED_PRICE_ARRANGEMENT,UNCERTAIN,W7164878078,10.1016/b978-0-443-44207-0.00009-2,2026,Elsevier eBooks,book-chapter,False,no_url,,"Housing Careers and Demographic Change: Life Courses, Inequality, and Intergenerational Housing Futures"
W2_library_proxy,T1_wall1_packet,descriptive,MIXED_PRICE_ARRANGEMENT,UNCERTAIN,W4409225230,10.62986/pn2025.07,2025,,report,False,no_url,,Aging Population and Lower Fertility Affect Housing Market
W2_library_proxy,T1_wall1_packet,descriptive,MIXED_PRICE_ARRANGEMENT,UNCERTAIN,W4391348501,10.1332/policypress/9781447357667.003.0003,2023,Policy Press eBooks,book-chapter,False,no_url,,Households and families
W2_library_proxy,T1_wall1_packet,descriptive,MIXED_PRICE_ARRANGEMENT,UNCERTAIN,W4254615941,10.4324/9781315587110-8,2016,,book-chapter,False,no_url,,Housing Multigenerational Households in Australian Cities: Evidence from Sydney and Brisbane at the Turn of the 21st century
W2_library_proxy,T1_wall1_packet,descriptive,MIXED_PRICE_ARRANGEMENT,RELEVANT,W3025493284,10.1177/0888325419897748,2020,East European Politics and Societies and Cultures,article,False,no_url,,"Housing as a Fertility Trap: The Inability of States, Markets, or Families to Provide Adequate Housing in East Central Europe"
W2_library_proxy,T1_wall1_packet,descriptive,MIXED_PRICE_ARRANGEMENT,UNCERTAIN,W2548705618,10.5339/qfarc.2016.sshapp2665,2016,Qatar Foundation Annual Research Conference Proceedings Volume 2016 Issue 1,conference-paper,False,no_url,,The Impact of Housing Welfare System on Family Formation and Family Dissolution in Qatar
W2_library_proxy,T1_primary_identified,identified,PRIMARY_PRELAUNCH,RELEVANT,W2344506526,10.1142/s0217590816500181,2016,The Singapore Economic Review,article,False,no_url,,AN EMPIRICAL ANALYSIS OF MARITAL STATUS IN JAPAN
W2_library_proxy,T1_primary_identified,identified,PRIMARY_EXTENDED_COUPLE,RELEVANT,W3213314826,10.1080/21620555.2021.1995857,2021,Chinese Sociological Review,article,False,no_url,,Intergenerational living arrangements and marital fertility in Japan: a counterfactual approach
W2_library_proxy,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,RELEVANT,W2289987374,10.1177/2057150x15614545,2015,Chinese Journal of Sociology,article,False,no_url,,Do parents matter? Intergenerational ties and fertility preferences in a low-fertility context
W2_library_proxy,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,RELEVANT,W4411492666,10.1080/1081602x.2025.2517163,2025,The History of the Family,article,False,no_url,,Dynamic interplay of kinship and net-fertility: a comprehensive analysis across demographic transitions in Mexico
W2_library_proxy,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,RELEVANT,W2805633869,10.7856/kjcls.2018.29.2.221,2018,The Korean Journal of Community Living Science,article,False,no_url,,Effects of the Conversation and Support of Family Network Factors on Fertility Intentions among Korean Married Women
W2_library_proxy,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,RELEVANT,W4406768844,10.1080/13229400.2025.2452243,2025,Journal of Family Studies,article,False,no_url,,Family migration in Chinese superstar cities: are fertility intentions of migrants affected by co-resident parents?
W2_library_proxy,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,RELEVANT,W2983797499,10.1080/00324728.1982.10405594,1982,Population Studies,article,False,no_url,,"Household composition, extended kinship and reproduction in Taiwan: 1973–1980"
W2_library_proxy,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,RELEVANT,W2120621881,10.1017/s0021932000016928,1987,Journal of Biosocial Science,article,False,no_url,,Household extension and reproductive behaviour in Taiwan
W2_library_proxy,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,RELEVANT,W1973591124,10.1080/19485565.1984.9988564,1984,Biodemography and Social Biology,article,False,no_url,,"Household type and family size in Maharashtra, 1970"
W2_library_proxy,T2_primary_relevant,observational,PRIMARY_PROXIMITY,RELEVANT,W1604329332,10.1080/17441730.2010.494445,2010,Asian Population Studies,article,False,no_url,,INTERGENERATIONAL PROXIMITY AND THE FERTILITY INTENTIONS OF MARRIED WOMEN
W2_library_proxy,T2_primary_relevant,observational,PRIMARY_PROXIMITY,RELEVANT,W4409204645,10.35136/krer.35.1.1,2025,,article,False,no_url,,Impact of Close Residence between Aging Parents and Adult Daughters on Grandchild Care and First Births
W2_library_proxy,T2_primary_relevant,observational,PRIMARY_PRELAUNCH,RELEVANT,W4300486138,10.7249/n2528,1986,RAND Corporation eBooks,book,False,no_url,,Nonfamily Living and the Erosion of Traditional Family Orientations Among Young Adults
W2_library_proxy,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,RELEVANT,W4388085138,10.1093/oso/9780198288183.003.0006,1994,,book-chapter,False,no_url,,"Patrilocality, Childbearing, and the Labour Supply and Earning Power of Married Japanese Women"
W2_library_proxy,T2_primary_relevant,observational,PRIMARY_PRELAUNCH,RELEVANT,W2472458645,10.1177/0192513x16657127,2016,Journal of Family Issues,article,False,no_url,,"Race, Family Status, and Young Women’s Residential and Financial Dependency: 1970 to 2010"
W2_library_proxy,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,RELEVANT,W1965099757,10.1163/156852169x00278,1969,Journal of Asian and African Studies,article,False,no_url,,"Social Class, Fertility, and Authority in Nuclear and Joint Households in Bombay*"
W2_library_proxy,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,RELEVANT,W2601990648,10.3138/jcfs.43.3.439,2012,Journal of Comparative Family Studies,article,False,no_url,,Starting a Family at Your Parents’ House: Multigenerational Households and Below Replacement Fertility in Urban Bulgaria
W2_library_proxy,T2_primary_relevant,observational,PRIMARY_PRELAUNCH,RELEVANT,W2116750899,10.1177/019251394015004004,1994,Journal of Family Issues,article,False,no_url,,The Association Between Grandparental Coresidence and Adolescent Childbearing
W2_library_proxy,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,RELEVANT,W2010078906,10.1086/451997,1992,Economic Development and Cultural Change,article,False,no_url,,The Effect of Household Structure on Women's Economic Activity and Fertility: Evidence from Recent Mothers in Urban Mexico
W2_library_proxy,T2_primary_relevant,observational,PRIMARY_PRELAUNCH,RELEVANT,W2000385836,10.1300/j002v42n01_03,2007,Marriage & Family Review,article,False,no_url,,The Timing of Leaving the Parental Home and Its Linkages to Other Life Course Events in Turkey
W2_library_proxy,T2_primary_relevant,observational,PRIMARY_PRELAUNCH,RELEVANT,W1506961954,10.1017/cbo9780511809798.007,2009,Cambridge University Press eBooks,book-chapter,False,no_url,,Ties That Matter: Cultural Norms and Family Formation in Western Europe
W2_library_proxy,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,RELEVANT,W2063285982,10.2307/2061836,1993,Demography,article,False,no_url,,"Writing the names: Marriage style, living arrangements, and first birth interval in a Nepali society"
W2_library_proxy,T2_primary_relevant,descriptive,PRIMARY_PRELAUNCH,RELEVANT,W2956585401,10.4324/9780429043314-5,2019,,book-chapter,False,no_url,,"Becoming Independent: Leaving Home, Cohabitation, Marriage, and Parenthood"
W2_library_proxy,T2_primary_relevant,descriptive,PRIMARY_PRELAUNCH,RELEVANT,W2101110009,10.1177/000271620258000103,2002,The Annals of the American Academy of Political and Social Science,article,False,no_url,,Regional Differences in the Transition to Adulthood
W2_library_proxy,T2_primary_relevant,descriptive,PRIMARY_PRELAUNCH,RELEVANT,W3031747612,10.4324/9781003084761-9,2020,,book-chapter,False,no_url,,"“We’re Fine at Home”: Young People, Family and Low Fertility in Spain"
W2_library_proxy,T3_primary_uncertain,observational,PRIMARY_PRELAUNCH,UNCERTAIN,W2011207593,10.5153/sro.597,2001,Sociological Research Online,article,False,no_url,,The Timing of Family Formation in Britain and Spain
W2_library_proxy,T3_primary_uncertain,cannot_tell,PRIMARY_EXTENDED_COUPLE,UNCERTAIN,W7163907414,10.1007/s11113-026-10017-3,2026,Population Research and Policy Review,article,False,no_url,,Continuing the Family Lineage? Primary Family Members’ Traditional Fertility Values and Fertility in Rural China
W2_library_proxy,T3_primary_uncertain,cannot_tell,PRIMARY_EXTENDED_COUPLE,UNCERTAIN,W3150384026,10.1007/s42379-021-00082-w,2021,China Population and Development Studies,article,False,no_url,,Division of domestic labor and fertility behaviors in China: the impact of extended family traditions on gender equity theory
W2_library_proxy,T3_primary_uncertain,cannot_tell,PRIMARY_EXTENDED_COUPLE,UNCERTAIN,W3122536053,10.1016/j.jce.2017.10.005,2017,Journal of Comparative Economics,article,False,no_url,,"Fertility, household structure, and parental labor supply: Evidence from China"
W2_library_proxy,T3_primary_uncertain,cannot_tell,PRIMARY_EXTENDED_COUPLE,UNCERTAIN,W4412539469,10.1007/s12546-025-09388-9,2025,Journal of Population Research,article,False,no_url,,"Intrahousehold bargaining power, intergenerational influence, and women's fertility preferences in Indonesia: insights from longitudinal panel data"
W2_library_proxy,T3_primary_uncertain,cannot_tell,PRIMARY_EXTENDED_COUPLE,UNCERTAIN,W2413120360,10.1007/s11205-016-1386-2,2016,Social Indicators Research,article,False,no_url,,The Intergenerational Effect and Second Childbirth: Survey Findings from the Shaanxi Province of China
W2_library_proxy,T3_primary_uncertain,descriptive,PRIMARY_PRELAUNCH,UNCERTAIN,W2497062295,10.7208/chicago/9780226748924.003.0003,2005,,book-chapter,False,no_url,,American Women's Transition to Adulthood in Comparative Perspective
