openalex_id,doi,year,title,venue,cell,tier,verdict,n_seeds,cited_by,screen_note,RA_DECISION(RETRIEVE/EXCLUDE/UNSURE),RA_NOTE
W3092864991,10.1016/j.fertnstert.2020.06.037,2020,Urinary selective serotonin reuptake inhibitors across critical windows of pregnancy establishment: a prospective cohort study of fecundability and pregnancy loss,Fertility and Sterility,PRIMARY_MEDICATION_TO_FERTILITY,1,RELEVANT,2,10,"KEY RECORD. Urinary SSRI biomarker across pregnancy-establishment windows, prospective cohort, outcomes fecundability AND pregnancy loss. Biomarker exposure sidesteps the prescription-is-not-ingestion problem. Record carries no abstract; likely an ASRM abstract, and the version of record must be located.",,
W7126064928,10.3389/fphar.2026.1765071,2026,Drug-induced male infertility: a real-world study using FAERS and EudraVigilance databases,Frontiers in Pharmacology,PRIMARY_MALE_FECUNDITY,2,RELEVANT,1,8,"FAERS and EudraVigilance disproportionality for drug-induced male infertility. Spontaneous-report ascertainment, so a signal rather than an effect size.",,
W4211211986,10.1177/15579883221075520,2022,"A Prospective Study of Male Depression, Psychotropic Medication Use, and Fecundability",American Journal of Men s Health,PRIMARY_MEDICATION_TO_FERTILITY,1,RELEVANT,3,6,"KEY RECORD. PRESTO-style North American preconception cohort: male depression AND psychotropic medication use against FECUNDABILITY. Both exposures in one design, which is what Wall 1 demands, and the outcome is a conception hazard rather than a semen parameter.",,
W4394578177,10.3390/jcm13072129,2024,Evaluating the Use of Selective Serotonin Reuptake Inhibitors (SSRIs) and Male Infertility: A Critical Retrospective Study,Journal of Clinical Medicine,PRIMARY_MALE_FECUNDITY,1,RELEVANT,3,5,"SSRI use and male infertility, retrospective. Indication design not stated in the abstract.",,
W4389143339,10.3390/brainsci13121652,2023,"The Possible Role of Prescribing Medications, Including Central Nervous System Drugs, in Contributing to Male-Factor Infertility (MFI): Assessment of the Food and Drug Administration (FDA) Pharmacovigilance Database",Brain Sciences,PRIMARY_MALE_FECUNDITY,1,RELEVANT,3,5,CNS drugs among prescribed medications contributing to male-factor infertility.,,
W2562048746,10.17816/uroved6319-25,2016,Selective serotonin reuptake inhibitor and fertility potential of the men. Psychiatry and Urology. At the junction of related disciplines,Urology reports (St - Petersburg),PRIMARY_MALE_FECUNDITY,1,RELEVANT,3,2,"Pilot, SSRI and male fertility potential. Reverse causation named in the abstract itself (infertility -> stress -> depression).",,
W4416434253,10.7759/cureus.97360,2025,Unraveling the Cycle: A Scoping Review Exploring the Impact of Antidepressants on the Female Reproductive Cycle,Cureus,PRIMARY_MEDICATION_TO_FERTILITY,2,RELEVANT,1,1,2025 scoping review of antidepressants and the FEMALE reproductive system. The female-side channel-1 record the reconnaissance could not find; LEAKAGE WALL applies.,,
W4388681810,10.20944/preprints202311.0910.v1,2023,Impact of Selective Serotonin Reuptake Inhibitor on Male Infertility: A Retrospective Pilot Study,Preprints.org,PRIMARY_MALE_FECUNDITY,3,UNCERTAIN,3,1,Preprints.org record; version of record must be located before use.,,
W7166526610,10.33719/nju1797653,2026,The Effects of Paternal Selective Serotonin Reuptake Inhibitor Use on Male Fertility and Pregnancy Outcomes: A Narrative Review,Yeni Üroloji Dergisi,PRIMARY_MALE_FECUNDITY,1,RELEVANT,3,0,"Narrative review, paternal SSRI use. Mixes male fertility with neonatal outcomes; the neonatal half is Wall 4.",,
W3091946512,10.1016/j.fertnstert.2020.09.008,2020,"Rubik’s cube of depression, antidepressants, and fertility",Fertility and Sterility,PRIMARY_MEDICATION_TO_FERTILITY,2,RELEVANT,1,0,"Fertility and Sterility commentary explicitly on the depression/antidepressant/fertility tangle. No abstract on the record; likely an editorial accompanying a primary study, and worth retrieving for the framing rather than an estimate.",,
W2235481714,10.1007/s00213-015-4198-1,2016,Differential effects of vilazodone versus citalopram and paroxetine on sexual behaviors and serotonin transporter and receptors in male rats,Psychopharmacology,INSUFFICIENT_INFO,3,UNCERTAIN,1,24,"Vilazodone versus citalopram and paroxetine on 'sexual behaviors'. Psychopharmacology publishes both human and rodent behavioural work and the visible record does not name the species. SPECIES CHECK FAILS ON THE VISIBLE RECORD, which is exactly the case Wall 7 says not to guess.",,
W4210967122,10.1007/978-3-319-74604-3_4,2018,Antidepressants,,INSUFFICIENT_INFO,3,UNCERTAIN,5,7,"Title is the single word 'Antidepressants', no venue, no abstract. Unroutable on the visible record.",,
W4410883232,10.1016/j.reprotox.2025.108960,2025,Use of serotonin reuptake inhibitors (SSRIs) and serotonin and norepinephrine reuptake inhibitors (SNRIs) during pregnancy: Effect on fetal growth and long-term reproductive outcomes,Reproductive Toxicology,INSUFFICIENT_INFO,3,UNCERTAIN,4,6,"Reproductive Toxicology 2025, SSRI/SNRI use; no abstract on the record and the venue publishes both human and animal work, so species is undetermined. Retrieve.",,
W4394957444,10.1111/andr.13646,2024,"Paternal use of selective serotonin reuptake inhibitors and adverse health outcomes: A nationwide cohort study on 13,547 exposed children",Andrology,ROUTING_DEFERRED_TO_FULLTEXT,3,UNCERTAIN,4,4,Nationwide cohort of PATERNAL SSRI use and 'adverse health outcomes'. If the outcomes are the offspring's it is Wall 4; if any is a conception or birth-count outcome it is primary. The abstract does not say which.,,
W4404756268,10.1891/ehpp-2023-0024,2024,Sexual and Fertility Effects of Selective Serotonin Reuptake Inhibitors: What Role for Informed Consent?,Ethical Human Psychology and Psychiatry,INSUFFICIENT_INFO,3,UNCERTAIN,3,0,"Title names sexual AND fertility effects, but the record carries no abstract and the venue is a journal of psychology critique rather than an empirical outlet. Retrieve before routing.",,
