openalex_id,doi,job,chemical_family,oa_status,result,note,title
W4387643922,10.1016/j.scitotenv.2023.167838,A2_input,pfas,closed,FAILED,"no PMC id (inEPMC=N, pmid=37839491)",Environmental exposure to legacy and emerging per- and polyfluoroalkyl substances and endo
W4401361487,10.1016/j.scitotenv.2024.175313,A2_input,pfas,green,OK_XML,"efetch PMC11357523, 21 KB text",Per- and polyfluoroalkyl substances exposure is associated with polycystic ovary syndrome 
W4309366993,10.1007/s11356-022-24182-3,A2_input,pfas,closed,FAILED,"no PMC id (inEPMC=N, pmid=36396760)",Association between per- and polyfluoroalkyl substances and semen quality
W4410478485,10.1016/j.envint.2025.109533,A2_input,pfas,gold,FAILED,"no PMC id (inEPMC=N, pmid=40409068)",Seminal per- and polyfluoroalkyl substance exposure and sperm quality impairment: from tox
W4406204271,10.1055/s-0044-1801363,A2_input,pfas,green,OK_XML,"efetch PMC11893235, 54 KB text",PFAS Exposure and Male Reproductive Health: Implications for Sperm Epigenetics
W4280492620,10.1021/acs.est.1c07184,A2_input,pfas,closed,FAILED,"no PMC id (inEPMC=N, pmid=35536153)",Environmental Exposure to 6:2 Polyfluoroalkyl Phosphate Diester and Impaired Testicular Fu
W4220829850,10.1093/aje/kwac052,A2_input,pfas,green,FAILED,efetch returned no body (9545 B),Perfluoroalkyl Substances and Incident Natural Menopause in Midlife Women: The Mediating R
W4401829970,10.1016/j.scitotenv.2024.175593,A2_input,pfas,hybrid,FAILED,"no PMC id (inEPMC=N, pmid=39179042)",Association between exposure to perfluoroalkyl substances (PFAS) and endometriosis in the 
W4405984033,10.1021/acs.est.4c10425,A2_input,pfas,bronze,FAILED,"no PMC id (inEPMC=N, pmid=39745179)",Per- and PolyfluoroalkylSubstances in Semen Associatedwith Repeated Measures of Semen Qual
W4406230344,10.1016/j.envres.2025.120786,A2_input,pfas,hybrid,OK_XML,"efetch PMC11839318, 32 KB text",Associations of maternal per- and polyfluoroalkyl substance plasma concentrations during p
W7125642333,10.1016/j.jare.2026.01.074,A2_input,plastic,gold,FAILED,"no PMC id (inEPMC=N, pmid=41592677)",Microplastics and nanoplastics in follicular fluid are associated with diminished ovarian 
W4404412862,10.1016/j.emcon.2024.100438,A2_input,pfas,gold,FAILED,"no PMC id (inEPMC=None, pmid=none)",Associations between per- and polyfluoroalkyl substances and menstrual cycle regularity in
W3137773367,10.25259/jrhm_18_2020,A2_input,pfas,hybrid,FAILED,"no PMC id (inEPMC=None, pmid=none)",Male reproductive health at risk due to exposure to perfluoroalkyl substances: Recent rese
W7147626980,10.1210/clinem/dgag148,A2_input,pfas,closed,FAILED,"no PMC id (inEPMC=N, pmid=41921573)","The association between PFAS exposure, menstrual cycle parameters, and reproductive hormon"
W7172439643,10.1016/j.jhazmat.2026.143157,A2_input,pfas,hybrid,FAILED,"no PMC id (inEPMC=N, pmid=42570390)",Associations between per- and polyfluoroalkyl substances and semen parameters: An updated 
W7154607964,10.1021/envhealth.5c00832,A2_input,pfas,diamond,FAILED,"no PMC id (inEPMC=None, pmid=none)",Exposure to Legacyand Novel Per- and PolyfluoroalkylSubstances and Diminished Ovarian Rese
W4415721055,10.1093/enendo/wkaf002,A2_input,pfas,hybrid,FAILED,"no PMC id (inEPMC=None, pmid=none)",Serum concentrations of per- and polyfluoroalkyl substances in women with premature ovaria
W7154503712,10.1016/j.reprotox.2026.109247,A2_input,unclear,hybrid,OK_XML,"efetch PMC13257933, 30 KB text","Associations between pollutants, the regularity of daily sex hormone patterns, and hormone"
W3131348191,10.1016/j.scitotenv.2021.145758,B_held,plastic,closed,FAILED,"no PMC id (inEPMC=None, pmid=none)","A comparative review of microplastics and nanoplastics: Toxicity hazards on digestive, rep"
W1672471417,10.2478/v10001-009-0036-1,B_held,unclear,closed,FAILED,"no PMC id (inEPMC=N, pmid=20053623)",Environmental factors and semen quality
W2739697276,10.1080/14647273.2017.1358828,B_held,unclear,closed,FAILED,"no PMC id (inEPMC=N, pmid=28758506)","Exposure to modern, widespread environmental endocrine disrupting chemicals and their effe"
W3114112276,10.1016/j.envres.2020.110694,B_held,unclear,closed,FAILED,"no PMC id (inEPMC=N, pmid=33385395)",Endocrine disrupting chemicals: Impacts on human fertility and fecundity during the peri-c
W4385774153,10.1016/j.scitotenv.2023.166258,B_held,plastic,hybrid,FAILED,"no PMC id (inEPMC=N, pmid=37579804)",Adverse effects of microplastics and nanoplastics on the reproductive system: A comprehens
W1967553734,10.1136/oemed-2014-102264,B_held,both,bronze,FAILED,"no PMC id (inEPMC=N, pmid=25209848)","Phthalates, perfluoroalkyl acids, metals and organochlorines and reproductive function: a "
W4318336296,10.1016/j.jclepro.2023.136191,B_held,both,closed,FAILED,"no PMC id (inEPMC=None, pmid=none)",Perfluoroalkyl and polyfluoroalkyl substances (PFAS) adsorbed on microplastics in drinking
W4353056596,10.1016/j.scitotenv.2023.163028,B_held,both,closed,FAILED,"no PMC id (inEPMC=N, pmid=36963676)",The unheeded inherent connections and overlap between microplastics and poly- and perfluor
W2965051076,10.1016/j.envint.2019.105066,B_held,both,gold,FAILED,"no PMC id (inEPMC=N, pmid=31394396)",Seminal plasma metabolites mediate the associations of multiple environmental pollutants w
W2319809145,10.1111/andr.12171,B_held,unclear,hybrid,OK_XML,"efetch PMC4961554, 21 KB text",Paternal exposures to environmental chemicals and time‐to‐pregnancy: overview of results f
W2169539291,10.1530/rep-13-0472,B_held,unclear,bronze,OK_XML,"efetch PMC3943622, 20 KB text",Persistent environmental pollutants and couple fecundity: an overview
W4403779899,10.1016/j.ecoenv.2024.117245,B_held,plastic,gold,FAILED,"no PMC id (inEPMC=N, pmid=39461235)",Reproductive and developmental implications of micro- and nanoplastic internalization: Rec
W132620466,10.1016/b978-0-12-382032-7.10047-5,B_held,pfas,closed,FAILED,"no PMC id (inEPMC=None, pmid=none)",Perfluorooctane sulfonate (PFOS) and perfluorooctanoic acid (PFOA)
W4405642070,10.1007/s13273-024-00498-8,B_held,plastic,closed,FAILED,"no PMC id (inEPMC=None, pmid=none)",Impact and mechanisms of microplastics and nanoplastics on the reproductive system
W4323350289,10.1093/humrep/dead028,B_held,unclear,green,FAILED,"no PMC id (inEPMC=N, pmid=36881900)",Serum persistent organic pollutants and diminished ovarian reserve: a single-exposure and 
W4403750750,10.1530/rep-24-0155,B_held,unclear,closed,FAILED,"no PMC id (inEPMC=N, pmid=39454032)",IMPACT OF REAL-LIFE ENVIRONMENTAL EXPOSURES ON REPRODUCTION: Impact of human-relevant dose
W7128249970,10.1016/j.ecoenv.2026.119831,B_held,plastic,gold,FAILED,"no PMC id (inEPMC=N, pmid=41653857)",Size-dependent toxicological effects of microplastics: A review
W4404137738,10.1021/acs.est.4c04356,B_held,unclear,closed,FAILED,"no PMC id (inEPMC=N, pmid=39508786)",Characterization of Chemical Exposome in A Paired Human Preconception Pilot Study
W4406939348,10.1055/s-0044-1801388,B_held,unclear,closed,FAILED,"no PMC id (inEPMC=N, pmid=39879998)",Endocrine-Disrupting Chemicals and Female Reproductive Aging
W4412521228,10.1016/j.reprotox.2025.109002,B_held,plastic,hybrid,FAILED,"no PMC id (inEPMC=N, pmid=40683577)",Unravelling the potential mechanisms of nano- and microplastic toxicity to the male reprod
W4407164619,10.1055/s-0044-1801405,B_held,unclear,closed,OK_XML,"efetch PMC12161124, 53 KB text",Environmental Exposures and Polycystic Ovary Syndrome: A Review
W571742238,10.1016/b978-0-12-804239-7.00043-3,B_held,pfas,closed,FAILED,"no PMC id (inEPMC=None, pmid=none)",Perfluorooctane Sulfonate and Perfluorooctanoic Acid
W7127605826,10.1016/j.reprotox.2026.109181,B_held,plastic,hybrid,FAILED,"no PMC id (inEPMC=N, pmid=41651433)",Uptake of polystyrene nanoplastics by cumulus-oocyte complexes impairs oocyte and embryo d
W4416427954,10.1016/j.envpol.2025.127413,B_held,both,closed,FAILED,"no PMC id (inEPMC=N, pmid=41271152)","Current insights into the impact of plastic-derived pollutants (phthalates), microplastics"
W4416378066,10.1093/exposome/osaf014,B_held,unclear,hybrid,FAILED,"no PMC id (inEPMC=None, pmid=none)",Multi-matrix chemical exposome characterization and its association with semen quality
W4413890485,10.1080/19396368.2025.2545248,B_held,plastic,closed,FAILED,"no PMC id (inEPMC=N, pmid=40889523)",Perilous effects of polystyrene fragments on male reproductive system and tenable directiv
W4388578109,10.1007/978-3-031-36494-5_7,B_held,unclear,gold,FAILED,"no PMC id (inEPMC=None, pmid=none)",Endocrine Disruption in the Male
W7128503613,10.1093/biolre/ioag036,B_held,plastic,closed,FAILED,"no PMC id (inEPMC=N, pmid=41665277)",Impact of nanoparticles and nanoplastics on female reproductive health
W4411053503,10.1097/rd9.0000000000000137,B_held,pfas,diamond,FAILED,"no PMC id (inEPMC=None, pmid=none)",The effect of perfluorooctanoic acid on ovarian progesterone production and endometrial re
W7165908260,10.1016/j.reprotox.2026.109298,B_held,both,hybrid,FAILED,"no PMC id (inEPMC=N, pmid=42349728)",Microplastics as trojan horses: A new perspective on bisphenol toxicity in male infertilit
W4416393312,10.3390/reprodmed6040037,B_held,unclear,gold,FAILED,"no PMC id (inEPMC=None, pmid=none)","Environmental Pollution, Endocrine Disruptors, and Metabolic Status: Impact on Female Fert"
W7169720637,10.1093/biolre/ioag154,B_held,unclear,closed,FAILED,"no PMC id (inEPMC=N, pmid=42472468)",Evaluation of the reproductive toxicity of endocrine disruptors during early embryo develo
W7172301594,10.3389/fendo.2026.1867408,B_held,plastic,gold,FAILED,"no PMC id (inEPMC=None, pmid=none)",Microplastics and female infertility: reproductive toxicity and underlying mechanisms
W2805233628,10.1016/j.envres.2018.05.019,C_parameter,pfas,green,OK_XML,"efetch PMC6174531, 26 KB text",Menstrual cycle characteristics as determinants of plasma concentrations of perfluoroalkyl
W2790252163,10.1097/ede.0b013e3182467608,C_parameter,pfas,closed,FAILED,"no PMC id (inEPMC=N, pmid=22317809)",Commentary
W2312597263,10.1016/j.envres.2015.12.029,C_parameter,pfas,green,OK_XML,"efetch PMC6300987, 5 KB text",Perfluoroalkyl acids and Time-to-Pregnancy: The issue of “parity-conditioning bias”
W2115294221,10.1080/15287394.2013.771547,C_parameter,pfas,closed,FAILED,"no PMC id (inEPMC=N, pmid=23611181)",Effect of Pregnancy on The Levels of Selected Perfluoroalkyl Compounds for Females Aged 17
W4406329195,10.1021/acs.est.4c08701,C_parameter,pfas,closed,FAILED,"no PMC id (inEPMC=N, pmid=39803974)",Per- and Polyfluoroalkyl Substances and Female Health Concern: Gender-based Accumulation D
W1268969431,10.1021/acs.est.5b02489,C_parameter,pfas,gold,OK_XML,"efetch PMC4638415, 19 KB text",Sociodemographic and Perinatal Predictors of Early Pregnancy Per- and Polyfluoroalkyl Subs
W3175242490,10.1016/j.ijheh.2021.113796,C_parameter,pfas,hybrid,FAILED,"no PMC id (inEPMC=N, pmid=34192647)",Concentrations of perfluoroalkyl substances in donor breast milk in Southern Spain and the
W4288695785,10.1021/acs.est.1c07970,C_parameter,pfas,green,OK_XML,"efetch PMC9798824, 32 KB text",Longitudinal Changes in Maternal Serum Concentrations of Per- and Polyfluoroalkyl Substanc
W2913899896,10.1016/j.envint.2019.01.010,C_parameter,pfas,gold,FAILED,"no PMC id (inEPMC=N, pmid=30684806)",Concentrations of perfluoroalkyl substances (PFASs) in human embryonic and fetal organs fr
W2232390271,10.1021/acs.est.5b04399,C_parameter,pfas,closed,FAILED,"no PMC id (inEPMC=N, pmid=26691063)",A Simple Pharmacokinetic Model of Prenatal and Postnatal Exposure to Perfluoroalkyl Substa
W2419544541,10.1021/acs.est.6b00195,C_parameter,pfas,closed,OK_XML,"efetch PMC5256678, 29 KB text","Demographic, Reproductive, and Dietary Determinants of Perfluorooctane Sulfonic (PFOS) and"
W4226097951,10.1016/j.envint.2022.107198,C_parameter,pfas,gold,FAILED,"no PMC id (inEPMC=N, pmid=35447437)",Determinants of serum half-lives for linear and branched perfluoroalkyl substances after l
W4408994176,10.1016/j.ecoenv.2025.118107,C_parameter,pfas,gold,FAILED,"no PMC id (inEPMC=N, pmid=40158379)",Determinants of plasma poly- and perfluoroalkyl substances during pregnancy: The Japan Env
W4414224199,10.1016/j.envint.2025.109794,C_parameter,pfas,gold,FAILED,"no PMC id (inEPMC=N, pmid=40974835)","Serum, urinary and fecal concentrations of perfluoroalkyl substances after interventions w"
W7165374377,10.1021/envhealth.6c00088,C_parameter,pfas,diamond,FAILED,"no PMC id (inEPMC=None, pmid=none)",Transport of Perfluoroalkyl Substances (PFAS) by Three Renal Transporters: Implications fo
W2996727654,10.1016/j.envint.2019.105381,C_parameter,pfas,gold,OK_XML,"efetch PMC7374929, 32 KB text",Longitudinal trends in perfluoroalkyl and polyfluoroalkyl substances among multiethnic mid
W2012730897,10.1016/j.envint.2014.02.011,C_parameter,pfas,green,FAILED,"no PMC id (inEPMC=N, pmid=24657493)",Repeated measurements of per- and polyfluoroalkyl substances (PFASs) from 1979 to 2007 in 
W2163315413,10.1016/j.envint.2014.04.010,C_parameter,pfas,hybrid,FAILED,"no PMC id (inEPMC=N, pmid=24815340)",Maternal serum concentrations of per- and polyfluoroalkyl substances and their predictors 
W2616208216,10.1016/j.envres.2017.05.013,C_parameter,pfas,hybrid,FAILED,"no PMC id (inEPMC=N, pmid=28528142)","Per- and polyfluoroalkyl substances (PFAS) in American Red Cross adult blood donors, 2000–"
W2111007101,10.1021/es300604p,C_parameter,pfas,closed,FAILED,"no PMC id (inEPMC=N, pmid=22554481)","Temporal Trends of Perfluoroalkyl Concentrations in American Red Cross Adult Blood Donors,"
W4210977565,10.1186/s13750-017-0114-y,C_parameter,pfas,gold,FAILED,"no PMC id (inEPMC=None, pmid=none)",What is the effect of phasing out long-chain per- and polyfluoroalkyl substances on the co
W1973278600,10.1021/es8006244,C_parameter,pfas,closed,FAILED,"no PMC id (inEPMC=N, pmid=18754394)",Use of Newborn Screening Program Blood Spots for Exposure Assessment: Declining Levels of 
W3006980152,10.1021/acs.est.9b05490,C_parameter,pfas,green,OK_XML,"efetch PMC7244264, 33 KB text",Exposure to Perfluoroalkyl Substances in a Cohort of Women Firefighters and Office Workers
W1996771055,10.1097/jom.0b013e31820d1314,C_parameter,pfas,closed,FAILED,"no PMC id (inEPMC=N, pmid=21346631)",Perfluoroalkyl Acids Including Perfluorooctane Sulfonate and Perfluorohexane Sulfonate in 
W2809520587,10.1039/c8em00174j,C_parameter,pfas,hybrid,FAILED,"no PMC id (inEPMC=N, pmid=29987291)","Inter-individual, inter-city, and temporal trends of per- and polyfluoroalkyl substances i"
W4402327287,10.1016/j.eti.2024.103824,C_parameter,pfas,gold,FAILED,"no PMC id (inEPMC=None, pmid=none)",Increasing disparities in human exposure to perfluorooctanesulfonic acid: Findings from pe
W3160202374,10.1021/acs.est.0c06978,C_parameter,pfas,closed,FAILED,"no PMC id (inEPMC=N, pmid=33982557)",Per- and Polyfluoroalkyl Substances (PFAS) in Breast Milk: Concerning Trends for Current-U
W3087070834,10.1016/j.envint.2020.106123,C_parameter,pfas,gold,FAILED,"no PMC id (inEPMC=N, pmid=32949877)",Human biomonitoring of per- and polyfluoroalkyl substances in German blood plasma samples 
W3115056657,10.1016/j.envint.2020.106333,C_parameter,pfas,gold,FAILED,"no PMC id (inEPMC=N, pmid=33360412)",Serum perfluoroalkyl substances in residents following long-term drinking water contaminat
W4406683543,10.1016/j.envres.2025.120916,C_parameter,pfas,hybrid,OK_XML,"efetch PMC12082571, 33 KB text",Per- and polyfluoroalkyl substances (PFAS) exposure in the U.S. population: NHANES 1999–Ma
W3092294188,10.1016/j.envint.2020.106169,C_parameter,pfas,gold,FAILED,"no PMC id (inEPMC=N, pmid=33041046)","Perfluoroalkyl acids in pregnant women from Nunavik (Quebec, Canada): Trends in exposure a"
W4311931361,10.1021/acs.est.2c04501,C_parameter,pfas,green,OK_XML,"efetch PMC10103141, 30 KB text",Isomer-Specific Serum Concentrations of Perfluorooctane Sulfonic Acid among U.S. Adults: R
W7164742428,10.1002/ajim.70104,C_parameter,pfas,hybrid,FAILED,"no PMC id (inEPMC=N, pmid=42288964)",Per‐ and Polyfluoroalkyl Substances (PFAS) Exposure Profiles and Their Predictors in a Stu
W4412539523,10.1038/s44222-025-00335-0,C_parameter,plastic,closed,FAILED,"no PMC id (inEPMC=None, pmid=none)",Detection and characterization of microplastics and nanoplastics in biological samples
W2128113935,10.1093/biostatistics/kxu016,C_parameter,unclear,bronze,FAILED,efetch returned no body (7783 B),Estimating effect of environmental contaminants on women's subfecundity for the MoBa study
W2112721631,10.1093/ije/dyu249,C_parameter,unclear,bronze,FAILED,efetch returned no body (8416 B),Bias from conditioning on live birth in pregnancy cohorts: an illustration based on neurod
W4399964591,10.1186/s43591-024-00090-w,C_parameter,plastic,gold,FAILED,"no PMC id (inEPMC=None, pmid=none)",Quantitation of micro and nanoplastics in human blood by pyrolysis-gas chromatography–mass
W4409687186,10.1016/j.jhazmat.2025.138371,C_parameter,plastic,hybrid,FAILED,"no PMC id (inEPMC=N, pmid=40273850)",Production of detergent-free PET and biodegradable PBAT micro- and nanoplastics
W7130401709,10.1021/acs.est.5c06490,C_parameter,pfas,green,OK_XML,"efetch PMC13045749, 45 KB text",Quantifying PFAS-Omics Burden Scores for Nontargeted Analysis Using Multidimensional Item 
W2082681716,10.1097/ede.0b013e31818ef47e,C_parameter,none,closed,OK_XML,"efetch PMC4226997, 9 KB text",Validity of Self-Reported Time to Pregnancy
W4387461785,10.1016/j.xcrp.2023.101623,C_parameter,plastic,gold,FAILED,"no PMC id (inEPMC=None, pmid=none)",Fast detection and 3D imaging of nanoplastics and microplastics by stimulated Raman scatte
W4405738359,10.1016/j.jhazmat.2024.136978,C_parameter,plastic,hybrid,FAILED,"no PMC id (inEPMC=N, pmid=39731894)",From automated Raman to cost-effective nanoparticle-on-film (NPoF) SERS spectroscopy: A co
W4317932392,10.1016/j.marpolbul.2023.114627,C_parameter,plastic,hybrid,FAILED,"no PMC id (inEPMC=N, pmid=36701974)",Iodine-131 radiolabeled polyvinylchloride: A potential radiotracer for micro and nanoplast
W2159902645,10.1093/humupd/dmp048,C_parameter,none,closed,FAILED,"no PMC id (inEPMC=N, pmid=19934213)",World Health Organization reference values for human semen characteristics*‡
W3196228331,10.1021/acs.chemrev.1c00178,C_parameter,plastic,bronze,FAILED,"no PMC id (inEPMC=N, pmid=34436873)","Chemical Analysis of Microplastics and Nanoplastics: Challenges, Advanced Methods, and Per"
W3157443957,10.1038/s41565-021-00886-4,C_parameter,plastic,green,FAILED,"no PMC id (inEPMC=N, pmid=33927364)",Nanoplastics are neither microplastics nor engineered nanoparticles
W2014748065,10.1136/jech.49.3.314,C_parameter,none,bronze,FAILED,efetch returned no body (6447 B),"A time to pregnancy questionnaire designed for long term recall: validity in Oxford, Engla"
W2081856627,10.1111/j.2047-2927.2013.00125.x,C_parameter,none,green,OK_XML,"efetch PMC3812375, 23 KB text",Semen parameters in fertile US men: the Study for Future Families
W4362735490,10.1016/j.cej.2023.142843,C_parameter,plastic,closed,FAILED,"no PMC id (inEPMC=None, pmid=none)",Generation of polystyrene-specific antibodies for developing immunoassays to analyze micro
W4404819999,10.3390/photochem4040030,C_parameter,plastic,gold,FAILED,"no PMC id (inEPMC=None, pmid=none)",Excitation–Emission Fluorescence Mapping Analysis of Microplastics That Are Typically Poll
W4411176347,10.1016/j.envint.2025.109599,C_parameter,pfas,gold,FAILED,"no PMC id (inEPMC=N, pmid=40505268)",Validation of dietary assessment methods for PFOS exposure using biomonitoring data in a s
W2109899920,10.1093/ije/11.3.245,C_parameter,none,closed,FAILED,"no PMC id (inEPMC=N, pmid=7129738)",Prevalence and Socioeconomic Correlates of Subfecundity and Spontaneous Abortion in Denmar
W2580096206,10.1093/humrep/dew361,C_parameter,none,hybrid,FAILED,efetch returned no body (13979 B),Is human fecundity changing? A discussion of research and data gaps precluding us from hav
W1484712765,10.1111/j.1600-0412.2010.01005.x,C_parameter,none,bronze,FAILED,"no PMC id (inEPMC=N, pmid=21241257)",Has fertility declined in recent decades?
W2053970918,10.1038/aja.2012.122,C_parameter,none,gold,FAILED,efetch returned no body (5692 B),Misconceptions about falling sperm counts and fertility in Europe
