id,cell,year,title,recovered,route,n_alt_locations,pmcid,text
W2304227435,SECONDARY_ART_MULTIPLES,2015,"Letrozole, Gonadotropin, or Clomiphene for Unexplained Infertility",no,-,3,-,-
W2044283443,SECONDARY_ART_MULTIPLES,2015,Prevention of multiple pregnancies in couples with unexplained or mild male subfertility: ,no,-,7,-,-
W2106887960,SECONDARY_ART_MULTIPLES,2004,Two cycles with single embryo transfer versus one cycle with double embryo transfer: a ran,no,-,5,-,-
W4210467869,SECONDARY_ART_MULTIPLES,2022,Comparisons of benefits and risks of single embryo transfer versus double embryo transfer:,no,-,4,-,-
W2110998764,SECONDARY_ART_MULTIPLES,2009,The INeS study: prevention of multiple pregnancies: a randomised controlled trial comparin,no,-,7,-,-
W1960405315,SECONDARY_ART_MULTIPLES,2015,Elective Single Embryo Transfer: an update to UK Best Practice Guidelines,no,-,4,-,-
W4391875770,SECONDARY_ART_MULTIPLES,2024,ESHRE guideline: number of embryos to transfer during IVF/ICSI,YES,alt_location:https://biblio.ugent.be/publication/01HQ5VSJSV8D9Z8SY1R52DD6,4,-,OK
W2094231820,EXPOSURE_SERIES,1996,Twin births to mothers who are twins: a registry based study,no,-,4,-,-
W1784040407,EXPOSURE_SERIES,2004,"The Frequency of Twin Births in France. The Triple Influence of Biology, Medicine and Fami",no,-,2,-,-
W4389328752,EXPOSURE_SERIES,2023,Genome-wide association study meta-analysis of dizygotic twinning illuminates genetic regu,no,-,9,-,-
W2166512904,EXPOSURE_SERIES,2009,Traces of embryogenesis are the same in monozygotic and dizygotic twins: not compatible wi,no,-,5,-,-
W2342971458,EXPOSURE_SERIES,2016,Identification of Common Genetic Variants Influencing Spontaneous Dizygotic Twinning and F,no,-,9,-,-
W2094047998,EXPOSURE_SERIES,1841,STATISTICS OF MULTIPLE BIRTHS.,YES,citation_pdf_url:https://zenodo.org/records/1708100/files/article.p,2,-,OK
W2091935889,EXPOSURE_SERIES,2010,Births: Final Data for 2015.,no,-,22,-,-
W4410793671,EXPOSURE_SERIES,2025,Polygenic scores for dizygotic twinning: insights into the genetic architecture of female ,no,-,8,-,-
W2055314737,EXPOSURE_SERIES,1996,The control of ovulation in mothers of dizygotic twins.,no,-,3,-,-
W3021020623,EXPOSURE_SERIES,2020,An age-dependent ovulatory strategy explains the evolution of dizygotic twinning in humans,no,-,8,-,-
W4244642814,EXPOSURE_SERIES,1998,Increased Levels and Pulsatility of Follicle-Stimulating Hormone in Mothers of Hereditary ,no,-,5,-,-
W4404149239,SECONDARY_PM_VARIATION,2024,Trends in Twin Births and Survival in Rural Spain: Evidence from 18th to 20th Century,YES,alt_location:https://zaguan.unizar.es/record/147693/files/texto_completo.,3,-,OK
W2163923970,SECONDARY_PM_VARIATION,2008,Frequency of twinning in southwest Nigeria,no,-,4,-,-
W2005875696,SECONDARY_PM_VARIATION,2012,"Frequency of twinning in Kwara State, North-Central Nigeria",no,-,1,-,-
W2068924701,SECONDARY_PM_VARIATION,1997,The epidemiological characteristics of twinning in Northwest India,no,-,1,-,-
W2076210434,SECONDARY_PM_VARIATION,1979,Incidence of multiple births in an Indian rural community.,no,-,5,-,-
W1518124473,SECONDARY_PM_VARIATION,2013,"So Close, So Far Away: Analysis of Surnames in a Town of Twins (Cândido Godói, Brazil)",YES,citation_pdf_url:https://ri.conicet.gov.ar/bitstream/11336/11007/1/,3,-,OK
W1511034556,SECONDARY_PM_VARIATION,2008,Twins Born in Pattani Hospital: 1996-2005,no,-,2,-,-
W1981209400,SECONDARY_PM_VARIATION,2002,Évolution et sélection de la gémellité,no,-,3,-,-
W2100281062,SECONDARY_PM_VARIATION,1976,Attitudes Towards Twinning in Primitive Societies,no,-,3,-,-
W3205122995,SECONDARY_PM_VARIATION,2021,Prevalence and outcomes of twin pregnancies in Botswana: a national birth outcomes surveil,no,-,5,-,-
