band,access_class,doi,work_id,year,venue,detail,title
wall5_unresolved_schooling,oa_but_blocked,10.1215/00703370-12250354,W4414887011,2025,,not_pdf_html_paywall,Fertility Decline and Educational Progress Among African Women and Children
wall5_unresolved_schooling,oa_but_blocked,10.1007/s12546-025-09369-y,W4408224057,2025,,not_pdf_html_paywall,Effects of diffusion and education on women’s fertility in India
wall5_unresolved_schooling,oa_but_blocked,10.1007/978-3-031-11840-1_4,W4294343530,2022,,not_pdf_html_paywall,Socio-Economic Determinants of Fertility
wall5_unresolved_schooling,oa_but_blocked,10.1111/jomf.12815,W4200564011,2021,,"not_pdf_html_paywall,empty_or_tiny",Desired fertility and educational aspirations: Adolescent goals in rapidly changing social contexts
wall5_unresolved_schooling,oa_but_blocked,10.1596/36792,W4226309858,2021,,not_pdf_html_paywall,Improving the Well-Being of Adolescent Girls in Developing Countries
wall5_unresolved_schooling,oa_but_blocked,10.1007/s10144-018-0626-5,W2807117404,2018,,not_pdf_html_paywall,Variation in wealth and educational drivers of fertility decline across 45 countries
wall5_unresolved_schooling,oa_but_blocked,10.1093/oso/9780198813422.003.0006,W2345861931,2017,,closed,How Education Drives Demography and Knowledge Informs Projections
wall5_unresolved_schooling,oa_but_blocked,10.1007/s13524-015-0392-3,W658899937,2015,,not_pdf_html_paywall,"Does Schooling Affect Women’s Desired Fertility? Evidence From Malawi, Uganda, and Ethiopia"
wall5_unresolved_schooling,oa_but_blocked,10.1002/j.2326-4624.2013.tb00006.x,W2068369133,2013,,not_pdf_html_paywall,Education and Population: Closely Linked Trajectories for Pakistan
wall5_unresolved_schooling,oa_but_blocked,,W388972784,2009,,not_pdf_html_paywall,The role of unobserved heterogeneity in transition to higher parity : evidence from Italy using Multiscopo survey
wall5_unresolved_schooling,oa_but_blocked,,W1925386910,1996,,curl_error:52,The first generation with mass schooling and the fertility transition: the case of Sri Lanka.
wall5_unresolved_schooling,oa_but_blocked,10.2307/2061422,W2095480544,1991,,not_pdf_html_paywall,Gender and changing generational relations: Spouse choice in Indonesia
wall5_unresolved_schooling,oa_but_blocked,10.2307/2060910,W2060353279,1984,,not_pdf_html_paywall,"The threshold hypothesis: evidence from less developed Latin American countries, 1950 to 1980"
wall5_unresolved_schooling,closed,10.32468/chee.63,W4401323454,2024,,closed,Understanding the relationship between women's education and fertility decline: Evidence from Colombia
wall5_unresolved_schooling,closed,10.1111/fare.12718,W4285042530,2022,,closed,Mate selection in China: Trends and determinants
wall5_unresolved_schooling,closed,10.1177/0021909620966778,W3096378151,2020,,closed,Early Marriage and Correlates among Young Women in Sub-Saharan African Countries
wall5_unresolved_schooling,closed,10.1017/dem.2016.12,W2790358149,2018,,closed,THE IMPACT OF EDUCATION ON WOMEN'S PREFERENCES FOR GENDER EQUALITY: EVIDENCE FROM SIERRA LEONE
wall5_unresolved_schooling,closed,10.1163/15691497-12341298,W2042718166,2014,,closed,"The Effect of Education, Employment, and Income on Reproductive Attitudes and Behavior of United Arab Emirates Married W"
wall5_unresolved_schooling,closed,,W2130597491,2010,,closed,"The effect of schooling on fertility, labor market participation and children's outcomes, evidence from Ecuador"
wall5_unresolved_schooling,closed,10.1017/s0021932008002782,W2075588407,2008,,closed,MODERNIZATION OR CULTURAL MAINTENANCE: THE PRACTICE OF CONSANGUINEOUS MARRIAGE IN IRAN
wall5_unresolved_schooling,closed,,W42920192,2007,,closed,RETURNS TO EDUCATION The Case of Fertility
wall5_unresolved_schooling,closed,10.1017/s0021932005026489,W2108834498,2005,,closed,WOMEN’S EDUCATIONAL ATTAINMENT AND INTERGENERATIONAL PATTERNS OF FERTILITY BEHAVIOUR IN KENYA
wall5_unresolved_schooling,closed,10.1111/j.0022-2445.2004.00083.x,W2057145916,2004,,closed,"Social change, premarital nonfamily experiences, and marital dynamics"
wall5_unresolved_schooling,closed,10.1086/375519,W2067618881,2003,Economic Development and Cultural Change,closed,Schooling Opportunities for Girls as a Stimulus for Fertility Change in Rural Pakistan
wall5_unresolved_schooling,closed,10.1111/j.1728-4457.2000.00483.x,W2144489347,2000,,closed,The Spread of Primary Schooling in sub‐Saharan Africa: Implications for Fertility Change
wall5_unresolved_schooling,closed,10.2307/2137805,W2043596752,1996,,closed,Post-Cairo Population Policy: Does Promoting Girls' Schooling Miss the Mark?
wall5_unresolved_schooling,closed,10.1177/002071529603700103,W1974071719,1996,,closed,"Educating Girls in the Third World: The Demographic, Basic Needs, and Economic Benefits"
wall5_unresolved_schooling,closed,10.1080/00380237.1996.10570638,W2055706420,1996,,closed,"Determinants of Marital Fertility in Pakistan: The Impact of Education, Work and Family Planning"
wall5_unresolved_schooling,closed,10.2307/2133523,W2100053498,1995,,closed,The Impact of Women's Education on Fertility In Latin America: Searching for Explanations
wall5_unresolved_schooling,closed,10.2307/2096321,W2015383232,1995,,closed,The Influence of School Enrollment and Accumulation on Cohabitation and Marriage in Early Adulthood
wall5_unresolved_schooling,closed,10.1017/s0021932000021829,W2050754079,1993,,closed,Does women's literacy affect desired fertility and contraceptive use in rural–urban Pakistan?
stated_intention_or_ideal,oa_but_blocked,10.21608/jarts.2019.81628,W4237795700,2019,مجلة کلیة الآداب القاهرة,curl_error:28,الهجرة العائدة وإعادة تشکیل الثقافة الإنجابیة دراسة میدانیة للعائدین من مجتماعات غریبة
stated_intention_or_ideal,closed,10.1525/sod.2022.0007,W4319336851,2023,Sociology of Development,closed,Developmental Idealism and Beliefs about Marriage in the United States
stated_intention_or_ideal,closed,,W163572949,2011,Deep Blue (University of Michigan),closed,"Social exclusion and social change: Access to, and influence of, community-based collective action programs in Nepal"
stated_intention_or_ideal,closed,,W2644232913,2006,,closed,Developmental idealism and changing models of marriage.
stated_intention_or_ideal,closed,10.1111/j.1728-4457.2000.00725.x,W2002792116,2000,Population and Development Review,closed,"Local and Foreign Models of Reproduction in Nyanza Province, Kenya"
family_formation_behaviour,oa_but_blocked,10.1111/jomf.12948,W4389146248,2023,Journal of Marriage and the Family,not_pdf_html_paywall,"Societal transitions, ethnolinguistic identities, and marital conservatism in Central Asia"
family_formation_behaviour,oa_but_blocked,10.17615/x6qc-tf25,W2274636106,2019,Carolina Digital Repository (University of North Carolina at Chapel Hill),not_pdf_html_paywall,Issues of marriage timing in different cultural contexts
family_formation_behaviour,oa_but_blocked,10.1111/jomf.12003,W2136569841,2013,Journal of Marriage and the Family,"not_pdf_html_paywall,empty_or_tiny",Schemas of Marital Change: From Arranged Marriages to Eloping for Love
family_formation_behaviour,closed,10.1080/01494929.2025.2495688,W4410396406,2025,Marriage & Family Review,closed,Does Internet Adoption Decrease Child Marriage Prevalence in Indonesia?
family_formation_behaviour,closed,10.1093/sf/soy070,W2883857140,2018,Social Forces,closed,Coming Out of the Penumbras: World Culture and Cross-National Variation in Divorce Rates
family_formation_behaviour,closed,10.1177/0192513x15594205,W2285916547,2015,Journal of Family Issues,closed,Impacts of Migration on Marriage Arrangement: A Comparison of Turkish Families in Turkey and Western Europe
family_formation_behaviour,closed,10.1086/498468,W1778192016,2006,American Journal of Sociology,closed,"Social Change, Premarital Nonfamily Experience, and Spouse Choice in an Arranged Marriage Society"
family_formation_behaviour,closed,10.1353/sof.2005.0023,W2160150825,2004,Social Forces,closed,Marriage Timing in Nepal: Organizational Effects and Individual Mechanisms
family_formation_behaviour,closed,,W2529048722,1995,Journal of Comparative Family Studies,closed,Freedom of Partner Choice in Togo
family_formation_behaviour,closed,,W1569975350,1992,,closed,A Reappraisal of the Status of Women and Nuptiality in Sub-Saharan Africa
