openalex_id,doi,job,chemical_family,oa_status,host,result,note,title
W2514091930,10.1097/ede.0000000000000552,A_primary,pfas,green,PubMed Central,FAILED,europepmc:epmc hit but not OA (pmcid=PMC5131715),"Perfluoroalkyl Chemicals, Menstrual Cycle Length, and Fecundity"
W2160568778,10.1186/1476-069x-13-116,A_primary,pfas,gold,Environmental Health,OK/OK,already present,"Perfluoroalkyl substances and time to pregnancy in couples from Greenland, Poland and Ukra"
W4391359389,10.1111/1471-0528.17756,A_primary,plastic,bronze,BJOG An International Journal of Obstetrics & Gynaecology,FAILED,"BJOG An International :http 403, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=none)",Exposure to microplastics and human reproductive outcomes: A systematic review
W2179099397,10.1016/j.envres.2015.08.007,A_primary,pfas,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Serum perfluoroalkyl acids and time to pregnancy in nulliparous women
W4302024131,10.1016/j.envint.2022.107567,A_primary,pfas,gold,Environment International,FAILED,"Environment Internatio:http 403, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=none)",Preconception exposure to perfluoroalkyl and polyfluoroalkyl substances and couple fecundi
W4400039202,10.3390/toxics12070455,A_primary,pfas,gold,Toxics,OK/OK,already present,Effects of Per- and Polyfluoroalkylated Substances on Female Reproduction
W4404915882,10.3390/ijerph21121615,A_primary,pfas,gold,International Journal of Environmental Research and Public Health,OK/OK,already present,Environmental Exposure to Per- and Polyfluorylalkyl Substances (PFASs) and Reproductive Ou
W4309787592,10.3390/ijerph192215348,A_primary,pfas,gold,International Journal of Environmental Research and Public Health,OK/OK,already present,"Association between Perfluoroalkyl and Polyfluoroalkyl Substances and Women’s Infertility,"
W2409520153,10.1097/ede.0000000000000524,A_primary,pfas,green,PubMed Central,FAILED,europepmc:epmc hit but not OA (pmcid=PMC5387409),Brief Report
W4408724716,10.1093/biolre/ioaf054,A_primary,plastic,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Microplastics and impaired male reproductive health—exploring biological pathways of harm:
W4415689196,10.1111/joim.70038,A_primary,plastic,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Reproductive toxicity of micro‐ and nanoplastics: Insights from experimental and human stu
W2315733616,10.1016/j.envres.2016.03.001,A_primary,pfas,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Response to letter to the editor regarding “Serum perfluoroalkyl acids and time to pregnan
W4415276475,10.5772/intechopen.1012349,A_primary,plastic,hybrid,IntechOpen eBooks,OK/OK,already present,Microplastics Exposure Is Harmful to Male Reproductive Health
W4401977309,10.3390/toxics12080613,A_primary,pfas,gold,Toxics,OK/OK,already present,Perfluoroalkyl and Polyfluoroalkyl Substances in Relation to the Participant-Reported Tota
W7117988082,10.3390/microplastics5010003,A_primary,plastic,gold,Microplastics,FAILED,"Microplastics:http 403, body too small; europepmc:not in Europe PMC","Plastic Particles and Female Fertility: Pathways, Toxicity, and Analytical Challenges"
W7148912603,10.4103/jmh.jmh_93_25,A_primary,both,diamond,Journal of Mid-life Health,OK/OK,already present,Reproductive Health Consequences of Per- and Polyfluoroalkyl Substances and Microplastics 
W7133525027,10.1016/j.xfnr.2026.100102,A_primary,pfas,closed,,FAILED,europepmc:not in Europe PMC,Per- and polyfluoroalkyl substances exposure from preconception to lactation: implications
W7202077705,10.1177/26318318261474309,A_primary,plastic,diamond,Journal of Psychosexual Health,FAILED,europepmc:not in Europe PMC,"Invisible Barriers to Male Reproductive Health: Microplastic Toxicity, Fertility, and Psyc"
W2322981968,10.1016/j.reprotox.2011.11.094,A_primary,pfas,closed,,FAILED,europepmc:not in Europe PMC,P60—Preliminary results on subfecundity and plasma concentrations of perfluorinated compou
W2086662317,10.1021/es1038694,A2_input,pfas,green,Repository of Digital Objects for Teaching Research and Culture (University of Valencia),FAILED,europepmc:epmc hit but not OA (pmcid=none),Association of Perfluorooctanoic Acid (PFOA) and Perfluorooctane Sulfonate (PFOS) with Age
W2163064437,10.3390/ijerph120606098,A2_input,pfas,gold,International Journal of Environmental Research and Public Health,OK/OK,already present,Serum Biomarkers of Exposure to Perfluoroalkyl Substances in Relation to Serum Testosteron
W1986462163,10.1289/ehp.1205118,A2_input,pfas,diamond,Environmental Health Perspectives,OK/OK,already present,Associations of <i>in Utero</i> Exposure to Perfluorinated Alkyl Acids with Human Semen Qu
W2105381158,10.1093/humrep/des425,A2_input,pfas,green,Research at the University of Copenhagen (University of Copenhagen),FAILED,europepmc:epmc hit but not OA (pmcid=none),PFOS (perfluorooctanesulfonate) in serum is negatively associated with testosterone levels
W2724290332,10.1289/ehp1203,A2_input,pfas,diamond,Environmental Health Perspectives,OK/OK,already present,Plasma Perfluoroalkyl and Polyfluoroalkyl Substances Concentration and Menstrual Cycle Cha
W2053956953,10.1016/j.reprotox.2011.05.024,A2_input,pfas,green,PubMed Central,FAILED,europepmc:epmc hit but not OA (pmcid=PMC3214233),Concentrations of perfluorooctane sulfonate (PFOS) and perfluorooctanoate (PFOA) and their
W2996396622,10.1289/ehp4431,A2_input,pfas,diamond,Environmental Health Perspectives,OK/OK,already present,Profiles of Emerging and Legacy Per-/Polyfluoroalkyl Substances in Matched Serum and Semen
W2154246824,10.1289/ehp.1306707,A2_input,pfas,diamond,Environmental Health Perspectives,OK/OK,already present,Polyfluoroalkyl Chemicals and Menopause among Women 20–65 Years of Age (NHANES)
W2802977343,10.1210/jc.2017-02783,A2_input,pfas,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Association of Perfluoroalkyl and Polyfluoroalkyl Substances With Premature Ovarian Insuff
W1974206202,10.1289/ehp.1307621,A2_input,pfas,diamond,Environmental Health Perspectives,OK/OK,already present,Perfluorochemicals and Human Semen Quality: The LIFE Study
W3047171475,10.1016/j.envpol.2020.115330,A2_input,pfas,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Exposure to per- and polyfluoroalkyl substances (PFASs) in serum versus semen and their as
W1971918593,10.1016/j.fertnstert.2015.02.001,A2_input,pfas,green,PubMed Central,FAILED,europepmc:epmc hit but not OA (pmcid=PMC4417395),Perfluoroalkyl substances and ovarian hormone concentrations in naturally cycling women
W4402945134,10.1016/j.ebiom.2024.105369,A2_input,plastic,gold,EBioMedicine,OK/OK,already present,Association of mixed exposure to microplastics with sperm dysfunction: a multi-site study 
W2884311292,10.1016/j.ijheh.2018.07.009,A2_input,pfas,green,Repository@Hull (Worktribe) (University of Hull),FAILED,"Repository@Hull (Workt:http 403, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=none)",Perfluorinated alkyl acids in the serum and follicular fluid of UK women with and without 
W4367857087,10.1289/ehp11814,A2_input,pfas,diamond,Environmental Health Perspectives,OK/OK,already present,Environmental Exposure to Emerging Alternatives of Per- and Polyfluoroalkyl Substances and
W2981772479,10.1016/j.chemosphere.2019.125208,A2_input,pfas,green,Padua Research Archive (University of Padova),FAILED,europepmc:epmc hit but not OA (pmcid=none),Perfluorooctanoic acid alters progesterone activity in human endometrial cells and induces
W2910919969,10.1289/ehp3567,A2_input,pfas,diamond,Environmental Health Perspectives,OK/OK,already present,Exposure to Perfluoroalkyl Substances during Fetal Life and Pubertal Development in Boys a
W3127248205,10.1016/j.envint.2021.106408,A2_input,pfas,gold,Environment International,FAILED,"Environment Internatio:http 403, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=none)",Perfluoroalkyl substances and sex hormones in postmenopausal women: NHANES 2013–2016
W3139203073,10.1016/j.envint.2021.106496,A2_input,pfas,gold,Environment International,FAILED,"Environment Internatio:http 403, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=none)",Environmental exposure to per- and polyfluoroalkyl substances mixture and male reproductiv
W2575956297,10.1016/j.reprotox.2017.01.006,A2_input,pfas,green,PubMed Central,FAILED,europepmc:epmc hit but not OA (pmcid=PMC5690561),"Effects of perfluorinated chemicals on thyroid function, markers of ovarian reserve, and n"
W2517826705,10.1016/j.reprotox.2016.08.009,A2_input,pfas,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Perfluoroalkyl substances and endometriosis in US women in NHANES 2003–2006
W2120610521,10.1093/humrep/det390,A2_input,pfas,bronze,Human Reproduction,FAILED,"Human Reproduction:http 403, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=none)","Menstrual cycle characteristics in fertile women from Greenland, Poland and Ukraine expose"
W2017429754,10.1097/ede.0b013e31826cc0cf,A2_input,pfas,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=PMC4122261),Perfluorochemicals and Endometriosis
W3138031597,10.1186/s12302-021-00508-9,A2_input,pfas,gold,Environmental Sciences Europe,FAILED,"Environmental Sciences:http 200, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=PMC9440377)",Perfluoroalkyl and polyfluoroalkyl substance exposure and association with sex hormone con
W4302004482,10.1289/ehp10285,A2_input,pfas,diamond,Environmental Health Perspectives,OK/OK,already present,Maternal Exposure to Per- and Polyfluoroalkyl Substances (PFAS) and Male Reproductive Func
W4220904257,10.3389/fendo.2021.799043,A2_input,pfas,gold,Frontiers in Endocrinology,OK/OK,already present,Assessment of the Emerging Threat Posed by Perfluoroalkyl and Polyfluoroalkyl Substances t
W1992065546,10.1111/and.12371,A2_input,pfas,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Chromosomal aneuploidies and DNA fragmentation of human spermatozoa from patients exposed 
W2105638582,10.1002/em.21874,A2_input,pfas,green,Data Archiving and Networked Services (DANS),FAILED,europepmc:epmc hit but not OA (pmcid=none),Exposure to Perfluoroalkyl Substances and Sperm DNA Global Methylation in <scp>Arctic</scp
W3032002623,10.1210/clinem/dgaa303,A2_input,pfas,bronze,The Journal of Clinical Endocrinology & Metabolism,FAILED,"The Journal of Clinica:http 403, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=PMC7418447)",Associations of Perfluoroalkyl Substances with Incident Natural Menopause: The Study of Wo
W4321375884,10.3389/fendo.2023.1114463,A2_input,pfas,gold,Frontiers in Endocrinology,OK/OK,already present,Toxic effects of per- and polyfluoroalkyl substances on sperm: Epidemiological and experim
W3046713908,10.1080/10937404.2020.1798315,A2_input,pfas,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Per- and polyfluoroalkyl substances and male reproductive health: a systematic review of t
W3175004850,10.1210/clinem/dgab476,A2_input,pfas,bronze,The Journal of Clinical Endocrinology & Metabolism,FAILED,"The Journal of Clinica:http 403, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=PMC8677593)",Per- and Polyfluoroalkyl Substances and Hormone Levels During the Menopausal Transition
W4412525568,10.1021/acsnano.5c00918,A2_input,plastic,hybrid,ACS Nano,OK/OK,already present,Polyethylene and Polyvinyl Chloride Nanoplastics in Human Follicular Fluid and Seminal Pla
W4220733007,10.1016/j.envres.2022.113157,A2_input,pfas,hybrid,Environmental Research,FAILED,"Environmental Research:http 403, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=none)",Per- and polyfluoroalkyl substances (PFAS) and male reproductive function in young adultho
W4405747510,10.1016/j.envint.2024.109236,A2_input,plastic,gold,Environment International,FAILED,europepmc:epmc hit but not OA (pmcid=none),Polyethylene microplastic exposure adversely affects oocyte quality in human and mouse
W4223636188,10.1016/j.scitotenv.2022.155158,A2_input,pfas,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),"Environmental exposure to legacy poly/perfluoroalkyl substances, emerging alternatives and"
W4318817956,10.1186/s12958-023-01056-y,A2_input,pfas,gold,Reproductive Biology and Endocrinology,OK/OK,already present,Effect of PFOA exposure on diminished ovarian reserve and its metabolism
W4412003778,10.3390/toxics13070566,A2_input,plastic,gold,Toxics,OK/OK,already present,The Presence of Microplastics in Human Semen and Their Associations with Semen Quality
W4387643922,10.1016/j.scitotenv.2023.167838,A2_input,pfas,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Environmental exposure to legacy and emerging per- and polyfluoroalkyl substances and endo
W4401361487,10.1016/j.scitotenv.2024.175313,A2_input,pfas,green,Europe PMC (PubMed Central),FAILED,"Europe PMC (PubMed Cen:http 200, body too small; europepmc:epmc hit but not OA (pmcid=PMC11357523)",Per- and polyfluoroalkyl substances exposure is associated with polycystic ovary syndrome 
W4391262570,10.3390/toxics12020104,A2_input,pfas,gold,Toxics,OK/OK,already present,Association between Perfluoroalkyl Substances in Follicular Fluid and Polycystic Ovary Syn
W4309366993,10.1007/s11356-022-24182-3,A2_input,pfas,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Association between per- and polyfluoroalkyl substances and semen quality
W4401027411,10.3390/toxics12080539,A2_input,pfas,gold,Toxics,OK/OK,already present,Per- and Polyfluoroalkyl Substances (PFASs) and Their Potential Effects on Female Reproduc
W4410478485,10.1016/j.envint.2025.109533,A2_input,pfas,gold,Environment International,FAILED,europepmc:epmc hit but not OA (pmcid=none),Seminal per- and polyfluoroalkyl substance exposure and sperm quality impairment: from tox
W4406204271,10.1055/s-0044-1801363,A2_input,pfas,green,Europe PMC (PubMed Central),FAILED,"Europe PMC (PubMed Cen:http 200, body too small; europepmc:epmc hit but not OA (pmcid=PMC11893235)",PFAS Exposure and Male Reproductive Health: Implications for Sperm Epigenetics
W4411111644,10.1186/s12940-025-01188-1,A2_input,pfas,gold,Environmental Health,OK/OK,already present,"Per- and polyfluoroalkyl substances (PFAS), thyroid hormones, sexual hormones and pubertal"
W4280492620,10.1021/acs.est.1c07184,A2_input,pfas,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Environmental Exposure to 6:2 Polyfluoroalkyl Phosphate Diester and Impaired Testicular Fu
W4412198133,10.3390/ijms26146604,A2_input,pfas,gold,International Journal of Molecular Sciences,OK/OK,already present,Molecular Shadows of Per- and Polyfluoroalkyl Substances (PFASs): Unveiling the Impact of 
W4220829850,10.1093/aje/kwac052,A2_input,pfas,green,PubMed Central,FAILED,europepmc:epmc hit but not OA (pmcid=PMC9393069),Perfluoroalkyl Substances and Incident Natural Menopause in Midlife Women: The Mediating R
W4401829970,10.1016/j.scitotenv.2024.175593,A2_input,pfas,hybrid,The Science of The Total Environment,FAILED,"The Science of The Tot:http 200, not a PDF (publisher interstitial or paywall page); Institutional Reposito:http 504, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=none)",Association between exposure to perfluoroalkyl substances (PFAS) and endometriosis in the 
W4405984033,10.1021/acs.est.4c10425,A2_input,pfas,bronze,Environmental Science & Technology,FAILED,"Environmental Science :http 403, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=none)",Per- and PolyfluoroalkylSubstances in Semen Associatedwith Repeated Measures of Semen Qual
W4378070587,10.1289/ehp11606,A2_input,pfas,diamond,Environmental Health Perspectives,OK/OK,"PubMed Central:http 200, body too small; europepmc:Europe PMC PMC10208432, 63 KB text",Associations of Pregnancy Per- and Polyfluoroalkyl Substance Concentrations and Uterine Fi
W4406230344,10.1016/j.envres.2025.120786,A2_input,pfas,hybrid,Environmental Research,FAILED,europepmc:epmc hit but not OA (pmcid=PMC11839318),Associations of maternal per- and polyfluoroalkyl substance plasma concentrations during p
W4411191651,10.3389/fpubh.2025.1526918,A2_input,pfas,gold,Frontiers in Public Health,OK/OK,"Frontiers in Public He:http 200, 1989 KB; text: 72 KB text",Associations of per- and polyfluoroalkyl substances in follicular fluid with polycystic ov
W4415012676,10.1186/s12951-025-03747-7,A2_input,plastic,gold,Journal of Nanobiotechnology,OK/OK,"Journal of Nanobiotech:http 200, not a PDF (publisher interstitial or paywall page); europepmc:Europe PMC PMC12512996, 67 KB text","Plastic tableware use, microplastic accumulation, and sperm quality: from epidemiological "
W7125642333,10.1016/j.jare.2026.01.074,A2_input,plastic,gold,Journal of Advanced Research,FAILED,europepmc:epmc hit but not OA (pmcid=none),Microplastics and nanoplastics in follicular fluid are associated with diminished ovarian 
W4387950573,10.1289/ehp12592,A2_input,pfas,diamond,Environmental Health Perspectives,OK/OK,"PubMed Central:http 200, body too small; europepmc:Europe PMC PMC10601879, 21 KB text",Per- and Polyfluoroalkyl Substances and Anti-Müllerian Hormone Concentrations in Two Preco
W4404412862,10.1016/j.emcon.2024.100438,A2_input,pfas,gold,Emerging contaminants,FAILED,europepmc:not in Europe PMC,Associations between per- and polyfluoroalkyl substances and menstrual cycle regularity in
W7131673367,10.1016/j.reprotox.2026.109207,A2_input,pfas,hybrid,Reproductive Toxicology,OK/OK,"europepmc:Europe PMC PMC13229287, 55 KB text",Per- and polyfluoroalkyl substances (PFAS) and menstrual cycle characteristics in midlife 
W7125520842,10.1021/envhealth.5c00655,A2_input,pfas,diamond,Environment & Health,OK/OK,"Environment & Health:http 403, not a PDF (publisher interstitial or paywall page); europepmc:Europe PMC PMC13288235, 74 KB text",Risk Assessment of PFAS-Induced Male Reproductive Toxicity: A Comprehensive Evaluation Usi
W3137773367,10.25259/jrhm_18_2020,A2_input,pfas,hybrid,Journal of Reproductive Healthcare and Medicine,FAILED,europepmc:not in Europe PMC,Male reproductive health at risk due to exposure to perfluoroalkyl substances: Recent rese
W7147626980,10.1210/clinem/dgag148,A2_input,pfas,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),"The association between PFAS exposure, menstrual cycle parameters, and reproductive hormon"
W7172439643,10.1016/j.jhazmat.2026.143157,A2_input,pfas,hybrid,Journal of Hazardous Materials,FAILED,europepmc:epmc hit but not OA (pmcid=none),Associations between per- and polyfluoroalkyl substances and semen parameters: An updated 
W7154607964,10.1021/envhealth.5c00832,A2_input,pfas,diamond,Environment & Health,FAILED,europepmc:not in Europe PMC,Exposure to Legacyand Novel Per- and PolyfluoroalkylSubstances and Diminished Ovarian Rese
W7123517430,10.21203/rs.3.rs-8080347/v1,A2_input,plastic,green,Research Square,OK/OK,"Research Square:http 200, 1142 KB; text: 30 KB text",Size- and hydrophobicity-dependent accumulation of microplastics in follicular fluid is li
W4308437118,10.21203/rs.3.rs-2228346/v1,A2_input,pfas,green,Research Square,OK/OK,"Research Square:http 200, 675 KB; text: 33 KB text",Effect of PFOA exposure on ovarian reserve function and its metabolism
W4415721055,10.1093/enendo/wkaf002,A2_input,pfas,hybrid,Environmental Endocrinology,FAILED,europepmc:not in Europe PMC,Serum concentrations of per- and polyfluoroalkyl substances in women with premature ovaria
W7131795704,10.3389/fendo.2026.1758118,A2_input,pfas,gold,Frontiers in Endocrinology,OK/OK,"Frontiers in Endocrino:http 200, 3219 KB; text: 84 KB text",Association between PFAS compounds in follicular fluid and POR and the intervention effect
W7154503712,10.1016/j.reprotox.2026.109247,A2_input,unclear,hybrid,Reproductive Toxicology,FAILED,europepmc:epmc hit but not OA (pmcid=PMC13257933),"Associations between pollutants, the regularity of daily sex hormone patterns, and hormone"
W7162817138,10.31083/ceog48278,A2_input,pfas,gold,Clinical and Experimental Obstetrics & Gynecology,OK/OK,"Clinical and Experimen:http 200, 937 KB; text: 42 KB text",Association of Perfluoroheptanoic Acid With Total Testosterone: A Retrospective Study in W
W2160337287,10.1155/2012/713696,B_held,unclear,hybrid,Journal of Environmental and Public Health,OK/OK,"Journal of Environment:http 403, not a PDF (publisher interstitial or paywall page); europepmc:Europe PMC PMC3443608, 232 KB text",Endocrine-Disrupting Chemicals: Associated Disorders and Mechanisms of Action
W3131348191,10.1016/j.scitotenv.2021.145758,B_held,plastic,closed,,FAILED,europepmc:not in Europe PMC,"A comparative review of microplastics and nanoplastics: Toxicity hazards on digestive, rep"
W1672471417,10.2478/v10001-009-0036-1,B_held,unclear,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Environmental factors and semen quality
W2739697276,10.1080/14647273.2017.1358828,B_held,unclear,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),"Exposure to modern, widespread environmental endocrine disrupting chemicals and their effe"
W1513271034,10.1289/ehp.1205301,B_held,both,diamond,Environmental Health Perspectives,OK/OK,"europepmc:Europe PMC PMC3569685, 49 KB text",Persistent Environmental Pollutants and Couple Fecundity: The LIFE Study
W3114112276,10.1016/j.envres.2020.110694,B_held,unclear,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Endocrine disrupting chemicals: Impacts on human fertility and fecundity during the peri-c
W4385774153,10.1016/j.scitotenv.2023.166258,B_held,plastic,hybrid,The Science of The Total Environment,FAILED,europepmc:epmc hit but not OA (pmcid=none),Adverse effects of microplastics and nanoplastics on the reproductive system: A comprehens
W4293767673,10.3389/ftox.2022.901798,B_held,plastic,gold,Frontiers in Toxicology,OK/OK,"Frontiers in Toxicolog:http 200, 1089 KB; text: 51 KB text",Developmental and reproductive toxic effects of exposure to microplastics: A review of ass
W2889548859,10.3390/ijerph15091880,B_held,both,gold,International Journal of Environmental Research and Public Health,OK/OK,"International Journal :http 403, body too small; europepmc:Europe PMC PMC6165232, 49 KB text",Reproductive Function in a Population of Young Faroese Men with Elevated Exposure to Polyc
W2916698263,10.1186/s12958-018-0448-5,B_held,unclear,gold,Reproductive Biology and Endocrinology,OK/OK,"Reproductive Biology a:http 200, not a PDF (publisher interstitial or paywall page); europepmc:Europe PMC PMC6330570, 69 KB text",Water and soil pollution as determinant of water and food quality/contamination and its im
W1967553734,10.1136/oemed-2014-102264,B_held,both,bronze,Occupational and Environmental Medicine,FAILED,"Occupational and Envir:http 403, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=none)","Phthalates, perfluoroalkyl acids, metals and organochlorines and reproductive function: a "
W4309587595,10.1002/mrd.23652,B_held,unclear,hybrid,Molecular Reproduction and Development,OK/OK,"Molecular Reproduction:http 403, not a PDF (publisher interstitial or paywall page); PubMed Central:http 200, body too small; europepmc:Europe PMC PMC10100123, 146 KB text",The effects of endocrine‐disrupting chemicals on ovarian‐ and ovulation‐related fertility 
W4386220768,10.3389/fphys.2023.1254886,B_held,plastic,gold,Frontiers in Physiology,OK/OK,"Frontiers in Physiolog:http 200, 1558 KB; text: 83 KB text",Toxicity of microplastics and nanoplastics: invisible killers of female fertility and offs
W4318336296,10.1016/j.jclepro.2023.136191,B_held,both,closed,,FAILED,europepmc:not in Europe PMC,Perfluoroalkyl and polyfluoroalkyl substances (PFAS) adsorbed on microplastics in drinking
W4353056596,10.1016/j.scitotenv.2023.163028,B_held,both,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),The unheeded inherent connections and overlap between microplastics and poly- and perfluor
W2965051076,10.1016/j.envint.2019.105066,B_held,both,gold,Environment International,FAILED,"Environment Internatio:http 403, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=none)",Seminal plasma metabolites mediate the associations of multiple environmental pollutants w
W2319809145,10.1111/andr.12171,B_held,unclear,hybrid,Andrology,FAILED,"Andrology:http 403, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=PMC4961554)",Paternal exposures to environmental chemicals and time‐to‐pregnancy: overview of results f
W2169539291,10.1530/rep-13-0472,B_held,unclear,bronze,Reproduction,FAILED,"Reproduction:http 403, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=PMC3943622)",Persistent environmental pollutants and couple fecundity: an overview
W4403779899,10.1016/j.ecoenv.2024.117245,B_held,plastic,gold,Ecotoxicology and Environmental Safety,FAILED,europepmc:epmc hit but not OA (pmcid=none),Reproductive and developmental implications of micro- and nanoplastic internalization: Rec
W3204210883,10.3389/fgene.2021.692897,B_held,both,gold,Frontiers in Genetics,OK/OK,"Frontiers in Genetics:http 200, 1208 KB; text: 81 KB text",Overview of the Mechanisms of Action of Selected Bisphenols and Perfluoroalkyl Chemicals o
W4406980968,10.1016/j.toxrep.2025.101938,B_held,plastic,gold,Toxicology Reports,OK/OK,"PubMed Central:http 200, body too small; europepmc:Europe PMC PMC12223432, 69 KB text",Microplastics: A threat to Fetoplacental unit and Reproductive systems
W132620466,10.1016/b978-0-12-382032-7.10047-5,B_held,pfas,closed,,FAILED,europepmc:not in Europe PMC,Perfluorooctane sulfonate (PFOS) and perfluorooctanoic acid (PFOA)
W4405642070,10.1007/s13273-024-00498-8,B_held,plastic,closed,,FAILED,europepmc:not in Europe PMC,Impact and mechanisms of microplastics and nanoplastics on the reproductive system
W4390058404,10.3390/ijms25010136,B_held,pfas,gold,International Journal of Molecular Sciences,OK/OK,"International Journal :http 403, body too small; PubMed Central:http 200, body too small; europepmc:Europe PMC PMC10779064, 41 KB text",Perfluorooctanoic Acid (PFOA) Exposure Compromises Fertility by Affecting Ovarian and Oocy
W4323350289,10.1093/humrep/dead028,B_held,unclear,green,HAL (Le Centre pour la Communication Scientifique Directe),FAILED,"HAL (Le Centre pour la:http 200, not a PDF (publisher interstitial or paywall page); europepmc:epmc hit but not OA (pmcid=none)",Serum persistent organic pollutants and diminished ovarian reserve: a single-exposure and 
W4403750750,10.1530/rep-24-0155,B_held,unclear,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),IMPACT OF REAL-LIFE ENVIRONMENTAL EXPOSURES ON REPRODUCTION: Impact of human-relevant dose
W7128249970,10.1016/j.ecoenv.2026.119831,B_held,plastic,gold,Ecotoxicology and Environmental Safety,FAILED,europepmc:epmc hit but not OA (pmcid=none),Size-dependent toxicological effects of microplastics: A review
W4404137738,10.1021/acs.est.4c04356,B_held,unclear,closed,,FAILED,europepmc:epmc hit but not OA (pmcid=none),Characterization of Chemical Exposome in A Paired Human Preconception Pilot Study
W4409259355,10.1016/j.jhazmat.2025.138210,B_held,plastic,hybrid,Journal of Hazardous Materials,OK/OK,"Dipòsit Digital de Doc:http 200, 8828 KB; text: 72 KB text",New insights into the reproductive hazards posed by polystyrene nanoplastics
