stratum,priority,read_level,work_id,doi,year,venue,screen_verdict,screen_cell,outcome_level,setting_era,structural_change_held_fixed,evidence_type,screen_reason,ra_verdict,ra_cell,ra_outcome_level,ra_route_to,agree_or_overturn,mechanism_decomposed,ra_reason,send_to_fulltext,ra_initials,ra_date,title
A_DECISIVE,1,full_text,W2020653457,10.1080/00220380412331322181,2001,The Journal of Development Studies,RELEVANT,DIFFUSION_INDEPENDENT_OF_STRUCTURE,REALIZED_FERTILITY,DIFFUSED_FDT,unclear,review,"Adjudicates the claim that fertility fell without prior economic change, the value-added claim of this hypothesis; argues against it.",,,,,,,,,,,"Ideas, Economics and 'the Sociology of Supply': Explanations for Fertility Decline in Bangladesh"
A_DECISIVE,1,full_text,W2334348451,10.2307/3088919,2001,American Sociological Review,RELEVANT,PRIMARY_SCHOOLING_IDEATIONAL,REALIZED_FERTILITY,DIFFUSED_FDT,unclear,observational,"School-proximity effect estimated net of own, husband's, and children's schooling, isolating exposure for people whose own schooling did not change.",,,,,,,,,,,Mass Education and Fertility Transition
A_DECISIVE,1,full_text,W2056855601,10.2307/2061849,1992,Demography,RELEVANT,PRIMARY_WESTERN_CONTACT,REALIZED_FERTILITY,DIFFUSED_FDT,no,observational,Exposure to nonfamily institutions carrying a new family mode of organization predicts fertility limitation in transitional Nepal.,,,,,,,,,,,Family organization and fertility limitation in Nepal
A_DECISIVE,1,full_text,W2063689625,10.1177/019791839202600104,1992,International Migration Review,RELEVANT,PRIMARY_WESTERN_CONTACT,REALIZED_FERTILITY,SDT,unclear,observational,"Migrant-seam case on the convergence-with-exposure side: fertility declines with duration and generation of US exposure, not persistence of origin norms.",,,,,,,,,,,"Assimilation, Disruption and the Fertility of Mexican-Origin Women in the United States <sup/>"
A_DECISIVE,1,full_text,W2068298470,10.1111/j.1549-0831.1992.tb00472.x,1992,Rural Sociology,RELEVANT,PRIMARY_WESTERN_CONTACT,REALIZED_FERTILITY,DIFFUSED_FDT,no,observational,"Exposure to development-programme institutions as a determinant of fertility limitation in Nepal, though the stated mechanism runs partly through childbearing costs.",,,,,,,,,,,Rural Income‐Generating Programs and Fertility Limitation: Evidence from a Microdemographic Study in Nepal<sup>1</sup>
B_WALL5_SCHOOLING,1,full_text,W2100053498,10.2307/2133523,1995,International Family Planning Perspectives,UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,MULTIPLE,DIFFUSED_FDT,unclear,observational,"Mediation of schooling through mixed cognitive, economic and attitudinal assets; no design separating ideational content from returns.",,,,,,,,,,,The Impact of Women's Education on Fertility In Latin America: Searching for Explanations
B_WALL5_SCHOOLING,1,full_text,W4413110980,10.1215/00703370-12191344,2025,Demography,UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,REALIZED_FERTILITY,DIFFUSED_FDT,unclear,observational,"Education-fertility gradients compared across regions with mechanism attributed to mortality and school quality, not decomposed toward ideation.",,,,,,,,,,,How Is Fertility Behavior in Africa Different?
B_WALL5_SCHOOLING,1,full_text,W2130597491,,2010,RePEc: Research Papers in Economics,UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,REALIZED_FERTILITY,DIFFUSED_FDT,no,quasi-experimental,Schooling→fertility with labour-market channel noted but no decomposition separating ideational from wage/cost mechanisms.,,,,,,,,,,,"The effect of schooling on fertility, labor market participation and children's outcomes, evidence from Ecuador"
B_WALL5_SCHOOLING,1,full_text,W4294343530,10.1007/978-3-031-11840-1_4,2022,SpringerBriefs in population studies,UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,REALIZED_FERTILITY,DIFFUSED_FDT,no,observational,"Education identified as the leading determinant of fertility with no mechanism decomposition; diffusion and norms are invoked in discussion, not designed for.",,,,,,,,,,,Socio-Economic Determinants of Fertility
B_WALL5_SCHOOLING,1,full_text,W4409029977,10.1093/ereh/heae023,2025,European Review of Economic History,UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,MULTIPLE,SDT,unclear,quasi-experimental,Causal schooling-to-fertility RD with no visible decomposition separating ideational content from wage or cost returns.,,,,,,,,,,,The Causal Effects of Education on Age at Marriage and Marital Fertility
B_WALL5_SCHOOLING,1,full_text,W2345861931,10.1093/oso/9780198813422.003.0006,2017,Oxford University Press eBooks,UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,NA,NA,unclear,review,Asserts a causal education–demography relationship for projection purposes with no visible decomposition of ideational versus cost/return mechanisms.,,,,,,,,,,,How Education Drives Demography and Knowledge Informs Projections
B_WALL5_SCHOOLING,1,full_text,W1925386910,,1996,ANU Open Research (Australian National University),UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,REALIZED_FERTILITY,DIFFUSED_FDT,unclear,observational,Tests Caldwell's mass-education thesis on a post-1945 transition but shows no decomposition separating ideational content from cost and wealth-flow channels.,,,,,,,,,,,The first generation with mass schooling and the fertility transition: the case of Sri Lanka.
B_WALL5_SCHOOLING,1,full_text,W2790358149,10.1017/dem.2016.12,2018,Journal of Demographic Economics,UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,MULTIPLE,DIFFUSED_FDT,no,quasi-experimental,Schooling shock to fertility desires and marriage behaviour with no decomposition separating ideational content from wage or child-cost returns.,,,,,,,,,,,THE IMPACT OF EDUCATION ON WOMEN'S PREFERENCES FOR GENDER EQUALITY: EVIDENCE FROM SIERRA LEONE
B_WALL5_SCHOOLING,1,full_text,W2060353279,10.2307/2060910,1984,Demography,UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,REALIZED_FERTILITY,DIFFUSED_FDT,unclear,observational,"Aggregate literacy effect on fertility estimated net of economic development, but no mechanism decomposition distinguishes ideational from economic returns.",,,,,,,,,,,"The threshold hypothesis: evidence from less developed Latin American countries, 1950 to 1980"
B_WALL5_SCHOOLING,1,full_text,W2144489347,10.1111/j.1728-4457.2000.00483.x,2000,Population and Development Review,UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,REALIZED_FERTILITY,DIFFUSED_FDT,no,observational,tests Caldwell's mass-schooling threshold against fertility decline but shows no decomposition separating ideational content from wage or child-cost returns,,,,,,,,,,,The Spread of Primary Schooling in sub‐Saharan Africa: Implications for Fertility Change
B_WALL5_SCHOOLING,1,full_text,W2095480544,10.2307/2061422,1991,Demography,UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,FAMILY_FORMATION_BEHAVIOUR,DIFFUSED_FDT,unclear,observational,shift to self-choice marriage regressed on education and class with no ideational-versus-economic mechanism identified,,,,,,,,,,,Gender and changing generational relations: Spouse choice in Indonesia
B_WALL5_SCHOOLING,1,full_text,W4401323454,10.32468/chee.63,2024,,UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,REALIZED_FERTILITY,DIFFUSED_FDT,no,observational,Education-fertility gradient in Colombia with no decomposition separating ideational content from cost and wage returns.,,,,,,,,,,,Understanding the relationship between women's education and fertility decline: Evidence from Colombia
B_WALL5_SCHOOLING,1,full_text,W2050754079,10.1017/s0021932000021829,1993,Journal of Biosocial Science,UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,STATED_INTENTION_OR_IDEAL,DIFFUSED_FDT,unclear,observational,literacy to fertility desires with no decomposition of ideational versus cost/return mechanism,,,,,,,,,,,Does women's literacy affect desired fertility and contraceptive use in rural–urban Pakistan?
B_WALL5_SCHOOLING,1,full_text,W388972784,,2009,KTH Publication Database DiVA (KTH Royal Institute of Technology),UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,REALIZED_FERTILITY,SDT,unclear,observational,Education-fertility estimation with unobserved heterogeneity correction and no mechanism decomposition (Wall 5).,,,,,,,,,,,The role of unobserved heterogeneity in transition to higher parity : evidence from Italy using Multiscopo survey
B_WALL5_SCHOOLING,1,full_text,W4415317108,10.1016/j.ssaho.2025.102109,2025,Social Sciences & Humanities Open,UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,REALIZED_FERTILITY,DIFFUSED_FDT,unclear,quasi-experimental,Causal schooling-to-fertility estimate with no mechanism decomposition distinguishing ideational content from economic returns.,,,,,,,,,,,Does reducing the length of school cycles affect Women's fertility? Quasi-Experimental evidence from Ghana
B_WALL5_SCHOOLING,1,full_text,W1549797823,10.3386/w10513,2004,National Bureau of Economic Research,UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,MULTIPLE,DIFFUSED_FDT,unclear,quasi-experimental,education to fertility with no separation of ideational content from wage or child-cost returns,,,,,,,,,,,The Impact of Education on Fertility and Child Mortality: Do Fathers Really Matter Less Than Mothers?
B_WALL5_SCHOOLING,1,full_text,W2006705160,10.3386/w13070,2007,National Bureau of Economic Research,UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,REALIZED_FERTILITY,DIFFUSED_FDT,unclear,quasi-experimental,Causal schooling-to-fertility estimate with no decomposition separating ideational content from wage or child-cost returns.,,,,,,,,,,,Does Female Schooling Reduce Fertility? Evidence from Nigeria
B_WALL5_SCHOOLING,1,full_text,W2892678806,10.4054/demres.2018.39.20,2018,Demographic Research,UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,MULTIPLE,SDT,unclear,quasi-experimental,Schooling-expansion shock to family formation with no visible separation of ideational content from wage or cost returns.,,,,,,,,,,,Fewer mothers with more colleges? The impacts of expansion in higher education on first marriage and first childbirth
B_WALL5_SCHOOLING,1,full_text,W3096378151,10.1177/0021909620966778,2020,Journal of Asian and African Studies,UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,FAMILY_FORMATION_BEHAVIOUR,DIFFUSED_FDT,no,observational,education–early marriage association in sub-Saharan Africa with no mechanism decomposition visible,,,,,,,,,,,Early Marriage and Correlates among Young Women in Sub-Saharan African Countries
B_WALL5_SCHOOLING,1,full_text,W2075588407,10.1017/s0021932008002782,2008,Journal of Biosocial Science,UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,FAMILY_FORMATION_BEHAVIOUR,DIFFUSED_FDT,no,observational,"Modernizing exposures to spouse-choice behaviour, but schooling's ideational content is not separated from the bundled economic changes",,,,,,,,,,,MODERNIZATION OR CULTURAL MAINTENANCE: THE PRACTICE OF CONSANGUINEOUS MARRIAGE IN IRAN
B_WALL5_SCHOOLING,1,full_text,W1587434697,10.3386/w18016,2012,National Bureau of Economic Research,UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,STATED_INTENTION_OR_IDEAL,DIFFUSED_FDT,no,quasi-experimental,"Schooling shifts women's preferences and desired family size, but ideational content is not separated from wage or child-cost returns.",,,,,,,,,,,Empowering Women Through Education: Evidence from Sierra Leone
B_WALL5_SCHOOLING,1,full_text,W4313316299,10.1371/journal.pone.0279773,2022,PLoS ONE,UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,MULTIPLE,DIFFUSED_FDT,no,observational,Education discriminates reproductive-trajectory typologies among Ethiopian youth with no decomposition of ideational versus economic mechanism,,,,,,,,,,,"Exploring reproductive trajectories of youths of Oromia, Ethiopia: A life course approach"
B_WALL5_SCHOOLING,1,full_text,W4391348058,10.1007/s10680-023-09691-2,2024,European Journal of Population / Revue européenne de Démographie,UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,REALIZED_FERTILITY,SDT,no,observational,Education-to-fertility event-history estimates by parity and cohort with no decomposition separating ideational content from wage or child-cost returns.,,,,,,,,,,,The Impact of Education on Fertility During the Chinese Reform Era (1980–2018): Changes Across Birth Cohorts and Interaction with Fertility Policies
B_WALL5_SCHOOLING,1,full_text,W2805245235,10.3389/fpubh.2018.00172,2018,Frontiers in Public Health,UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,REALIZED_FERTILITY,DIFFUSED_FDT,no,review,Female education to fertility in South Asia with no decomposition separating ideational content from wage or child-cost returns.,,,,,,,,,,,Is Educating Girls the Best Investment for South Asia? Association Between Female Education and Fertility Choices in South Asia: A Systematic Review of the Lite
B_WALL5_SCHOOLING,1,full_text,W2042718166,10.1163/15691497-12341298,2014,Perspectives on Global Development and Technology,UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,MULTIPLE,SDT,unclear,observational,Education to fertility attitudes and behaviour with no mechanism decomposition separating ideational content from wage or cost returns.,,,,,,,,,,,"The Effect of Education, Employment, and Income on Reproductive Attitudes and Behavior of United Arab Emirates Married Women"
B_WALL5_SCHOOLING,1,full_text,W2068369133,10.1002/j.2326-4624.2013.tb00006.x,2013,Population Council Book Series,UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,NA,DIFFUSED_FDT,no,review,Descriptive education-population linkage in Pakistan with no mechanism decomposition visible.,,,,,,,,,,,Education and Population: Closely Linked Trajectories for Pakistan
B_WALL5_SCHOOLING,1,full_text,W2043596752,10.2307/2137805,1996,Population and Development Review,UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,NA,DIFFUSED_FDT,no,review,Policy essay on female schooling and fertility decline with socioeconomic inequality as the confound; no mechanism decomposition visible.,,,,,,,,,,,Post-Cairo Population Policy: Does Promoting Girls' Schooling Miss the Mark?
B_WALL5_SCHOOLING,1,full_text,W4414887011,10.1215/00703370-12250354,2025,Demography,UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,MULTIPLE,DIFFUSED_FDT,unclear,observational,Cross-country education–fertility associations in Africa with no decomposition separating ideational content from cost or return.,,,,,,,,,,,Fertility Decline and Educational Progress Among African Women and Children
B_WALL5_SCHOOLING,1,full_text,W1974071719,10.1177/002071529603700103,1996,International Journal of Comparative Sociology,UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,REALIZED_FERTILITY,DIFFUSED_FDT,no,observational,Cross-national panel of girls' schooling on birth rates with no decomposition separating ideational content from wage or child-cost returns.,,,,,,,,,,,"Educating Girls in the Third World: The Demographic, Basic Needs, and Economic Benefits"
B_WALL5_SCHOOLING,1,full_text,W2108834498,10.1017/s0021932005026489,2005,Journal of Biosocial Science,UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,STATED_INTENTION_OR_IDEAL,DIFFUSED_FDT,unclear,observational,Education–fertility-preference association in Kenya with no mechanism decomposition isolating ideational from economic returns to schooling.,,,,,,,,,,,WOMEN’S EDUCATIONAL ATTAINMENT AND INTERGENERATIONAL PATTERNS OF FERTILITY BEHAVIOUR IN KENYA
B_WALL5_SCHOOLING,1,full_text,W4285042530,10.1111/fare.12718,2022,Family Relations,UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,FAMILY_FORMATION_BEHAVIOUR,DIFFUSED_FDT,no,observational,"Education raises non-arranged marriage alongside structural covariates, with ideational versus structural mechanisms invoked but not separated.",,,,,,,,,,,Mate selection in China: Trends and determinants
B_WALL5_SCHOOLING,1,full_text,W658899937,10.1007/s13524-015-0392-3,2015,Demography,UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,STATED_INTENTION_OR_IDEAL,DIFFUSED_FDT,unclear,quasi-experimental,Fuzzy RD of schooling on desired fertility with pathway analyses that do not separate ideational content from wage or child-cost returns.,,,,,,,,,,,"Does Schooling Affect Women’s Desired Fertility? Evidence From Malawi, Uganda, and Ethiopia"
B_WALL5_SCHOOLING,1,full_text,W2057145916,10.1111/j.0022-2445.2004.00083.x,2004,Journal of Marriage and the Family,UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,FAMILY_FORMATION_BEHAVIOUR,DIFFUSED_FDT,unclear,observational,Education-to-conjugal-marriage association with no decomposition separating ideational content from wage or cost returns.,,,,,,,,,,,"Social change, premarital nonfamily experiences, and marital dynamics"
B_WALL5_SCHOOLING,1,full_text,W2807117404,10.1007/s10144-018-0626-5,2018,Population Ecology,UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,REALIZED_FERTILITY,DIFFUSED_FDT,no,observational,"Education-fertility associations across 45 DHS countries mediated by work status, contraception and mortality, but ideational versus economic content of schooling is not separated.",,,,,,,,,,,Variation in wealth and educational drivers of fertility decline across 45 countries
B_WALL5_SCHOOLING,1,full_text,W4408224057,10.1007/s12546-025-09369-y,2025,Journal of Population Research,UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,REALIZED_FERTILITY,DIFFUSED_FDT,no,observational,"Education to fertility with no mechanism decomposition, and diffusion measured as media/network exposure with content unspecified",,,,,,,,,,,Effects of diffusion and education on women’s fertility in India
B_WALL5_SCHOOLING,1,full_text,W42920192,,2007,,UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,REALIZED_FERTILITY,DIFFUSED_FDT,unclear,observational,Female education to fertility in Pakistan with a development-level control but no decomposition separating ideational from wage or cost channels.,,,,,,,,,,,RETURNS TO EDUCATION The Case of Fertility
B_WALL5_SCHOOLING,1,full_text,W2015383232,10.2307/2096321,1995,American Sociological Review,UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,FAMILY_FORMATION_BEHAVIOUR,SDT,unclear,observational,Schooling to family-formation behaviour with no visible decomposition of ideational versus opportunity-cost mechanisms,,,,,,,,,,,The Influence of School Enrollment and Accumulation on Cohabitation and Marriage in Early Adulthood
B_WALL5_SCHOOLING,1,full_text,W2055706420,10.1080/00380237.1996.10570638,1996,Sociological Focus,UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,REALIZED_FERTILITY,DIFFUSED_FDT,no,observational,Education-fertility association by cohort in Pakistan with no decomposition separating ideational from economic mechanisms.,,,,,,,,,,,"Determinants of Marital Fertility in Pakistan: The Impact of Education, Work and Family Planning"
B_WALL5_SCHOOLING,1,full_text,W4200564011,10.1111/jomf.12815,2021,Journal of Marriage and the Family,UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,STATED_INTENTION_OR_IDEAL,DIFFUSED_FDT,unclear,observational,"Education–fertility-desire association in Mexico, Mozambique, and Nepal with covariate adjustment but no visible decomposition separating ideational from economic mechanism.",,,,,,,,,,,Desired fertility and educational aspirations: Adolescent goals in rapidly changing social contexts
B_WALL5_SCHOOLING,1,full_text,W4226309858,10.1596/36792,2021,"World Bank, Washington, DC eBooks",UNCERTAIN,MECHANISM_UNRESOLVED_SCHOOLING,NA,DIFFUSED_FDT,unclear,review,Evidence review of schooling interventions on delayed childbearing and marriage with no decomposition of ideational versus cost mechanisms.,,,,,,,,,,,Improving the Well-Being of Adolescent Girls in Developing Countries
B2_PRIMARY_SCHOOLING,1,full_text,W4404567126,10.1111/cwe.12558,2024,China & World Economy,RELEVANT,PRIMARY_SCHOOLING_IDEATIONAL,MULTIPLE,SDT,yes,quasi-experimental,Design explicitly separates a 'concept' (ideational) channel of schooling from income and work-status returns (Wall 5),,,,,,,,,,,The Multifaceted Impact of Education on Fertility: Unpacking the “BASIC” Effects in China
B2_PRIMARY_SCHOOLING,1,full_text,W2896739472,10.1007/s13524-018-0722-3,2018,Demography,RELEVANT,PRIMARY_SCHOOLING_IDEATIONAL,FAMILY_FORMATION_BEHAVIOUR,DIFFUSED_FDT,unclear,observational,"Contextual schooling effect on marital timing of women whose own schooling did not change, isolating a social-meaning rather than own-return channel.",,,,,,,,,,,From Privilege to Prevalence: Contextual Effects of Women’s Schooling on African Marital Timing
B2_PRIMARY_SCHOOLING,1,full_text,W2067618881,10.1086/375519,2003,Economic Development and Cultural Change,RELEVANT,PRIMARY_SCHOOLING_IDEATIONAL,STATED_INTENTION_OR_IDEAL,DIFFUSED_FDT,unclear,observational,Explicit test of Caldwell's mass-schooling hypothesis using community schooling supply and gender equity rather than a woman's own human capital (Wall 5 spillover reading).,,,,,,,,,,,Schooling Opportunities for Girls as a Stimulus for Fertility Change in Rural Pakistan
B2_PRIMARY_SCHOOLING,1,full_text,W3144412698,10.2307/3088337,2002,Demography,RELEVANT,PRIMARY_SCHOOLING_IDEATIONAL,REALIZED_FERTILITY,DIFFUSED_FDT,unclear,observational,"Aggregate schooling spillover onto women whose own education did not change — Caldwell's mass-education mechanism, net of own education and urbanization (Wall 5).",,,,,,,,,,,Education and Fertility in Sub-Saharan Africa: Individual and Community Effects
B2_PRIMARY_SCHOOLING,1,full_text,W1552777139,,2001,Duo Research Archive (University of Oslo),RELEVANT,PRIMARY_SCHOOLING_IDEATIONAL,REALIZED_FERTILITY,DIFFUSED_FDT,unclear,observational,"Estimates schooling spillovers onto women whose own education did not change, net of urbanization — the design isolates a non-individual, non-wage schooling channel.",,,,,,,,,,,The importance of education for fertility in Sub-Saharan Africa is substantially underestimated when community effects are ignored
B2_PRIMARY_SCHOOLING,1,full_text,W2334348451,10.2307/3088919,2001,American Sociological Review,RELEVANT,PRIMARY_SCHOOLING_IDEATIONAL,REALIZED_FERTILITY,DIFFUSED_FDT,unclear,observational,"School-proximity effect estimated net of own, husband's, and children's schooling, isolating exposure for people whose own schooling did not change.",,,,,,,,,,,Mass Education and Fertility Transition
