doi,openalex,year,type,venue,cited_by,title,prescreen_rule,provisional_cell,first_found_round,ra_verdict,ra_note
10.3390/jrfm15090403,W4295539930,2022,article,Journal of risk and financial management,7,"Interest Rates, House Prices, Fertility, and the Macroeconomy",credit_treatment,OFF_CREDIT_C3e,1,,
10.2139/ssrn.4473936,W4381108710,2023,preprint,SSRN Electronic Journal,4,"More Credit, Fewer Babies? Bank Credit Expansion, House Price, and Fertility",credit_treatment,OFF_CREDIT_C3e,1,,
10.2139/ssrn.6213441,W7128532933,2026,preprint,SSRN Electronic Journal,0,"More Credit, More Babies? Bank Credit Expansion, House Prices, and Fertility",credit_treatment,OFF_CREDIT_C3e,1,,
10.30902/jrea.2025.11.2.41,W4413296757,2025,article,Journal of Real Estate Analysis,0,The Impact of Parental Homeownership on Children’s Housing Stability and Childbirth Decisions,living_arrangement,OFF_LIVING_ARRANGEMENT_A23,1,,
10.1186/s12905-022-01626-z,W4225684899,2022,article,BMC Women s Health,7,Fertility awareness and subclinical infertility among women trying to get pregnant at home,clinical_or_nonhousing,OFF_OTHER,4,,
10.1186/s12978-024-01795-0,W4395046133,2024,article,Reproductive Health,1,Validation and measurement properties of the Male and Female Fertility Knowledge Inventories (MFKI and FFKI) in Iranian couples,clinical_or_nonhousing,OFF_OTHER,4,,
10.1289/ehp.1308049,W2075965707,2014,article,Environmental Health Perspectives,269,Residential Greenness and Birth Outcomes: Evaluating the Influence of Spatially Correlated Built-Environment Factors,birth_outcome_health,OFF_OUTCOME,5,,
10.1016/j.ufug.2014.09.004,W1986268178,2014,review,Urban forestry & urban greening,135,Association between residential greenness and birth weight: Systematic review and meta-analysis,birth_outcome_health,OFF_OUTCOME,5,,
10.1037/0278-6133.19.6.524,W2052676161,2000,article,Health Psychology,123,Severity of homelessness and adverse birth outcomes.,birth_outcome_health,OFF_OUTCOME,5,,
10.1016/j.envres.2020.110599,W3110821609,2020,review,Environmental Research,111,Residential greenness and birth outcomes: A systematic review and meta-analysis of observational studies,birth_outcome_health,OFF_OUTCOME,5,,
10.1016/j.envint.2016.03.020,W2330661807,2016,article,Environment International,98,"Maternal residential proximity to major roadways, birth weight, and placental DNA methylation",birth_outcome_health,OFF_OUTCOME,5,,
10.1016/j.envres.2016.10.003,W2531747060,2016,article,Environmental Research,92,Associations between residential greenness and birth outcomes across Texas,birth_outcome_health,OFF_OUTCOME,5,,
10.3390/ijerph17228659,W3109526654,2020,article,International Journal of Environmental Research and Public Health,85,Severe Housing Insecurity during Pregnancy: Association with Adverse Birth and Infant Outcomes,birth_outcome_health,OFF_OUTCOME,5,,
10.1016/j.envres.2018.01.006,W2792988416,2018,article,Environmental Research,75,Residential green space and birth outcomes in a coastal setting,birth_outcome_health,OFF_OUTCOME,4,,
10.1016/s0277-9536(96)00332-2,W2063032485,1997,article,Social Science & Medicine,75,Is nondashmetropolitan residence a risk factor for poor birth outcome in the U.S.?,birth_outcome_health,OFF_OUTCOME,5,,
10.1007/s11524-014-9913-4,W2067859916,2014,article,Journal of Urban Health,69,Housing Instability and Birth Weight among Young Urban Mothers,birth_outcome_health,OFF_OUTCOME,4,,
10.1016/j.scitotenv.2019.05.019,W2942743929,2019,article,The Science of The Total Environment,64,"Associations of residential greenness, traffic noise, and air pollution with birth outcomes across Alpine areas",birth_outcome_health,OFF_OUTCOME,5,,
10.1016/j.ecoenv.2021.111915,W3119613587,2021,article,Ecotoxicology and Environmental Safety,50,Residential greenness and birth outcomes: Evaluating the mediation and interaction effects of particulate air pollution,birth_outcome_health,OFF_OUTCOME,5,,
10.1377/hlthaff.2019.00090,W2943169415,2019,article,Health Affairs,48,"Infants Exposed To Homelessness: Health, Health Care Use, And Health Spending From Birth To Age Six",birth_outcome_health,OFF_OUTCOME,5,,
10.1186/s12942-018-0160-x,W2903378260,2018,article,International Journal of Health Geographics,42,Residential green space and pathways to term birth weight in the Canadian Healthy Infant Longitudinal Development (CHILD) Study,birth_outcome_health,OFF_OUTCOME,4,,
10.1016/j.envint.2020.105793,W3024077753,2020,article,Environment International,37,"The associations of residential greenness with fetal growth in utero and birth weight: A birth cohort study in Beijing, China",birth_outcome_health,OFF_OUTCOME,5,,
10.3390/ijerph16214154,W2981826617,2019,article,International Journal of Environmental Research and Public Health,32,"Effects of Maternal Homelessness, Supplemental Nutrition Programs, and Prenatal PM2.5 on Birthweight",birth_outcome_health,OFF_OUTCOME,5,,
10.1016/j.envres.2021.112344,W3209394201,2021,article,Environmental Research,28,Residential proximity to greenness and adverse birth outcomes in urban areas: Findings from a national Canadian population-based study,birth_outcome_health,OFF_OUTCOME,5,,
10.1016/j.scitotenv.2023.169549,W4390141886,2023,article,The Science of The Total Environment,25,"Association of residential greenness, air pollution with adverse birth outcomes: Results from 61,762 mother‑neonatal pairs in project ELEFANT (2011–2021)",birth_outcome_health,OFF_OUTCOME,5,,
10.1093/ije/dyaa158,W3097420009,2020,article,International Journal of Epidemiology,20,Changes in residential greenness between pregnancies and birth outcomes: longitudinal evidence from Michigan births 1990--2012,birth_outcome_health,OFF_OUTCOME,5,,
10.1111/jan.15684,W4380576599,2023,article,Journal of Advanced Nursing,14,Housing instability: Exploring socioecological influences on the health of birthing people,birth_outcome_health,OFF_OUTCOME,5,,
10.1016/j.ajogmf.2021.100391,W3161241988,2021,article,American Journal of Obstetrics & Gynecology MFM,12,Residential proximity to tree canopy and preterm birth in Black women,birth_outcome_health,OFF_OUTCOME,5,,
10.1016/j.chemosphere.2023.139917,W4386034333,2023,article,Chemosphere,11,Residential greenspace counteracts PM2.5 on the risks of preterm birth subtypes: A multicenter study,birth_outcome_health,OFF_OUTCOME,5,,
10.1093/aje/kwae436,W4404512450,2024,article,American Journal of Epidemiology,5,"Prenatal exposure to residential greenness, fetal growth, and birth outcomes: a cohort study in New York City",birth_outcome_health,OFF_OUTCOME,5,,
10.1186/s12302-024-00869-x,W4391964963,2024,article,Environmental Sciences Europe,3,Associations of residential greenness exposure during early pregnancy with the risk of spontaneous abortion: the China Birth Cohort Study,birth_outcome_health,OFF_OUTCOME,5,,
10.1016/j.ecoenv.2026.119778,W7125615550,2026,article,Ecotoxicology and Environmental Safety,0,"Residential greenness exposure and preterm birth and small for gestational age: potential association, interaction with fine particle matter and mediation role of systemic immune inflammation",birth_outcome_health,OFF_OUTCOME,5,,
10.1186/s12940-026-01268-w,W7127138701,2026,article,Environmental Health,0,The role of housing instability in the association between ambient temperature and preterm birth,birth_outcome_health,OFF_OUTCOME,5,,
10.1007/978-3-030-58085-8_6,W3198912915,2021,book-chapter,,0,The Complex Issues of the Perinatal Woman Experiencing Homelessness,birth_outcome_health,OFF_OUTCOME,5,,
10.1016/j.chieco.2020.101496,W3028664058,2020,article,China Economic Review,98,"House price, fertility rates and reproductive intentions",price_channel,PRIMARY_COST_RENTER,1,,
10.1111/j.1465-7295.2009.00213.x,W2081775216,2010,article,Economic Inquiry,76,THE EFFECT OF HOUSE PRICE ON FERTILITY: EVIDENCE FROM HONG KONG,price_channel,PRIMARY_COST_RENTER,3,,
10.1016/j.jpubeco.2013.09.009,W3024244835,2013,article,Journal of Public Economics,67,House prices and birth rates: The impact of the real estate market on the decision to have a baby,price_channel,PRIMARY_COST_RENTER,1,,
10.1080/17538963.2013.764675,W2088698809,2012,article,China Economic Journal,49,Housing price and fertility rate,price_channel,PRIMARY_COST_RENTER,3,,
10.1177/0160017620922885,W3023795878,2020,article,International Regional Science Review,48,Do House Prices Affect Fertility Behavior in China? An Empirical Examination,price_channel,PRIMARY_COST_RENTER,1,,
10.1016/j.jpubeco.2021.104366,W3037455063,2021,article,Journal of Public Economics,46,"Home prices, fertility, and early-life health outcomes",price_channel,PRIMARY_COST_RENTER,1,,
10.1016/j.habitatint.2011.10.006,W1965997003,2011,article,Habitat International,43,"Housing price, elderly dependency and fertility behaviour",price_channel,PRIMARY_COST_RENTER,1,,
10.5018/economics-ejournal.ja.2019-38,W3121393843,2015,article,DOAJ (DOAJ: Directory of Open Access Journals),32,The Effect of House Prices on Fertility: Evidence from Canada,price_channel,PRIMARY_COST_RENTER,1,,
10.1016/j.regsciurbeco.2023.103920,W4381095472,2023,article,Regional Science and Urban Economics,21,Do housing booms reduce fertility intentions? Evidence from the new two-child policy in China,price_channel,PRIMARY_COST_RENTER,1,,
10.2139/ssrn.2846173,W2527731065,2016,preprint,SSRN Electronic Journal,19,Short-Term Effects of House Prices on Birth Rates,price_channel,PRIMARY_COST_RENTER,1,,
10.1016/j.habitatint.2015.12.010,W2201551507,2015,article,Habitat International,19,"Fertility rate, inter-generation wealth transfer and housing price in China: A theoretical and empirical study based on the overlapping generation model",price_channel,PRIMARY_COST_RENTER,4,,
10.1002/psp.2413,W3116580741,2020,article,Population Space and Place,16,"Housing costs, self‐employment, and fertility",price_channel,PRIMARY_COST_RENTER,1,,
10.1002/psp.2787,W4395481274,2024,article,Population Space and Place,14,House prices and fertility: Can the Dutch housing crisis explain the post‐2010 fertility decline?,price_channel,PRIMARY_COST_RENTER,1,,
10.1016/j.econmod.2015.10.047,W2219227931,2015,article,Economic Modelling,13,Fertility and female wages: A new link via house prices,price_channel,PRIMARY_COST_RENTER,1,,
10.15709/hswr.2016.36.1.118,W2563198282,2016,article,Health and Social Welfare Review,11,Housing Price and the Level and Timing of Fertility in Korea: An Empirical Analysis of 16 Cities and Provinces,price_channel,PRIMARY_COST_RENTER,1,,
,W2212981967,2013,article,Romanian Journal of Economic Forecasting,7,Does Housing Cost Affect Birth Rates in Taiwan? The ADL test for Threshold Co-integration.,price_channel,PRIMARY_COST_RENTER,4,,
10.1016/j.labeco.2024.102572,W4399107829,2024,article,Labour Economics,6,"Do surging house prices discourage fertility? Global evidence, 1870–2012",price_channel,PRIMARY_COST_RENTER,1,,
10.17208/jkpa.2018.02.53.1.137,W2791040498,2018,article,국토계획,6,The Impact of Regional Housing Price on Marital Status and Childbirth,price_channel,PRIMARY_COST_RENTER,2,,
10.1177/02685809241257863,W4399789370,2024,article,International Sociology,5,Housing prices and family fertility decision-making in China: Effect and mechanism,price_channel,PRIMARY_COST_RENTER,1,,
10.5934/kjhe.2020.29.5.765,W3099296090,2020,article,Korean Journal of Human Ecology,5,The Effects of the Housing Price and Provision on the Total Fertility Rate in Seoul,price_channel,PRIMARY_COST_RENTER,1,,
,W2365616508,2008,article,China Economic Quarterly,5,Increasing Housing Prices and Secular Fertility Decline in Hong Kong,price_channel,PRIMARY_COST_RENTER,3,,
10.24957/hsr.2018.26.2.163,W2811389373,2018,article,Korean Association for Housing Policy Studies,5,The Effects of Regional Housing Prices on the Age at Marriage and the Timing of First and Second Childbirths,price_channel,PRIMARY_COST_RENTER,4,,
10.1007/s10680-025-09754-6,W4416223623,2025,article,European Journal of Population / Revue européenne de Démographie,4,"Rising House Prices, Falling Fertility? How Rising House Prices Widen Fertility Differences between Tenure Groups",price_channel,PRIMARY_COST_RENTER,1,,
10.1080/13504851.2023.2186350,W4322772855,2023,article,Applied Economics Letters,3,The impacts of house prices on floating population’s fertility intentions – evidence from China,price_channel,PRIMARY_COST_RENTER,1,,
10.1007/s11150-024-09748-z,W4404938240,2024,article,Review of Economics of the Household,3,"Housing prices, social security, and fertility rate",price_channel,PRIMARY_COST_RENTER,1,,
10.46557/001c.22334,W3163496378,2021,article,Asian Economics Letters,3,House Prices and China’s Birth Rate: A Note,price_channel,PRIMARY_COST_RENTER,1,,
10.3390/su15043093,W4319786688,2023,article,Sustainability,2,How Do House Prices and Financial Expenditure Affect Birth Rate? New Evidence from the Dynamic Threshold Panel Model,price_channel,PRIMARY_COST_RENTER,2,,
10.37407/kres.2023.41.1.141,W4362575793,2023,article,대한부동산학회지,2,The Impact of Regional Income and Housing Price on Fertility Rate,price_channel,PRIMARY_COST_RENTER,4,,
,W3027228649,2020,report,Munich Personal RePEc Archive (Ludwig Maximilian University of Munich),2,House prices and fertility in South Africa: A spatial econometric analysis,price_channel,PRIMARY_COST_RENTER,4,,
10.2139/ssrn.4808554,W4395680672,2024,preprint,SSRN Electronic Journal,1,The Effect of House Prices on Fertility: Evidence from House Purchase Restrictions,price_channel,PRIMARY_COST_RENTER,1,,
10.1080/14445921.2008.11104264,W2088033259,2008,article,Pacific Rim Property Research Journal,1,Is New Zealand Facing a Baby Boomer Housing Bust?,price_channel,PRIMARY_COST_RENTER,5,,
10.54254/2754-1169/3/2022854,W4376171468,2023,article,Advances in Economics Management and Political Sciences,0,Under Pressure: How Do Housing Prices and Income Affect Birth Preference in China,price_channel,PRIMARY_COST_RENTER,1,,
10.1051/shsconf/202317801004,W4387876593,2023,conference-paper,SHS Web of Conferences,0,Research on the influence of house price to income ratio on female fertility intention and countermeasures – Research proof based on stata,price_channel,PRIMARY_COST_RENTER,1,,
10.2139/ssrn.3438830,W3161899463,2019,preprint,SSRN Electronic Journal,0,Housing Booms and Busts and Family Formation of Young Generations,price_channel,PRIMARY_COST_RENTER,1,,
10.1007/978-981-96-3236-7_25,W4409177854,2025,conference-paper,Applied economics and policy studies,0,Impact of Housing Prices on Fertility Rates in China: An Empirical Analysis,price_channel,PRIMARY_COST_RENTER,1,,
10.33423/jabe.v23i6.4646,W4200505139,2021,article,Journal of Applied Business and Economics,0,The Impact of Housing Prices on Birth Rates in China,price_channel,PRIMARY_COST_RENTER,1,,
10.1007/978-981-97-0172-8_8,W4399918973,2024,book-chapter,,0,What Influences Fertility Plans of China’s Migrant Populations? Mechanism Analysis Based on House Prices Perspective,price_channel,PRIMARY_COST_RENTER,3,,
10.1007/978-981-99-6441-3_92,W4387428114,2023,conference-paper,Applied economics and policy studies,0,Research on the Birth Inhibition Effect of House Prices in China-A Tianjin-Beijing-Hebei Regional Case Study,price_channel,PRIMARY_COST_RENTER,4,,
10.52344/hfr.2025.9.2.69,W7124295374,2025,article,Housing Finance Research,0,Analysis on the Direct and Indirect Effects of Housing Price Changes on Birth,price_channel,PRIMARY_COST_RENTER,4,,
10.2991/icmess-18.2018.173,W2884660070,2018,conference-paper,"Proceedings of the 2018 2nd International Conference on Management, Education and Social Science (ICMESS 2018)",0,A Study of the Spatio-Temporal Correlation of Housing Prices and Fertility Rate in China,price_channel,PRIMARY_COST_RENTER,4,,
10.2139/ssrn.1098847,W2159782469,2008,preprint,SSRN Electronic Journal,20,"Do Higher Rents Discourage Fertility? Evidence from US Cities, 1940-2000",rent_identified,PRIMARY_COST_RENT_IDENTIFIED,3,,
10.1080/00779954.2016.1199591,W2470035674,2016,article,New Zealand Economic Papers,16,The effect of the price or rental cost of housing on family size: a theoretical analysis with reference to New Zealand,rent_identified,PRIMARY_COST_RENT_IDENTIFIED,1,,
10.17208/jkpa.2022.10.57.5.136,W4308203433,2022,article,국토계획,5,The Effect of Public Rental Housing on Birth Interval of Newlyweds and Policy Implications,rent_identified,PRIMARY_COST_RENT_IDENTIFIED,4,,
10.1016/j.regsciurbeco.2008.08.002,W3023836900,2008,article,Regional Science and Urban Economics,2,"Do higher rents discourage fertility? Evidence from U.S. cities, 1940–2000",rent_identified,PRIMARY_COST_RENT_IDENTIFIED,3,,
10.1080/17516234.2026.2704701,W7169552806,2026,article,Journal of Asian Public Policy,0,Fertility intention and household consumption patterns among public rental housing residents: evidence from Seoul,rent_identified,PRIMARY_COST_RENT_IDENTIFIED,2,,
10.2139/ssrn.6274479,W7134116679,2026,preprint,SSRN Electronic Journal,0,"Working from Home, Land Rents, and Fertility",rent_identified,PRIMARY_COST_RENT_IDENTIFIED,4,,
10.4054/demres.2007.17.26,W2132599910,2007,article,Demographic Research,155,Fertility differences by housing type,space_quantity,PRIMARY_SPACE_QUANTITY,2,,
10.1002/psp.1716,W2125780906,2012,article,Population Space and Place,137,A Home to Plan the First Child? Fertility Intentions and Housing Conditions in Italy,space_quantity,PRIMARY_SPACE_QUANTITY,1,,
10.1086/225997,W2086486830,1975,article,American Journal of Sociology,40,The Fertility-Inhibiting Effect of Crowded Apartment Living in a Tight Housing Market,space_quantity,PRIMARY_SPACE_QUANTITY,2,,
10.4054/mpidr-wp-2007-014,W3121328306,2007,report,,35,Fertility differences by housing type: an effect of housing conditions or of selective moves?,space_quantity,PRIMARY_SPACE_QUANTITY,2,,
10.1007/s10834-011-9256-1,W2018346121,2011,article,Journal of Family and Economic Issues,14,The Crowding-out Effect of Homeownership on Fertility,space_quantity,PRIMARY_SPACE_QUANTITY,2,,
,W315042448,1977,article,Sociology and social research,13,"Mobility, Fertility, and Residential Crowding.",space_quantity,PRIMARY_SPACE_QUANTITY,4,,
10.2307/2061200,W2093798293,1978,article,Demography,12,"The relationship between apartment living and fertility for blacks, Mexican-Americans, and other Americans in Racine, Wisconsin",space_quantity,PRIMARY_SPACE_QUANTITY,3,,
10.1515/zfsoz-2014-0205,W1705785736,2014,article,Zeitschrift für Soziologie,7,Geburten und die Wohnraumversorgung von Familien: Anpassungen der Wohnung im zeitlichen Verlauf / Childbirth and Room Stress among Families: Housing Adjustments over Time,space_quantity,PRIMARY_SPACE_QUANTITY,2,,
10.25336/p6wc98,W1878609795,2010,article,Canadian Studies in Population,3,A Room to Grow: The Residential Density-Dependence of Childbearing in Europe and the United States,space_quantity,PRIMARY_SPACE_QUANTITY,1,,
10.17208/jkpa.2025.04.60.2.58,W4410568762,2025,article,국토계획,3,The Effect of Population Density on Regional Fertility Rates : Focus on the Influence of Housing Prices and Employment,space_quantity,PRIMARY_SPACE_QUANTITY,4,,
10.12677/orf.2022.123112,W4292263755,2022,article,Operations Research and Fuzziology,1,The Influence of Housing Conditions on Childbearing Willingness of Childbearing Age Groups—Empirical Analysis from CSS2019 Data,space_quantity,PRIMARY_SPACE_QUANTITY,2,,
10.1080/02673031003711469,W2037422701,2010,article,Housing Studies,196,Homeownership Regimes and Low Fertility,wealth_channel,PRIMARY_WEALTH_OWNER,2,,
10.1080/14036096.2020.1846610,W3108309680,2020,article,Housing Theory and Society,119,The Death and Life of Private Landlordism: How Financialized Homeownership Gave Birth to the Buy-To-Let Market,wealth_channel,PRIMARY_WEALTH_OWNER,5,,
10.1016/j.jhe.2021.101787,W3175165566,2021,article,Journal of Housing Economics,81,"Housing wealth, fertility intentions and fertility",wealth_channel,PRIMARY_WEALTH_OWNER,1,,
10.1080/02673037.2018.1509949,W2888636906,2018,article,Housing Studies,66,"Family formation, parental background and young adults’ first entry into homeownership in Britain and Germany",wealth_channel,PRIMARY_WEALTH_OWNER,2,,
10.1007/s00148-021-00879-6,W3217487213,2021,article,Journal of Population Economics,50,Housing wealth and fertility: evidence from China,wealth_channel,PRIMARY_WEALTH_OWNER,1,,
10.1080/08111140802301773,W2166438357,2008,article,Urban Policy and Research,37,"Baby-boomers, Baby-busters and the Lost Generation: Generational Fractures in Japan's Homeowner Society",wealth_channel,PRIMARY_WEALTH_OWNER,2,,
10.1080/02673037.2018.1541441,W2906619267,2018,article,Housing Studies,32,Intergenerational financial transfers and indirect reciprocity: determinants of the reproduction of homeownership in the post-socialist Czech Republic,wealth_channel,PRIMARY_WEALTH_OWNER,4,,
10.1215/00703370-9420322,W3133039346,2021,article,Demography,30,The Changing Association Between Homeownership and the Transition to Parenthood,wealth_channel,PRIMARY_WEALTH_OWNER,1,,
10.1016/j.cities.2021.103277,W3168749274,2021,article,Cities,25,"Homeownership out of reach? Intergenerational transfers and homeownership reproduction in middle class families in Rome, Italy",wealth_channel,PRIMARY_WEALTH_OWNER,1,,
10.1080/02673037.2022.2108382,W4294869853,2022,article,Housing Studies,24,Homeownership and fertility intentions among migrant population in urban China,wealth_channel,PRIMARY_WEALTH_OWNER,1,,
10.1177/00420980211040947,W3196317587,2021,article,Urban Studies,23,Generational variations in the timing of entry into homeownership in Shanghai: The role of family formation and family of origin,wealth_channel,PRIMARY_WEALTH_OWNER,2,,
10.1016/j.jhealeco.2024.102915,W4400391089,2024,article,Journal of Health Economics,15,"Housing wealth, fertility and children's health in China: A regression discontinuity design",wealth_channel,PRIMARY_WEALTH_OWNER,1,,
10.1177/01600176211066472,W4206976708,2022,article,International Regional Science Review,15,Impacts of Housing Booms on Fertility in China: A Perspective From Homeownership,wealth_channel,PRIMARY_WEALTH_OWNER,1,,
10.4054/demres.2021.44.43,W3163840349,2021,article,Demographic Research,10,US baby boomers’ homeownership trajectories across the life course: A Sequence Analysis approach,wealth_channel,PRIMARY_WEALTH_OWNER,5,,
,W2227602512,2015,article,Economics bulletin,9,The Effects of Housing Wealth on Fertility Decisions: Evidence from Japan,wealth_channel,PRIMARY_WEALTH_OWNER,1,,
10.3386/w30743,W4311207666,2022,report,National Bureau of Economic Research,8,"The Effect of Financial Resources on Homeownership, Marriage, and Fertility: Evidence from State Lotteries",wealth_channel,PRIMARY_WEALTH_OWNER,1,,
10.1007/s11150-016-9355-8,W1693336056,2017,article,Review of Economics of the Household,8,The asymmetric housing wealth effect on childbirth,wealth_channel,PRIMARY_WEALTH_OWNER,1,,
,W2616510210,2017,preprint,RePEc: Research Papers in Economics,7,Housing Wealth and Fertility: Australian Evidence,wealth_channel,PRIMARY_WEALTH_OWNER,1,,
10.1080/02673037.2022.2100326,W4288514217,2022,article,Housing Studies,5,Comparing regional patterns of homeownership entry across four British birth cohorts,wealth_channel,PRIMARY_WEALTH_OWNER,2,,
10.1215/00703370-11680975,W4404965472,2024,article,Demography,3,The Longevity Benefits of Homeownership: Evidence From Early Twentieth-Century U.S. Male Birth Cohorts,wealth_channel,PRIMARY_WEALTH_OWNER,4,,
10.1007/s12546-023-09308-9,W4378192062,2023,article,Journal of Population Research,2,Homeownership pathways and fertility in urban China,wealth_channel,PRIMARY_WEALTH_OWNER,1,,
10.53383/100334,W4280562027,2022,article,International Real Estate Review,2,"Housing Wealth, Fertility, and Child Quality",wealth_channel,PRIMARY_WEALTH_OWNER,1,,
10.21203/rs.3.rs-8107843/v1,W4417115105,2025,preprint,Research Square,1,"The interconnection of homeownership, marriage and childbearing in the life courses of young male and female adults, by country of origin and generation in Sweden",wealth_channel,PRIMARY_WEALTH_OWNER,2,,
10.19172/kreaa.30.3.3,W4402894640,2024,article,부동산학연구,1,The Effect of Housing Wealth on Fertility among Home-Owning Households,wealth_channel,PRIMARY_WEALTH_OWNER,5,,
10.1007/978-3-032-30881-8_60,W7169191591,2026,book-chapter,,0,Homeownership and Transition to Parenthood in Italy,wealth_channel,PRIMARY_WEALTH_OWNER,1,,
10.7454/jessd.v6i1.1145,W4385496510,2023,article,Journal of Environmental Science and Sustainable Development,0,LIVING ARRANGEMENT AND HOMEOWNERSHIP IMPACTS ON FERTILITY INTENTION TO ACHIEVE THE SUSTAINABLE DEVELOPMENT GOALS,wealth_channel,PRIMARY_WEALTH_OWNER,1,,
10.2139/ssrn.4476426,W4380303650,2023,preprint,SSRN Electronic Journal,0,"Two-Child Policy, Housing Wealth Stratification and Multi-Child Birth Rate",wealth_channel,PRIMARY_WEALTH_OWNER,1,,
10.1162/rest_a_00266,W2035671284,2012,article,The Review of Economics and Statistics,328,Do Family Wealth Shocks Affect Fertility Choices? Evidence from the Housing Market,reverse_direction,REVERSE,1,,
