id,tier,design,route,title,doi,rung,outcome,note,url
W2129646919,T1_wall1_packet,theory,MIXED_PRICE_ARRANGEMENT,Family dynamics and housing,10.4054/demres.2013.29.14,0_deterministic,pdf,pdf:200,https://www.demographic-research.org/volumes/vol29/14/29-14.pdf
W3124528217,T1_wall1_packet,identified,MIXED_PRICE_ARRANGEMENT,Fostering the Emancipation of Young People: Evidence from a Spanish Re,10.2139/ssrn.2089700,none,route_blocked,route_blocked:403:words=3:sections=0,
W299825115,T1_wall1_packet,observational,MIXED_PRICE_ARRANGEMENT,The Dynamics of Participation in Subsidized Housing Programs in the U.,,none,no_url,no_candidate_url,
W2069432153,T1_wall1_packet,identified,MIXED_PRICE_ARRANGEMENT,Does High Cost of Mortgage Debt Explain Why Young Adults Live with The,10.1162/jeea.2009.7.5.974,none,no_url,no_candidate_url,
W1965874727,T1_wall1_packet,descriptive,MIXED_PRICE_ARRANGEMENT,Polítiques d'habitatge social i de joves,10.5821/ace.v2i5.2416,1_best_oa,pdf,pdf:200,https://upcommons.upc.edu/bitstream/2099/3706/1/DEF13_carme%20trillas.pdf
W1529588091,T1_wall1_packet,cannot_tell,MIXED_PRICE_ARRANGEMENT,Does Limited Access to Mortgage Debt Explain Why Young Adults Live wit,10.2139/ssrn.939490,none,route_blocked,route_blocked:403:words=3:sections=0,
W7151883327,T1_primary_identified,identified,PRIMARY_EXTENDED_COUPLE,The impact of household structure on fertility: A study in Vietnam,10.4054/demres.2026.54.22,0_deterministic,pdf,pdf:200,https://www.demographic-research.org/volumes/vol54/22/54-22.pdf
W4416112024,T1_primary_identified,identified,PRIMARY_EXTENDED_COUPLE,Extended Family Structures Exert a causal Influence on Fertility,10.31235/osf.io/9ehpd_v1,0_deterministic,pdf,pdf:200,https://osf.io/download/9ehpd_v1/
W3213314826,T1_primary_identified,identified,PRIMARY_EXTENDED_COUPLE,Intergenerational living arrangements and marital fertility in Japan: ,10.1080/21620555.2021.1995857,none,no_url,no_candidate_url,
W2344506526,T1_primary_identified,identified,PRIMARY_PRELAUNCH,AN EMPIRICAL ANALYSIS OF MARITAL STATUS IN JAPAN,10.1142/s0217590816500181,none,no_url,no_candidate_url,
W2201874083,T1_primary_identified,identified,PRIMARY_EXTENDED_COUPLE,"Geology, Household Formation Rules and the Demand for Sons in Vietnam",10.2139/ssrn.2563597,none,route_blocked,route_blocked:403:words=3:sections=0,
W2099331743,T1_primary_identified,identified,PRIMARY_EXTENDED_COUPLE,"Coresidence With Husband’s Parents, Labor Supply, and Duration to Firs",10.1007/s13524-013-0244-y,none,route_blocked,route_blocked:403:words=3:sections=0,
W7119065696,T2_primary_relevant,observational,PRIMARY_PRELAUNCH,“Family-Anchored” transitions to adult life in Mexico,10.4054/demres.2026.54.2,0_deterministic,pdf,pdf:200,https://www.demographic-research.org/volumes/vol54/2/54-2.pdf
W4406768844,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,Family migration in Chinese superstar cities: are fertility intentions,10.1080/13229400.2025.2452243,none,no_url,no_candidate_url,
W4409204645,T2_primary_relevant,observational,PRIMARY_PROXIMITY,Impact of Close Residence between Aging Parents and Adult Daughters on,10.35136/krer.35.1.1,none,no_url,no_candidate_url,
W4412663412,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,Family forms and reproductive behaviour: A comparative study of nuclea,10.22271/27067483.2025.v7.i7a.380,1_best_oa,pdf,pdf:200,https://www.geojournal.net/uploads/archives/7-7-3-251.pdf
W4414036262,T2_primary_relevant,observational,PRIMARY_PRELAUNCH,Mapping Early Mid-Life Trajectories and Ultimate Childlessness: A Mult,10.31235/osf.io/jh7ym_v1,0_deterministic,pdf,pdf:200,https://osf.io/download/jh7ym_v1/
W4414070493,T2_primary_relevant,observational,PRIMARY_PRELAUNCH,"Transitions to Motherhood in a Low-Fertility Country: Timing, Type, an",10.12765/cpos-2025-10,1_best_oa,pdf,pdf:200,https://comparativepopulationstudies.de/index.php/CPoS/article/download/701/438
W4411492666,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,Dynamic interplay of kinship and net-fertility: a comprehensive analys,10.1080/1081602x.2025.2517163,none,no_url,no_candidate_url,
W4399547837,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,Grandparents “on board”: How they translate into the households’ ferti,10.1007/s40622-024-00390-3,none,route_blocked,route_blocked:200:words=37:sections=0,
W4386401447,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,"CORESIDING WITH PARENTS, SON PREFERENCE, AND WOMEN’S DESIRE FOR ADDITI",10.1553/0x003e7385,1_best_oa,pdf,pdf:200,https://epub.oeaw.ac.at/0xc1aa5576_0x003e7385.pdf
W4353018187,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,Post-marital residence patterns and the timing of reproduction: eviden,10.1098/rspb.2023.0159,2_other_locations,pdf,pdf:200,https://discovery.ucl.ac.uk/10167497/1/Post-marital%20residence%20patterns%20and%20the%20timing%20of%20reproduction%20evidence%20from%20a%20matrilineal%20society.pdf
W4289654889,T2_primary_relevant,observational,PRIMARY_PRELAUNCH,Spatial Bayesian modeling of household structure and fertility in muni,10.15517/psm.v20i1.49927,1_best_oa,pdf,pdf:200,https://revistas.ucr.ac.cr/index.php/psm/article/download/49927/51583
W3202049426,T2_primary_relevant,observational,PRIMARY_PROXIMITY,The Influence of Kin Proximity on the Reproductive Success of American,10.1215/00703370-9518532,none,route_blocked,route_blocked:200:words=23:sections=0,
W3043336593,T2_primary_relevant,descriptive,PRIMARY_PRELAUNCH,Moving out the parental home and partnership formation as social deter,10.1553/populationyearbook2020.deb02,1_best_oa,pdf,pdf:200,https://austriaca.at/0xc1aa5576_0x003ba80b.pdf
W3021464029,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,Curse of the Mummy‐ji : The Influence of Mothers‐in‐Law on Women in In,10.1111/ajae.12114,none,empty_or_tiny,empty_or_tiny:200,
W3031747612,T2_primary_relevant,descriptive,PRIMARY_PRELAUNCH,"“We’re Fine at Home”: Young People, Family and Low Fertility in Spain",10.4324/9781003084761-9,none,no_url,no_candidate_url,
W2926993263,T2_primary_relevant,observational,PRIMARY_PRELAUNCH,"The transition to adulthood in China, Germany and the US: Prevalence a",10.1177/2057150x19838728,none,route_blocked,route_blocked:200:words=27:sections=0,
W2956585401,T2_primary_relevant,descriptive,PRIMARY_PRELAUNCH,"Becoming Independent: Leaving Home, Cohabitation, Marriage, and Parent",10.4324/9780429043314-5,none,no_url,no_candidate_url,
W3001025201,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,Curse of the Mummy-ji: The Influence of Mothers-in-Law on Women's Soci,10.22004/ag.econ.296666,none,route_blocked,route_blocked:202:words=0:sections=0,
W3122781396,T2_primary_relevant,observational,PRIMARY_PRELAUNCH,"Independencia Residencial, Dedicación Laboral Y Fertilidad De Los Jóve",,none,no_url,no_candidate_url,
W3011464401,T2_primary_relevant,observational,PRIMARY_PRELAUNCH,Independencia residencial y dedicación laboral de los jóvenes españole,,none,no_url,no_candidate_url,
W3000613627,T2_primary_relevant,observational,PRIMARY_PRELAUNCH,Household precariousness and youth living arrangements in Spain: evide,,none,no_url,no_candidate_url,
W2805633869,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,Effects of the Conversation and Support of Family Network Factors on F,10.7856/kjcls.2018.29.2.221,none,no_url,no_candidate_url,
W2588600307,T2_primary_relevant,descriptive,PRIMARY_PRELAUNCH,The timing of marriage vis-à-vis coresidence and childbearing in Europ,10.4054/demres.2017.36.20,0_deterministic,pdf,pdf:200,https://www.demographic-research.org/volumes/vol36/20/36-20.pdf
W2783195760,T2_primary_relevant,observational,PRIMARY_PRELAUNCH,Home-leaving and Parenthood : Timing of home-leaving and the relation ,,none,empty_or_tiny,empty_or_tiny:302,
W2472458645,T2_primary_relevant,observational,PRIMARY_PRELAUNCH,"Race, Family Status, and Young Women’s Residential and Financial Depen",10.1177/0192513x16657127,none,no_url,no_candidate_url,
W2289987374,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,Do parents matter? Intergenerational ties and fertility preferences in,10.1177/2057150x15614545,none,no_url,no_candidate_url,
W2012518562,T2_primary_relevant,cannot_tell,PRIMARY_PRELAUNCH,Parenthood and Leaving Home in Young Adulthood,10.1007/s11113-014-9334-9,none,route_blocked,route_blocked:200:words=23:sections=0,
W2993336192,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,Effects of Ethnic Composition and Living with In-laws on Fertility of ,,none,no_url,no_candidate_url,
W2186886523,T2_primary_relevant,observational,PRIMARY_PRELAUNCH,The Problematic Transition to Adulthood in Italy. A Comparison Before ,,none,no_url,no_candidate_url,
W833207267,T2_primary_relevant,descriptive,PRIMARY_PRELAUNCH,"FP-13-01 Coresident vs. Non-Coresident Young Adults, 2011",,none,route_blocked,route_blocked:200:words=189:sections=0,
W2601990648,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,Starting a Family at Your Parents’ House: Multigenerational Households,10.3138/jcfs.43.3.439,none,no_url,no_candidate_url,
W2258717442,T2_primary_relevant,cannot_tell,PRIMARY_PRELAUNCH,"Household formation rules, fertility and female labour supply: Evidenc",10.1016/j.jce.2012.11.001,none,route_blocked,route_blocked:403:words=3:sections=0,
W2074590864,T2_primary_relevant,observational,PRIMARY_PRELAUNCH,Fertility intentions depend on intergenerational relations: A life cou,10.1080/19424620.2013.789976,none,route_blocked,route_blocked:403:words=3:sections=0,
W1157407606,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,"Family Structure, Marital Fertility and Premarital Sex among Married a",,none,route_blocked,route_blocked:403:words=3:sections=0,
W1604329332,T2_primary_relevant,observational,PRIMARY_PROXIMITY,INTERGENERATIONAL PROXIMITY AND THE FERTILITY INTENTIONS OF MARRIED WO,10.1080/17441730.2010.494445,none,no_url,no_candidate_url,
W1517043275,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,"Husbands, Wives, and In-Laws: Family Dynamics and Childbearing Behavio",,none,no_url,no_candidate_url,
W2120652126,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,Influence of mothers-in-law on young couples’ family planning decision,10.1016/s0968-8080(10)35497-8,none,route_blocked,route_blocked:403:words=3:sections=0,
W1506961954,T2_primary_relevant,observational,PRIMARY_PRELAUNCH,Ties That Matter: Cultural Norms and Family Formation in Western Europ,10.1017/cbo9780511809798.007,none,no_url,no_candidate_url,
W2000385836,T2_primary_relevant,observational,PRIMARY_PRELAUNCH,The Timing of Leaving the Parental Home and Its Linkages to Other Life,10.1300/j002v42n01_03,none,no_url,no_candidate_url,
W1595996974,T2_primary_relevant,observational,PRIMARY_PRELAUNCH,Fertility and family configurations in Sardinia,10.4054/mpidr-wp-2007-033,0_deterministic,pdf,pdf:200,https://www.demogr.mpg.de/papers/working/wp-2007-033.pdf
W2042644148,T2_primary_relevant,observational,PRIMARY_PRELAUNCH,Patterns of low and lowest-low fertility in Europe,10.1080/0032472042000213695,none,no_url,no_candidate_url,
W1541364795,T2_primary_relevant,observational,PRIMARY_PRELAUNCH,Patterns of lowest-low fertility in Europe,10.4054/mpidr-wp-2002-040,0_deterministic,pdf,pdf:200,https://www.demogr.mpg.de/papers/working/wp-2002-040.pdf
W2101110009,T2_primary_relevant,descriptive,PRIMARY_PRELAUNCH,Regional Differences in the Transition to Adulthood,10.1177/000271620258000103,none,no_url,no_candidate_url,
W2884989860,T2_primary_relevant,observational,PRIMARY_PRELAUNCH,The banquet of Aeolus,10.4054/demres.2001.4.5,0_deterministic,pdf,pdf:200,https://www.demographic-research.org/volumes/vol4/5/4-5.pdf
W2116750899,T2_primary_relevant,observational,PRIMARY_PRELAUNCH,The Association Between Grandparental Coresidence and Adolescent Child,10.1177/019251394015004004,none,no_url,no_candidate_url,
W4388085138,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,"Patrilocality, Childbearing, and the Labour Supply and Earning Power o",10.1093/oso/9780198288183.003.0006,none,no_url,no_candidate_url,
W2063285982,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,"Writing the names: Marriage style, living arrangements, and first birt",10.2307/2061836,none,no_url,no_candidate_url,
W328333377,T2_primary_relevant,observational,PRIMARY_PRELAUNCH,A policy-oriented analysis of fertility behaviors and attitudes in Jap,,none,no_url,no_candidate_url,
W2010078906,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,The Effect of Household Structure on Women's Economic Activity and Fer,10.1086/451997,none,no_url,no_candidate_url,
W2311727426,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,[[A hazard analysis of birth timing in Japan since the 1960s]].,,none,no_url,no_candidate_url,
W3172333757,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,"Family structure, marriage and fertility in Hong Kong: Demographic eff",,none,no_url,no_candidate_url,
W2120621881,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,Household extension and reproductive behaviour in Taiwan,10.1017/s0021932000016928,none,no_url,no_candidate_url,
W4300486138,T2_primary_relevant,observational,PRIMARY_PRELAUNCH,Nonfamily Living and the Erosion of Traditional Family Orientations Am,10.7249/n2528,none,no_url,no_candidate_url,
W1973591124,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,"Household type and family size in Maharashtra, 1970",10.1080/19485565.1984.9988564,none,no_url,no_candidate_url,
W2983797499,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,"Household composition, extended kinship and reproduction in Taiwan: 19",10.1080/00324728.1982.10405594,none,no_url,no_candidate_url,
W1965099757,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,"Social Class, Fertility, and Authority in Nuclear and Joint Households",10.1163/156852169x00278,none,no_url,no_candidate_url,
W7112036870,T2_primary_relevant,observational,PRIMARY_EXTENDED_COUPLE,"Grandparents """"on Board"""":How They Translateinto the Number of Their Y",,none,no_url,no_candidate_url,
W7163907414,T3_primary_uncertain,cannot_tell,PRIMARY_EXTENDED_COUPLE,Continuing the Family Lineage? Primary Family Members’ Traditional Fer,10.1007/s11113-026-10017-3,none,no_url,no_candidate_url,
W4409829044,T3_primary_uncertain,observational,PRIMARY_PRELAUNCH,Delayed transitions to adulthood and assisted reproduction: A study of,10.1016/j.alcr.2025.100672,none,route_blocked,route_blocked:200:words=23:sections=0,
W4412539469,T3_primary_uncertain,cannot_tell,PRIMARY_EXTENDED_COUPLE,"Intrahousehold bargaining power, intergenerational influence, and wome",10.1007/s12546-025-09388-9,none,no_url,no_candidate_url,
W4416225877,T3_primary_uncertain,observational,PRIMARY_PROXIMITY,Settlement and the intergenerational dispersion of kin as a spatial pr,10.1080/1081602x.2025.2583972,none,route_blocked,route_blocked:403:words=3:sections=0,
W4396510412,T3_primary_uncertain,observational,PRIMARY_EXTENDED_COUPLE,Generational trends in the transition to womanhood in lowland rural Ne,10.1002/ajhb.24088,2_other_locations,pdf,pdf:200,https://researchonline.lshtm.ac.uk/id/eprint/4674641/4/Marphatia-etal-2024-Generational-trends-in-the-transition-to-womanhood-in-lowland-rural-Nepal.pdf
W4387527965,T3_primary_uncertain,descriptive,PRIMARY_EXTENDED_COUPLE,Stories of women's marriage and fertility experiences: Qualitative res,10.12688/gatesopenres.14781.1,1_best_oa,html_text,html_text:200:words=18535:sections=9,https://doi.org/10.12688/gatesopenres.14781.1
W4385637780,T3_primary_uncertain,descriptive,PRIMARY_EXTENDED_COUPLE,"Households, Women's Roles and Prestige as Factors Determining Nuptiali",10.4324/9781003428039-15,1_best_oa,pdf,pdf:200,https://openresearch-repository.anu.edu.au/bitstreams/f00b6f22-7a01-400e-a75b-f872dd5755cd/download
W4390012966,T3_primary_uncertain,descriptive,PRIMARY_EXTENDED_COUPLE,The Institute of Multi-Generational Family as a Reserve of Demographic,10.19181/demis.2023.3.4.4,1_best_oa,pdf,pdf:200,https://www.demis-journal.ru/index.php/demis/article/download/9075/8910
W4285189469,T3_primary_uncertain,cannot_tell,PRIMARY_EXTENDED_COUPLE,How Grandparents' Coresidence Affects the Relationship Between Fertili,10.2139/ssrn.4145178,none,route_blocked,route_blocked:403:words=3:sections=0,
W3150384026,T3_primary_uncertain,cannot_tell,PRIMARY_EXTENDED_COUPLE,Division of domestic labor and fertility behaviors in China: the impac,10.1007/s42379-021-00082-w,none,no_url,no_candidate_url,
W3122536053,T3_primary_uncertain,cannot_tell,PRIMARY_EXTENDED_COUPLE,"Fertility, household structure, and parental labor supply: Evidence fr",10.1016/j.jce.2017.10.005,none,no_url,no_candidate_url,
W2777839591,T3_primary_uncertain,observational,PRIMARY_EXTENDED_COUPLE,Effects of female reproductive competition on birth rate and reproduct,10.1093/beheco/arx168,none,route_blocked,route_blocked:403:words=124:sections=1,
W2615329070,T3_primary_uncertain,cannot_tell,PRIMARY_EXTENDED_COUPLE,Division of Domestic Labour and the Lowest-Low Fertility in South Kore,10.2139/ssrn.2964800,2_other_locations,pdf,pdf:200,https://www.demographic-research.org/volumes/vol37/24/37-24.pdf
W2906610983,T3_primary_uncertain,observational,PRIMARY_PRELAUNCH,Fertility and family ties in times of demographic changes,,1_best_oa,pdf,pdf:200,https://www.tdx.cat/bitstream/10803/669620/1/trr.pdf
W2413120360,T3_primary_uncertain,cannot_tell,PRIMARY_EXTENDED_COUPLE,The Intergenerational Effect and Second Childbirth: Survey Findings fr,10.1007/s11205-016-1386-2,none,no_url,no_candidate_url,
W2200499387,T3_primary_uncertain,cannot_tell,PRIMARY_EXTENDED_COUPLE,"Fertility, Household Structure, and Parental Labor Supply: Evidence fr",10.2139/ssrn.2663772,none,route_blocked,route_blocked:403:words=3:sections=0,
W1569063669,T3_primary_uncertain,cannot_tell,PRIMARY_EXTENDED_COUPLE,Grandparenting and Childbearing in the Extended Family,10.1007/s10680-012-9273-2,3_citation_meta,pdf,pdf:200,https://iris.unito.it/bitstream/2318/121415/1/grandp%26fert%20OK_929697.pdf
W2497446658,T3_primary_uncertain,descriptive,PRIMARY_PRELAUNCH,Italians Are Late,10.7208/chicago/9780226754758.003.0011,none,no_url,no_candidate_url,
W1974755926,T3_primary_uncertain,observational,PRIMARY_EXTENDED_COUPLE,Age at first reproduction and economic change in the context of differ,10.1002/ajhb.20929,none,route_blocked,route_blocked:200:words=23:sections=0,
W2552907058,T3_primary_uncertain,descriptive,PRIMARY_PRELAUNCH,Changing Courses: The Pendulum of Family Transitions in Comparative Pe,10.3138/jcfs.37.3.325,none,no_url,no_candidate_url,
W2497062295,T3_primary_uncertain,descriptive,PRIMARY_PRELAUNCH,American Women's Transition to Adulthood in Comparative Perspective,10.7208/chicago/9780226748924.003.0003,none,no_url,no_candidate_url,
W377178670,T3_primary_uncertain,observational,PRIMARY_EXTENDED_COUPLE,"Abstracts of the 28th annual meeting of the Human Biology Association,",10.1002/ajhb.10167,none,route_blocked,route_blocked:200:words=504:sections=1,
W1592960464,T3_primary_uncertain,descriptive,PRIMARY_EXTENDED_COUPLE,"Patrilines, patrilocality and fertility decline in Viet Nam",10.18356/9c472e3a-en,none,no_url,no_candidate_url,
W2483457567,T3_primary_uncertain,theory,PRIMARY_PRELAUNCH,Why Families Are a National Security Issue,10.1525/california/9780520217546.003.0002,none,no_url,no_candidate_url,
W656334667,T3_primary_uncertain,observational,PRIMARY_EXTENDED_COUPLE,看護職者の育児支援に関する研究 : 第２報 地方と都市部の家族機能の比較検討,,1_best_oa,pdf,pdf:200,https://ir.lib.shimane-u.ac.jp/5911/files/6956
W2011207593,T3_primary_uncertain,observational,PRIMARY_PRELAUNCH,The Timing of Family Formation in Britain and Spain,10.5153/sro.597,none,no_url,no_candidate_url,
W2616563020,T3_primary_uncertain,observational,PRIMARY_PRELAUNCH,Transitions to adulthood among young women: The sequencing of nest-lea,,none,empty_or_tiny,empty_or_tiny:000,
W1464774063,T3_primary_uncertain,observational,PRIMARY_EXTENDED_COUPLE,[Cohort fertility and the Cigno model].,,none,no_url,no_candidate_url,
W4415986273,T3_link1_identified,identified,LINK1_DRIVER_TO_ARRANGEMENT,Spillover Effects of Rural Pension on Child’s Marriage Decision: Case ,10.21203/rs.3.rs-7892004/v1,1_best_oa,pdf,pdf:200,https://www.researchsquare.com/article/rs-7892004/latest.pdf
W4367056753,T3_link1_identified,identified,LINK1_DRIVER_TO_ARRANGEMENT,Dreaming of leaving the nest? Immigration status and the living arrang,10.1016/j.euroecorev.2023.104447,none,route_blocked,route_blocked:200:words=1:sections=0,
W4297199911,T3_link1_identified,identified,LINK1_DRIVER_TO_ARRANGEMENT,Employment protection legislation and household formation: evidence fr,10.1007/s11150-022-09626-6,2_other_locations,pdf,pdf:200,https://air.unimi.it/bitstream/2434/953011/3/s11150-022-09626-6.pdf
W2605550871,T3_link1_identified,identified,LINK1_DRIVER_TO_ARRANGEMENT,The impact of social pensions on intergenerational relationships: Comp,10.1016/j.jeoa.2017.04.001,none,route_blocked,route_blocked:200:words=23:sections=0,
W2166271869,T3_link1_identified,identified,LINK1_DRIVER_TO_ARRANGEMENT,Old age pension and intergenerational living arrangements: a regressio,10.1007/s11150-015-9304-y,none,route_blocked,route_blocked:200:words=23:sections=0,
W2190851637,T3_link1_identified,identified,LINK1_DRIVER_TO_ARRANGEMENT,Old-Age Pension and Intergenerational Living Arrangements,,none,route_blocked,route_blocked:200:words=183:sections=0,
W4253984199,T3_link1_identified,identified,LINK1_DRIVER_TO_ARRANGEMENT,Rearranging the Family?,10.3368/jhr.xl.1.186,none,no_url,no_candidate_url,
W1580589581,T3_link1_identified,identified,LINK1_DRIVER_TO_ARRANGEMENT,Welfare and Family Stability: Do Benefits Affect When Children Leave t,10.2307/3069660,none,no_url,no_candidate_url,
W7132477828,T3_link1_identified,identified,LINK1_DRIVER_TO_ARRANGEMENT,Long-term effects of historical inheritance customs on household forma,,none,no_url,no_candidate_url,
W4413028575,T4_insufficient_resolve_at_retrieval,observational,INSUFFICIENT_INFO,Fertility intentions among Chinese adults: a cross-sectional study usi,10.1186/s12889-025-23725-w,2_other_locations,html_text,html_text:200:words=2899:sections=7,https://hdl.handle.net/2031/73f14afd-8bee-4e9c-be9c-c96da2682abe
W4408977344,T4_insufficient_resolve_at_retrieval,observational,INSUFFICIENT_INFO,Fertility intentions in Chinese families: a comparative analysis of sp,10.1007/s42379-025-00183-w,none,no_url,no_candidate_url,
W4416069975,T4_insufficient_resolve_at_retrieval,cannot_tell,INSUFFICIENT_INFO,"Family structure, orphanhood, and adolescent sexual debut and motherho",10.1007/s12546-025-09409-7,none,no_url,no_candidate_url,
W3217637565,T4_insufficient_resolve_at_retrieval,observational,INSUFFICIENT_INFO,Does the one‐child generation want more than one child at their fertil,10.1111/fare.12620,none,no_url,no_candidate_url,
W2952297802,T4_insufficient_resolve_at_retrieval,observational,INSUFFICIENT_INFO,Fertility intentions for a second child among urban working women with,10.1016/j.puhe.2019.05.006,none,no_url,no_candidate_url,
W2970815614,T4_insufficient_resolve_at_retrieval,cannot_tell,INSUFFICIENT_INFO,Family Changes and Childbearing in Sub-Saharan Africa,10.1007/978-3-030-14887-4_11,none,no_url,no_candidate_url,
W2953462346,T4_insufficient_resolve_at_retrieval,observational,INSUFFICIENT_INFO,Marriage and fertility in China and Japan,10.5287/ora-4rgognbe9,3_citation_meta,pdf,pdf:200,https://ora.ox.ac.uk/objects/uuid:ec343bfc-87e4-4ae7-a978-4ed21a80f0e3/files/md2a6cc2204fbb05393d27c1b3adc0113
