id,job,doi,rung,ok,note,url
W1532475510,A2_IDENTIFIED,10.2139/ssrn.1471685,none,False,route_blocked,
W1629559921,A2_IDENTIFIED,10.2139/ssrn.1924169,none,False,route_blocked,
W4417321594,A2_IDENTIFIED,10.1007/s10815-025-03756-3,cached,True,already on disk,
W2900454867,A2_IDENTIFIED,10.1257/aer.20161014,none,False,route_blocked,
W4297464366,A2_IDENTIFIED,10.1007/s40258-022-00764-7,cached,True,already on disk,
W2566343964,A2_IDENTIFIED,10.1257/aer.20141467,cached,True,already on disk,
W1968875567,A2_IDENTIFIED,10.1353/jhr.2008.0004,none,False,no_route,
W2616728500,A2_IDENTIFIED,10.1007/s00148-016-0630-z,none,False,no_route,
W4392757101,A2_IDENTIFIED,10.1002/hec.4822,none,False,no_route,
W2592668891,A2_IDENTIFIED,10.1016/j.fertnstert.2017.02.101,none,False,route_blocked,
W4296031857,A2_IDENTIFIED,10.1093/humrep/deac205,none,False,route_blocked,
W2289322072,A2_IDENTIFIED,10.2139/ssrn.813826,none,False,route_blocked,
W4402844916,A2_IDENTIFIED,10.1287/mnsc.2023.02793,none,False,route_blocked,
W2429169488,A2_IDENTIFIED,10.1186/s13584-016-0083-6,cached,True,already on disk,
W3191732024,A2_IDENTIFIED,10.1186/s12978-021-01212-w,cached,True,already on disk,
W4410089921,A2_IDENTIFIED,10.1016/j.ajog.2025.04.069,none,False,no_route,
W3203572722,A2_IDENTIFIED,10.1111/padr.12431,none,False,route_blocked,
W4404620034,A2_IDENTIFIED,10.1136/gocm-2024-000045,none,False,route_blocked,
W4412170497,A3_SHARE,10.1093/humrep/deaf137,none,False,route_blocked,
W4213230270,A3_SHARE,10.1093/humrep/deac032,none,False,route_blocked,
W4415582085,A3_SHARE,10.1080/00324728.2025.2561595,none,False,route_blocked,
W4383264299,A3_SHARE,10.1038/s41598-023-37071-7,cached,True,already on disk,
W4206510889,A3_SHARE,10.21203/rs.3.rs-40688/v1,cached,True,already on disk,
W2888653606,A3_SHARE,10.15407/dse2018.02.082,cached,True,already on disk,
W2602171676,A3_SHARE,10.1001/jama.2016.21311,none,False,route_blocked,
W4319939934,A3_SHARE,10.1007/s11113-023-09765-3,cached,True,already on disk,
W4408763977,A3_SHARE,10.1111/padr.70009,none,False,route_blocked,
W7130356274,A3_SHARE,10.1093/humrep/deag006,none,False,route_blocked,
W2135954933,A3_SHARE,10.1093/humrep/dep004,none,False,route_blocked,
W2107328043,A3_SHARE,10.1093/humrep/dem181,none,False,route_blocked,
W7169859806,A3_SHARE,10.1371/journal.pone.0354135,cached,True,already on disk,
W4318617808,A3_SHARE,10.1016/j.lanwpc.2023.100686,none,False,route_blocked,
W4285727228,A3_SHARE,10.1007/s11113-022-09731-5,none,False,route_blocked,
W3024120830,A3_SHARE,10.1093/humrep/deaa055,none,False,route_blocked,
W4397049710,A3_SHARE,10.1016/j.fertnstert.2024.05.149,cached,True,already on disk,
W4387472984,A3_SHARE,10.1111/aogs.14685,cached,True,already on disk,
W2156932756,A3_SHARE,10.1089/jwh.2009.1499,none,False,no_route,
W4239265505,A3_SHARE,10.1093/aje/kwp281,none,False,no_route,
W2521861472,A3_SHARE,10.1093/humrep/dew232,none,False,route_blocked,
W2067328462,A3_SHARE,10.1016/s0398-7620(05)84774-1,none,False,no_route,
W2997596347,A3_SHARE,10.4054/mpidr-wp-2019-024,cached,True,already on disk,
W2070636417,A3_SHARE,10.1001/jama.2013.280924,none,False,route_blocked,
W4390964890,A3_SHARE,10.1007/s11113-023-09849-0,cached,True,already on disk,
W3093135554,A4_P5_CONVERSION,10.1016/j.fertnstert.2021.01.011,none,False,no_route,
W4280516350,A4_P5_CONVERSION,10.1016/j.fertnstert.2022.04.013,none,False,route_blocked,
W3089922486,A4_P5_CONVERSION,10.1111/1471-0528.16555,none,False,no_route,
W2799699728,A4_P5_CONVERSION,10.1080/14647273.2018.1464215,none,False,no_route,
W4404361197,A4_P5_CONVERSION,10.1016/j.rbmo.2024.104705,none,False,route_blocked,
W2899333608,A4_P5_CONVERSION,10.1016/j.rbmo.2018.07.005,cached,True,already on disk,
W4391173061,A4_P5_CONVERSION,10.1111/jog.15893,none,False,no_route,
W2899325896,A4_P5_CONVERSION,10.1007/s10815-018-1341-z,none,False,route_blocked,
W3200409296,A4_P5_CONVERSION,10.3389/frph.2021.704283,cached,True,already on disk,
W4414889755,A4_P5_CONVERSION,10.2147/ijwh.s546534,cached,True,already on disk,
W3165130013,A4_P5_CONVERSION,10.1089/jwh.2020.8888,none,False,no_route,
W4408117139,A5_P6_BEHAVIOUR,10.1111/aogs.15071,cached,True,already on disk,
W2561540476,A5_P6_BEHAVIOUR,10.1111/aogs.13081,none,False,route_blocked,
W3092390609,A5_P6_BEHAVIOUR,10.1093/hropen/hoaa036,cached,True,already on disk,
W1845556130,A5_P6_BEHAVIOUR,,none,False,no_route,
W2977192158,A5_P6_BEHAVIOUR,10.1093/humrep/dez150,none,False,no_route,
W3217467515,A5_P6_BEHAVIOUR,10.1016/j.rbms.2021.10.002,none,False,route_blocked,
W3210979915,A5_P6_BEHAVIOUR,10.1553/0x003ccd3c,cached,True,already on disk,
W2909656495,A5_P6_BEHAVIOUR,10.4054/demres.2019.40.1,cached,True,already on disk,
W4392386985,A5_P6_BEHAVIOUR,10.1080/00324728.2023.2298678,none,False,route_blocked,
W4205287346,A5_P6_BEHAVIOUR,10.1136/bmjopen-2021-051710,none,False,route_blocked,
W2187215465,A5_P6_BEHAVIOUR,10.1016/s1701-2163(15)30585-5,none,False,route_blocked,
W2803748719,A5_P6_BEHAVIOUR,10.1093/humrep/dey107,none,False,route_blocked,
W1890972813,A5_P6_BEHAVIOUR,10.1016/j.rbmo.2015.10.008,none,False,route_blocked,
W7160175956,A5_P6_BEHAVIOUR,10.1007/s10680-025-09765-3,cached,True,already on disk,
W2021762768,A5_P6_BEHAVIOUR,10.1016/j.fertnstert.2012.02.015,none,False,no_route,
W2765482846,A5_P6_BEHAVIOUR,10.1016/j.jet.2021.105231,cached,True,already on disk,
W1878422748,B_NO_ABSTRACT,10.1016/j.fertnstert.2015.10.009,none,False,route_blocked,
W4221095619,B_NO_ABSTRACT,10.1016/j.ajog.2022.03.003,none,False,no_route,
W2144149592,B_NO_ABSTRACT,10.1016/j.fertnstert.2014.10.042,none,False,route_blocked,
W2014712831,B_NO_ABSTRACT,10.1016/j.fertnstert.2005.01.118,none,False,route_blocked,
W2065426472,B_NO_ABSTRACT,10.1007/s00148-013-0487-3,none,False,no_route,
W4387079469,B_NO_ABSTRACT,10.1016/j.fertnstert.2023.09.015,none,False,route_blocked,
W4323276558,B_NO_ABSTRACT,10.1016/j.fertnstert.2023.02.037,none,False,route_blocked,
W4366144054,B_NO_ABSTRACT,10.1016/j.whi.2023.03.003,none,False,route_blocked,
W2060807691,B_NO_ABSTRACT,10.1016/j.fertnstert.2013.09.005,none,False,no_route,
W2236934085,B_NO_ABSTRACT,10.1007/978-1-4614-7548-4_18,none,False,no_route,
W105341950,B_NO_ABSTRACT,10.1007/978-3-642-03483-1_7,none,False,no_route,
W4285810028,B_NO_ABSTRACT,10.1016/j.ajog.2022.07.024,none,False,no_route,
W4308558737,B_NO_ABSTRACT,10.1016/j.ajog.2022.10.046,none,False,route_blocked,
W2060961046,B_NO_ABSTRACT,10.1016/j.fertnstert.2010.06.030,none,False,route_blocked,
W2070145969,B_NO_ABSTRACT,10.1016/j.rbmo.2015.01.017,none,False,route_blocked,
W2155558558,B_NO_ABSTRACT,10.1016/j.fertnstert.2008.02.159,none,False,route_blocked,
W2025330913,B_NO_ABSTRACT,10.1016/j.fertnstert.2012.10.001,none,False,no_route,
W3173521353,B_NO_ABSTRACT,10.1016/j.rbmo.2021.06.024,none,False,no_route,
W3134786868,B_NO_ABSTRACT,10.1016/j.rbmo.2021.02.011,none,False,route_blocked,
W2007848905,B_NO_ABSTRACT,10.1016/j.fertnstert.2009.04.029,none,False,no_route,
W2289111881,B_NO_ABSTRACT,10.1016/j.fertnstert.2016.02.025,none,False,route_blocked,
W2128854835,B_NO_ABSTRACT,10.1016/j.fertnstert.2009.05.081,none,False,route_blocked,
W4403928016,B_NO_ABSTRACT,10.1016/j.fertnstert.2024.10.036,none,False,route_blocked,
W4413635101,B_NO_ABSTRACT,10.1007/978-3-031-96356-8_4,none,False,no_route,
W2075758940,B_NO_ABSTRACT,10.1016/j.fertnstert.2010.02.021,none,False,route_blocked,
W2508454335,B_NO_ABSTRACT,10.1016/j.rbmo.2016.07.012,none,False,no_route,
W2803021963,B_NO_ABSTRACT,10.1007/s00520-018-4217-y,none,False,no_route,
W2571030681,C_EXPOSURE_SERIES,10.1186/s12958-016-0225-2,cached,True,already on disk,
W3192215542,C_EXPOSURE_SERIES,10.1093/hropen/hoab026,none,False,route_blocked,
W4232717245,C_EXPOSURE_SERIES,10.1016/j.fertnstert.2018.06.039,none,False,no_route,
W4213171919,C_EXPOSURE_SERIES,10.15585/mmwr.ss7104a1,cached,True,already on disk,
W3184249208,C_EXPOSURE_SERIES,10.5935/1518-0557.20170034,none,False,route_blocked,
