id,doi,cell,year,title,oa_status,rung,fetch,fetch_note,text,text_note,url
W2259538057,10.25916/sut.26263805,PRIMARY_APP_UNION,2013,"Love, sex and intimacy in new late-life romantic relationships",green,0,FAILED,empty body (http 202),-,-,https://figshare.com/articles/thesis/Love_sex_and_intimacy_in_new_late-life_romantic_relationships/26263805
W2580471444,10.48550/arxiv.1808.02785,PRIMARY_APP_UNION,2018,Against Marrying a Stranger Marital Matchmaking Technologies in Saudi Arabia,green,2,OK,"rung 2 (citation_pdf_url): http 200, 648kb",OK,62kb text,http://hdl.handle.net/11299/183309
W2990883218,10.2139/ssrn.3488173,ROUTE_C7A,2019,Job Prestige and Mobile Dating Success: A Field Experiment,green,0,FAILED,"not a PDF — got b'<!DO' (http 403); route blocked, not closed",-,-,https://doi.org/10.2139/ssrn.3488173
W3004262974,10.2139/ssrn.3514033,MECHANISM_CHOICE_FRICTION,2019,Designing Demand Information Disclosure in the Presence of Capacity Constraints: A Large-S,green,0,FAILED,"not a PDF — got b'<!DO' (http 403); route blocked, not closed",-,-,https://doi.org/10.2139/ssrn.3514033
W3158360963,10.3390/ijerph18094784,SECONDARY_TECH_FERTILITY,2021,The Influence of Internet Usage Frequency on Women’s Fertility Intentions—The Mediating Ef,gold,0,FAILED,"not a PDF — got b'<HTM' (http 403); route blocked, not closed",-,-,https://www.mdpi.com/1660-4601/18/9/4784/pdf?version=1619750146
W3188132562,10.1016/j.chb.2021.106977,MECHANISM_CHOICE_FRICTION,2021,The agony of partner choice: The effect of excessive partner availability on fear of being,hybrid,0,FAILED,"not a PDF — got b'<!DO' (http 403); route blocked, not closed",-,-,https://www.sciencedirect.com/science/article/pii/S0747563221003009/pdf
W4229457429,10.3389/fpubh.2022.882009,SECONDARY_TECH_FERTILITY,2022,How Media Use Influences the Fertility Intentions Among Chinese Women of Reproductive Age:,gold,0,OK,"http 200, 460kb",OK,63kb text,https://www.frontiersin.org/articles/10.3389/fpubh.2022.882009/pdf
W4386495747,10.1080/00224499.2023.2249775,MECHANISM_CHOICE_FRICTION,2023,"An Exploratory Study of Incels’ Dating App Experiences, Mental Health, and Relational Well",hybrid,0,FAILED,"not a PDF — got b'<!DO' (http 403); route blocked, not closed",-,-,https://doi.org/10.1080/00224499.2023.2249775
W4210309521,10.1016/j.bodyim.2022.01.005,OFF_OTHER,2022,Love me Tinder: The effects of women’s lifetime dating app use on daily body dissatisfacti,green,0,FAILED,empty body (http 202),-,-,https://figshare.com/articles/journal_contribution/Love_me_Tinder_The_effects_of_women_s_lifetime_dating_app_use_on_daily_body_dissatisfaction_disordered_eating_urges_and_negative_mood/20622279
W4289703777,10.1145/3064663.3064683,PRIMARY_APP_UNION,2017,"""Against Marrying a Stranger""",green,0,OK,"http 200, 648kb",OK,62kb text,https://arxiv.org/pdf/1808.02785
W3134119525,10.1016/j.jpubeco.2021.104372,ROUTE_C7A,2021,Brains or beauty? Causal evidence on the returns to education and attractiveness in the on,bronze,0,FAILED,"not a PDF — got b'<!DO' (http 403); route blocked, not closed",-,-,https://www.sciencedirect.com/science/article/pii/S0047272721000086
W3093947449,10.1145/3415208,MECHANISM_CHOICE_FRICTION,2020,Supporting Women in Online Dating with a Messaging Interface that Improves their Face-to-F,bronze,0,FAILED,"not a PDF — got b'<!DO' (http 403); route blocked, not closed",-,-,https://dl.acm.org/doi/pdf/10.1145/3415208
W4284667841,10.1007/s10508-022-02312-9,EXPOSURE_SERIES,2022,Behind the Screens: A Systematic Literature Review of Quantitative Research on Mobile Dati,green,0,OK,"http 200, 1385kb",OK,182kb text,https://lirias.kuleuven.be/retrieve/ca6551a9-dd60-4ffe-8e7b-88920bf90b50
W3195154294,10.1215/00703370-9420350,PRIMARY_APP_UNION,2021,Online Dating Is Shifting Educational Inequalities in Marriage Formation in Germany,gold,0,FAILED,"not a PDF — got b'<!DO' (http 403); route blocked, not closed",-,-,https://doi.org/10.1215/00703370-9420350
W3060423860,10.1177/1440783320948958,PRIMARY_APP_UNION,2020,Navigating ‘thin’ dating markets: Mid-life repartnering in the era of dating apps and webs,green,0,FAILED,empty body (http 202),-,-,https://figshare.com/articles/journal_contribution/Navigating_thin_dating_markets_Mid-life_repartnering_in_the_era_of_dating_apps_and_websites/22992191
W4387601212,10.1111/pere.12523,MECHANISM_CHOICE_FRICTION,2023,Desperate or desirable? Perceptions of individuals seeking dates online and offline,hybrid,0,FAILED,"not a PDF — got b'<!DO' (http 403); route blocked, not closed",-,-,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/pere.12523
W3095039370,10.1080/13229400.2020.1835694,PRIMARY_APP_FERTILITY,2020,Meeting online and family-related outcomes: evidence from three German cohorts,hybrid,0,FAILED,"not a PDF — got b'<!DO' (http 403); route blocked, not closed",-,-,https://doi.org/10.1080/13229400.2020.1835694
W4285811844,10.17265/2159-5526/2022.03.001,EXPOSURE_SERIES,2022,Marriage Choices in Contemporary Italy. Couples’ Places of Meeting Between Individualizati,diamond,2,OK,"rung 2 (citation_pdf_url): http 200, 79kb",OK,32kb text,https://doi.org/10.17265/2159-5526/2022.03.001
W4294292558,10.37256/jspr.1220221542,PRIMARY_APP_UNION,2022,Experiences of Romantic Attraction Are Similar Across Dating Apps and Offline Dates in You,hybrid,0,FAILED,"not a PDF — got b'<htm' (http 403); route blocked, not closed",-,-,https://ojs.wiserpub.com/index.php/JSPR/article/download/1542/1011
W3215766353,10.1080/00324728.2021.1999485,SECONDARY_TECH_UNION,2022,Internet and Partnership Formation in the United States,green,2,OK,"rung 2 (citation_pdf_url): http 200, 846kb",OK,77kb text,https://hdl.handle.net/11577/3534268
W4311461250,10.24036/jess.v6i02.425,EXPOSURE_SERIES,2022,Analysis of the Motivation and Effect of Using Dating Apps: a Literature Review,diamond,0,OK,"http 200, 1020kb",OK,53kb text,http://jess.ppj.unp.ac.id/index.php/JESS/article/download/425/187
W3201312810,10.1037/ebs0000274,REVERSE_DIRECTION,2021,Wanting or having children predicts age preferences in online dating.,green,0,FAILED,empty body (http 202),-,-,https://figshare.com/articles/journal_contribution/Wanting_or_having_children_predicts_age_preferences_in_online_dating/24393229
W3096306306,10.1080/00324728.2021.1999485,SECONDARY_TECH_UNION,2021,Internet access and partnership formation in the United States,hybrid,1,OK,"rung 1 (alternate OA location): http 200, 1609kb",OK,75kb text,https://www.tandfonline.com/doi/pdf/10.1080/00324728.2021.1999485?needAccess=true
W3212771687,10.2139/ssrn.3953014,SECONDARY_TECH_FERTILITY,2021,"Robots, Marriageable Men, Family, and Fertility",green,0,FAILED,"not a PDF — got b'<!DO' (http 403); route blocked, not closed",-,-,https://doi.org/10.2139/ssrn.3953014
W3130716401,10.2139/ssrn.3740782,OFF_PLATFORM_ENG,2020,Preserving User Privacy Through Ephemeral Sharing Design: A Large-Scale Randomized Field E,green,0,FAILED,"not a PDF — got b'<!DO' (http 403); route blocked, not closed",-,-,https://doi.org/10.2139/ssrn.3740782
W4312700644,10.2139/ssrn.4240140,INSUFFICIENT_INFO,2022,The Impact of Dating Apps on Young Adults: Evidence From Tinder,green,0,FAILED,"not a PDF — got b'<!DO' (http 403); route blocked, not closed",-,-,https://doi.org/10.2139/ssrn.4240140
W4285296403,10.2139/ssrn.4112926,MECHANISM_CHOICE_FRICTION,2022,99+ Matches But a Spark Ain't One: Adverse Psychological Effects of Excessive Swiping on Y,green,0,FAILED,"not a PDF — got b'<!DO' (http 403); route blocked, not closed",-,-,https://doi.org/10.2139/ssrn.4112926
W3030123416,10.2139/ssrn.3517018,MECHANISM_CHOICE_FRICTION,2020,The Secret to Finding Love: A Field Experiment of Choice Structure in Online Dating Platfo,green,0,FAILED,"not a PDF — got b'<!DO' (http 403); route blocked, not closed",-,-,https://doi.org/10.2139/ssrn.3517018
W3151013624,10.12794/metadc1538664,PRIMARY_APP_UNION,2019,Who Does Online Dating Benefit? Association of Adult Attachment with Relationship and Sexu,green,0,FAILED,"not a PDF — got b'<!DO' (http 200); route blocked, not closed",-,-,https://digital.library.unt.edu/ark:/67531/metadc1538664/m2/1/high_res_d/WOOLFORD-DISSERTATION-2019.pdf
W4205510192,10.31235/osf.io/938ve,PRIMARY_APP_FERTILITY,2020,Online partnering and family related outcomes in Germany,gold,0,OK,"http 200, 1321kb",OK,55kb text,https://osf.io/938ve/download
W4210958455,10.2139/ssrn.3967702,MECHANISM_CHOICE_FRICTION,2022,"Pragmatic Men, Romantic Women: Popularity Feedback on Online Dating Platforms",green,0,FAILED,"not a PDF — got b'<!DO' (http 403); route blocked, not closed",-,-,https://doi.org/10.2139/ssrn.3967702
W4285195434,10.2139/ssrn.4124079,PRIMARY_APP_UNION,2022,It's a Match!: Perceived Effectiveness of Romantic Relationship Formation Using Dating App,green,0,FAILED,"not a PDF — got b'<!DO' (http 403); route blocked, not closed",-,-,https://doi.org/10.2139/ssrn.4124079
W4285520497,10.5937/cm16-34482,PRIMARY_APP_UNION,2021,The Internet as marriage middleman: New patterns of love affairs in XXI century,diamond,0,OK,"http 200, 866kb",OK,60kb text,https://scindeks-clanci.ceon.rs/data/pdf/2466-541X/2021/2466-541X2150227P.pdf
W4318831699,10.19044/esj.2023.v19n2p1,EXPOSURE_SERIES,2023,"Internet as a Meeting Place for Spouses: Homogamy, Assortative Mating and Online Dating in",diamond,1,OK,"rung 1 (alternate OA location): http 200, 264kb",OK,42kb text,http://dx.doi.org/10.19044/esj.2023.v19n2p1
W4392896989,10.1111/jomf.12983,SECONDARY_TECH_UNION,2024,The digitalization of family life: A multilevel conceptual framework,hybrid,1,OK,"rung 1 (alternate OA location): http 200, 814kb",OK,92kb text,https://doi.org/10.1111/jomf.12983
W4400900228,10.1177/02654075241265064,PRIMARY_APP_UNION,2024,"Romantic relationship initiation and escalation through mobile dating apps: Affordances, m",bronze,0,FAILED,"not a PDF — got b'<!DO' (http 403); route blocked, not closed",-,-,https://journals.sagepub.com/doi/pdf/10.1177/02654075241265064?download=true
W4402185638,10.1057/s41599-024-03643-9,SECONDARY_TECH_FERTILITY,2024,"Offline social capital, online social capital, and fertility intentions: evidence from Chi",gold,0,OK,"http 200, 686kb",OK,84kb text,https://www.nature.com/articles/s41599-024-03643-9.pdf
W4403445450,10.1016/j.ijchp.2024.100505,EXPOSURE_SERIES,2024,Dating app users: Differences between middle-aged men and women,gold,1,OK,"rung 1 (alternate OA location): http 200, 515kb",OK,40kb text,https://doi.org/10.1016/j.ijchp.2024.100505
W4413053084,10.1016/j.tele.2025.102309,PRIMARY_APP_UNION,2025,Meeting partners online is related to lower relationship satisfaction and love: Data from ,hybrid,0,FAILED,"not a PDF — got b'\n\n\n\n' (http 200); route blocked, not closed",-,-,https://doi.org/10.1016/j.tele.2025.102309
W4399052446,10.3389/fpsyg.2024.1413129,PRIMARY_APP_UNION,2024,Disembedding and re-embedding: the online interaction mechanisms of divorced youth in Chin,gold,0,OK,"http 200, 649kb",OK,94kb text,https://public-pages-files-2025.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1413129/pdf
W4403391475,10.3390/socsci13100541,PRIMARY_APP_UNION,2024,Dating Applications versus Meeting Face-to-Face: What Is Better for Romantic Relationship ,gold,0,FAILED,"not a PDF — got b'<HTM' (http 403); route blocked, not closed",-,-,https://www.mdpi.com/2076-0760/13/10/541/pdf?version=1728720123
W4412065385,10.1093/sf/soaf100,PRIMARY_APP_UNION,2025,Shifting partnership ideals with online technologies among unmarried women in India,hybrid,1,OK,"rung 1 (alternate OA location): http 200, 1246kb",OK,90kb text,https://academic.oup.com/sf/advance-article-pdf/doi/10.1093/sf/soaf100/63677022/soaf100.pdf
W4400895070,10.3897/popecon.8.e104663,EXPOSURE_SERIES,2024,Review of the Scientific Literature on the Topic of Online Dating Services in a Demographi,diamond,0,OK,"http 200, 1164kb",OK,50kb text,https://populationandeconomics.pensoft.net/article/104663/download/pdf/
W4403826709,10.1080/1081602x.2024.2417749,EXPOSURE_SERIES,2024,The quest for a partner in the past and today: exploring trends and drivers in partner pre,green,0,OK,"http 200, 686kb",OK,59kb text,https://ddd.uab.cat/pub/artpub/2024/306619/The_quest_for_a_partner_in_the_past_and_today_exploring_trends_and_drivers_in_partner_preferences_and_selection_through_new_sources_and_approaches.pdf
W4407957187,10.1177/0192513x251322128,PRIMARY_APP_UNION,2025,Singleness and the Pandemic Dating Recession,bronze,0,FAILED,"not a PDF — got b'<!DO' (http 403); route blocked, not closed",-,-,https://journals.sagepub.com/doi/pdf/10.1177/0192513X251322128?download=true
W4408326477,10.1155/hbe2/6632908,PRIMARY_APP_UNION,2025,It Is a Match!: Understanding the Perceived Effectiveness of Mobile Dating Applications fo,gold,0,FAILED,"not a PDF — got b'<!DO' (http 403); route blocked, not closed",-,-,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1155/hbe2/6632908
W4409795730,10.4337/9781803923383.00019,PRIMARY_APP_UNION,2025,Dating and online partnership formation,hybrid,0,OK,"http 200, 1003kb",OK,51kb text,https://www.elgaronline.com/downloadpdf/edcollchap-oa/book/9781803923383/book-part-9781803923383-19.pdf
W4414286340,10.1016/j.econlet.2025.112617,PRIMARY_APP_UNION,2025,Nonparametric estimation of matching efficiency and elasticity in a marriage agency platfo,hybrid,1,OK,"rung 1 (alternate OA location): http 200, 1683kb",OK,19kb text,https://doi.org/10.1016/j.econlet.2025.112617
W4412368980,10.1177/26318318251348808,PRIMARY_APP_UNION,2025,The Transformation of the Institution of Marriage in India and the Role of Dating Apps,diamond,0,FAILED,"not a PDF — got b'<!DO' (http 403); route blocked, not closed",-,-,https://doi.org/10.1177/26318318251348808
W4391680270,10.33474/jisop.v5i2.20271,PRIMARY_APP_UNION,2023,Romance in the cloud: Interpersonal communication analysis on relationship stages of onlin,gold,0,OK,"http 200, 587kb",OK,23kb text,https://riset.unisma.ac.id/index.php/JISoP/article/download/20271/16069
W4393322196,10.17059/ekon.reg.2024-1-7,SECONDARY_TECH_FERTILITY,2024,Statistical Analysis of Uneven Digitalization Across Russian Regions and Its Impact on the,diamond,0,OK,"http 200, 1014kb",OK,86kb text,https://www.economyofregions.org/ojs/index.php/er/article/download/355/276/5370
W4409623628,10.12677/ass.2025.144325,SECONDARY_TECH_FERTILITY,2025,The Impact of Fertility Information Browsing on College Students’ Fertility Intentions—The,hybrid,0,OK,"http 200, 987kb",OK,38kb text,https://pdf.hanspub.org/ass2025144_742398771.pdf
W4411277485,10.3390/psycholint7020052,PRIMARY_APP_UNION,2025,The Relation Between Big Five Personality Traits and Relationship Formation Through Matchm,gold,0,FAILED,"not a PDF — got b'<HTM' (http 403); route blocked, not closed",-,-,https://www.mdpi.com/2813-9844/7/2/52/pdf?version=1749810254
W4415780822,10.1111/soin.70037,PRIMARY_APP_UNION,2025,Who Holds the Power? Gendered Experiences of Involuntary Singlehood in the Age of Online D,hybrid,0,FAILED,"not a PDF — got b'<!DO' (http 403); route blocked, not closed",-,-,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/soin.70037
W7119465607,10.21203/rs.3.rs-8293614/v1,SECONDARY_TECH_FERTILITY,2026,The Use of Sexually Explicit Internet Material and Fertility Intention among Chinese Femal,green,0,OK,"http 200, 2035kb",OK,56kb text,https://www.researchsquare.com/article/rs-8293614/latest.pdf
W7124955497,10.2139/ssrn.6076486,PRIMARY_APP_UNION,2026,What Happens When Dating Goes Online? Evidence from U.S. Marriage Markets and Health Outco,green,0,FAILED,"not a PDF — got b'<!DO' (http 403); route blocked, not closed",-,-,https://doi.org/10.2139/ssrn.6076486
W7126055592,10.3390/soc16020042,MECHANISM_CHOICE_FRICTION,2026,"All the Feels, None of the Labels: Young Adults’ Experiences of Situationships",gold,0,FAILED,"not a PDF — got b'<HTM' (http 403); route blocked, not closed",-,-,https://www.mdpi.com/2075-4698/16/2/42/pdf?version=1769680387
W7128439818,10.1007/s12061-026-09807-1,SECONDARY_TECH_FERTILITY,2026,A Spatial Analysis of Factors Affecting Total Fertility Rates in OECD Countries: The Role ,hybrid,0,OK,"http 200, 1660kb",OK,97kb text,https://link.springer.com/content/pdf/10.1007/s12061-026-09807-1.pdf
W7131866243,10.1016/j.econlet.2026.112873,PRIMARY_APP_UNION,2026,Dating apps and marriage rates,hybrid,0,FAILED,"not a PDF — got b'\n\n\n\n' (http 200); route blocked, not closed",-,-,https://doi.org/10.1016/j.econlet.2026.112873
W7147533613,10.1007/s12119-026-10582-x,PRIMARY_APP_UNION,2026,"“Okay, So What Are We?” The Reproduction of Monogamy in Tinder Couples",hybrid,0,OK,"http 200, 1212kb",OK,96kb text,https://link.springer.com/content/pdf/10.1007/s12119-026-10582-x.pdf
W7152034304,10.1016/j.ssaho.2026.102724,PRIMARY_APP_UNION,2026,Predicting matchmaking success: The role of self-esteem and attachment in relationship for,gold,0,FAILED,"not a PDF — got b'\n\n\n\n' (http 200); route blocked, not closed",-,-,https://doi.org/10.1016/j.ssaho.2026.102724
W7160869788,10.2139/ssrn.6749621,SECONDARY_TECH_FERTILITY,2026,WIDE AND SHALLOW: DIGITAL TECHNOLOGY AND THE POST-2007 FERTILITY DECLINE,green,0,FAILED,"not a PDF — got b'<!DO' (http 403); route blocked, not closed",-,-,https://doi.org/10.2139/ssrn.6749621
W7164041006,10.2139/ssrn.6907652,MECHANISM_CHOICE_FRICTION,2026,Rejection Mindset in Dating Apps: The Effects of Openness to Experience and Extraversion o,green,0,FAILED,"not a PDF — got b'<!DO' (http 403); route blocked, not closed",-,-,https://doi.org/10.2139/ssrn.6907652
W7166344003,10.1177/25739581261463939,PRIMARY_APP_UNION,2026,“It’s the Wild West Out There”: Autistic Adults’ Experiences of Seeking Connection Through,green,0,FAILED,"not a PDF — got b'<!DO' (http 403); route blocked, not closed",-,-,https://durham-repository.worktribe.com/5706121/1/Accepted%20Journal%20Article
W7168166531,10.3390/socsci15070471,PRIMARY_APP_UNION,2026,Fluid Swipes and Solid Care on Dating Apps: Interviews with Midlife Single Parents in Norw,gold,0,FAILED,"not a PDF — got b'<HTM' (http 403); route blocked, not closed",-,-,https://www.mdpi.com/2076-0760/15/7/471/pdf?version=1783944167
W92125585,10.30707/etd2014.hazzard.j,MECHANISM_CHOICE_FRICTION,2014,When Can We Meet For Coffee?: Strategies In Online Dating To Build Liking When Exchanging ,gold,0,FAILED,"not a PDF — got b'<htm' (http 403); route blocked, not closed",-,-,https://ir.library.illinoisstate.edu/cgi/viewcontent.cgi?article=1127&context=etd
