priority,paperId,doi,title,year,venue,verdict,cell,diffusion_channel,identification_of_diffusion,evidence_type,both_channel,reason,ra_decision,ra_note
1,W2119376659,10.1162/rest_a_00423,Learning from Teen Childbearing Experiences of Close Friends: Evidence using Miscarriages as a Natural Experiment,2013,The Review of Economics and Statistics,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,SEPARATES_FROM_COMMON_SHOCK,quasi-experimental,,Peer effect: close friend's teen birth reduces own teen pregnancy via learning mechanism; identified off miscarriage natural experiment,,
1,W2001021105,10.1007/s13524-012-0172-2,"Family Planning and Women’s and Children’s Health: Long-Term Consequences of an Outreach Program in Matlab, Bangladesh",2012,Demography,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,SEPARATES_FROM_COMMON_SHOCK,quasi-experimental,,"Program-induced diffusion spillover: experimental program in treated villages raises fertility-control adoption in untreated neighboring villages through social contact—the bridge cell (Wall 5 shock, A.3 mechanism).",,
1,W2052028310,10.1002/ajhb.22348,"Fertility, parental investment, and the early adoption of modern contraception in rural ethiopia",2012,American Journal of Human Biology,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,SEPARATES_FROM_COMMON_SHOCK,observational,,Explicitly tests social transmission through friendships and spatial networks vs. parental-investment mechanism; provides within-woman analysis to separate diffusion from common shocks,,
1,W2016489761,10.1371/annotation/d4ace6be-2089-47e8-86b2-42d04189324a,Correction: Social Transmission and the Spread of Modern Contraception in Rural Ethiopia,2011,PLoS ONE,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,SEPARATES_FROM_COMMON_SHOCK,observational,,directly tests social transmission via friendship networks and spatial proximity; finds social diffusion role marginal after controlling for demographic and religious factors,,
1,W2017682951,10.1097/dbp.0b013e318231cf03,Social Network Effects in Contraceptive Behavior Among Adolescents,2011,Journal of Developmental & Behavioral Pediatrics,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,SEPARATES_FROM_COMMON_SHOCK,quasi-experimental,,Peer exposure to classmates' contraceptive use increases individual adoption; school fixed effects control for common shocks,,
1,W1603027288,,"TESTING HYPOTHESES OF THE DEMOGRAPHIC TRANSITION IN SAN BORJA, BOLIVIA",2011,UNM’s Digital Repository (University of New Mexico),RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,SEPARATES_FROM_COMMON_SHOCK,observational,,"Explicitly tests diffusion theory predictions among five competing hypotheses (contraceptive knowledge, wealth flows, female labor, embodied capital); compares predictions to observed fertility patterns",,
1,W2154213918,,"Businesses, buddies and babies: social ties and fertility at work",2010,RePEc: Research Papers in Economics,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,SEPARATES_FROM_COMMON_SHOCK,quasi-experimental,,Co-worker fertility raises own fertility; falsification tests rule out workplace-level common shocks; causal peer contagion identified,,
1,W1994322174,10.1353/jhr.2009.0031,Testing the External Effect of Household Behavior: The Case of the Demand for Children,2009,The Journal of Human Resources,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,SEPARATES_FROM_COMMON_SHOCK,quasi-experimental,,Identifies large peer external effect on fertility using China's fertility policy as instrumental variable for neighbors' fertility variation,,
1,W2022205403,10.1353/prv.0.0017,"The Influence of Changes in Fertility Related Norms on Contraceptive Use in Egypt, 1995–2005",2009,Population review,RELEVANT,PRIMARY_LEGITIMATION_SPREAD,LEGITIMATION_KNOWLEDGE,SEPARATES_FROM_COMMON_SHOCK,observational,,"Changes in community-level norms (desire for large families, FP acceptance) affect individual contraceptive use; controls separate norms from other factors",,
1,W2167340672,10.1080/0032472032000061703,Why are uneducated women in India using contraception? A multilevel analysis,2003,Population Studies,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,SEPARATES_FROM_COMMON_SHOCK,observational,,"multilevel analysis identifies diffusion effects of others' contraceptive use and education on adoption, independent of individual socio-economic factors; mass media identified as secondary channel",,
1,W1557995479,10.4054/mpidr-wp-2001-022,"How can we measure the causal effects of social networks using observational data? Evidence from the diffusion of family planning and AIDS worries in South Nyanza District, Kenya",2001,,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,SEPARATES_FROM_COMMON_SHOCK,quasi-experimental,,Social networks causally affect contraceptive adoption controlling for endogenous network formation; S-shaped diffusion consistent with contagion models,,
1,W1852387840,10.22004/ag.econ.28508,The Fertility Transition in Bavaria,2001,RePEc: Research Papers in Economics,RELEVANT,PRIMARY_CULTURAL_BOUNDARY_CONTENT,CULTURAL_LINGUISTIC_RELIGIOUS,SEPARATES_FROM_COMMON_SHOCK,historical,,district-level analysis of Bavarian fertility transition tests whether religious/secularization factors (cultural boundaries) or economic factors drive decline; uses improved econometric methods to separate cultural from economic drivers,,
2,W2105516209,10.1353/prv.2009.0000,Spatial Dependence and Heterogeneity in Ten Years of Fertility Decline in Brazil,2009,Population review,RELEVANT,PRIMARY_SPATIAL_DIFFUSION,SPATIAL_MIGRATION,DESCRIPTIVE_RESIDUAL_ONLY,observational,yes,Neighboring fertility levels predict local decline via teaching/learning/imitation; spatial multiplier effect mediated by distance,,
2,W2060849964,10.1017/s1361491608002372,"Demand and supply factors in the fertility transition: a county-level analysis of age-specific marital fertility in Sweden, 1880-1930",2008,European Review of Economic History,RELEVANT,PRIMARY_SPATIAL_DIFFUSION,SPATIAL_MIGRATION,DESCRIPTIVE_RESIDUAL_ONLY,historical,yes,gradual diffusion of parity-specific control across age groups and time in Swedish fertility transition; connected to broader socioeconomic context,,
2,W2006490730,10.1111/j.1728-4457.2002.00641.x,The Emergence of Lowest‐Low Fertility in Europe During the 1990s,2002,Population and Development Review,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,DESCRIPTIVE_RESIDUAL_ONLY,descriptive,yes,Identifies social interaction effects as reinforcing fertility postponement alongside economic and institutional factors,,
2,W2156908278,10.1086/320818,"Social Change, the Social Organization of Families, and Fertility Limitation",2001,American Journal of Sociology,RELEVANT,PRIMARY_LEGITIMATION_SPREAD,LEGITIMATION_KNOWLEDGE,DESCRIPTIVE_RESIDUAL_ONLY,quasi-experimental,yes,explicitly implicates ideational diffusion as mechanism linking social change to fertility limitation; multiple mechanisms tested but diffusion not clearly separated from common shocks,,
2,W165253017,10.31899/pgy6.1056,Social networks and contraceptive dynamics in southern Ghana,2001,,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,DESCRIPTIVE_RESIDUAL_ONLY,observational,yes,Longitudinal data confirm social diffusion: reproductive attitudes and behaviors of network partners strongly affect adoption; social networks structured by socioeconomic characteristics.,,
2,W2002792116,10.1111/j.1728-4457.2000.00725.x,"Local and Foreign Models of Reproduction in Nyanza Province, Kenya",2000,Population and Development Review,RELEVANT,PRIMARY_LEGITIMATION_SPREAD,CULTURAL_LINGUISTIC_RELIGIOUS,DESCRIPTIVE_RESIDUAL_ONLY,historical,yes,traces diffusion and local adaptation of fertility control ideas from international population movement through social networks and cultural domestication,,
2,W2077709300,10.1080/713779084,Social interactions and fluctuations in birth rates,2000,Population Studies,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,DESCRIPTIVE_RESIDUAL_ONLY,structural,yes,Formal model of social interaction and dependence in fertility decisions; empirically tested for implications of social interaction on birth-rate dynamics,,
2,W1588497975,10.1111/j.1728-4457.1999.00703.x,The Persistence of Outmoded Contraceptive Regimes: The Cases of Mexico and Brazil,1999,Population and Development Review,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,DESCRIPTIVE_RESIDUAL_ONLY,observational,yes,Social interaction among providers and users drives positive feedback in contraceptive choice; path dependence from social contact but not identified separately from common shocks,,
2,W2739361626,10.31899/pgy6.1020,Social networks and the diffusion of fertility control,1998,,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,UNCLEAR,review,yes,Explicitly assembles diffusion theory and empirical literature on social learning and social influence through networks affecting fertility control adoption; includes new data on Ghana,,
2,W2019533188,10.2307/3038290,Learning in social networks and contraceptive choice,1997,Demography,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,LEGITIMATION_KNOWLEDGE,NA,mechanism,yes,Theoretical model of word-of-mouth social learning in networks explaining path-dependent contraceptive adoption diversity across villages,,
2,W2006672900,10.1016/s0277-9536(96)00385-1,Social network associations with contraceptive use among Cameroonian women in voluntary associations,1997,Social Science & Medicine,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,DESCRIPTIVE_RESIDUAL_ONLY,observational,yes,"Network members' approval, use, and encouragement associated with respondent adoption; method clustering among peers",,
2,W2032866820,10.2307/2137860,"The Buzz Outside the Clinics: Conversations and Contraception in Nyanza Province, Kenya",1997,Studies in Family Planning,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,DESCRIPTIVE_RESIDUAL_ONLY,observational,yes,Informal social networks ('buzz') between women driving contraceptive adoption beyond provider instruction; peer exposure to contraceptive experience and practice,,
2,W2014048998,10.2307/2061709,Community and contraceptive choice in rural Thailand: A case study of Nang Rong,1996,Demography,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,DESCRIPTIVE_RESIDUAL_ONLY,descriptive,yes,"Explains method dominance and village differences via conversational networks and social space structure, independent of physical access to services.",,
2,W2011828439,10.2307/2138046,Diffusion of the Culture of Contraception: Program Effects on Young Women in Rural Bangladesh,1995,Studies in Family Planning,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,DESCRIPTIVE_RESIDUAL_ONLY,descriptive,yes,"Diffusion of contraception culture/knowledge through social networks (relatives, peers) to young women in rural Bangladesh",,
2,W2010006600,10.2307/2096388,"The Spatial Diffusion of Fertility: A Cross-Sectional Analysis of Counties in the American South, 1940",1995,American Sociological Review,RELEVANT,PRIMARY_SPATIAL_DIFFUSION,SPATIAL_MIGRATION,DESCRIPTIVE_RESIDUAL_ONLY,observational,yes,Spatial-diffusion model finds significant diffusion effect on county fertility in American South net of socioeconomic controls; geographic proximity to high/low-fertility counties predicts fertility,,
2,W2043792796,10.1093/sf/73.2.435,Interaction Diffusion and Fertility Transition in Costa Rica,1994,Social Forces,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SPATIAL_MIGRATION,DESCRIPTIVE_RESIDUAL_ONLY,quasi-experimental,yes,Dynamic regression identifies inter- and within-county diffusion effects on birth control adoption net of socioeconomic and program effects; spatial pattern suggests contagion,,
2,W7129290255,10.1111/tesg.70068,Do Family Changes Constitute a Comprehensive Demographic Shift? A Comparison of the Spatial Dynamics of Five Family Changes in Switzerland (1969–2023),2026,Tijdschrift voor Economische en Sociale Geografie,RELEVANT,PRIMARY_SPATIAL_DIFFUSION,SPATIAL_MIGRATION,DESCRIPTIVE_RESIDUAL_ONLY,historical,,"documents spatial diffusion of fertility-related family changes across Switzerland 1969–2023 via urban hierarchical and geographic proximity diffusion, though causality not identified",,
2,W7130502574,10.1002/psp.70230,Fertility Norms as Unifying Framework: Coordinating Migration and Fertility Decisions in China′s Internal Migration,2026,Population Space and Place,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,DESCRIPTIVE_RESIDUAL_ONLY,qualitative,,"Migration and fertility decisions coordinated through fertility norms; geographic separation weakens normative monitoring, allowing norm revision; sustained exposure to destination contexts reshapes fertility orientations. Social diffusion of fertility norms across communities via migration.",,
2,W4413883913,10.12688/gatesopenres.16390.1,The Dominant Role of Community Influences over Individual Contraceptive Choices in Pakistan,2026,Gates Open Research,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,DESCRIPTIVE_RESIDUAL_ONLY,observational,,Community-level family planning intentions and parity norms predict individual contraceptive adoption; applies Diffusion of Innovation Theory but relies on regression adjustment,,
2,W7163206294,10.1080/17441730.2026.2680865,The role of social networks on fertility: evidence from high and low fertility states of India,2026,Asian Population Studies,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,DESCRIPTIVE_RESIDUAL_ONLY,observational,,"tests diffusion hypothesis using social network variables (kin structure, informational exposure) predicting fertility across Indian fertility regimes",,
2,W7204118893,10.31125/globnursinsights.1807184,"Women’s Knowledge, Attitudes, and Experiences of Family Planning in the Geography of Inequality: A Social Capital–Informed Qualitative Study",2026,Global Nursing Insights,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,DESCRIPTIVE_RESIDUAL_ONLY,qualitative,,"Social networks, institutional trust, and normative pressures (spousal approval) shape family planning behavior and contraceptive adoption",,
2,W4416383057,10.1002/psp.70158,"Changing Fertility Patterns in Poland: Urban, Suburban, and Rural Dimensions",2025,Population Space and Place,RELEVANT,PRIMARY_SPATIAL_DIFFUSION,SPATIAL_MIGRATION,DESCRIPTIVE_RESIDUAL_ONLY,spatial econometric,,"spatial clustering of fertility decline across Polish regions; spatial autocorrelation suggests diffusion but derives from correlation net of observed covariates, not isolation from common shocks",,
2,W4414448002,10.1017/s0021932025100424,Composition and structure of women’s family and personal networks in Ouagadougou: what are the effects on current fertility?,2025,Journal of Biosocial Science,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,DESCRIPTIVE_RESIDUAL_ONLY,observational,,network structure and composition directly affect women's fertility outcomes,,
2,W4406170812,10.1080/17441730.2024.2434258,Do shared history and language synchronise fertility rates between regions across countries? Evidence from India and Bangladesh,2025,Asian Population Studies,RELEVANT,PRIMARY_CULTURAL_BOUNDARY_CONTENT,CULTURAL_LINGUISTIC_RELIGIOUS,DESCRIPTIVE_RESIDUAL_ONLY,observational,,"documents convergence of fertility rates between culturally-linked border regions (West Bengal-Bangladesh) greater than within-country neighbors, suggesting shared cultural/linguistic transmission of fertility transition",,
2,W4408224057,10.1007/s12546-025-09369-y,Effects of diffusion and education on women’s fertility in India,2025,Journal of Population Research,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,DESCRIPTIVE_RESIDUAL_ONLY,observational,,"direct study of effects of social learning (social networks, mass media, presence of other married women) and social influence channels on women's fertility in India; diffusion of fertility control idea through social exposure",,
2,W4409151237,10.1093/pnasnexus/pgaf113,Female friendship and the cultural transmission of low-fertility values: Evidence from rural Poland,2025,PNAS Nexus,RELEVANT,PRIMARY_SOCIAL_EXPOSURE,SOCIAL_NETWORK_PEER,DESCRIPTIVE_RESIDUAL_ONLY,observational,,Female friendship networks transmit low-fertility cultural values and attitudes through emotional support; shift in friendship composition drives fertility norms,,
