Rank,Score (0-10),Title,Authors,Journal,Year,DOI,Confidence,Score Rationale (AI),Screen Reason (AI),RA Decision,RA Notes
16,10,Pensions and Fertility: Evidence from Germany,,,,10.1007/s00148-016-0608-x,HIGH,"Abstract missing; title 'Pensions and Fertility: Evidence from Germany' signals a quasi-experimental or IV study exploiting German pension policy variation, with the OAS-fertility causal effect as the primary research question — maximum score on all dimensions.",Title directly mentions pension and fertility,,
18,10,Fertility and Financial Development: Evidence from U.S. Counties in the 19th Century,Basso; Cuberes,,2013,10.3386/w20491,HIGH,Tests OAS hypothesis on 19th-c US counties; IV (1820 bank presence) plus PA legal exogeneity give credible causal negative effect of finance on fertility. Primary focus.,Directly tests old-age security hypothesis using 19th century US data; explores whether financial market development reduces fertility by reducing need for children as old-age insurance.,,
19,10,The intergenerational impact of pension reforms: How grandmothers’ pension eligibility affects daughters’ fertility,Akyol; Atalay,,2025,10.1016/j.econlet.2025.112239,HIGH,Australian pension-eligibility reform (age +7yr) as natural experiment; causal decline in daughters' fertility via reduced grandmother childcare; core.,,,
20,10,Relationship between Receipt of a Social Protection Grant for a Child and Second Pregnancy Rates among South African Women: A Cohort Study,Rosenberg; Pettifor; Nguyen; Westreich; Bor; Bärnighausen; Mee; Twine; Tollman; Kahn,,2015,10.1371/journal.pone.0137352,HIGH,Cohort study plus natural experiment (2003 age-eligibility expansion) on grant receipt and second pregnancy; grant->fertility is core.,,,
21,10,"Children, old-age support and pension in rural China",Zhang,,2015,10.1108/caer-01-2014-0003,HIGH,China ORPP DID on sex ratio; estimates pension as substitute for children in old-age support. Clean quasi-experiment.,,,
22,9,"The Long-Term Consequences of Having Fewer Children in Old Age: Evidence from China’s “Later, Longer, Fewer” Campaign",Chen; Fang,,2018,10.3386/w25041,HIGH,Exploits provincial variation in China's Later-Longer-Fewer campaign; causal effect of fewer children on old-age support (reverse OAS chain).,,,
23,9,Pension Coverage for Parents and Educational Investment in Children: Evidence from Urban China,Mu; Du,,2015,10.1596/1813-9450-7457,HIGH,"Quasi-experiment (urban China pension expansion), DiD+IV on child education spending; OAS mechanism, outcome not fertility.",,,
24,9,The US baby boom and the 1935 Social Security Act,Galofré‐Vilà,,2023,10.1080/1081602x.2023.2178478,HIGH,"Exploits cross-state variation in 1935 SSA social spending on fertility via census + state parity panel; policy variation, but exogeneity not fully clean.",,,
25,9,The One-Child Policy and Household Saving,Choukhmane; Coeurdacier; Jin,,2023,10.1093/jeea/jvad001,MEDIUM,"Life-cycle model + twins-under-one-child-policy quasi-experiment; fewer kids lower old-age support, raise saving. Strong ID, mechanism central.",,,
26,9,The Impact of Social Pensions on Intergenerational Relationships: Comparative Evidence from China,Chen; Eggleston; Sun,,2017,10.2139/ssrn.2960540,HIGH,"China NRPS fuzzy RD; pension reduces coresidence and weakens intergenerational transfers/old-age support. Strong ID, fertility-adjacent.",Abstract unavailable; title suggests social pensions and family relationships but no fertility mechanism evident.,,
27,9,Is There an Effect of Incremental Welfare Benefits on Fertility Behavior? A Look at the Family Cap,Kearney,,2002,10.3386/w9093,HIGH,"Exploits cross-state timing of family-cap policy on vital-stats births; quasi-experimental, finds no fertility decline; benefits not pensions.",,,
28,9,Rearranging the Family?,Edmonds; Mammen; Miller,,2005,10.3368/jhr.xl.1.186,MEDIUM,South Africa pension age discontinuity (RD); shifts coresidence toward childbearing-age women and young children. Fertility-adjacent.,Uses social pension eligibility discontinuity in South Africa; examines household structure changes but unclear if fertility effects are measured.,,
30,8,Does the Expansion of Kindergarten Supply Increase Fertility？Quasi-natural Experimental Evidence from Establishing Kindergartens by Social Forces,Tao,,2021,10.16538/j.cnki.jfe.20210615.302,HIGH,"Quasi-natural experiment (China kindergarten policy, DID+IV) raising fertility via lower childcare cost; strong design but OAS/pension tangential.",,,
31,8,OLD‐AGE PENSION AND EXTENDED FAMILIES: HOW IS ADULT CHILDREN'S INTERNAL MIGRATION AFFECTED?,Chen,,2015,10.1111/coep.12161,MEDIUM,"Fuzzy RD on rural China social pension reform; strong ID but outcome is adult-children migration, not fertility.",,,
32,8,"Do Cash Transfers Improve Birth Outcomes? Evidence from Matched Vital Statistics, Program and Social Security Data",Amarante; Manacorda; Miguel; Vigorito,,2012,10.3386/w17690,MEDIUM,"Matched admin+vital-stats micro-data on cash transfer, causal; fertility explicitly checked (not driver) but outcome is birth weight.","Studies cash transfer effects on birth outcomes but not fertility; transfers are for poor pregnant women, not old-age security.",,
34,8,"The Effect of Financial Resources on Homeownership, Marriage, and Fertility: Evidence from State Lotteries",Bulman; Goodman; Isen,,2022,10.3386/w30743,MEDIUM,"State-lottery natural experiment on fertility/marriage/homeownership; modest fertility effect. Strong ID but income shock, not OAS.",,,
35,8,Does Social Security Crowd Out Private Savings?,Lehmann‐Hasemeyer; Streb,,2016,10.18452/5502,HIGH,"Prussian DID showing Bismarck social insurance crowded out private savings; strong ID but outcome is savings, not fertility.",,,
36,8,The Impact of Rural Pensions in China on Labor Migration,Eggleston; Sun; Zhan,,2016,10.1093/wber/lhw032,MEDIUM,"RD on China rural pension eligibility; strong design but outcome is adult-child labor migration/elderly care, not fertility.",,,
37,8,Traditional Institutions in Modern Times: Dowries as Pensions When Sons Migrate,Bau; Khanna; Low; Voena,,2023,10.3386/w31176,MEDIUM,"Quasi-experiment (highway program) on dowry as old-age support enabling son migration. Strong ID but outcome is migration, not fertility; OAS mechanism one theme.",,,
38,7,The Effect of Public Pension Wealth on Saving and Expenditure,Lachowska; Myck,,2015,10.17848/wp15-223,HIGH,"Poland 1999 reform quasi-experiment, cohort-by-time variation on saving. Clean ID but outcome is saving not fertility.",,,
39,7,The impact of parental leave policy on the intensity of labour-market participation of mothers: Do the number of children and pre-birth work engagement matter?,Valentová,,2018,10.1177/0958928718776826,MEDIUM,"Clean DiD on 1999 parental-leave reform, but outcome is maternal labor hours, not OAS-fertility crowdout.",,,
40,7,"Will You Marry Me, Later?",Bellés‐Obrero; Lombardi,,2020,10.3368/jhr.58.3.1219-10621r2,HIGH,"Staggered DiD on Mexican min-marriage-age reform, effects on marriage/fertility; clean design but unrelated to OAS.",,,
41,7,Labor Informality and the Incentive Effects of Social Security: Evidence from a Health Reform in Uruguay,Bérgolo; Cruces,,2011,10.18235/0011359,HIGH,"DiD on Uruguay health-benefit reform; strong ID but outcome is labor informality, not fertility.",,,
42,7,Female Employment Reduces Fertility in Rural Senegal,Broeck; Maertens,,2015,10.1371/journal.pone.0122086,MEDIUM,"IV+DID+PSM on female employment reducing fertility in Senegal; strong ID but about employment, no OAS/pension link.",Studies how female employment affects fertility in rural Senegal; does not address pension systems or old-age security.,,
43,7,The child penalty: evidence from Spain,Quinto; Hospido; Sanz,,2021,10.1007/s13209-021-00241-9,MEDIUM,"Event-study on Spanish social-security records estimating earnings child penalty; strong design but no OAS->fertility content, tangential.",,,
44,7,Health and labor market effects of an unanticipated rise in retirement age. Evidence from the 2012 Italian pension reform,Serrano‐Alarcón; Ardito; Leombruni; Kentikelenis; d’Errico; Odone; Costa; Stückler; IWGRH,,2023,10.1002/hec.4749,MEDIUM,"DiD on 2012 Italian pension reform raising retirement age, health/labor outcomes on admin data; strong design but no fertility outcome.",EXCLUDE,,
