paperId,doi,title,year,authors,venue,verdict,estimand_cell,evidence_type,treatment,outcome,direction,reason,abstract,discovery_channels,ra_decision,ra_corrected_verdict,ra_corrected_estimand_cell,ra_note,strict_gate_status,strict_gate_reason,retrieval_candidate
W4412362654,10.1111/rode.70016,Do Compulsory Schooling Laws Affect Fertility Behaviors and Marriages? Evidence From India,2025,Sandipa Bhattacharjee,Review of Development Economics,RELEVANT,TEMPO,quasi-experimental,compulsory-schooling reform,fertility timing or marriage,forward,covered legal reform is linked to fertility or family formation,"ABSTRACT This paper exploits an education policy in India generated by a 2010 schooling reform to examine the effect of education on women's family planning decisions. The key element of the reform was that it required students to complete 8 years of primary education (age 6–14 years). I employ an instrumental variable difference‐in‐difference approach that measures the exogenous variation in treatment intensity in different states across birth cohorts of women measured by birth year and birth month. The reform led to an increase in total years of education, a delay in the age at first marriage, a postponement of sexual activity, and reduced fertility beginning at the age of 23. I also examine the potential mechanisms through which increased education affects fertility. The findings suggest that early use of modern contraceptives, reduction in the marital education gap, increased literacy, and utilization of healthcare services contribute to reduced fertility. These results are consistent with the increased empowerment of women influencing their fertility decisions, highlighting the importance of the government's efforts to promote education through policy initiatives.",forward_citation,,,,,KEEP,India compulsory-schooling reform explicitly estimates fertility behavior and timing.,YES
W3212471012,10.1016/j.jhealeco.2021.102552,Maternal education and child health: Causal evidence from Denmark,2021,Jacob Nielsen Arendt; Mads Lybech Christensen; Anders Hjorth‐Trolle,Journal of Health Economics,RELEVANT,TEMPO,quasi-experimental,compulsory-schooling or child-labor law,fertility timing,forward,covered legal policy is linked to fertility timing,"This study examines how maternal education shapes the life and health of their children. Causal effects are identified from a Danish school reform that increased minimum compulsory schooling from 7 to 9 years in 1972 and estimates are based on large administrative registers. We find that the reform as well as maternal education when instrumented by it, has significant, positive effects on mothers' age at first birth and maternal health. Nevertheless, maternal education has no systematic causal effects on child health, neither at birth, during childhood, or in adolescence. This null finding is robust to a wide range of model specifications.",forward_citation,,,,,KEEP,Compulsory-schooling reform explicitly estimates age at first birth.,YES
W3006219298,10.1007/s00148-020-00771-9,Books or babies? The incapacitation effect of schooling on minority women,2020,Anna Adamecz-Völgyi; Ágota Scharle,Journal of Population Economics,RELEVANT,TEMPO,quasi-experimental,compulsory school-leaving-age increase,teenage motherhood,forward,reform reduced and delayed teenage motherhood,"Abstract This paper examines the effects of an increase in the compulsory school leaving age on the teenage fertility of Roma women, a disadvantaged ethnic minority in Hungary. We use a regression discontinuity design identification strategy and show that the reform decreased the probability of teenage motherhood among Roma women by 13.4–26.0% and delayed motherhood by 2 years. We separate the incapacitation and human capital effects of education on fertility by exploiting a database that covers live births, miscarriages, abortions, and still births and contains information on the time of conception. We find that longer schooling decreases the probability of getting pregnant during the school year but not during summer and Christmas breaks, which suggests that the estimated effects are generated mostly through the incapacitation channel.",forward_citation,,,,,KEEP,School-leaving-age reform explicitly estimates pregnancy timing.,YES
W2108204833,10.1086/700076,The Effects of Compulsory-Schooling Laws on Teenage Marriage and Births in Turkey,2018,Murat G. Kïrdar; Meltem Dayıoğlu; İsmet Koç,Journal of Human Capital,RELEVANT,TEMPO,quasi-experimental,compulsory schooling laws,teenage marriage and births,forward,Estimates a schooling-policy effect on teenage pregnancy or fertility timing.,"We estimate the effects of the extension of compulsory schooling from 5 to 8 years in Turkey on marriage and birth outcomes of teenage girls, using a regression discontinuity design. This law increases girls’ schooling by roughly 1 year on average, substantially reducing the probability of marriage by age 16 and first birth by age 17. These effects disappear after ages 17 for marriage and 18 for first birth. These results suggest that this law has strong compulsory-attendance effects during the newly mandated years and human capital effects afterward on marriage and birth outcomes. However, the human capital effects vanish after a couple of years, when students become free to leave school.",forward_citation,,,,,KEEP,Compulsory-schooling extension explicitly estimates teenage first births.,YES
W2186769068,,Compulsory Education and Teenage Motherhood,2017,Tanya Wilson,Stirling Online Research Repository (University of Stirling),RELEVANT,TEMPO,quasi-experimental,compulsory education,teenage motherhood,forward,Estimates a schooling-policy effect on teenage pregnancy or fertility timing.,"Can education policy reduce the incidence of teenage motherhood? This paper uses data from the largest UK household-level survey to investigate the impact of a change in legislation, which increased the duration of compulsory schooling, on the timing of fertility using a regression discontinuity design. The findings indicate strong evidence that the schooling reform induced a downwards impact on fertility not only at the new school-leaving age, but also exerted a non-monotonic effect throughout the teenage years. Overall the analysis suggests that the increase in mandatory education caused a postponement of fertility with the influence of the reform dissipating after age 20.",forward_citation,,,,,KEEP,Mandatory-schooling reform explicitly estimates fertility timing.,YES
W3024321219,10.3386/w21594,Does Education Reduce Teen Fertility? Evidence from Compulsory Schooling Laws,2015,Philip DeCicca; Harry Krashinsky,National Bureau of Economic Research,RELEVANT,TEMPO,quasi-experimental,compulsory schooling laws,teen fertility,forward,Estimates a schooling-policy effect on teenage pregnancy or fertility timing.,"While less-educated women are more likely to give birth as teenagers, there is scant evidence the relationship is causal. We investigate this possibility using variation in compulsory schooling laws (CSLs) to identify the impact of formal education on teen fertility for a large sample of women drawn from multiple waves of the Canadian Census. We find that greater CSL-induced schooling reduces the probability of giving birth as a teenager by roughly two to three percentage points. We find evidence that education affects the timing of births in a way that strongly implies an ""incarceration"" effect of education. In particular, we find large negative impacts of education on births to young women aged seventeen and eighteen, but little evidence of an effect after these ages, consistent with the idea that being enrolled in school deters fertility in a contemporaneous manner. Our findings are robust to the inclusion of several province-level characteristics including multiple dimensions of school quality, expenditures on public programs and region-specific time trends.",forward_citation,,,,,KEEP,Compulsory-schooling laws explicitly identify teen fertility.,YES
W2169373049,10.3386/w10911,Fast Times at Ridgemont High? The Effect of Compulsory Schooling Laws on Teenage Births,2004,Sandra E. Black; Paul Devereaux; Kjell G. Salvanes,National Bureau of Economic Research,RELEVANT,TEMPO,quasi-experimental,compulsory-schooling laws,teenage births,forward,law changes are used to estimate effects on teenage childbearing,"Research suggests that teenage childbearing adversely affects both the outcomes of the mothers as well as those of their children. We know that low-educated women are more likely to have a teenage birth, but does this imply that policies that increase educational attainment reduce early fertility? This paper investigates whether increasing mandatory educational attainment through compulsory schooling legislation encourages women to delay childbearing. We use variation induced by changes in compulsory schooling laws in both the United States and Norway to estimate the effect in two very different institutional environments. We find evidence that increased compulsory schooling does in fact reduce the incidence of teenage childbearing in both the United States and Norway, and these results are quite robust to various specification checks. Somewhat surprisingly, we also find that the magnitude of these effects is quite similar in the two countries. These results suggest that legislation aimed at improving educational outcomes may have spillover effects onto the fertility decisions of teenagers.",backward_reference;forward_citation,,,,,KEEP,Compulsory-schooling laws explicitly identify teenage births.,YES
W4385628385,10.1016/j.econedurev.2023.102440,"Women's education, marriage, and fertility outcomes: Evidence from Thailand's compulsory schooling law",2023,Pasita Chaijaroen; Pallavi Panda,Economics of Education Review,UNCERTAIN,TEMPO,other,covered schooling or child-labor law,fertility or family formation,forward,title is plausibly relevant but no abstract is available,,forward_citation,,,,,KEEP_UNCERTAIN_FULLTEXT,Title explicitly names fertility and Thailand's compulsory-schooling law; abstract missing.,YES
W2154210580,10.1016/j.jhealeco.2019.102268,Does education reduce teen fertility? Evidence from compulsory schooling laws,2019,Philip DeCicca; Harry Krashinsky,Journal of Health Economics,UNCERTAIN,TEMPO,other,covered schooling or child-labor law,fertility or family formation,forward,title is plausibly relevant but no abstract is available,,forward_citation,,,,,KEEP_UNCERTAIN_FULLTEXT,Title explicitly names teen fertility and compulsory-schooling laws; abstract missing.,YES
W2028140859,10.1007/s00148-010-0334-8,The effect of schooling on teenage childbearing: evidence using changes in compulsory education laws,2010,Mary A. Silles,Journal of Population Economics,UNCERTAIN,TEMPO,quasi-experimental,compulsory education laws,teenage childbearing,forward,"Title suggests a potentially covered relationship, but the missing or ambiguous abstract prevents confident routing.",,backward_reference;forward_citation,,,,,KEEP_UNCERTAIN_FULLTEXT,Title explicitly names teenage childbearing and compulsory-education laws; abstract missing.,YES
W4405603403,10.1093/oso/9780198903000.003.0008,"Child Labour, Fertility, and Gender",2024,Alessandro Cigno; Furio C. Rosati,,RELEVANT,THEORY,theory,child labor changes and restrictions,fertility behavior,n/a,Reviews the theoretical jointly determined child-labor–fertility relationship and evidence on exogenous changes in either variable.,"Abstract The theoretical analysis in earlier chapters shows how child labour and fertility are jointly determined as part of the parents’ optimizing strategy. Therefore, changes in fertility behaviour determined by some exogenous change are likely to affect child labour as well. Similarly, changes in child labour determined by some exogenous change are likely to affect fertility behaviour as well. This chapter is dedicated to the review of the evidence on the relationship between fertility and child labour. Such evidence is not very large, but clearly points towards the existence of a strong link between fertility and child labour. Exogenous changes in either of them are likely to significantly affect the other. Moreover, once the endogeneity of fertility is taken into account, its impact on child labour and school attendance increases.",forward_citation,,,,,KEEP,Direct child-labor/fertility theoretical synthesis.,YES
W2753276478,,Human capital and fertility: child vs adult survival,2017,Tamara Fioroni,Economics bulletin,RELEVANT,THEORY,theory,child-labor mechanism,fertility,forward,"Models the relationship among child labor or schooling, fertility, and economic change.","In this paper, we investigate the impact of child and adult survival on human capital accumulation and fertility in a model in which parents face a trade-off between investment in education and child labour. We show that adult and child survival have opposite effects on human capital accumulation. In fact, while a rise in adult longevity always has a positive impact on human capital accumulation, the rise in child survival by increasing the monetary returns of child labour, renders quantity more attractive than quality. Therefore different combinations of child and adult survival can lead to different scenarios. Thus, while policies aimed at increasing adult longevity can be an important contributing factor to improvement in education and the reduction of child labour, however, policies aimed at increasing child survival alone may be insufficient if they are not associated with ones that regulate child labour.",forward_citation,,,,,KEEP,"Model explicitly links education, child labor, and fertility.",YES
W2117090144,10.1111/caje.12032,"Bounded rationality, expectations, and child labour",2013,Patrick M. Emerson; Shawn D. Knabb,Canadian Journal of Economics/Revue canadienne d économique,RELEVANT,THEORY,theory,child-labor mechanism,fertility,forward,"Models the relationship among child labor or schooling, fertility, and economic change.","Abstract This paper develops a model with overlapping generations, where the household's optimal fertility, child labour, and education decisions depend on the parents’ expectations or beliefs about the return to education. It is shown that there exists a range of parental income where the fertility rate is high and children participate in the labour market and receive an incomplete education if a parent believes the return to education is low. The act of participating in the labour market reduces the child's ability to accumulate human capital; thus, the action of sending a child into the labour market is sufficient to ensure that the parents’ initially pessimistic expectations are fulfilled. It is then shown that a one‐time policy intervention, such as banning child labour and mandatory education, can be enough to move a country from the positive child labour equilibrium to an equilibrium with no child labour.",forward_citation,,,,,KEEP,"Model jointly determines fertility, child labor, and education.",YES
W1961684553,10.1093/0199264457.001.0001,The Economics of Child Labour,2005,Alessandro Cigno; Furio C. Rosati,,RELEVANT,THEORY,theory,child-labor mechanism,fertility,forward,"Models the relationship among child labor or schooling, fertility, and economic change.","Abstract Children throughout the world are engaged in activities that can be classified as work. Some of these are harmless like helping parents in the home, or have a valuable learning-by-doing component like helping in the family farm or family business. Others are dangerous or morally degrading. All, however, compete with formal education. The book provides a blend of theory, empirical analysis and policy discussion of child labour and related variables such as education, fertility and infant mortality. It is primarily intended for advanced and research students. This second edition presents further evidence of the factors that determine the demand and supply of child labour, the demand for education, and of the nexus between child labour, education, fertility, and health. A new chapter assesses the effectiveness of the policies that are actually carried out in developing countries for the specific purpose of curbing child labour.",forward_citation,,,,,KEEP,Theory/evidence book directly covers the child-labor–education–fertility nexus.,YES
W3125141375,10.3386/w10765,Technological Progress and Economic Transformation,2004,Jeremy Greenwood; Ananth Seshadri,National Bureau of Economic Research,RELEVANT,THEORY,theory,child-labor mechanism,fertility and development,forward,formal model links child labor and fertility without a policy estimand,"Growth theory can go a long way toward accounting for phenomena linked with U.S. economic development. Some examples are: (i) the secular decline in fertility between 1800 and 1980, (ii) the decline in agricultural employment and the rise in skill since 1800, (iii) the demise of child labor starting around 1900, (iv) the increase in female labor-force participation from 1900 to 1980, (v) the baby boom from 1936 to 1972.",forward_citation,,,,,KEEP,"Economic-transformation theory jointly treats fertility decline, schooling, and the demise of child labor.",YES
W2152406420,10.1086/316097,Is Child Labor Inefficient?,2000,Jean‐Marie Baland; James A. Robinson,Journal of Political Economy,RELEVANT,THEORY,theory,child-labor mechanism,fertility and development,forward,formal model links child labor and fertility without a policy estimand,"We build a model of child labor and study its implications for welfare. We assume that there is a trade‐off between child labor and the accumulation of human capital. Even if parents are altruistic and child labor is socially inefficient, it may arise in equilibrium because parents fail to fully internalize its negative effects. This occurs when bequests are zero or when capital markets are imperfect. We also study the effects of a simple ban on child labor and derive conditions under which it may be Pareto improving in general equilibrium. We show that the implications of child labor for fertility are ambiguous.",backward_reference,,,,,KEEP,Theory explicitly analyzes implications of child labor for fertility.,YES
W3093523732,10.1016/j.econmod.2023.106452,"Child mortality, child labor, fertility, and demographics",2023,Kei Takakura,Economic Modelling,UNCERTAIN,THEORY,theory,child labor mechanism,fertility and demographics,forward,"Title suggests a potentially covered relationship, but the missing or ambiguous abstract prevents confident routing.",,forward_citation,,,,,KEEP_UNCERTAIN_FULLTEXT,Title directly links child labor and fertility; abstract missing.,YES
W1525462723,10.2139/ssrn.288943,"Child Labor, Fertility and Economic Growth",2001,Moshe Hazan; Byniamin Berdugo,SSRN Electronic Journal,UNCERTAIN,THEORY,theory,child labor,fertility and growth,forward,"Title suggests a potentially covered relationship, but the missing or ambiguous abstract prevents confident routing.",,backward_reference,,,,,KEEP_UNCERTAIN_FULLTEXT,"Canonical title directly links child labor, fertility, and growth; abstract missing.",YES
