paperId,doi,title,year,verdict,estimand_cell,evidence_type,treatment,outcome,direction,reason,ra_decision,ra_note
W2023910919,10.1162/rest.91.1.52,"Chronic Disease Burden and the Interaction of Education, Fertility, and Growth",2009,NOT_RELEVANT,NA,theory,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W2034955522,10.1111/j.1467-937x.2008.00529.x,To Segregate or to Integrate: Education Politics and Democracy,2009,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W2058724995,10.1111/j.1467-9442.2008.00563.x,Education and Fertility: Evidence from a Natural Experiment*,2008,RELEVANT,OFF_EXPOSURE,quasi-experimental,education or schooling,fertility timing,forward,Studies education access or attainment and fertility without a clearly covered legal mandate.,,
W3123912849,,OPTIMALLY COMBINING CENSORED AND UNCENSORED DATASETS,2008,RELEVANT,OFF_OUTCOME,theory,compulsory-schooling law,schooling or child labor,forward,Directly examines a covered policy or mechanism first stage without a fertility outcome.,,
W3122873320,10.1257/aer.98.1.333,The Mystery of Monogamy,2008,NOT_RELEVANT,NA,theory,n/a,n/a,n/a,No covered child-labor or compulsory-schooling policy-to-fertility relationship is indicated.,,
W2107421479,10.1007/s10887-007-9019-x,Inequality and mobility,2007,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W2074475306,10.1111/j.1467-937x.2006.00370.x,Das Human-Kapital: A Theory of the Demise of the Class Structure,2006,NOT_RELEVANT,NA,theory,n/a,n/a,n/a,No covered child-labor or compulsory-schooling policy-to-fertility relationship is indicated.,,
W2004672905,10.1007/s10887-006-9008-5,Does longevity cause growth? A theoretical critique,2006,NOT_RELEVANT,NA,theory,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W1555027305,,The Effect of Education on Fertility: Evidence from Compulsory Schooling Laws,2006,RELEVANT,PRIMARY_CS_QUANTUM,quasi-experimental,compulsory-schooling reform,fertility quantum,forward,covered legal reform is linked to fertility or family formation,,
W3125868824,,"The Farm, The City, and the Emergence of Social Security",2006,NOT_RELEVANT,NA,structural,n/a,emergence of social security,n/a,"Models urbanization and social-security adoption, not child-labor or schooling laws.",,
W1571723078,10.1086/506484,The Intergenerational Effects of Compulsory Schooling,2006,RELEVANT,OFF_OUTCOME,observational,compulsory-schooling law,schooling or child labor,forward,Directly examines a covered policy or mechanism first stage without a fertility outcome.,,
W3121761255,10.1257/0002828053828671,"Educational Reform, Ability, and Family Background",2005,NOT_RELEVANT,NA,quasi-experimental,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W2018483341,10.3386/w11414,Zero Returns to Compulsory Schooling In Germany: Evidence and Interpretation,2005,RELEVANT,OFF_OUTCOME,other,covered schooling or child-labor law,non-fertility outcome,forward,covered legal policy is studied directly,,
W2169373049,10.3386/w10911,Fast Times at Ridgemont High? The Effect of Compulsory Schooling Laws on Teenage Births,2004,RELEVANT,TEMPO,quasi-experimental,compulsory-schooling laws,teenage births,forward,law changes are used to estimate effects on teenage childbearing,,
W2128536211,10.1111/0034-6527.00329,The Relationship Between Education and Adult Mortality in the United States,2004,NOT_RELEVANT,NA,quasi-experimental,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W1550597406,10.1002/9780470754818.ch3,"Child Labor: Theory, Evidence, and Policy",2003,NOT_RELEVANT,NA,theory,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W1518870168,10.3386/w10155,Do Dropouts Drop Out Too Soon? International Evidence From Changes in School-Leaving Laws,2003,RELEVANT,OFF_OUTCOME,theory,compulsory-schooling reform,schooling outcomes,forward,estimates or analyzes a covered law first stage or non-fertility effect,,
W2087229412,10.1257/000282803769206214,Inequality and Growth: Why Differential Fertility Matters,2003,NOT_RELEVANT,NA,theory,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W1566437980,10.3386/w10075,Mass Secondary Schooling and the State,2003,RELEVANT,OFF_OUTCOME,observational,compulsory-schooling law,schooling or child labor,forward,Directly examines a covered policy or mechanism first stage without a fertility outcome.,,
W1964623564,10.1257/000282803321455179,The Survival of the Welfare State,2003,NOT_RELEVANT,NA,theory,n/a,n/a,n/a,No covered child-labor or compulsory-schooling policy-to-fertility relationship is indicated.,,
W1999094358,10.1086/654403,How Large Are Human-Capital Externalities? Evidence from Compulsory Schooling Laws,2000,RELEVANT,OFF_OUTCOME,quasi-experimental,joint child-labor and schooling reform,child labor,forward,estimates or analyzes a covered law first stage or non-fertility effect,,
W3123347893,10.1162/08893360052390220,How Large Are Human-Capital Externalities? Evidence from Compulsory Schooling Laws,2000,RELEVANT,OFF_OUTCOME,observational,compulsory-schooling law,schooling or child labor,forward,Directly examines a covered policy or mechanism first stage without a fertility outcome.,,
W3122449994,10.1257/jel.37.3.1083,"Child Labor: Cause, Consequence, and Cure, with Remarks on International Labor Standards",1999,RELEVANT,OFF_OUTCOME,review,child-labor policy,child labor,forward,Directly examines a covered policy or mechanism first stage without a fertility outcome.,,
W3125289242,10.3386/w7444,How Large are the Social Returns to Education? Evidence from Compulsory Schooling Laws,1999,RELEVANT,OFF_OUTCOME,quasi-experimental,covered schooling or child-labor law,non-fertility outcome,forward,covered legal policy is studied directly,,
W2075269299,10.1006/exeh.1998.0712,State Child Labor Laws and the Decline of Child Labor,1999,UNCERTAIN,OFF_OUTCOME,other,child-labor regulation,schooling or child labor,forward,"Title suggests a potentially covered relationship, but the missing or ambiguous abstract prevents confident routing.",,
W1581234142,10.1017/cbo9780511605390.007,"Why the United States Led in Education: Lessons from Secondary School Expansion, 1910 to 1940",1997,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W7153716922,10.1093/pnasnexus/pgag119,Causal effect of school-entry age on long-run family formation: Quasi-experimental evidence from 14 million individuals in Vietnam,2026,NOT_RELEVANT,NA,quasi-experimental,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W7164199672,10.1108/apjie-04-2025-0042,Clan culture and women’s entrepreneurship: empirical evidence from China,2026,NOT_RELEVANT,NA,theory,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W7166136062,10.1016/j.econmod.2026.107740,Disentangling the impact of disaster risk reduction on human capital formation and its non-uniform policy effects: Implications for the Global South,2026,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W7128059169,10.1007/s00148-026-01154-2,"Education fever: inequality, fertility, and growth, with application to China",2026,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W7154600266,10.1016/j.sbr.2026.100149,Family determinants of school dropout among street-working children in Afghanistan,2026,NOT_RELEVANT,NA,other,n/a,n/a,n/a,No covered child-labor or compulsory-schooling policy-to-fertility relationship is indicated.,,
W7165388437,10.1007/s00148-026-01177-9,"Fertility, labor market participation, and macroeconomic dynamics",2026,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W7117967117,10.1177/0739456x251400287,"Fools, Criminals, Consumers, Service Recipients, or Leaders: How Do County and Municipal Comprehensive Plans Portray Youth?",2026,NOT_RELEVANT,NA,theory,n/a,n/a,n/a,No covered child-labor or compulsory-schooling policy-to-fertility relationship is indicated.,,
W7135219859,10.1186/s13690-026-01880-9,High parity in Somaliland: individual and community-determinants from multilevel analysis of nationwide survey data,2026,NOT_RELEVANT,NA,observational,n/a,high parity determinants,n/a,Cross-sectional parity determinants study without a covered legal-policy exposure.,,
W7127676739,10.1016/j.bir.2026.100799,Investigating spillovers of education policy: The impact on household saving behavior,2026,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,No covered child-labor or compulsory-schooling policy-to-fertility relationship is indicated.,,
W7130515046,10.1215/00703370-12475875,More Education and Fewer Children? The Contribution of Educational Enrollment and Attainment to the Fertility Decline in Norway,2026,NOT_RELEVANT,NA,theory,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W7127643223,10.2139/ssrn.6177108,Schooling and Labour Market Effects of the Extension of Non-Compulsory High School Education: Quasi-experimental Evidence from Turkey,2026,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W7127104803,10.2139/ssrn.6169175,The Political Economy of Progressive Era Child-Labor Regulation: Evidence from North Carolina,2026,UNCERTAIN,OFF_OUTCOME,other,potential covered policy,n/a,n/a,title is plausibly relevant but no abstract is supplied,,
W7165015945,10.1016/j.jdeveco.2026.103862,The power of electricity: Small hydropower and girls’ education,2026,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W7162201566,10.1007/s11113-026-10015-5,Universal Health Coverage and Fertility: Evaluating Pro-Fertility Versus Contraceptive Effects,2026,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W7124827530,10.1515/9783111384771-028,40727 Transparency in Fashion Supply Chains: Examining the Influence of Country Regulation,2025,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W4412113913,10.3917/cep1.087.0142,6. Inside the black box of population growth : tracing the roots of unified growth theory,2025,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W4416346415,10.1002/sd.70451,"Addressing Child Labour in <scp>SAARC</scp> : The Synergy of Education, Health and Economic Growth Towards <scp>SDGs</scp>",2025,NOT_RELEVANT,NA,quasi-experimental,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W4412036656,10.20473/jiet.v10i1.66299,Analysis of Socio-Economic Determinants on Infant Mortality in East Nusa Tenggara Province,2025,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W4412580621,10.1007/s11150-025-09788-z,Beyond the degree: Fertility outcomes of `first in family' graduates,2025,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W4416392186,10.1186/s12889-025-25399-w,Breaking the cycle: long-term socio economic determinants of child labour in SAARC countries,2025,RELEVANT,OFF_OUTCOME,observational,child-labor policy,child labor,forward,Directly examines a covered policy or mechanism first stage without a fertility outcome.,,
W4408272746,10.1080/00220388.2025.2467690,Compulsory Education and Gender Inequality in China’s Structural Transformation,2025,RELEVANT,OFF_OUTCOME,quasi-experimental,compulsory-schooling law,schooling or child labor,forward,Directly examines a covered policy or mechanism first stage without a fertility outcome.,,
W4410548177,10.1057/s41599-025-04911-y,Compulsory education enhances financial inclusion across socioeconomic groups: a global analysis,2025,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W4415614963,10.1016/j.worlddev.2025.107167,Contraception to women’s economic empowerment: A narrative review,2025,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W4409191802,10.1007/s10887-025-09253-7,Cultural doorways in the barriers to development,2025,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W4412362654,10.1111/rode.70016,Do Compulsory Schooling Laws Affect Fertility Behaviors and Marriages? Evidence From India,2025,RELEVANT,TEMPO,quasi-experimental,compulsory-schooling reform,fertility timing or marriage,forward,covered legal reform is linked to fertility or family formation,,
W4412444656,10.1016/j.chieco.2025.102499,Does education affect fertility timing? Evidence from Taiwan,2025,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W4411586678,10.1080/09645292.2025.2518368,Does maternal schooling lead to improvements in child health? Evidence from Ethiopia,2025,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W4415317108,10.1016/j.ssaho.2025.102109,Does reducing the length of school cycles affect Women's fertility? Quasi-Experimental evidence from Ghana,2025,RELEVANT,OFF_EXPOSURE,quasi-experimental,education or schooling,fertility timing,forward,Studies education access or attainment and fertility without a clearly covered legal mandate.,,
W4411921319,10.1016/j.labeco.2025.102749,Does the identity of leaders matter for education? Evidence from the first black governor in the US,2025,NOT_RELEVANT,NA,theory,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W7114897937,10.1007/s12187-025-10323-w,Drivers of Child Labour: Socio-Economic Insights from the 15 Worst-Affected Countries,2025,UNCERTAIN,OFF_OUTCOME,other,potential covered policy,n/a,n/a,title is plausibly relevant but no abstract is supplied,,
W4406164614,10.2139/ssrn.5087821,"Driving, Dropouts, and Drive-Throughs: Mobility Restrictions and Teen Human Capital",2025,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W4411965025,10.1002/soej.12781,Early Industrialization and Fertility Patterns in Historical China,2025,NOT_RELEVANT,NA,quasi-experimental,n/a,n/a,n/a,No covered child-labor or compulsory-schooling policy-to-fertility relationship is indicated.,,
W4410857465,10.1016/j.healthpol.2025.105366,Education and fertility: Evidence from an instrumental variable approach using higher education expansions in Turkey,2025,NOT_RELEVANT,NA,quasi-experimental,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W4415043415,10.1016/j.jce.2025.09.002,"Education, desired fertility, and HIV/AIDS: Evidence from China’s compulsory schooling law",2025,UNCERTAIN,PRIMARY_CS_QUANTUM,other,covered schooling or child-labor law,fertility or family formation,forward,title is plausibly relevant but no abstract is available,,
W7117780760,10.38079/igusabder.1679112,Effectiveness of the Sexually Transmitted Diseases Education Programme for Adolescents,2025,NOT_RELEVANT,NA,quasi-experimental,n/a,n/a,n/a,No covered child-labor or compulsory-schooling policy-to-fertility relationship is indicated.,,
W4410086235,10.1016/j.ijchp.2025.100572,Extended childhood disorder (ECD): Proposal and preliminary empirical support for a new ecologically-based diagnostic category of teen dysfunction,2025,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W4412992221,10.26794/1999-849x-2025-18-3-43-51,Financial methods and tools to ensure the growth of the birth rate and well-being of the Russian population: Problems and solutions,2025,NOT_RELEVANT,NA,theory,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W4413023940,10.2139/ssrn.5381362,"From Chalkboards to Steam Engines: Early Adoption of Compulsory Schooling, Innovation, and Industrialization",2025,UNCERTAIN,OFF_OUTCOME,other,compulsory-schooling law,schooling or child labor,forward,"Title suggests a potentially covered relationship, but the missing or ambiguous abstract prevents confident routing.",,
W4412455512,10.1016/j.jebo.2025.107120,Improvements in schooling opportunities and teen births,2025,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W4412946368,10.1017/iop.2025.10026,Minors at work: The impact of education and labor policy changes on industrial-organizational psychology,2025,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W4414722584,10.1016/j.socscimed.2025.118632,Mothers’ level of education and infant health. Causal effects of the introduction of a school reform in Norway,2025,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W4416607692,10.1017/dem.2025.10011,Only-child matching penalty in the marriage market,2025,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,No covered child-labor or compulsory-schooling policy-to-fertility relationship is indicated.,,
W4414952724,10.1086/739022,Preventing School Dropout at Scale: Experimental Evidence from Guatemala,2025,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W4412592862,10.2139/ssrn.5344355,Proposing a Digital Supply Chain Control System in the Stock Market: A Strategic Solution for Bangladesh and Other Developing Countries,2025,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W4409727095,10.2139/ssrn.5227063,Protection for Whom? The Political Economy of Protective Labor Laws for Women,2025,NOT_RELEVANT,NA,other,n/a,protective labor laws for women,n/a,Concerns protective labor laws for women rather than child-labor/schooling laws and fertility.,,
W4408320812,10.1111/padr.12720,Reframing the Relationship Between Fertility and Education in Adolescence: 60 Years of Evidence From Latin America,2025,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W4417082537,10.1007/s00199-025-01695-9,Skills and the Regulation of Labor,2025,NOT_RELEVANT,NA,other,n/a,n/a,n/a,No covered child-labor or compulsory-schooling policy-to-fertility relationship is indicated.,,
W4409029977,10.1093/ereh/heae023,The Causal Effects of Education on Age at Marriage and Marital Fertility,2025,RELEVANT,PRIMARY_CS_QUANTUM,quasi-experimental,compulsory-schooling law,fertility,forward,Estimates a covered legal-policy effect on fertility.,,
W4412066104,10.1111/iere.70001,The Dark Side of Batteries: Cobalt Mining and Children's Education in Sub‐Saharan Africa,2025,RELEVANT,OFF_OUTCOME,observational,child-labor or minimum-age regulation,child labor,forward,estimates or analyzes a covered law first stage or non-fertility effect,,
W4414913192,10.1177/21582440251379141,The Impact of Women’s Education on the Second Childbirth Interval: Evidence from the 2018 China Migrants Dynamic Survey,2025,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W4410099944,10.1007/978-3-031-87179-5_6,The Racial Political Economy of Bank Entry Restrictions,2025,NOT_RELEVANT,NA,theory,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W4413192467,10.1016/j.ijedudev.2025.103361,The impact of terminating universal primary education on fertility: Evidence from Kenya,2025,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W4415313895,10.1007/s12546-025-09406-w,The recent decline to very low fertility levels by education in five Latin American countries (2010–2022),2025,UNCERTAIN,OFF_EXPOSURE,other,education or schooling,fertility or family formation,forward,title is plausibly relevant but no abstract is available,,
W4408937971,10.1146/annurev-economics-090324-034939,Unified Growth Theory: Roots of Growth and Inequality in the Wealth of Nations,2025,NOT_RELEVANT,NA,theory,n/a,n/a,n/a,No covered child-labor or compulsory-schooling policy-to-fertility relationship is indicated.,,
W4409268312,10.1016/j.jpubeco.2025.105353,Universal early childhood education and adolescent risky behavior,2025,RELEVANT,OFF_EXPOSURE,theory,education expansion or reform,fertility timing,forward,Studies education access or attainment and fertility without a clearly covered legal mandate.,,
W4412631029,10.1080/00324728.2025.2523761,Women’s education and fertility in select countries of Africa and Asia: Moderation by quality of education,2025,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W2972669414,10.1111/apel.12455,‘Gold Miss’ or ‘Earthy Mom’? Evidence From Thailand,2025,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W4400612500,10.47405/mjssh.v9i6.2865,A Socio-Legal Study on Issues and Factors of Child Labour in Malaysia,2024,NOT_RELEVANT,NA,review,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W4402266026,10.2139/ssrn.4912608,Asymmetric Fertility Elasticities,2024,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W4402475992,10.1371/journal.pone.0307721,BRP-Net: A discrete-aware network based on attention mechanisms and LSTM for birth rate prediction in prefecture-level cities,2024,RELEVANT,OFF_EXPOSURE,theory,education or schooling,fertility,forward,Studies education access or attainment and fertility without a clearly covered legal mandate.,,
W4402191582,10.21203/rs.3.rs-4854629/v1,Beyond the Degree: Fertility Outcomes of `First in Family' Graduates,2024,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W4404024962,10.1086/731812,Car Seats as Contraception,2024,NOT_RELEVANT,NA,quasi-experimental,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W4396938006,10.1093/wber/lhae020,"Child Labor Bans, Employment, and School Attendance: Evidence from Changes in the Minimum Working Age",2024,RELEVANT,PRIMARY_CL_QUANTUM,quasi-experimental,child-labor or minimum-age regulation,fertility quantum,forward,covered legal reform is linked to fertility or family formation,,
W3129098290,10.1515/bejm-2024-0045,"Child Labor, Corruption, and Development",2024,NOT_RELEVANT,NA,theory,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W4405602944,10.1093/oso/9780198903000.003.0005,Child Labour Effects of Access to Basic Utilities,2024,RELEVANT,OFF_OUTCOME,observational,child-labor policy,child labor,forward,Directly examines a covered policy or mechanism first stage without a fertility outcome.,,
W4405603348,10.1093/oso/9780198903000.003.0004,Child Labour Effects of Credit Rationing and Uninsured Shocks,2024,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,No covered child-labor or compulsory-schooling policy-to-fertility relationship is indicated.,,
W4405603669,10.1093/oso/9780198903000.003.0002,"Child Labour, Education, and Saving",2024,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,No covered child-labor or compulsory-schooling policy-to-fertility relationship is indicated.,,
W4405603403,10.1093/oso/9780198903000.003.0008,"Child Labour, Fertility, and Gender",2024,RELEVANT,THEORY,theory,child labor changes and restrictions,fertility behavior,n/a,Reviews the theoretical jointly determined child-labor–fertility relationship and evidence on exogenous changes in either variable.,,
W4404834461,10.1016/j.exis.2024.101577,"Child labor in artisanal and small-scale mining: Implications for health, development and poverty",2024,NOT_RELEVANT,NA,other,n/a,n/a,n/a,No covered child-labor or compulsory-schooling policy-to-fertility relationship is indicated.,,
W4399915820,10.1016/j.jdeveco.2024.103321,College opportunity and teen fertility: Evidence from Ser Pilo Paga in Colombia,2024,NOT_RELEVANT,NA,quasi-experimental,n/a,teen fertility,n/a,Treatment is college opportunity rather than child-labor or compulsory-schooling law.,,
W4405603502,10.1093/oso/9780198903000.003.0013,Conclusion,2024,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W4405603343,10.1093/oso/9780198903000.002.0003,Copyright Page,2024,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W4400011452,10.21203/rs.3.rs-4556531/v1,Cost-sharing policy and its long-term impact on quantity–quality tradeoff: Evidence from Kenya,2024,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W4405603155,10.1093/oso/9780198903000.002.0004,Dedication,2024,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W4392364965,10.1080/23311886.2024.2319377,"Determinants of child schooling in Kwara State, North Central Nigeria",2024,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,No covered child-labor or compulsory-schooling policy-to-fertility relationship is indicated.,,
W4391425473,10.1016/j.ssmph.2024.101618,"Do adolescent girls’ education and friendships have independent effects on early pregnancy? Results of a mediation analysis from a longitudinal cohort study in Nairobi, Kenya",2024,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,school attendance is studied without legal-policy variation,,
W4392812928,10.1108/econ-11-2023-0192,Does extending school time reduce the juvenile pregnancy rate? A longitudinal analysis of Ceará State (Brazil),2024,RELEVANT,TEMPO,quasi-experimental,full-time high schools policy,teenage pregnancy,forward,Estimates a schooling-policy effect on teenage pregnancy or fertility timing.,,
W4400493462,10.2139/ssrn.4881921,"E Pluribus, Pauciores (Out of Many, Fewer): Diversity and Birth Rates",2024,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W4401057194,10.1057/s41599-024-03460-0,Education legislations that equalize: a study of compulsory schooling law reforms in post-WWII United States,2024,RELEVANT,OFF_OUTCOME,other,compulsory-schooling law,non-fertility outcome,forward,covered law is evaluated for a non-fertility outcome,,
W4400275124,10.2139/ssrn.4882439,"Education, Gender, and Family Formation",2024,UNCERTAIN,OFF_EXPOSURE,other,education or schooling,fertility or family formation,forward,title is plausibly relevant but no abstract is available,,
W4400484231,10.2139/ssrn.4889208,"Education, Gender, and Family Formation",2024,UNCERTAIN,OFF_EXPOSURE,other,education or schooling,fertility,forward,"Title suggests a potentially covered relationship, but the missing or ambiguous abstract prevents confident routing.",,
W4391684015,10.1002/ise3.73,Fertility decisions and the norm of intergenerational support to aging parents,2024,NOT_RELEVANT,NA,theory,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W4394930276,10.1146/annurev-economics-081523-013750,"Fertility in High-Income Countries: Trends, Patterns, Determinants, and Consequences",2024,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
W4405603130,10.1093/oso/9780198903000.003.0003,"Fertility, Infant Mortality, and Gender",2024,NOT_RELEVANT,NA,other,n/a,n/a,n/a,title and abstract do not study a covered legal-policy mechanism,,
W4400184011,10.2139/ssrn.4881363,"Fertility, Partner Choice, and Human Capital",2024,NOT_RELEVANT,NA,observational,n/a,n/a,n/a,does not study a covered legal-policy mechanism,,
